22823
AAAABBABABBBBBA BAAABAA
BBBABAB ABABBA
AABBBAAAAABBBABABAABAABBBABABBAAAABAABAABAABBAABAAAABBBAA BAAAB
BAABBABABBBBBAAAAAA BABBBB
ABBAAAABBABBBBBABAAAAAAABB ABABAABAAAAAABAABBBBBB
BBA ABA
BAAAAABAABBABA AAABA
BAAAAABAABBABAAB AAABAAB
AAAABA BABBAABAAAA
A BBABAABABAAABBBBBBBBABABBA
BABABBBAABBAABAAAABBAAAAAAABAA BAAAABAABBBAABBAABB
ABAABAA AABABAA
A BAAAABABABBBABBBAABBB
BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAAAB BAAAAB
A BBABAABAAABABA
ABBBABBBBA AABBBABAAAABABAABBBABAABBA
BAA BBBABBBABBABB
AAA AABAABAABAABA
$ BAA
AABAAA BBB
BBAABAA BAABBBA
BABBBBBBBBBBABAAABBBABAA BABAAAA
BAABAB AABBBABAAABBABBBBBAABBBAAAAAABABBAABBBB
BAABAAB AAB
BAAAAAABBABB BBABBAAABBABBBBAAABBABBABABAB
ABABBBBAAABBBAB $
ABABB BBBABBABAABAAAABABABA
ABAAB ABBBBA
BAABBA ABABB
AABAABBBABAAB BABBBABAABBBA
AAAABBABABBBBBAA BAAABAAA
AABBBAABAAAA BAAAA
AABBBBAABABAB BBBA
BBABBAABAAABABABABBBA AAAAAA
BAABAAB AABABAABABBBBABABBAB
$ A
AAABBAABAAAABAABBBBAAAABABBBBABABBAABBBAB BBBABBBB
$ BAAABAAAB
AABABABAB ABBABBABABB
BAAABBAABBBAAABBBAAAABABABAAA AAABABABBBABABAABB
BBBABBA BAAABABAABBBBBBBBA
BA AABBABAAABAA
BAB ABBABBABAAB
AAAAAAB BBBAAA
AAABAB AAAABBBBAB
BABBAABABBAA AAAABA
AAAABAAAABBBBBBBAAABAAAAAABBBBABBABABAABB AA
AABBA BAAAAAABBAAABBB
ABBABBAABBBBAAABABAAABABBAB BBABAABA
AABAAABABBBBBABBAA BABABBBAB
BBAABBAAABBAAABAAAAABABAAAAB BAAAABABBBBBB
BBBAABB A
AAABAABAA ABABBABBABBBBABAB
BBBBAAB AABABA
BA BBAABAABBBAAABAABBBBAAABBAAAAAAAAB
AABBABAAAABBAAAAAA AAAAAAABBBABA
AABAABAABAABAB AAAB
AABAA B
ABAABAAABBA $
AABBBA AABAAABBBBBBAABAABBBBBBA
BAAB BAABABAAAABBBABAABBAABBAB
AAAAAABAA BABAABBAA
BBABBAAA AAAABBABBBBAABA
ABAAABABAABBBBABBBABAAAAAABBAB BB
BAAABABBBBABABAABAAAA BABBABAAAAB
AABBBBABAAB AABAAAABBAABABAA
AAABA A
BBAABABBAA ABABABAB
BBBAABAAABBBB ABBBBABBBBBBBBAABBB
AA ABAB
AAAAAABB AAAAABB
BBAABAABBBAAABAABBBBAAABBAAAAAAAABAB ABA
ABB ABBBABAABA
BBABAABAAAAABBABBBABABBBBBBAB $
BBBABAABBBBAAAABA B
AABBABAAAABBAAAAA BAAAAABAABBBAAAAAB
BBAABB ABAABABBBBA
AABAABABBBAAB ABAAA
AABAABAABAAB AA
BBBBBBAB AABBABAABBAB
BAAAAABBB ABABABA
ABBABBAAAABABBBBAAABAAABBBAABBBAABABA BA
AABABB BAAB
BABA AABAABAABAABABBBBB
ABBABABBABBBBA BB
ABABBBAABABBB ABBAAAAAABAB
BABBBA AABABAABABABBAA
BAABAAAAB AABABBAABBAAABBBAA
AABBBABAAA BAABABBAA
BABBBBBBBABBBBABBBBAABBBBAAABBAABBBAAABBAABBAABB BBAABAB
AAB BBAAABAAABAAABBAAAAAABABA
BBBAABBA AA
AAAAABBABABAABBBBBB ABBBA
$ AAAAAAABBBBBABBAB
ABBBBABAB BBABBAABB
A BAAABBABBAABABAABABAAAAAABABABABBBBB
BABAAAAABABAABAAB BB
BAABBAABBAABAAAAABA BBA
BBAABAA AABAAAABAAA
BBBAABBAB AAB
AAB AABABB
BBAABAABBBAAABAABBBBAAABBAAAAAAAABA ABAAAAA
ABAABAA BBBABAAABBAABBBAABAABAAAAABAABABABB
$ AAAABBAA
BBBBB AABBABAAB
ABBB BABABBAAAABBBBAABAA
BBBBBABBBAA BAABBAABBBBAABB
AABBBBAAAAA BBA
ABABBBBAAABBBABAA AA
AABABA ABBBBABAABAA
BBBABBBAABB AABAAAAABAAA
BABBBABAAABBBBBAAABBAAABBB AABBBAAAAABABAAABAAAAABAAABBBBBBBABBAABBAB
AABABBB BAABB
AAAABAAA BABBBBBBBABBBBABBBBAABBBBAAABBAABBBAAABBAABBAABBA
BAAABBA ABAA
ABBAAABAAABABBBBBAB BBAABBBBBABAABBA
ABBBA ABABBBAABABBB
BABABAABABAABABB ABB
AABBABAAAABBAAAAAA BAAAAABAABBBAAAAABA
BABBBBABABA $
AABBABAA BBBB
BAAAAABAABBBAA BBABAABBAB
BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAAA BAAAA
ABBBBAAAAAABAAABAAAAB ABABBABBABB
AABBBABB BBABABAAAABAAAAAB
B BBBAABABBAAAAABBBAAAB
ABABBBBBBAAAABA B
AABBBABBBAA BBABB
ABAABABA BBAABABABBBBBBAAA
BBABABBAABAB ABABBBAAAABBAABABAABA
BAAABBABBBBBABAAABABABB B
AAA AAAABBB
ABBABABBABBBBAAA ABBBABBB
BAAABBBA ABBBBAAAAAABAAABAAAAB
AAAAA AAABAAAB
BBBABBABA BAABBABBAB
BAAABBBA AAB
ABA AABBBBAABAABBBA
ABBBBAAA AABABBAAABBBBBAAB
BBBABBBBBABABA ABBBBAAABAABBBBBBABAAABA
$ BBABABAAAABAA
ABBAA AABABAABABAAAB
AB BBBBBBBBABBAABA
ABBBBAAAABBAABBBBAABBBAA B
$ ABAABAB
BABAABABBA BBBBBAABAAAABAABAAAABABAABABAAABB
ABAB AAABABBAABAAAAABA
ABBAABA BB
AABBBAABAAA A
ABAAB AAABBABBABAAAAABAABAAABABAAB
ABABABBBABBBBBBB BBBAAB
BAABBBB ABBAAAAAABAA
AABABAABABAB BBAAABABAA
BB BBBBABBABA
BAAAAABAABB $
BAABBBB ABBAAAAAABAA
BA BBBBBBABBAB
AAAABAABBBAAAAABBAAAAABBBABBAABBBBBAB AAAABBBB
A BABABAABABAABA
ABAAA BBBBBA
AAAABBAABBBBA BBBBABABBBABBABB
BAAAAAABAAABAABAAAAABABBBAB B
AAABBABAAABAABAAAA AAA
A $
BBBABAABAABBAAAA ABABBBABAAABBBBBBABBABAA
AABBBBABAAB AABAAAABBAABABAA
BABBBA ABBBBBABBBBBBAAABABAABAAAAAA
AABBBABBABAABABAAAABBABABABABA BBB
AABABABABABBBB BAAABBAABBB
AB ABABAA
BABAAB BABAAAA
BBBAABAA AAAABBABAABBBBBB
AAABABA BA
AAABBB ABBBBAAAAABABA
ABBBA BAB
AABAAAABAA BBAABA
BBBB AABAA
AAABBAABABBA AAABABBBBBBAABAAB
BBABBAAABBABBBBAAABBABBABABAB BAAAAAABBABB
AABBBABBBA BABBABBBBBAA
BABBAABBBBBAA BBBBBAA
BAAAABBBBABBBBB ABABBABABBBABABABBB
$ AB
BBBBBABAAABABBBBBBABABAABA BBB
ABAABAB ABB
ABABABBBBBAAAB $
AABAABABBBAAABA BBABBAA
BBBBBABAAABABBBBBBABABAABABBAABBA AAABBABBBAA
AAABAABBBABBBAB BAAAABBBBABBB
ABAAAAA ABA
AABBABBB AAABAABBBABBBA
AAABA AAAABBBBA
BABBABB BBBB
AAAABBBB AAABB
AAAABBBAB BB
BBBAA ABBBBAAABAAABABABABAB
AAABBABAAABAABAAAAAA AAAABA
BAAAAAAABABAABAB ABBABA
AAABBABBABAAAAABAABAAABA A
BAB ABBAAAABABA
AA BBBABAABA
$ AAABAAABA
AAAABAAAABBBBBBBAAABAAAAAABBBBABBABABAABB BBAAAAA
B $
ABA BBABBBBBBAAA
AAB AABAAABBBBBBAABAABBBB
$ BBBABABAAABABAB
ABABBA BBBABAABBBBAAAAB
BBAAAA BABBAABBB
ABABABBB AAAAAA
$ AABAAAABABA
AABAB AAA
AB BAABBABBBAB
ABABABABB ABAABBABB
ABAAB AAABBA
ABABBABBABBBBABABB AAABAABAAB
BBABBABBBBBABABBBBAABABABAAB BBBAAAABABABAAAAAAAAABA
BBAABAAAA AAAAAABBBAAB
ABABABABBB ABAABBABBB
AAABAAABAABAAAABBABBAAAAAB AABBBAABAAAABBBB
AAABBBA AB
BAAAABAAAAAAABAAAAABABABBAAABAABA ABBAABBA
$ AAA
AABAABAAAAAAAABABA BB
BAABAAAABAABBABAAAA AABB
AABBBAAAA BBBABAABAABBAAA
BB ABAAAAAB
BABB BB
BBBB BBBBB
AAA BAAAAABAABBA
AA ABBA
ABABAAB B
AAABAA BABBABBBBA
AAA BAAAAABAAABBA
BBBABA BBBBB
AAA AA
AABAAAAA B
ABBABBABABB AABABABAB
B BBBAAAABAAAB
ABABBBBBABAAAAB BBBABA
BAAABBBAAB $
BBAAABAAAA BBBAAABAAABAABBBBABBBBBBBABBBBAABBA
BBABBABABBBABAAABBBAAAB AA
AABBAA $
ABAABA AB
BABBAA BAAAABBBBAB
AABBABAA BBBB
AAAAA ABABBAABBBBABAABB
AAABAAAA BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAAABABBA
BBBBABBAABBBBB BAAAAAABBAAAB
AABABBBABB ABBABBBBABBAAA
BBABB BBAAAA
ABBA ABABBABBBAABBBBABAAABA
AAABABBBABABBAB AABBBBAABAABABBBAABAABABAAA
BBABABBABAAAB BAAAAB
ABBBAAABABB A
ABBAAAAAAA ABABBBBBBAAAAB
ABB BABAABBBBAAAABABBAAABB
A AA
AABBB ABAABA
AAABAABBBABAAABAABAAAAAAAAAAABAAAAAAAAAAABAAABAAAAAAAAAAABAA BABAABABBBBBBBAABB
BBBBABBB BBAAABBBBBBABBBABBABBABBBAABAAAA
$ AABAABBAABAAABBAB
AAA B
AB ABBABBBBBAABBABBBABA
BBBAB AAABBBAABAABBABBBBAB
AABBABABABABAA BBBABBA
$ AAABAABBBABBBB
BABBAABA ABBAAAAAABABBBAAB
AAAAAAA ABBBABAABAAAAB
BBBBABABABBBAAAABABABABBBB AAA
BBBBAAABAABBAA BABBBAABAA
ABAAABAABBBAAAAA BABBABBABBABAAABBBBABABAAAAAAABBABBABBBABAAB
BBBAAAA BAAAAAABABB
ABBABBABBBBBAABBBBABABBBAABABABAABA BAAAABAABBBAABBA
AAABBBABBABBAAAABBBAAAAAAA AAB
BBABABAAAABAAAAABBBA AABBBABBBBA
ABA ABBBBAB
AABBB AABAAABBBBBBAABAABBBBBB
BBAABBAAABBAAABAAAAABABAA $
ABAABBABB ABABABABB
BBBAAABBABB AABBAAABBBAABA
ABABAABABBBBA ABBABBABABBBAAB
AAAABBBBBBA ABBBBAABAABB
AB BAABAAAA
AA BBBAABBA
BAABBAABAA BB
BAAABBABBAABABAABABAAAAAABABABABBBBBB B
BABBBBBBBBBBBABBABABBABAABBBBBAABAABBAA AABBBB
AAAA BBBBBABBBAABA
ABABBABBAAABABBA ABBBABABBAAAABBBB
AAAAAAB BAABAABBABABA
BBB A
BABABAABBBBBABAABABAABAAABABBAABB BAA
ABBAAAABBABBBBBABAAAAAAAB ABABAABAAAAAABAABBBBB
AAABABAABAAAAABBAAABB $
ABAABAAABBAA A
A AA
AAAA AABAABBAABAAABB
BBBBBBABA BBBBBBAAABABA
AAAB AAAABBBB
ABAAABBABBABBABBABAAABB ABABBBAAAABBAABABAABA
BAAAAABA ABAAAB
ABABBABBAAAB $
ABBABAA AAABBB
$ B
BAAAAABAAAAABAA BBABABAA
B BB
BAAAAABAAABBAA A
A BBBBBABBBBAA
AAB AABAAABBBBBBAABAABBBB
ABAABA AB
AAB AABAAABBBBBBAABAABBBB
AABAAABBBBABA ABAAABBABBABBABBABAB
AABBABBBBABB AAABAAABAA
ABAB BABABBBBABBBBABABA
AA BAABBAABAAABBBBAAABAAAAABBABBABBBAABBABB
BAABABAABABBBAA BBAAAAABABAABBBBAAA
BABBAAA BABBBBAABBAABAABA
$ AABBABBBB
$ BAAABABBBBABABAABAA
ABABB BBBABBABAABAAAABABABA
BABAAAAABABAABAABAB AAABAA
BAABBBBABABBB ABBAAAAAABBBBAB
AABABBAAABBBBBAABA BBAABAABBBAAABAABBBBAAABBAAAAAAAABAB
AABA AAABBB
AAABBBBBABAAAABBABABA ABAA
AAAAAA BBBBABBA
B AAABAB
BABBBABBAAAAAAAAABB BAAABABAB
BBBAABABBAAAAABBBAAAB B
BBAAA BBBBBBBBABBAABAAB
$ AABBBBBAABBAAB
ABAAABAABBBAAABA ABBBABABAAABBABBBBBBAABABB
BBBABBB ABBBAAABABBAAABAABB
ABBABAABAAAABAABBABBA ABBAAABAABBAB
AAB BAABAAB
AABBBBBAABBBBABBBBAAAAABBBBA ABABBAAAAAAAABBBBBB
AAAAABAABB BBAAAAB
BA AAAABABAABAABA
ABAABAAABBAABBBB ABBBBBBBAAABAAAAAABAABBAB
A AAA
AA A
BABAAAAB BABBBAABAABBBBBAABAABB
AAA BBBBAAAABBBBBBBAABAABBBA
AABBBAA ABBAABBBBBABAABAAAB
BAABBABBBAB AAAAAAAAABABBBBABBABAAB
AABABABAA AAAAAABBBA
AABABABBAAABA BBBB
AABBBAABAAAAB ABBBABABBAAAA
BAAABBBBA BAABBABABBBBBAAAAAAA
BAAAAAABAAABAABAAAAABABBBA $
AABA BAB
AAAABA ABABAABA
ABBBBAA ABAABA
AAB BAABAAB
ABBABABBAAAAABBBBA BBB
$ AAAB
AABA AAABBA
ABBABABBBABBBABBB $
AABAAAABBAABABAAA BBABBAABBBABA
AAABABABAA BBABBABA
B AABBBBBABBAA
ABAABB BBAAB
BAABB BAAABBAAABBBABAAABAAABAB
BAABBBBABABBA BAAAAAB
AAAB $
BBBBABBABAB BAA
BBA AAA
ABAAAAAA BBBBAAA
AAABBBBBABAAAABBABAB ABA
BB ABBABABBABBBBA
BAABABABBABAA BABBAAABABBB
BAAAAAABABB BBBAAAA
ABBB ABAABABB
BABBAAAAABBABBAAA ABBA
BBAABABABBBAAAAABAAAB BBABAABABBBBAABABBBABB
BBB AA
BBBBAA ABAA
BBABBAAAABBBBAABAABAABABAABABBABBAA ABAAAB
BAAAABAAAAAAABAAAAABABABBAAAB ABBBABBBAAABBAAAABABABBBAA
BBAABA AABAAAABAA
BAA ABBBBBBBABAABBBAB
BABAA BBBABBBAAB
AAABBABBABAAAAABAABAAAB $
ABABBABBAA $
AABBBAABAAAABB AABBBBAA
AABABAABABABBA ABBBAABBBBBA
ABAABAB AAABBABBABAAAAABAABAAABABAABAB
BAABBBA BABABBBBBBAA
ABAABAAABBAABB BABAAAABBBA
BBBABABBAABAAAAAAABABAAAABBABAB AAAAABAAB
BAAAABAAAABBBBA ABBBBBABABBAABAABBBBAA
AAAABBAAABABAA BAABBB
A AAAABABABAABABABABA
ABBA $
AABBABAABAABABABAAAABAAABAB ABABABAAAAAABAAB
BBBABAABAABB AABBBA
AABBABBAA ABBAAAABBABAAABAB
ABBBBBAABBBAAAAABAA AAAAA
BAAAAAABBABBA BBABBAAABBABBBBAAABBABBABABABA
ABBAAAAAAAAAABBBBAABABAA BABAAAABB
AABBBABABAABABBABAA AABBBABBBAA
BAABAABA ABAABAB
ABBBAAABABBAAABAAB AAABBA
A AABABBABBBAABA
AAAAAAABBAAAAA AAAABBBBBA
AA BAABAA
BAA BAAABBAAABBBABAAABAAABA
A BAABA
AAABABAABAAAAABBAAABB $
$ AABB
AABABAABABBBBABABBABB BAABAABB
BAAABBBBABB ABBBBA
ABBBBBAAA AABABAAB
BBBAABABBAAAAABBBAAAB B
AB ABABAAABBAABBBA
BBAABABABBBBBBAAABA ABAABABABA
BBABA BAAAAABAAAAA
BBBBAABA ABBAABABABAAB
ABBAAAABBABBBBBABAAAAAAABBBB ABABAABAAAAAABAABBBBBBBB
ABBBBAAAAAABABAAABAABBBAABA $
B AAA
ABAB BBABAABABBBBAABABBBABB
BBBBBBBABBA ABABBABBAAA
BA BBBAABABABBAAAA
BAA BA
BAAAABAAAABBBBA AABBAAAABABAABBAABBAB
AAABBABBABAAAAABAABAAABABAABABABAAA ABBABAABBAABBBAABABBABBB
AABBBA BBB
AAABABABAA BBABBABA
AABBABABABABA BBBABB
$ BAABBABBB
AAAAB AB
BBBBBAAA $
BBBAAAA BAAAAAABABB
BAAABABAABBBBBBB BBBAB
BAAA ABABBBAABAB
BBBBBBABA AABBABAABBABA
BBABBBA BBBBBABAABAAAAABA
ABBBBA BAAAAABBB
BAABABAABABBBAAA BBAAAAABABAABBBBAAAA
AB ABBBBAAA
BABBBAABAA BBBBAAABAABBAA
BAABAABBABAABAABAAAB AABBBBBBABAAB
AA AAAABBBABABAABAB
BAAAAAAABABA AAAAABBAAA
BABBBAAABBBABBAABBAA BBABBA
AABBAAABABABAAB AABABABB
$ AAABA
BABBAA $
ABBABAABAAAABAABBA BBABBAABAABBABAAB
AABBBBABBABAB BAAB
BAAAABAAAAAAABAAAAABABABBAAABAABA ABBAABBA
AABAABAABAABABBA AAABBA
BABAABABBBBABABAB AAAAABBAAA
BBAAABAA A
BBBBBBBABAAABBAAABAA AABABBB
ABBBAABAAAABAAABAABBBBB $
BAABAABBABAABAA BB
BAA ABBBBABBB
BBABBBABA BBBBBABAABAAAAABABA
$ AAAAABBABABAABBB
BBABABAAAABBBAAABABBABBAAABBBAB AAABBBAABAABBABBBBABBBAB
BBBBBA ABBABAAABBABBABAA
BBBAB BBABBBABA
BBBBBABBABB AAABBBBBBAAABBBBAAB
ABABAABBBAA BBAA
BB BABBA
BAAABAA BAAAAABAAAAABAA
ABBABB AABBBBBABBBAAAABBBBAB
BAB ABBABBABAAB
BAB AABBAABABB
BBBABBB AAABBAABAAAABAABBBBAAAABABBBBABABBAABBBA
BBAAABAAABABABBBBA BAAAAABBBAABB
BBBBABBAABBBBBBBB BAAAAAABBAAABBBB
BBA ABABBBBBBAAAABABA
AAAAABBAA BAAAAAAABAB
BABBAABAABBBBBBABBBBBA BABAA
BAABB AABABABBAAB
BBBB ABAAAAA
ABBBAAABABBAAABAA BBBAB
BAAABABA B
ABABAABAAAAAABAABBBBBBBB ABBAAAABBABBBBBABAAAAAAABBBB
AABAAABBB ABBBBAA
BBB A
BBBABABBBBBBBBBBA BAABBBBAAABBBAAAA
BBABAABA BBBAABAAB
BBABBBA BBBBBABAABAAAAABA
BA AAABBAAAAAABBABABAAB
AB AAA
A BAA
ABBAAAABAAAABBABAABABA BA
AAAAABBAAAABBABBAABBAAAABBAABBBABBAA AABBBB
AA BAAAAABAABB
BBABAAABABABBBBAB A
ABBBBBBAB BABABBAAAABBBBAA
BAABBABAA BABB
AABABA AAAABBBBBBABAAABBBABB
BBAABAAA AABAAAABAAAA
ABBBBA BBBBABABABBBAAAABABABABBBBB
AAABBBAABAABBABBBBABB BBBABB
BBABBAAAAABAAAABBAAB AAAAAABB
BAAAA BABB
A BABBAAAABBAABAABBBAAAABBBBAAABBBBBABA
AB ABAABA
ABAABAABABBBBBBAB BBA
AAABAB AB
BAAAABB ABAAAAA
BA ABABBBBBABAAAABAAA
AAAA AAABA
BBBABABBBBBBBBBBAB BBAABBBBBABAAB
ABBAABBBA ABABBABBABBBBABABB
BBBB AABBABAA
ABBABBABAAA BAAABABB
BABBAAABA AA
ABABABBBAABBABBBAAAAAB $
BBABABAAAAB BBAA
BBABBB BBBBBABAABAAAAAB
BAAA BBBAA
BBABBAAAABBBBAABAABAABABAABABBABBAA ABAAAB
BBBBABBAABBBBBBB BAAAAAABBAAABBB
BBBAABABAAABA ABAABAABBBBAABABBBBBABBB
$ BBBAA
ABABAAA BBBAABBABBABB
AAABBBAABAABBABBBBABBB BBABABAAAABBBAAABABBABBAAABBB
AAA ABAAAABBB
BBAAABAB AABABABBAAAB
ABBABBBBBAABBABBBABAA ABA
AAABBBAA ABBBBAAAAABABAAA
AAA ABBAA
B AABAA
AABBBB AAABBAA
AAAABBBBBBABAAABBBABB ABBABBBAAAAAABBBBAAB
ABB AABBBABBABAAABBBBAAB
ABABABBBAABBABBBAAAAABAAAA BBAABAAAABBA
BBABBABABAAABBAABABB BBAAAB
BAABABBBBBBAABAABBB ABABA
$ ABABBAAAAAAAABBB
BAABBBAABA BABBBBBB
BAAAAABAAAAA BAAA
AAABBAA AABBBA
ABBBAAAABAABABBBBAABBB BAAAB
ABABABA BAAAAABBB
BABAA AAAAAABBBA
BABBBBBAAB $
BBBAABBBBABABAABAABBAAA ABB
BBBABAABBBABBBAABAB AABBBABBABAAABBBBAABA
AB BAABAABBBBBBBAAABAB
BBAAAABBBBABB BAABBBBBBBAABABABABBABAAABA
AAABBAA AABBBB
AA $
ABAA B
AAAAB ABABABAABB
ABABAAB $
BBBBABBAABBBB BAAAAAABBAAA
BABBABBBAAB AABABAABABAAA
BAAAABAAAAAAABAAAAABABABBAAABAA ABBBABBBAAABBAAAABABABBBAAAA
AABAAAABAAAA BBAABAAA
AAABBB ABBBBAAAAABABA
$ AABB
BBBBABBABAB AAAAABBAAAABA
ABABBABBBBBAB BBBBABABAABBB
AAB AAAABBBABABAABABB
AABABBABBBAAB ABAAAAABABBAAABBBAA
BAAAB BAAAAABAAAAAB
BAABAABB AABB
BBABB BBBBBABAABAAAAA
ABBBBABAABAAB BBBAAAA
ABAABAA BBBABAAABBAABBBAABAABAAAAABAABABABB
BAAAAABAAAAA BAAA
AAAAABBAAA AAAAABBB
ABAAB AABBABBBAABAAABAAABABAABABBBAB
ABBBBBBABAABBABBABABABAAAAAAAABAABABA BBABAABABBBBAABABBB
ABBBABAAAABAABBABABBB $
AAAAAAA BBBAAABAABBAB
AA A
AABABBB BAABB
BBBAABA ABABBABBB
ABBBBAAA BAABAAA
BB AB
ABAABBABA BABBBABAABB
AAAB ABBBAABBBAAAAAAABA
BA ABBBBBABBBBBBAB
BAAABABAABBBBABBAAABABBBB BAABBAB
A ABBAA
ABAABAAABBAAB AB
AAA BBBBABABABBBAAAABABABABBBB
BA $
AAABBAABABBAB AAAABBBBAAA
ABABABBBBABAABBAABBABABA BAAAB
BBBAB BAAABABAABBBBBBB
ABBBBABBA ABABA
BBBAABAABA AAAAA
A BAABBABBBA
AAABBBA BAABABB
AA AAAB
BBAAABAAABAAABBAAAAAAB AAABBABBAAAAAABAABAAABABAAABAA
AABAABAABAAB AA
AABBBBAB BABBBBBBBBBBBABBABABBABAABBBBBAABAABBAAAB
ABABAAAAAABBBAAAA BBBABB
AAABABBBAAAABBBBBABABBAABABB A
AAAAB AABBAAAABABAAAABBAABBBBBAAA
BAABBBBABABB ABBAAAAAABBBBA
BBABBAABAAABABABABBB AAAAA
AAAAAA AAAAA
ABBABBABAABA AABB
BBABAAABBABBAAABB BBABA
BABBBBBAABB BABBBBAA
ABAAA AAABA
AAAAAABB ABBA
ABABBA BBBABBABAABAAAABABABAA
AAAAA BBBBABB
AAABAB ABB
ABBABBABABB AABABABAB
BB BBBBAABABA
AAAAAB AAAAAAB
AAABBB BB
BA $
AAAAABBABABAABBBB BBBBBBABAA
BBABAAABABABBBBABAA AAA
BB ABBBBBA
ABA AABABABABB
$ BBBAAAABAAA
ABBBBBAABBBAAAAABAA AAAAA
AAAAABAAAAAAAAABAABBBABAA BBAAABAA
BAAAAAAABABAAB BA
AABBBBBAABBAABBB BBBBABAABA
$ AABBABBAAA
BAAAAAAABAABAAABAABABABAAABAA BAABABAABABBBAAAA
AAB AB
ABBAAAAAAAAAABBBBAABABA ABABBABBBBB
AAABAA ABAAAA
BAAAAAABABBA BBBAAAAA
BABBBBABB BAABBABABBBBBAAAAAAABB
BBABB BAB
BAAAAABBBBB AAABBABBABAAAAA
BA B
BAAAAAA BAA
BABAABBABBABBAABAABBABBA ABAABABA
$ AAAABABABAABABABAB
BB A
AAA AABABAABB
BBBAABBBBABABAABAABBAA AAABB
BBAABABABBBAAAAABAAAB AAABABA
BAAB $
BAABBBBBBA BBAB
AABAABABBAB ABBAAA
BBBAB BABAABBBBAAAABABB
A BABBBBABABAA
A BBBBBAAAA
ABBAABBBBAAAA ABBABB
BBBABAA ABABBBBBABAAAABA
BBABABAAAABAAAAABBBA AAAA
ABABBBAAABBABAAAA AABABBBABBBBB
BAAAAABAAAAABAA BAAABAA
AAAB $
BBBBAA BBBBABBABAABABBB
$ AAAB
ABBAAAAAAAABAB ABBABBBBABABAABBBABAA
ABBBBABAABABABA BBABAAB
ABABABB AAABA
AABBBABBABAABABAAAABBABAB AAABAABBBABAAABAABAAAAAAAAAAABAAAAAAAAAAABAAABAAAAAAAAAAABAAABAB
A AABABAB
AAABABABA BBABBAB
AAA AAAABBBBBBBB
BBBAABBBBABABAABAABBAAA AAAABAAB
ABABAABAAAAAABAABBBBBBBBB ABBAAAABBABBBBBABAAAAAAABBBBB
BAAABABAABBBBABBAAABABBBB BAABBAB
AAAAAAABBBABA AABBABAAAABBAAAAAA
BBAAAAB AABBBABAAA
BBBAABABBAAAAA AAAAB
BBA AAABAB
BBBBAB BABAAABBABABA
AAAABAABBBAAAAABBAAAAABBBABBAABBBBBAB AAAABBBB
ABABAAB $
BBAAABAABB ABA
AABBBA AABAAABBBBBBAABAABBBBBBA
ABABABBB BAB
BBAAA BBABBABABAAABBAABAB
BBABABAAAABAA BBAAAA
BABBABBABBBBBBBABBABBABBB AABABBBBAB
ABBAAAABAAAABBABAABABAABB BAABB
BAABABAABABBBAAA ABAAABBAAABBBAAABBABBBAABABBAAA
ABAABAAABAAAABBBBA $
BAABBBB BAA
BBABBABBBBBAAABBBBAB BABBAAAAABBABBAA
BAAABABAABBBBBBBB BBBABB
AAAA AAA
AB A
ABABAAB AABBAAA
BBB BAAAAAABAAABAABAAAAABABBBAB
ABAAB AAABBBBBABAAAABBABABAB
AABABBBAABAB BAAABBA
BBBBAAAAAABBB BAABA
BABBBA AAAB
BAAAA BBBABBBBABAABBAABBABBABAAAABBAA
ABB A
AAAA BBBABBBBBAABAABBAAABBBABBB
ABBB BAA
AAB BBABAABAAABABAAB
B AAA
BABABBBBAA ABBBBBB
AABBBAABABB AB
BBAABBAAABBAAABAAAAABABAA $
AABABABABBAA ABBABBABABBBAA
ABAAABABAAABAB AAB
ABABBBBBBAAABAABBB ABAA
ABAAAB ABAA
AA BBABAAABABABBBBABA
BAAAA B
AA AABAAABBBBBBAABAABBB
A ABAAB
AAABB AABAABAABAABABB
BBBBABAAAAAA AABBAAABAABABBBA
BABAAABABAAB BAAABABAABBBBBBBBA
BB AA
BABBBBBAAB $
BBBBBBAB AAAAABAA
AABABABA ABBABBABAB
AAAAABAAAAAAAAABAABBBABAAB BAB
ABBBBABAABABABAA $
BBAABA AABAAAABAA
ABABAABBBBAABABBBAABABAAB AAAABBABBBBAA
BABABBBBAAAB ABBBBBBAB
AA BBBBABBABAABABB
BBAB BABABBA
AAAABBBABABAABABBB BAAAABAAAABBBAAAB
BBBBBBAAABBAABAABAA AAAAAABBAB
BBBABBBABBABB BAA
AAABABAABBABBBBB ABBBBBBBBBABBAAB
AABAABABA AABBABAAAABBAAAAAAABAA
ABABBA BB
AABBBAAB B
ABBAAAB A
BBBBABA BBBAABABAA
AA AABABBBB
BABBAAABABBB BAABABABBABAA
AAABBBA AABBAAAABABAAAABBAABBBBBAAAAAAA
ABBAAAABBABBBBBABAAAAAAABBBBBB $
BBABBBAAAABAAABAABABBABAABBABAA $
BAAAAABAABBBAAAAABAABAA BAABABB
BBABBAABBB AABAABA
AAAABABA BBBAAABBAB
BA A
BBA AABBAABBBABABAAAABBBABAAABB
AAABABABAAAA BBABBABAAA
AABB BAABAAAABAABBABAAAA
BABBBBBBBBBBABAAABBBABAAB BABAAAAB
ABB AAABAB
