28044
DXAU` XPCm
WJFgeQmo rr`ErDKU`dRFgeKeKeQReKeQmo`QmK
MmTaU`ammmU`amaIOcP biol^
rV`U` U
Kh]GU ]jf`^]
eFPOXV PAaVL
kchc r\`mVamLcPNc
PXSBaI iYjAIic`nh
m[aa mE[
mjra ZRmQnoL[aaaaaaaaaaaa
fPWnFV mAj
cBJg rVPCJ
]j PcU`LaePPPUFP
rP^NcP rCYA^]_oflganhd\llnl^dB
cBJg KU`aQhQcalRU`dR
]j elc
cUr`EpVPCTGU klTeU`qbX
imJEArXpPRU`a^]llT`manh r^KXeam
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReH UCJFg
[BF[rWhcm^ qjAZ]_flTGnYmLQa\An
iVYrXhcaVELqBYIb mAA
$ echlBJkPRU`La
BjL cBo[
DijijqhTCma K^]hf
$ MWTld
$ Kame
fM\c^]_OOO ]lKf`^]_OOB]_N`
ZeQejXBCm^]_N`O KU`qSAmaEVpPgU`dj_fYjAj_
ecY DXmQcaIedrIcYg
KU`QXpPT`aVYIiIXBEYEr b
kTAfGF[VP`oW cFLhTTPC
cBof`U`dIPcQD[ o^\
Z\[ o^\
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHe UCJFge
rPrpU`dZ GXYZ
XPCm DXAU`
nHjOcEPVNcE ecE
kldjqEXjedE OEA
iIeUgGe MTM
Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBrB r`mFVOB
klT\TLQfeTZTGDTQpEWp cNchcG[lBJk
MJcPTEW^i c
akchTdP rcXeQIMJch
DW ]lNNA[Jqh
]jrcVGU rrVP`kP
bAjfaaa \M\m^cU`qYNK
K^]hf DijijqhTCma
rrW DiBR]lIEAIKaVhcQhaamihTZ
DB `
MmpQ^ [hB
LA[a mAjfad
fMDWob bm
kTAK^p]lYkjeUi iVZZE`ESWF[
kTd[ LSBjkTdP
U DXm
ecEIcGPlTRalhmL rPganXmdLLnDDDXAQhL
imJEArXpPRU`a^]llT`manh r^KXeam
aTcmmdjYK DDSVGhq[FV
fGD cmaal\`
rPEWgU`QcU`qYMJcGPlBYXZRmmalrSmaa P`ECa
V`QZ]lIYJ Z^TgQRkPhXEYECmaYqcSim
$ ZCU`dRFn`
K^]hf DijijqhTCma
ecPFfnWY iVZZE`ESWF
cUr`EpVPCTGU klTeU`qbX
WocUCofP eDWdBPSfm\mQXqp
MmTaU`ammmU`amaIOc echTd[TdPcR
[qBZZSBQIZ\paYK ]Vp\PPLSLqBMRQj
PXRalg fPcV`mianWFDdhdrma
ecY DJWNcYM]
ob mA
rC^nmihBYXr f`Xmq
DJWNcYM] ]McYM]M
DTjZ]glCURdejOcPfn PXeQURalYnXCQ
L cB
]jMm[FVOrrBrB [BF[E`Er[VO
LK fMTqmPP
[jeFKrccQflTGfmc W^CQ
rPgaVCamXjeTZ KQejJSIfaU`qYUcXR^]llEW
cUr`EpVPCTGU klTeU`qbX
DXAU`aaIXjAhdRkcXCU` ]PqS
f`U`dfVRamiLV\ e
Wo ginfTj
Z\ ameTrScm^]UfVr
ZgQURmQLhDFjlmJLI\_N K^]_OON
K^]hf DijijqhTCma
ecE[ZIn iIOc
fGRkPr[ fGRHLT
mrYERg KmmaI\lV
KaIlEWLEAL_M DXcaIJ_
UKWT W^LE\lVhmqDMT
ZT`U`dDjcFDTLaSX\bD ZTPcXhmaamiBBDPP
Bp`YXh ]lNAZLLl^TYDTaU`qTQmLaYPmQ
V`QZ]lIYJ ilRanDSA^]lI
ScG ecG[Td
ecSmAj mhj
cFflnniBZRQrAFeji rVMTqpmU`q\XRaVL
iYK_flTGIiV\\caVh _dBFnY
fPVIMbJ rCJ
$ kTADhAjllT`U`d
cBocF ]jef
DfW W
KmU`QcalCmU`QXemU`dh ecEIcGPlTRalhm
Dfm a[^ERihrTP
cUTFV [BF[E`Er[V
rCYA^]_oflganhd\llnl^dBd rP^NcPd
K^]hfm ilRanDSA^]lI
[\mlo ]j
k Dij\fOcE\
rrVP`kP ]jrcVGU
f`a $
Bp`YXh ]lNAZLLl^TYDTaU`qTQmLaYPmQ
kM kcGP
KU`QXpPT`aVYIiIXBEYEr MBm
BjLq cBo[q
iVrSV`amArmd[P\ WoDDT]q
kTd[ LSBjkTdP
XRQRFVOGrmd[rYER]ll\SMmp rrW^dBUc
KTjecPB DBQ[`
UK M
DBan `an
ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ Im
iVCU` f`Xm
rCoD j
inhAI M]j
e f`U`dfVRamiLV\
BjL cBo[
ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ Im
KmQn^TMb^\\VMpaI cFflnniBZRQrAFej
]Mchc Nopa
ecYM]]MM]M] DWBocMTdhaaIOncYM]]RRMMM
Mm [jeFKrccQflTGfmcD
cINPcl rccU
DWBocMTdhaaIOncYM]]RRMMM] ilL_
kTADhAjllT`U` [DZNcMSPm
DBQ[` KTjecPB
ZLqB\DDXAU` fPcV`mianWFDdhdrm
KU`a^]l i^
BjLq cBo[q
K^]_OON` ZgQURmQLhDFjlmJLI\_N`
ech cNchG
[\mlo ]j
PAQDYWJkCJkVMDD `an
PXnnD KTe^]_fVVS
ZCU`dRFn` $
KmU`QcalCmU`QXemU`dhLae FP
bAjfaaaaaaaa mAa
cTgQZ]_B]_H f`U`QVU`q^rpU`LaS
f`m^]lYKlV\\mLacilYfI\lm rrYERmmaYjXjeB^YUeaI
KQjlIAD f`Xmq
iROcb cTRaVemQL_d
[qj D
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReH UCJFg
ecEIcGPlTRalhmLa PVPVM
Z^NcG[Td[TA kUU`Jkr`ESffTj
hfM\VPT inD[FV
]Mchc Nopa
l Z\Yb
cFLhFeK DmlB^]KllpcBV`^]_B
P`ECa rPEWgU`QcU`qYMJcGPlBYXZRmmalrSmaa
iIOcG PXRaVVrcEPTd
fPVIMbJ rCJ
bm fMDWob
KU`qSAmaEVpPgU`dj_fYjA [S
klUPpPCal [jqqBaIeI^
cUTFV [BF[E`Er[V
b YAA
PXdrcGPTAim\llS [Ln
Dh\lV\Ta cUr`EpVPCTGUg
fPVIMbJF rCJF
encSKmman ZS
kcY]]]MM]M]] MQVjegSYp
[jq fn`^SQLd
fP`YcaVZZnYqcS] D]`
cUVgG DijJqjeF
NaZaa N
o ZZeanh
ameTrScm^]UfVr Z\
fM\XSWB ^X^B
iIiBdS KmUi`d
PV`QI] D]`
KQnokT akchT
$ echlBJkPRU`La
ZT`mU`aU jZY\\cU
MmpQ^Jk r`JFn
K^]hfm ilRanDSA^]lI
[h eKhi
ZeQejXBCm^]_ rJkC^YK_B]_
CMJ bj
biol^ rC^p`X\Dc
ecPFfnWY iVZZE`ESWF
ZEWnm iDhXj
fMDecE[lUV`aVLrcG PXRaVVrcEPTd
DWBocMTdhaaIOncYM]]RRMM ecYM]]MM]
Im ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ
DB `
rrW DiBR]lIEAIKaVhcQhaamihTZ
ecPMWmTaPaY imeU`XemmU`QXCm^]lY
cBXLSRkr MKTj[SnoV`U`amaZ]l
r`mFVOB Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBrB
Kma]Vga Mmb^CmaYj
XX\paVnV f`^]ll
c WJFnr`pVUW^l
]lA Mj
Nopa ]Mchc
inhAI BL
cFhd DDDZaal^YTgQ
_R imJhFRFnC^nni
cd cC^HL
Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBrB fP`mU`LMb\FVOrB
akchTdPT kcS]l
bm fMDWob
ob mA
rV`U`kcanWUTFVOrrrBBBB ZLEeB\FVOr
WYAgQgeqcYWM ecY
cUM_\ Dhi_
KMjXToPV f
fn`^SQLd [
b AJ
Pc^ MKTj[SnoV`U`amaZ
]lAklUPhcU`dfmeNcGPcPF[` _
$ Kame
WW DfWW
ecE kMTd
ieXqj WYVPcXgQrXgmam\lI
DfWW WW
KmQn^TMb^\\VMpaI cFflnniBZRQrAFej
LA YAA
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReH UCJFg
akchTdPT ]lN
akchTdP KQnokTdP
ZT`mU`a jZY\\c
]Vp\PPLSLqBMRQj [qBZZSBQIZ\paYK
K^]_OON`OO ]lKf`^]_OOB]_N`
iYdYl fGfmedhN
D [qj
]PqS DXAU`aaIXjAhdRkcXCU`
PXnnD KTe^]_fVVS
L[aa mE[a
M ecYMMM
ZEWhmaaIeUUP ZZ
MWTld $
j[jqqjAZC_B]lIidEPl WoecP
cThVPcmdj qjAZ]_flTGnYmLQa\An]
]jr`oiVr\ma _dBFnYA
KmU`QcalCmU`QXemU`dhL DANU`dhR
DBQ[` KTjecPB
mj iVYrXhcaVELqBYIbj
Kma]Vga Pcam
rV`maYjJ [kcPad
KQejJSIfaU`qYUcXR^]llEW rPgaVCamXjeTZ
iYK_flTGIiV\\caVh _dBFnY
PXnnD KTe^]_fVVS
CDbb WYVMYb
PAanfJcSfGnJFnCXC ZJ
[BF[E`Er[ cUTF
W DfW
]j]ldPTAPVGfmJ [Sl`QIrcVP`X^dE
Ka RcBoMmDecSZhXRaITc
iVTPV`am KaYKlIA
rPEWgU`QcU`qYMJcGPlBYXZRmmalrSma P`EC
kcPBXLSnoL $
DDpmmGgF kTNNdPcPFRkV`QUYZ]lVTPVGj_
mAj rVGecSbj
MmpQ^J f`mmaYK_flYR
D ZZho`ag^]UVLBTS
W^Z biol
WXp` Ym
iROcb cTRaVemQL_d
klB\F rTFL
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU` KmUi`
KaIircP ]lNNA[Jqh
ZZho`ag^]UVLBTS D
ZAgaYcSe fP`YcaVZZnYqcS]M
[BF[rWhcm^ qjAZ]_flTGnYmLQa\An
ilemmQUSBU`La f`Xmq
[h eKhi
r_ cBYVP`Jk
kTAK^p]lYkjeUi cdrcGPlU
jMQnobmiLGq cdEAejAZ]lYq
cB^TMmPPPPP LKP
f`mmaYK_flYRkT KmkQRkcmd[`lXe^TlnXVM[
cUrYER^]_B]lniBrb^Y ei
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU` KmUi`
ecSmAjfa mAjfada
rcV`mU`QaXgQ inXAaYqcScF
rDDYKm^]_N`ON`OOOB]lIATTdZ__B]_OOfnXVPr`E K^]lnhA
]lKf`^]_OOB]_N PcalpPCU`Lap^]_N`ON
DiBR]lIEAIKaVhcQhaamihTZ rrW
ZeQejXBCm^] rJkC^YK_B]
KaIlEWLEAL_M DXcaIJ_
fM\XSW eEPTSKmaYqcENcE[l
rV`QD\canWFhqSV`m^ fTO]fDBJ^a
klT\TLQfeTZTGDTQpEWp cU
inDDb c]BKnjA
fPrWCQULEe kch`l
gaIJT^]lOTGZP rrWYP
Zm kcPBXLSnoL
fM\XSW ^X^
[ K^]lnhA
ZnVrp^]lYj iYjAIic`nh
klNJcHPB\TFmPI cB^TMmPPPP
Dh\lV\Ta^] cUr`EpVPCTGUg^]
Kame $
kTd[ LSBjkTdP
[Ln PXdrcGPTAim\llS
MmTaU`ammmU`amaIOc echTd[TdPcR
DfmDWoW^ mrYERg
PXdrcGPTAim\llS [Ln
]Vp\PPLSLqBMRQjl ilCma
kl r`mFVOBr
cUM_\ PXL_
iIiLYj KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE
kTdPTN FGMcSY]]MMM]Z]M]
Bp`YXh [S[
[jeFKrccQflTGfmcD ecGPlUPr
qjAZ]_flTGnYmLQa\An cBYA^
rrW^dBUc XRQRFVOGrmd[rYER]ll\SMmp
MmY j[jqqjAZC_B]lIidEPlU
f`mmaYK_flYR MmpQ^J
ZS encSKmman
ZZLjqSBF[rWRmmami klBXLEi
DWTTGIe r\`mVamLcPN
B cFrVM
iIAP id
kcY]]]MM]M] rcU`aQ[PZcWY
cFLhFeK DmlB^]KllpcBV`^]_B
F^eTMZ\ PAalh
iVYrXhcaVELqBYIb m
kN W^LE\lVhmqDMT
rV`maYjJ [kcPad
mn cBXEYE^BoM
]ldPTcAMTj[LIX [q
fM\c^]_OOO ZgQURmQLhDFjlmJLI\_N`OO
ecPMWmTaPaY MmpaI\lY
kTAZRQ[`YmLa ZSD\AU`LabYcKQ[rc`ErTLa
j[jqqjAZC_B]lIidEPlU MmY
cN Df
ahdBF^U`KPPPP WYXLBUC^R^]lIADTqSX\mPP
[LIJhBYmLa DWoj_N`Ofnfm
KamiLVEWTM T\P
WYVMY CDb
DANU`dhR KmU`QcalCmU`QXemU`dhL
D ZZho`ag^]UVLBTS
c $
cUrYER^]_B]lniBrb^Y ]lAcTeTIcHTa_fd`Q
Dfm DiB
PXgU`LaDiY DmlB^]KllpcBV`^]_BlY
D [qj
fPVIMbJF rCJF
]jf` cUr`EpVPCTGUg
f`Xmq rC^nmihBYXr
klTTG irhXT`Q
DW aFUmY
]j elc
rTFVOBBr [BF[E`Er[VO
Wo ginfTj
ZEWL ieX
cINPcl` cTYh
KQnok akch
f`aVCU`LaePPPP WXCalef
DWBocMTdhaaIOncYM]]RRMMM Z^FjlnBaYqcY
rCJkVPV fPrWCQULEed
fGRFn`JFnV ZYRFnPEWTMSkHcm^]_fmXBcSfl\
kcGPT kMT
fPVGeq S
rrWg^]_OOflShih Q
K^]_OO ZgQURmQLhDFjlmJLI\_
Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOB fP`mU`LMb\FVO
rCJFg fPVIMbJFg
DiBRmXBhQAU`LaTd klUCXRmalgU`d
[kcPa fMTQXgU`aU`QAmQIc
DiBR]lIEAIKaVhcQhaamihTZ rrW
MmTaU`ammmU`amaIOc echTd[TdPcR
[q ]ldPTcAMTj[LIX
[DZNcMSPm kTADhAjllT`U`
PXdrcGPTAim\llS [Ln
ZZLjqSBF[rWRmmami cBo[qji
[LYjeTSFScU`aQeK_N`OOfYqcG il\Yb
ecY WYAgQgeqcYWM
ecjD kTdPTNdPchTdPlBDP
ilYfVp` KTjecPB
WYAgQgeqcYWM ecY
rTFVOBB DfmHVPTFVOrrBrBrrrBBrBBrrr
kcSD_Xm inXAU`QVM\cmQnYmaU`QcmmU`
cUVgG DijJqjeF
Pc^]_OON`OO f`^]lPh\_OOOMOO
PXT`_U`a^R PXZEWZE`EealnI\
MTj lGDD
K^]_OON ZgQURmQLhDFjlmJLI\_N
ecj r`
fGRFn`JFnV ZYRFnPEWTMSkHcm^]_fmXBcSfl\
[LmO Mm\XpPeU`dn^n
kTA SU
biol W^Z
$ ecE
rCJ fPVIMbJ
m iVYrXhcaVELqBYIb
D rPLE
kcSD_Xmd fMTd
cUVgG DijJqjeF
iCLAA ZEYErDM
kUU`Jkr`ESffTj Z^NcG[Td[TA
cUVgG DijJqjeF
iniBgmQ XPCmd
[EOcY]]] mHl
UCJFgeH MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHeH
PXeU`d WXpcXeaVZRA
KQnokT akchT
mA O
$ Kame
[Sl`QIrcVP`X^dEp ZpTFVOrBrr
NaaaV ]lAL[aaa
Ce PcQhQma^]lV^djqB
WYVMYb K^]lnH
rPYjlVYnJkrYESXAmU`Lap^]lmJLIJEeB^ DhLUbXB
ZSXmQVMD]jrV`Qeji_ kldj_eme
fGZ]_ [Tem_
mAAj iVYrXhcaVELqBYIbj
rCKPPP PmLPMP
klBXLEi VQi
WW DfWW
rV`U`kcanWUTFVOrrrBBBBr ZLEeB\FVOrr
fGULrcPB^nlnIAnXrpQP _
inhAI BL
rCJF fPVIMbJF
MW UKW
fM\XSW ^X^
mrYERg cdjqrcScTr\mQXSiB
[L rPLEJ
DWTTGIe r\`mVamLcPN
cINPcl`q Z\
KQnokTdP akchTdP
bmjfa m[
fMDWob bm
rCoD j
cFhd FDImU`dE
Kh]GU_ PVGI[jqSnoklFj_
fPVIMbJ rCJ
f`U`dfVRamiLV\Y eY
ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ Im
WocU`\F [hTY^dS[C\
PXnnD KTe^]_fVVS
D_WUPr Z^NcG[Td[TAL
kcGPT kMT
PXdrcGPTAim\llSD fGRkPr
rr`ErDKU`dRFgeKeKeQReKeQmo`QmK WJFgeQmo
i^ i
j\FT cUTF
rVGecSb mA
mrYERg cdjqrcScTr\mQXSiB
cd MJcPTEW^id
[jqqBaIeI^pT Dfm[
bj CMJ
Mm\c^]_ f`^]lPh\_OOOMOOO
WocUCofP eDWdBPSfm\mQXqp
iVYrXhcaVELqBYIbjfaa kcGPcSNaaa
UK M
rccaVZpmOVPV` ]jZC
WYAgQgeqcYWMM ]McYM]
m[aaaaaa mAjfad
KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE iIiLYj
f`anDYZhVPC^ZEWg^ qjAZ]_flTGnYmLQa\An
o^\F Z\[F
l m
KmUi` ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU`
rrW^dBUc XRQRFVOGrmd[rYER]ll\SMmp
iVYrXhcaVELqBYIbj mj
rcVMYC cTp`
DXX\paIiLmOcPUPYnXEYEYRk klT\TLQfeTZTGDTQpEWp
ecEIcGPlTRalhm rPganXmdLLnDDDXAQh
cFflnniBZRQrAFej KaI
DANU`dhR rPganXmdLLnDDDXAQhL
c]BKnj ]lA]lAKU`QAaIiEOcEPTAb
Dfc kchc
cC^HL cd
ZWIc KU`La\c^]lnf
cF[PSXX^ UTFFH
Sc fPVGeqc
BL inhAI
]jfP`XpcAQeqcY DWBocMTdhaaIOncYM]]RRMM
[hBYXR^]lY RcBoMmDecSZhXRaITcY
kUU`Jkr`ESffTjL DD
iVYrXhcaVELqBYIbjfa mAAjfa
cNch Dfch
MmDMTMcSMWmpmmQ KQfYjA]
ZT`mU`aU` jZY\\cU`
SWUigma cUPTPVMYKa
kTNN ecE[ZInhT
[q ]ldPTcAMTj[LIX
cU klT\TLQfeTZTGDTQpEWp
KMjXToPV KamiLVEWT
Q^`j cUPTPVMYKaI
[BF[rWhcm^ qjAZ]_flTGnYmLQa\An
cUPTPVMYKaI Q^`j
Kma]Vga\ ZT`^]
f`^]lPh\_OOOM Pc^]_OON`
cINPcl rr`EeU
cUr`EpVPCTGU klTeU`qbX
]lKf`^]_OOB]_N PcalpPCU`Lap^]_N`ON
bAjfaaaaa \M\m^cU`qYNKaa
a[^ERihrTP DDSVGhq
iiCU f`U`dfVRamiLV\Ym
]lNAZLLl^TYDTaU`qTQmLaYPmQ Bp`YXh
ecPMWmTaP KanDpanXc
cC^HLjq ZrpmQfYjJqj\_flZL
mAj fPWnFV
M UK
qjAZ]_flTGnYmLQa\An] klU`JkV`^]
KaVLrcTPlBD rP\e
akchTd KQnokTd
UKW W^LE\lVhmqDM
Pc^]_OON`OO f`^]lPh\_OOOMOO
KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE Kmm^]lI
WW DfWW
rCJFg fPVIMbJFg
ZeQejXBCm^] rJkC^YK_B]
KaIircP aFUmY
cUPTPVMYKaI WXpcXeaVZR
rJkC^YK_B] ZeQejXBCm^]
cBXEYE^BoMT D]`
ecPMWmTaPa KanDpanXca
c r\`mVamLcP
`RaSiaaaa KU`QXpPT`aVYIiIXBEYEr
Pc^]_IP ecPTr\VGP
FPca kcGPcSNaaa
bm fMDWob
kTNN ecE[ZInhT
ameTrScm^]UfVr Z\
DDDZaal^YTgQ cFhd
kTNN ecE[ZInhT
f\DaE [BTe
K^]_OON` ZgQURmQLhDFjlmJLI\_N`
]jrcVGU rrVP`kP
WJkCJkTFV DD]bpO
fGnJFnPEWhmQVGrAQjlIedB cTp`
[Ln PXdrcGPTAim\llS
m]jQf fMDDXmLa[FVZ
KMjXToPV f
klTWYKm\lVT` [hTCQfIOcS[BUcmQ
ecE[ZInhT cdEihNcE[T
mE[ m[aa
mj mhj
BjLq cBo[q
_dBFnYAQ KamiS
k ZTPZPSWTrYcNcGP
[jeFKrccQflTGfmcD kcG[cSDD
m fMTQXgU`aU`QAmQI
PmdZ]lnhedqjAR cBJg
ZT`mU`aU jZY\\cU
SWUigmaI cUPTPVMYKaI
]jf`^ cUr`EpVPCTGUg^
]Vp\PPLSLqBMRQj [qBZZSBQIZ\paYK
fPVIMbJF rCJF
[qj D
cUPTPVMYK SWUigm
DXAU`aaIXjAhdRkcXCU` ]PqS
WoW ginfTjW
cBo I^kk
ZeQejXBCm^]_ rJkC^YK_B]_
KU`aQrA^]_N`OB]lnXmQcQ kcSD_Xmd
ecGPchc kTd[coTTK^]lIOc
bmj fMDWobj
klTeU`qbX cUr`EpVPCTGU
qjAZ]_flTGnYmLQa\An rV`QZ
cFr eTpVGIajMmS
MmTaU`ammmU`amaIOc echTd[TdPcR
ginfTj Wo
iIOc ecE[ZIn
_dBFnY iYK_flTGIiV\\caVh
[LIJhBYmLa DWoj_N`Ofnfm
ZZ [E
MmYr KQfm
WYAgQgeqcYWMMM ]McYM]M
UCJFg MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReH
m[aaa mE[a
MTlNNd[G OkRG
i^Y WoWXnY
\M\m^cU`qYNKaaaaa mjf
m[aa \M\m^cU`qYNKa
rPEWgU`QcU`qYMJcGPlBYXZRmmalrSma P`EC
fMTQXgU`aU`QAmQI m
YA L
fMDDXmLa[F Km[mUa[G
BL inhAI
cUTFV [BF[E`Er[V
DiBRmXBhQAU`La fM
iIOcG PXRaVVrcEPTd
M UK
rTFVOBBr DfmHVPTFVOrrBrBrrrBBrBBrrrr
KU`QcmQ gaIJT^]lOTGZ
DWaT^T\TqpanfJBc[E]lNcSiYK PXZEWZE`EealnI\
\M\m^cU`qYNKa L[aa
MWTld $
DfW W
e nHjOcEPVN
cUr`EpVPCTGUg^ klTeU`qbXg^
nHjOcEPVNc ec
DANU`dhR rPganXmdLLnDDDXAQhL
kTAM Z\YXK^]lif
WJFgeQmo rr`ErDKU`dRFgeKeKeQReKeQmo`QmK
B ]jr`
cBJg rVPCJ
PXdrcGPTAim\llS [Ln
kcPdSU^NchchTAMm\cmQ[TFVO TrSVT
Z^NcG[Td[TA kUU`Jkr`ESffTj
rV`U`kcanWUTFVOrrrBBBB ZLEeB\FVOr
]j elc
kTA KalLLlhXhrY
Z\YXK^]li KU`La\c^]ln
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHe UCJFge
rPgaVCamXjeTZ KQejJSIfaU`qYUcXR^]llEW
bjf MW
ecG[cE[TNN ecE[ZInhT
DfmHVPTFVOrrBrBrrrBBrBBrrr rTFVOBB
KTe^]_fVVS PXnnD
fPVIMb rC
KTe^]_fVVS PXnnD
rcXn DDMpJI\l
iYK_flTGIiV\\caVhA _dBFnYA
eTpVGIajMmS cFr
]jrcVGU rrVP`kP
UCJFg MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReH
cN Df
M_hGH cBof`U`dIPcQD[FV
cUr`EpVPCTGUg Dh\lV\Ta
$ KmmaYK_
rTFL DDbJFn`\F
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHe UCJFge
rrW^dBUc XRQRFVOGrmd[rYER]ll\SMmp
Q^`j rrYERmmaYjXjeB^YUeaI
cdj MJcPTEW^idj
NaaaVaaaaa ZRmQnoL[aaaaaaaaaaaaa
mAj obj
nHjOcEPVNcE ecE
L[O L[aaa
Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBrB fP`mU`LMb\FVOrB
eDWdBPSfm\mQXqp WocUCofP
L YA
KmkQRkcmd[`lXe^TlnXVM Dfm
kldj_eme ZSXmQVMD]jrV`Qeji_
KU`La[F [hTY^dS[C\
Bp`YXhV MTjPVMpU`aU`QVPV
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReH UCJFg
DW ^X^
cRXRBPlEWr\VPTFVOrBrBrBr ZpTFVOrB
$ Kame
]jrcVGU rrVP`kP
Nopa ]Mchc
[LIJhBYmLa DWoj_N`Ofnfm
UCJFg MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReH
cUr`EpVPCTGU klTeU`qbX
^X^ fM\XSW
kcY]]]MM]M]] JeY]M
ZeQejXBCm^]_N` ZSBH]UO
rrW DiBR]lIEAIKaVhcQhaamihTZ
fn`^SQLd [jq
l Z\Yb
DANU`dhR KmU`QcalCmU`QXemU`dhL
kldjqEXjedE koUYma^]
[DZNcMSPmd kTADhAjllT`U`d
WE[lUCoqfPVMbYcUJf rcAQej\llr
fGULrcPB^nlnIAnXrp `JX^kaTRj
iVrSV`amArmd[P\ WoDDT]q
WJFnr`pVUW^l Wof`manW
Kal\SAmU`QVM[F rTFL
[DZNcMSPm kTADhAjllT`U`
`RaSiaaa ileU`La\XhmL
ahdBF^U`KP ZTPcXhmaamiBBDP
[EA[CYXL KaINiSFRkPnniWj
]T kcE
ecEIcGPlTRalhm rPganXmdLLnDDDXAQh
rPYjlVYnJkrYESXAmU`Lap^]lmJLIJEeB^ DhLUbXB
fFTqm^P]lelg WXR
ZSXmQVMD]jrV`Qeji_ kldj_eme
ZTPZPSWTrYcNc fPVGeqc
fPVIMbJF rCJF
Woi DDMpJI\l
[S k
DWBocMTdhaaIOncYM]]RRMM ]jfP`XpcAQeqcY
WXCalef ZhmdrXRQUCmQrAQhaU`LaePPPPP
bAI m
Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBrB fP`mU`LMb\FVOrB
K^]lnhA rDDYKm^]_N`ON`OOOB]lIATTdZ__B]_OOfnXVPr`E
bm fMDWob
]lA[rcS M]j
_dBFnY iYK_flTGIiV\\caVh
rcU`aQ[PZcWY kcY]]]MM]M]
Nj klFha
DWBocMTdhaaIOncYM]]RRMM ecYM]]MM]
cT\DiV^T^B^hV`mQfY i`EVY
cTnlg^] Yl
ecEIcGPlTRalhm rPganXmdLLnDDDXAQh
[LmO Mm\XpPeU`dn^n
ZLBUrYE L
kMT kcGPT
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU` KmUi`
GXY rPrpU`d
cBoc WJFnr`pVUW^l
rV`QZ] DWaT^T\TqpanfJBc[E]lNcSiYK
KU`aQhQcalRU`dR cBJg
e nHjOcEPVN
kchchG ]TPG
b[aa rrWLEOcSklTrpU`dh
WoecP j[jqqjAZC_B]lIidEPl
cd MJcPTEW^id
kcGPT kMT
akchTdP KQnokTdP
kVG ]ld[T]
f`aI Ld
KU`La[ DiB[
jDDbEo WoW
UCJFg MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReH
cUr`EpVPCTGUg^] ]jf`^]
iVrSV`amArmd[P\S WoDDT]qS
XX\paVnV iVpP
kcY]]]MM]M]] MQVjegSYp
rCYA^]_oflganhd\llnl^dB rP^NcP
l m
DXcaIJ_ KaIlEWLEAL_M
inW pNiSWdBA
cUPEYEg^]_N`OB]_ f`^]lPh\_OOOMO
PXdrcGPTAim\llS [Ln
kcGPT kMT
PcalpPCU`Lap^]_N`O ]lKf`^]_OOB]_
nHjOcEPVNc ec
dIh\_f\H [Ei_
Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOB fP`mU`LMb\FVO
rCJkVPV fPrWCQULEed
VYB [BTem
nHjOcEPVN e
biol W^Z
rV`anXVM ZQ
ilZp`XLSnJFnVG KmUi`d
kldj_eme ZSXmQVMD]jrV`Qeji_
ZAgaYcS klBo
DijijqhTCmam K^]hfm
[LIJhBYmLa DWoj_N`Ofnfm
KaV^FeK_ Kh]GU_
e f`U`dfVRamiLV\
fP`mU`LMb\FVOr Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBr
cB L
