26583
BAABABAA ABBABABABBAA
AA AB
AAAA ABAABAABABBAAABABBBBBB
BABBB BBBBABBBBAAAAAAB
BBBAABBAA BAABAABA
BAABAABABAA BBBAABBAABAA
BBBBB $
ABA A
ABABBBBAABBBAAA BAAAB
AAABABAA BAAA
ABBAABBAAAABBABB ABABBBBAABAABAABAA
ABBBBBA AABB
AABAAB BABAABBA
BAAAA ABAABBA
ABBBBBBABABBABAABABBBABB ABAAAABBAABB
ABABB ABAAB
AAAABABABAABBBABBBAABABABBABA ABBAB
BABBBBB AA
ABBBBBBB BAAAABAABABABBAA
BBBBA AAAABBABBAAABAB
BBAA ABBB
BA A
ABA ABBABBABABABAABBAABABA
BBABBBBBAABAAAAAABBABBAAABBBAAA AABAABA
BABAB ABBBABABBBBA
BAAABBBAABABAABAABAAB BBAAAAAA
BAABABAAAB ABBABABABBAAAB
ABAABAABABBAAABABBBBBB ABBBAAB
BAAA $
ABB BBAAABABB
AABAAABBA AAABBBAAABBABAAAB
BABBBAAAA BBBBBAABA
AAAABBBBAB BAAABBBAABABAABAABAAB
BBBBB ABABABABBBBBAABBBBBBB
ABBBABABBBBA ABABB
BBAAA ABABAABABABBBABA
BAAAB ABABBBAABBA
B BBABABAAABBB
AABABABBBABBBABABAABBBBBABB AABAA
ABBABABABBAAAB BAABABAAAB
ABBBABABBBBA BABAB
A BAAAA
AAABABABAAABBBA ABAA
AAABABBBA BB
ABBABBABABABAABBAABAB AB
$ AABBA
AABB AB
BBBABBABA BBB
A ABABABAAABABAA
BBBAAAAB BABABAA
ABBABABABBAAABABBA AABAAA
AAAAAA ABBABBBBAA
ABAABBBBABA BAABABBB
ABABBAABAB ABBABBBAAA
B BAAAAAB
ABABABABBBBBAABBBBB BBB
A ABBBBBABA
BAAAAA $
BAAAABAAAB AAAAABBBBAAABBABAAA
ABABB ABBBABABBBBA
ABBBAABBBBBAABAA BABAABBA
BAABABAAA ABBABABABBAAA
BBABBB BABABBBABBBBBBAABAAA
ABBABBABBBABBBBBBABA BBBABAABAABABB
$ BAAAABAABABABB
AABAABAAAAB ABAABAABABBAA
ABBABBABBBABBBBBB ABAABBAABAB
BBBBB BBBBBABAB
ABBBBBABBB BABAAAABAAAAAAAABAAAAABAAB
A BBBBBBAAAAA
AAA ABA
ABAABBBBABABBBBB BABBABA
BAAABBBAABABAABAABAA AAAABBBBA
AB BAABB
BABBA BABAAABBBABBAAAAB
BBBB ABABBBAABBBBABA
BAABBA ABA
BBAABBBA BAABBAABAAA
BAABABBB ABAABBBBABA
ABBABABABBA BAABABA
ABA BBABBBBBABB
BAAAB ABABBBBAABBBAAA
AABBB ABB
BBBAA AAAABAB
BABBBAAAB ABAAAABBAABBBAAA
AB AAAAAABABAABBB
BBBBB AA
BAABAB ABBABABABB
ABBAAA BABAAA
BAABA ABBABABAB
ABBBBBBABABBABAABABBBABBBAAAB AAAAABBAABAAABBBAABBBBBBAAAAAAABB
BABAAABBBB BABABBBABBBBBBAABAAAABABBBB
ABBBABABBBBAB BABABB
BAABB AABAAA
AA BAAABBABAAABAAAAAABABBABAAABBBA
B AABBABBAA
BAABABAAABA ABBABABABBAAABA
BBBBBA AAB
ABBBBBBA BBBAAB
ABAABBBA ABABABAAABABAA
$ BAAAABAABABABB
BB BBA
$ AB
ABB AAAAAABB
BAAB A
ABBABABABBAA BAABABAA
ABBAAAAAABAB BAABABBBABBABBBABAABAA
BAABAAABBAAB BABBBBA
AAABA BAA
AAAABBABBABA AAAABAAAAAABBBBBBBBABBAAB
BAABABBBABBABBBABAABAA ABBAAAAAABAB
BABBAABBBBBAB $
$ B
BBBBB BBABAABA
BBBBBBA BBABBBBBBAAABAB
ABB BBAB
BABAABBAAAAAB AA
ABAAAAA BABABBBAABAABBBBBBBBBABAB
ABB BBAAABABB
BABA ABABBBB
BBA AB
ABBBAABBBBBAABAAAA ABAABBA
ABBAA BABAA
ABBBBBABA A
BBBBBBAAAAAAA AAA
BBBAABAABAABAA BAAABABA
AABA BABBBAA
ABBBBBBABABBABAABABBBABB ABAAAABBAABB
BAABABBBBBB BABAABABBAABAB
BAABBBBBBA ABBBABBBBA
ABBBABABBBBABBBB AABAABAABB
ABAAAAAAABB BBAA
AAABABAA BAAA
ABABBBB ABAABBBBBBB
B AAABBBAAABBB
ABAABABBBA ABABAAAAB
ABABAABBA AABAABBBABBA
BAABBBABBAAAA AAB
ABBBA ABBB
ABABB ABBAABBAAAABBAB
ABAABBBBABABBBBB BAABABBBBBBBB
BBBB ABABABABBBBBAABBBBBB
BBBA BBBABBABAA
$ AB
BABB BBBBABBBBAAAAAA
AAAAA ABBBB
$ BBABBBABBAABABBA
$ B
ABBBABABBBBA ABABB
ABBAAA BABAAA
$ BAAAAA
B BAA
BBBBB BABBABBBAB
AABBBA BAAAAABB
BABAB AAABBBAAABBABAAA
BABABABBBBAAB AABAAABABABAAAABAA
BAAAABAAAABAABBAAABBBBAABBBBABBABAAABABBA BAABBAABAA
ABBBAABBBBBAABAAA BBAABBB
BBAABBAABBABBBBAABAAAB BBBAABAABAABAAB
A AAB
ABAAAABBA ABBBBBBABABBABAABABBB
A AB
ABBBABABBBBA ABABB
ABBAABAAAB ABA
ABAABBAABABA ABBABBABBBABBBBBBA
ABBBBBBA AAAAABBA
ABABABAAABABA ABAABBB
BAA AAAB
ABBBBBBABABBABAABABBB ABAAAABBA
BB BBA
ABA BABABABAAB
ABBABBBB AAAA
BBBBBAAABABAB BABAABA
ABBBABBBABAAABABBBBBABBAAA BBABBAB
ABBBBAAAB BAABABAAAAAAABABBAABBBB
BB BBA
BABAABBBBBABABBBB $
ABBBAAA ABAABABABBBBBABBBBBABBAAA
BAAA BABA
BBBBBBAAAA $
ABBABBABBBABBBBBBABA BBAAAB
BAABAB ABBABABABB
ABABAABABABBBABA BBBABAABAABAB
BAAB AABBABBAA
ABBBABBBABAAABABBBBBAB ABB
BAAABBBAABABAABAABAA AAAABBBBA
ABAB BBABBABBBBABBBAABABBBBBAABBBAAABAAA
AAAAAABA BABBABAA
AAB BAABBB
ABABAAAABB ABABABBABBBBBBA
BBAABBAABBABBBBAABAAAB BBBABABBAAAAAABBAB
BAABAABBB BBBBBA
ABABABAAABABAAABAA BAAAABA
BAABABBBB ABAABBBBABAB
ABBBA BAABB
AABBAAAABABAABAAABABAAA BABBBBAAAA
AAAAABB ABBBBBB
ABABBAA AABAABB
ABABBBBABBAA BAABABBBABBABBBABAABAAB
BABAAABBBABBAAAABBA BABBABA
BAABABAAABABB ABBABABABBAAABABB
BAABBBBBB ABBBABBBB
AAAAAABABAABBBAA ABAA
ABABBBBABBAA BAABABBBABBABBBABAABAAB
BAA ABBBABBBABAAABABBBBBA
ABBA BABA
BABBBAA BAABAAAA
ABBAA BABAA
BAABBBABBAAAAB AABB
ABAAAABB BBAAA
BAABABAAABAB ABBABABABBAAABAB
ABBAABBAAAABBA ABAB
$ B
ABA AAABABABAAABBB
ABABBABAABAA BBABBABBBBAABABB
AABB BAB
ABBAAB $
BAAB A
ABBABABABBAAAB BAABABAAAB
$ AAAAA
AAAAAABABAABB A
$ BABAABBBABABB
AABABABBBBABABBA ABAABBAABABAB
$ BBBBB
BAA ABAABB
ABABBBAABBAB BAABABBBABBABBBABAABAABAA
ABABBB ABBBABABBBBAB
ABBAAA ABABBBB
ABABBBBABBAAA BBB
AB AABB
ABABBBBBAAAABB BABBBAA
AABAAABBAB BAAAAABABA
BBBBB ABABABABBBBBAABBBBBBB
AAAAAA A
ABAABBA BABABABBAABB
ABBBBBABABAB ABAB
ABBBAAAAABBAA BABAB
AAAAAABABAABBBA ABA
AAAAAABABAABB A
AA BABAABBAAAAAB
BABBABBBAB ABAA
ABABBBBBAAAABBAB BBBBBAA
ABABBBBAA ABBAAA
ABBABABABBAAA BAABABAAA
ABBBABAAABBBBA ABAAAABBAABBBAA
BBABABAAAB AAAA
ABABAAAAB ABAABABBBA
ABABBB ABABBABABBBBABAAAAB
ABAA ABBAA
ABABAAAA BAABABBBABBABBBABAABAABA
ABBB AAB
ABBABBBBA AAAAA
ABABB $
ABAABBAABABA ABBABBABBBABBBBBBA
ABBABBB BAABAAABBAAB
ABBABBBBA AAAAA
BABABABAABA ABABAABBBAB
BBBB BAABABAAAAAAABABBA
BAABBBAAAABBAABBABB ABABBBAAABAAB
BAABBBBB ABBBABBB
AAA AAABBBAAABBBB
ABABAAAA BBB
BABABBBAABAABBBBBBBBBAB BAAABBABAAABAAAAAABABBABAAABBBA
AAA BABAABAABABB
ABBBBAABBAAAAA BAAABB
AABBABBAAB BAABB
$ ABBAAB
BAAAAABB AAAAABBBBBAB
ABBBBBBA AAB
AAB BAABBB
BABAABAABABB BB
BBBBBABAB BBBBB
AAAAAAB AABABB
A BBAAABA
ABABAABBBABAB AAAABAAAAAABBBBBBBBABBA
BBAA AABA
BBBB BAABABAAAAAAABABBA
ABABBAAABABAAA BBABBBBBAABAAAAAABBABBAAABBBAAAA
ABBA ABABB
AABBAABA ABA
BAABBBAAAABBAA ABBB
ABB BAB
AAAAABBBBBABBB BBBABAABAABABBBAA
ABBB BAABBBAAAABBAA
AAAABABBBBAABBBBAABABAB BAAAB
BBABBABA ABBB
ABBBB AAAAA
AAAABBAABBBABBA ABBABB
BABAB ABBBAAAAABBAA
BBBAABAABAABAA BBABBBAABBBBB
BABABBBAABAABBBBBBBBBAB BAAABBABAAABAAAAAABABBABAAABBBA
ABABBAAABABAAAA BBBAAABABAABBBABBABBB
ABBAAAAAABAB BAABABBBABBABBBABAABAA
ABBBABBBABAAABABBBBBAB ABB
AB BAABB
ABBBABAAABBBBAAB AAAAABBAABAAABBBAABBBBBBAAAAAAABB
ABBABABABB BAABAB
BB BA
AAA BBBAAB
BA ABBAABAABB
ABBABABAB BAABA
BAABABBBABBABBBABAABAAB ABBBBAABBAAA
AABABB A
BABABABAABAA ABABAABBBABA
ABAABABBBA ABABAAAAB
BAABABAAA ABBABABABBAAA
ABBB BBABB
ABBAABBAAAABBABBBA $
BAABBABB ABABB
BAAA $
BBBBABBBBAAAAAAB ABBAA
AB ABBBBBABAB
AAAAAABABAABBB AB
AB $
BAABABBBBB ABAABBBBABABB
AAAAAABABAABBBAA ABAA
ABBBABBBABAAABABBBBB BA
AAA ABA
ABBBBBABAB AB
BBAABAAAAA AABBBAA
AAAABAAAAAABBBBBBBBABB ABBAB
AABABBBBAAAAABA AABABB
AA BAAABBBB
BAAAB ABABBBAABBA
ABABBBAABBABABAA BAAAABBAABB
BBBA AABBAB
BAABBBAAAABBAA ABBB
AAAAAAB ABBABBBBAAB
BAABBBBBBAA $
BAABBBBBBAAAB AB
BAABABAAAAAAABABBA BBBB
ABBABABAB BAABA
BAA AAABABA
BB AAABABBBA
BAAA $
ABAB ABAABAABABBAAABABBBB
BBB BAABB
BAAABBBBAABB BABAABAAAAA
B $
ABABB BAABBABB
ABBABABABBAAAB BAABABAAAB
ABBBABB BAABBBB
$ ABBABBABABABAABBAAB
BAABBBABBAAAAB AABB
BBBAABAABAABAAB BBABBBAABBBBBB
AABBB ABB
BABBAABBBBB BABABBBABBBBBBAABAAA
BABAAA ABBAAA
ABBBBBBBBBAABB ABBBAAAABBBABA
BAABABBBABBABBBABAABAAB ABABBBBABBAA
BB AAABABBBA
BAABAABABAABAB BBABBBABBAABABBABA
AB AABB
ABAABABABBBBBABBBBBA ABBBABABBBABA
BAA ABAABB
BABAABBBBBABABBBB $
B ABABABABBBBBAABBB
BBAABAA BABAABBBBBABABBBBB
AAAAAABBAB BABABABBBBAABBBAA
ABBAABAABB BABBAAB
BBBABBBAB BABBBAAA
BAABBAAAABA BAAAAABBBBAB
ABAABB AABB
AAABABBBA BB
BAAB ABBBABBBABAAABABBBBBAB
AAAABABBBAB BBBA
AB AAAAAABABAABBB
BAABBAB AAAABAAAAAABBBBBBBBA
AAABBBBBAABBBBABBA ABABA
ABBABABABBAAABAB BAABABAAABAB
ABAB ABAABABBA
ABBBBBBABABBABAABABBBABB ABAAAABBAABB
AAABB ABAABBA
ABBAAAABBBABBBABBBB BA
ABABBB BABAB
AABBAAAABABAABAAABABA ABBABBBA
AABAAB ABABABABBBBBAABBBBBBBBA
BBBBB $
BAABBBBBBAAABBA ABBBABBBBAAABBA
AABBAA BBABBBAB
AABABBAA ABBBBAAB
BAABABAAA ABBABABABBAAA
BAABAAABBAAB BABBBBA
BB ABABABABBBBBAABBBB
ABBA ABA
BAABABBBABBABBBABAABAAB ABABBBBABBAA
AABA ABBBA
BABAAABBBABBAAAABBAAA BAABAABABAA
BABBA BABAAABBBABBAAAAB
BABBBAA AAAAABBAABAAABBBAABBBBBBAAAAAA
ABAABB ABBAABB
ABAABBBBABABBBBB ABAAAB
ABBABBABBBABBBBBB ABAABBAABAB
$ ABBBBBAB
BA AAABAB
BBBBBA BABBABAAAB
BBABBBBBAABAAAAAABBABBAAABB ABBBAABBBBBAA
BABABABBBBAABB AABBA
AAAA BBABABAAAB
BAABABBB ABAABBBBABA
ABBABABABB BAABAB
BAAAAAB AAAAABBBBBA
ABAAA AAAAA
ABBBABBBABAAABABBBBBA BAA
AABBABBAABABB ABBAABBBBB
AABABBAA ABBBBAAB
BBBBA BAABABAAAAAAABABBAA
ABBABBABBBABBBBBBA ABAABBAABABA
BBBBA BAABBBAB
BABAAABBBABBAAAABBAAA ABBAABBBB
ABBAABBAAAABBA ABAB
AABAAABB AAAAAABA
BBBAA ABAABBA
AAAABBAABBAAAAB ABBA
BABAABAABABB AAA
BABAAABBBABBAAAAB BABBA
A AB
AAAABBA BAAAABAA
ABABB ABAABABABBBBBABBBBBAB
AAABBBAAABBABAAAB AABAAABBA
ABAABBBAAB ABABABAAABABAAAB
ABB BABA
AAABBBAAABB $
AB ABBABBABABABAABBAABAB
BABBABBBABA ABAAAA
AABAAABB AAABA
BAABB ABBBA
AABABBAAA ABABABABBBBBAABBBBBBBB
BAAAAAA ABBAABAABBAB
BAABAAAA BABBBAA
AAAAABBBBAAABBABAAAB AAABAAAABBAAA
AABABBB AA
BABAABBAAAAAB AA
BBAAAB ABBABBABBBABBBBBBABA
ABBB BAABBBAAAABBAA
BAABBBABBB AAABBBBBA
$ BABAABBBBBABABBBB
AABBABBBB $
BAAABBABAAABAAAAAABABBABAAABBBAABAAAAAA ABAABAABABBAAABABBBBBBBBB
BA ABBAABAABBABAAAABB
ABABAAAAB ABAABABBBA
BBBB BAABABAAAAAAABABBA
ABAAAAAAABB BBAA
BAB ABB
BBAAAAA ABBABBBAAABAAA
ABAAAABBA ABBBBBBABABBABAABABBB
ABAABA ABABBA
ABBAAAAA AAAABA
ABAAAABBA ABBBBBBABABBABAABABBB
ABAAAABBBBAAB ABBBAAAAABBAA
AAABAB BA
AAAAB ABBAAAA
ABBBBAA ABBABABABBAAABABBA
ABBAABAAB BABBBBBAABBBBBABBBBBBBBABAAA
AABBABBAABAB BBAB
BAAAA ABABBBB
ABABBA ABAABA
AAABBBAAABBB B
BAA B
ABABBABAABAA AAAABBB
ABBA BABA
BBBABABBAAAAAAB BAAABA
AAAABBBBA BAAABBBAABABAABAABAA
A BAAABBABAAABAAAAAABABBABAAABBB
$ AB
AAAABBB ABABBABAABAA
ABABBAAABABAA BBABBBBBAABAAAAAABBABBAAABBBAAA
ABBAA BABAA
A BBBBBBAAAAA
ABBAABBAAAABBA ABAB
BABABBBAABAABBBBBBBBBAB BAAABBABAAABAAAAAABABBABAAABBBA
BBBBBA BBABBBABBAABABB
AABAAABABABAAAABAAB BABABABBBBAABB
BBBBA BAABBBAB
ABBABBABABABAABBAAB $
BBA AAABABBBAA
BBBBBAA ABBAAAABBBABBBABBBBAAA
ABABB ABBAABBAAAABBAB
ABABABAAABABAA ABAABBBA
ABBAA BABAA
BABBBA BAABAAA
BAABBBBBBAAA ABBBABBBBAAA
BBBB BAABABAAAAAAABABBA
BAAAABAABABABBA A
AABB BAB
ABAAAAAA BB
ABBABABABBAA BAABABAA
AAAAAAB AB
ABBBAAAAABBAAB BBBABBBA
AAAABBB ABABBABAABAA
BAAABAB BBBAABAABAABA
ABBBB AAAAA
AABABABBBABBBABABAABBBBBAB BBBABBAA
ABBABABABBAAABA BAABABAAABA
BAABABBBBB ABAABBBBABABB
AAAA BBABABAAAB
ABBAABBAAAABBABBBA ABABBBBAABAABAABAABA
AAAAABBBBAAABBABAAABB BAAAABAAABBB
AABABBBABBB AABBBABABBAAABAAAB
BBB BBBABBABA
ABBAABBAAAABBA ABAB
$ ABBAA
BABABBBBB BABABABAABAA
BBAAAB $
BBB BAB
ABBBABBBBAAABBABA ABAABBAAAB
AAAABAAAAAABBBBBBBBAB BAABBABB
AAAB BA
AAA BBBBBBAAAAAAA
BBABBABBBBAABABBA ABBABABBAAABAB
ABAAA ABAABBBBABABBBB
AABABBA AAAABBBBABB
BABAAAB BBBABABBAAAAAABBAB
BA BB
ABBAAAAAABAB BAABABBBABBABBBABAABAA
BBBABA AAAAABBBBAAABBABAAAB
$ BABAABBBBBABABBBB
BBBAABBAA BAABAABA
AB BAB
BBBBB BABBABBBAB
AAAABBAABBAAAAB AABBBBAA
ABB BBAAABABB
BBB ABAAA
AAABABAAA BBBABBAB
BAABAB ABBABABABB
BBBBBABABAABA AAAABABBBBAABBBBAABABABAAA
AABABBBBAAAAABA AABABB
BBAAB AABAB
ABBBAAAABB AAAABAAA
BBBBBABABA BBBBBA
BA AABBB
BBBAABBAA BAABAABA
AAB BABBBA
BBABBBBBBA BBAA
BBBB ABABBABAABAA
BBBAA ABAABABABBBBBABBBBB
ABBA AAAAAABBA
ABBBAABBBBBAABA BBABBBBBAABAAAAAABBABBAAABBBA
BAA BBABAABA
ABAAAABBAA ABBBBBBABABBABAABABBBA
ABAABABBBA ABABAAAAB
BAA AAABABA
BAAABBBAABABAABAABAAB AAAABBBBAB
ABBBBA ABBABABABBAAABABB
BBBBBBAAAAAAAB AAAB
ABAB ABAA
$ BBBBB
ABABABABBBBBAABBBB BB
BBBA ABAABB
BBBAAB ABBBBAABA
AAAABBAABBAAAABAAA BBAABBBAABA
ABAABAA ABABBAA
$ ABBAAB
AABB BAB
ABBABBABBBABBBBBBA ABAABBAABABA
$ ABBABBABABABAABBAAB
BBBBB $
BABABABAABA ABABAABBBAB
ABAAAAAAABB BBAA
BAAABBABAAABAAAAAABABBABAAABBBA AA
BBAAB BABAAAA
BAABAAABBAA ABBABB
BABABABBBBAABBB AABAAABABABAAAABAABB
BBABBBBBAB ABBBBAA
BAABBAAABBB BBBBBAA
BABBAB BABAAABBBABBAAAABB
BBAAABAB AB
BAABAA BABBB
BBABBBABA BBABAA
AAB BA
BBAABBAABBABBBBAABA BBBAABAABAAB
BAABBAABAA BBAABBB
BABAABAABAB B
BBAABAA BABAABBBBBABABBBBB
BAABBBBBBAAABBAB BBAABAAAAABAABAABABBBA
BABBABA BABAAABBBABBAAAABBA
AB BAB
ABBB BAABBBAAAABBAA
BAA ABAABB
ABAB ABBAABAAABB
ABBABABABBAAA BAABABAAA
AABBABBAABABBAABA BABAAAABAA
ABBAA BABAA
B ABABABABBBBBAABBB
ABABAABBBABABABBB BBBABBAABAABA
BBB ABABABABBBBBAABBBBB
BBBBBAB ABABAAABAABB
ABABABABBBBBAABBBBBBBB BBBBBB
ABBABBABABABAABBAABABA AAAABBAAAAA
ABAABBAABAB ABBABBABBBABBBBBB
BABBABBBABA AB
$ AAAAABB
A ABBABBABABABAABBAABA
BBB ABABABABBBBBAABBBBB
BBBBBABA BBBB
BABABBBBBBA BBBAABABAAB
BBABBA ABBBA
AAABBBAAABBBBA AAAA
ABBABABABBAAA BAABABAAA
BBBABABBAAAAAABBAB BABAAAB
AAABAABBB BAAAABAAABBBBAA
ABAABBAABABABA AABABABBBBABABBAA
ABAAAB BBBB
ABBABBABABABAABBAABAB AAAABBAAAA
ABABBBBABBAAA BBBABB
AAAABBBBA BAAABBBAABABAABAABAA
ABAABABBA ABAB
BAABBAB AAAABAAAAAABBBBBBBBA
BAAAABAABABABB $
A ABBBBBAAAA
AAABBBAAABB $
ABBBABBBABAAABABBBBBABBA BAABBA
BAABBABBAA BABAAAABAAAAAAAABAAAAABAAB
ABAA ABBAA
AAAABAAA ABBBAAAABB
$ B
ABBBABABBBAB ABAABABABBBBBABBBBB
ABAB ABAA
BAABB AA
BAABB ABBBA
BABAAA ABBAAA
ABBBBBBABABBABAABABBB ABAAAABBA
ABBBBBBABBBAB ABAABABBA
BAABBAB AAAABAAAAAABBBBBBBBA
AA ABABABAAABABAAA
BBA AABBABBAABA
BAABBBBB ABBBABBB
AAAAABB ABBBBBB
ABA AAABBBBBAABBBBAB
ABABAAAAB ABAABABBBA
ABBBABAAABBB BA
AABABBBABB AABBBABABBAAABAAA
BAABB AA
AAAAAA BAABAABA
BA ABBBABBBABAAABABBBBB
BAAABBABAAABAAAAAABABBABAAABBBAA BABABBBAABAABBBBBBBBBABA
$ BBAAAB
BBBA BBBABBABAA
AABBA $
AAAAAABBA BAAAABABBBAAAAABA
ABABBBAAABAA BBA
BBA AB
BAABBBAAAABBAAB ABBBB
BBAAABA A
BBB ABABABABBBBBAABBBBB
A ABBBBBAAAA
ABBBBBAA AABBA
ABBBBBA AABB
ABAABABBA ABBBBBBABBBAB
$ BABAABBBBBABABBBB
AA AB
ABABBBAAA BBABBBBBAB
ABBABBABBBABBBBBB ABAABBAABAB
BAABBBBBA AABBBA
AABABBA AAAABBBBABB
BAAAA B
ABA ABBBBBABABA
BABBABBBAB ABAA
ABAABABABBBBBABBBB ABBBABABBBA
BABBA BABAAABBBABBAAAAB
BABABABAAB ABA
AAAAAB BAABBAABAAA
ABBABBABBBABBBBBBA ABAABBAABABA
BBABABAAAB AAAA
BABAABBA AABAAB
ABAABBBBABABB BAABABBBBB
ABBBA ABBBABBBABAAABABBBBBABBA
AAAAAABAA BAABAABABAA
ABB AABBB
BBBAA BABAA
AAAAAABABAABBBA ABA
BBAAAA BBB
BBAAAA BBB
BBBABAABAA BBB
BB BAABBA
AAAABBABBAAABABB BBBBAB
AABAAABB BBBAABBAABA
BAAB ABBBABBBABAAABABBBBBAB
BBBABABBAAAAAAB BAAABA
ABABBA ABAABA
BBABBBABBAABABBA BBBBBAA
ABBABABBAAABABBB BAABABBBBBBBBBA
BABBBA AAB
ABBBBBBAB AABB
ABB BBAAABABB
BBABBBA BABABBBABBBBBBAABAAAA
AAABBBAAABBB B
ABAABABABBBBBABBBBBA AB
BAABAAAA BABBBAA
ABBAABBAAAABBAB ABABB
BBBAABAABAABAA BABAAA
AAAAAABABAABBB AB
ABBA ABABB
BABAABBBBBABABBBBBA ABABBBB
BBBBB AA
ABBAAAA AAAAB
ABAAAAAAABBBB ABBABA
ABABABABBBBBAABBBBBB BBBB
BABAABAABABB BB
ABBABA ABBBABABBBBABBBBB
BBA BBABBBBBB
BBAAAB $
ABABBBBAABAABAABAABAAAB ABBAABBAAAABBABBBAAAB
BAAB ABAABBB
ABBAA BABAA
AAAABBA ABBAABBB
BAA BABABABBAAB
$ BAAAABAABABABB
BBABBBBBB BBA
BABBAABBBBB BABABBBABBBBBBAABAAA
BAABAA BABBB
BABAABBBBBABABBBBBAA BAA
BBBBABBBBAAAAAA BABB
ABA AAA
ABAA ABBABBABABABAABBAABABAA
ABAB ABAA
ABABBB ABBAABBAAAABBABB
BAABAAA BABBBA
AAAABABBBBAABBBBAABAB BAA
AABA ABABAABABABBBABABB
ABAABBAABAB ABBABBABBBABBBBBB
AAABAAABABBAB ABBABBBBAABAABBBA
ABBABB AABBAAAABABAABAAABA
BBAAABABB ABB
AAB A
BBBAABBABA ABBBABABBBBABBB
BAAAAAA ABBAABAABBAB
AB ABBBBBABAB
$ B
ABBBBB BAABAABABAABBABAA
ABBABBABABABAABBAABA A
BAAAABAAAB AAAAABBBBAAABBABAAA
AAB BAABBBABBAAAA
ABBABBB BAABAAABBAAB
AAAABBBAA ABAAAAAAAA
BAAABBABAAABAAAAAABABBABAAABBBAABA AAABA
BABBBBBAABBBBBABBBBBBBBABAAAB ABBAABAABB
BBAABAA BABAABBBBBABABBBBB
BBBBBBAAAAA A
AAABAABAABAAAABAAABA BAAAABAABABABBAAA
$ BAAAABAABABABB
BBABBBBBAABAAAAAABBABBAAABBB ABBBAABBBBBAAB
BBBBABBBBAAAAAAB AABBBBAAA
BAA ABBBABBBABAAABABBBBBA
AABABBBBAAAAABABABBBB BAAAABAABABABBAAAAB
ABAAAABBAABBBAA BAAAAABABA
ABAA AAABABABAAABBBA
ABBABABABBAAABABB ABBBBA
$ ABAAB
BAABA ABBABABAB
BAB ABB
AAAAAA A
AABABBBBAAAAABA AABABB
ABBAABBAAAABBAB ABABB
AAAABBAAAAAAA ABBABBABABABAABBAABABAAA
AAABABABAAABBB ABA
AAAABBBABBABBBAAAAABBBABBAAABABBBBBB AAAABA
BBBAA BAABBA
A BA
ABBBBB AAAAAB
BAAAABA AAAABB
ABBAA ABAA
AB BBAAABAB
BAB AABB
AABAAABABABAAAABAABB BABABABBBBAABBB
ABBBABB BAABBBB
BBBBBBAAAAAAABA AAABA
AAABBBAAABB $
ABABAABABABBBAB BBAA
BAAAABAABABABBA BBBABBAAB
AAAAAAB BABBBBB
ABBB BAABBA
ABBBABABBBBABBBB BAABBBBAABBABABBABAABABBAAAABB
BBBB BAABABAAAAAAABABBA
AB BA
ABAAAABBAA ABBBBBBABABBABAABABBBA
ABBBABABBBBAB ABABBB
ABBABB AABBAAAABABAABAAABA
ABAABABABBBBBABBBB ABBBABABBBA
ABBBABB ABABAAAABBABAAA
ABABABAAABABAAA ABAABBBAA
B BAAAAAB
BABABABAAB ABA
AAA BBBBBBAAAAAAA
AABABABBBBABABBAA ABAABBAABABABA
BAABAABA AAAAAA
AABBAAAB ABBAAAAABBB
BAAB A
ABBAAAA BABAAAA
BBBAAA ABBBBBABABABAA
BBBAAB ABBBBBBA
BBBBBBAAAAAAA AAA
BBBA BBBABAABAAA
BAABBBBBBAAA ABBBABBBBAAA
BAAAABABBBAAAAA AAAAAAB
BABABABBBBAABBB AABAAABABABAAAABAABB
ABBABABABBAAABABB AABAA
$ AB
B BABAABBBBBABABBBBB
BAAAABAAB AAAAAABAA
BAAABBBAABABAABAABAA AAAABBBBA
BAAAAAB ABAA
AAAABBBABBABBBAAAAABBBABBAAABABBBBBBB AAAABAB
AAAABABBBBAABBBBAABABABAA BBBBBABABAAB
ABA ABAABBB
ABBABABABBAAA BAABABAAA
B BAAAAAB
ABBBAAAABB AAAABAAA
BAAAAA B
ABBBBBBABABBABAABABBBABBB ABAAAABBAABBB
BABAABAABABBAABABA ABBBAAAAABBAABBBBABB
AA ABB
BAAB A
AAABABABAAABBBA ABAA
BABAAB AAAAAABABAABBBAA
AAAABBB BBBBABBBBAAAAAAB
BBB ABABABABBBBBAABBBBB
BBBBBABABAB AABA
ABBAA $
BBBABAABAA BBB
ABABABAAABABAA ABAABBBA
BBBBABBBBAAAAAA AAAABB
BAABABBBBBB BABAABABBAABAB
BAAAAA $
AAB ABBBBBBA
BABBBAA BAABAAAA
BAAAAABA BA
ABBBABABBBA ABAABABABBBBBABBBB
AAAAAABBA BAAAABABBBAAAAABA
BBBAABB BBBABAABAAA
BBAAABB ABABAABABABBBABABB
AABABABBBABBBABABAABBBBBABBAA BAAABAAAABAABBBB
BAAABAAAABAA BABAAAAAB
AAAABBBBABB AABABBA
ABBBB AABBAA
BBABBBAABBBBB BBBAABAABAABAA
$ AAABBBAAABB
BAABBBB AABB
BBBABBABA BBB
ABAAA AAABABABAAABBBAA
AABABABBBBABABBAAB BABBABBBABA
BABAA BBBABABBAAAAAABB
ABBBA ABBAABBAAAABBABBBAAA
ABBABBBA AAAABBBBAABB
BBAA ABABAABABABBBAB
BAAAABAABABABBAAAA BBBAABABAA
