34005
IHQWl CgdKTK]REAI
ITSQPFYZ C_E`\QW^Z
CGDHFlcjiMUZ IN`\aUZ
CEYfMACG_`UgpUgpUgpUgpUgpUgpUgpUgpU Ym
ImWhTQ` $
\MG Snh
\SGp]OTkL_ IHaUXQGL
\QPDqBfp E
\SiL`S\MQV g_
I`GhGpZ IhTAUAipXqH
IN`CGUmQ INGGo]LpfE
\Sir \QWh_afWNiMV\Blj`C
CLR CgRWVXi`CD
I IHTlpCOTVB
IeVIBU_faUZXQ\ IHSUA\AAAAA
\_D X\_VYV
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\ CGRVB[fa
C_E`\QW^Z ITSQPFYZ
CgK N`\EQmWoW^EeK
CXLRpnTT CXLRpT
IHTpr_L_cL_c`L_cL_cL_cL_B C_L_cL_cL_
CGDY cHTTGBR
IeSFeMrllpfEAQQU IjUAU
\cPn`\Q_C\ \S\
\_V[\oWFED\hQjRW Ij`\
\_`CMRi \TlpY_`IHQP
IRPACG` m
nNlR` \_RVBFoE`
\aE K\Q
$ \MrOTP
\WlOhTA\cp IjGrOTP[
$ CgRW
ISRQWMS]lOTQiYQjhIYDpTTTTTT IM
\TllQAI \amMBZ
\afQW _G
\TpJQcZHU CEiP`\SiYa
Ih XMQC
A\SjEI IhUX_
$ kj
\ I]R[
C_L_WWcL_c_WW C_L_WcL_cL_WcL_WcL_WWcL_
\TpYTpfWRAQ` \TlpY_`IHQPA
CGDQipl \afTlpCOTVRqFVeSMo
IRWh_UEA CQrpCOTnf]
nR\M`GZ \a
HgK] Cg
Ie`\jQllQRV \QAQRV
IN \Tl
CXil CX
\QWeMrlpWHS`CgREACZ \QAIlprXiRRR
CEAHGjKGp^jJppLKGpkjZGqbiWB ]glp]pr
\TOTACDp CLRpTT
\QAQTPF \QPQGL
IjG IjUG
CgRW $
CgRSMV\URV\BS R\_
[eS \MLf_
CEOBFeMh XL
ICjO IRAOTRV[
\a IH_V\eQWL
$ \_VB
IShqIkkkEEkkEkEkEkkEEkEkEEk \apfMhqIkkIkp
SqUAipY \S`\QAlQ`CGQUAU
C \S`CR
CXRWha \a
CEYP SWVOB
\_A\ \U
\_Q\A IjUAGrA
\_f CBGf
Ih IAh
CXL \S`CRZp
IT]ppXiV\B \QWZWRAQQGG
\aUZX_Ci Cg_Wh_fT
CG`C CEeRSlQmP[qXqFY
IHQPAIj]ipPYVBHXYVBBQ \SUA
\_e \amamQWe_`\_
IN`CGUmQP INGGo]LpfEP
\U C_We
SaP C_EU
IN\Ai CgRS
CPEAp^pcGqZZZ \aE
CLR \TlQP[p
CXpTTTTTTTT CXilpTT
C INGL^GVW\eTQDiRVBFnFC
CG CGP
$ O
\a` IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUgpUgpUgpUgp
IHT IdIZ`ITl
CEeSMfSYS\AA \cPn`\Q_C\AA
INirfTAG \M
\M \amQkijOrpYalHTQQG
IRjhqIEEkE \aEWeaCARjhqA
ISGY I\h
CgR C_D
\_e \amamQWe_`\_
CEYP CgSSf_AIHWSH
mhj IRjR
CEXqFMSfCi IAlHQPf
\TpMfYMQAIN`Ij`Ij\AAAAAA IeVIBU_faUZXQ\
Haag INiMUag
\_`CMRiAC \QWY
CXLRpnTT CDpTTT
IRjQDiRV\eM IRI
IRWlhl I\
Cn C_WU`C
IN`IHM afWOfK]l
CGUma CGUm_QHIRPI
\TlGS\S`D\S`\QPPHXY IjiYamTQ
CXmGWmG CXkWmk
JC_EDiXm`PCZl CEiWU
IHMhq `TGfS
k \_PFV
C_WMS \Tq
\SGrOT_mQWY CSEOeMGSC
CKo CgSloK
\QApr O
\MhBfCllpYQWSPFlhlSR DP
IeQGrQA\ \QPim
ISBZMPUmQ \SGQUfQ
IeQ`IjF IhEP_C
\QEeFK]S_E IRjQ
G \aTAGrp]OT`C_W
SWVOB CEYP
\_Uf $
$ \MGZSCGQi]
ILSBbQ CGfLfE_E
IN\ \S\A_A
IEjfZgpSeG_SGGSD CEPiV[R
Cg CGUCMiC
IjGQUE \Y
\TR_ IRAQ`\_R
X\_VYV \QApMV[R
ISQDif CEXYV\SPFUAIeI
Ie \iLfEi
\MhU\hIYDp CDpTT
f ISG
Cn C_WU`C
\SiM` m
Y Ie
\QWVAp CT
\_fgWL_ \S`C_L_WWWc
\TlQ \YP
Ie_m_Q\AA IeVIBU_faUZXQ\
\MGYG \\EAllFmpCpMV
IjGQUE \Y
CXmGWip ITSQPFYZp
C_SWR $
\TpW \MQWHWSPFl
CGm IRWeSGLf
\_fgWL_L_cL_cL \S`C_L_WWWcL_cL_cL
\SiL`S\MQ \Qh`TQDqBDYcBHXY
IBMRQABpVDifrg Ij`CgK]
dX` \S`CX
\QW \__C
CGRVRiDqHPMFYXmGSWBmkW IePF^X
\amQApMRVBDY CGfrX
\QjGF\TQA\ am
CXmkW R\QW_mXM
Ie IN`IRPRV[BBDi`MGEQ
IHMhq `TGfS
INipiWSUUZZZ TT
CgRS IN\Ai
\_eR IjiYamTQ
\\EAllFmpCp Iji
CEYfMACG_`UgpUgpUgpUgpUgpUgpUgpUgp CGEUXDi_TAGLagpUZpUgp
CG \Q
NiQApp \MrQ_UZ
\Si \MOreLL_c
U\T IHQA
CEiWU JC_EDiXm`PCZl
IHTlpr R
E \QPAINUA`CE
WeM \S`CG
\S`C_L_WWWcL_cL \_fgWL_L_cL
IRjQDiRV[RHPqBP[YG IN`CGUmQ
CZ C
C_E` qj
\a CXRWha
CgRWVXi`CDpT \MhU\hIYDpT
\TiOTU C_
IjGGoL_WWWcL_cL_cL C__cLW\cqL_WcL_WWWWWTcL
IH_P[flNGhq `\
IRWlh \MQWHWSPF
\S`CX dX`
JC_EDiXm`PCZl CEiWU
OX \SirX
UNV \SiM_UXQ
I]R[ \
C_EACZRp ITSQPFYZp
CGQ`\aTA`\QWoL_cL_WW C_L_WWcL_c_W
Ij \G_
IRAllO CX
CEXYVBF G
V\ \QjGF\TQA\
\SUA\AAA \ALQ
\TOTA G
\_e \amamQWe_`\_
\hQW \TpM_leVB[fCiS\Tp
Ij`\afamMGYXi \QAIlprXiRRRR
\MrOTP $
KCXmGW \SUA
CXLRpnTTTT CXLRp
\WlOhTA\cp IjGrOTP[
IRWY_Sf`UgpUgpUgpU \QWZWHhTll`QffDQgpUgpU
\lQPhEQqG \QApfCG
Ie_agpUgp HaagpUgpUgp
IZB \MhIeQj
\SiS\aTAi CEXYV\SPFUAIeI
$ IeUl
I IjGGZrG
BS IhUXA
IHaUZWQiWSrllOTZfL`NW C_EP[LfWSQ
CZ^ \Tp]lprXi
IN`\_AISLU \QWMEfYa
HgK CEeKT
\TpSCXipROZT IHS`CEAHGpkqZBrpp
\TpWNU \QApMQ`IRWUjT
\QjrOTACGUT C_SpcIUA
IdIZ`IT ISQDiP[rGUCi]
$ CGfM
U\ \TQ`\
\TQ WS
\Tp]lprXip CYGRp
IjUA IeSFeMrllpfEAQQ
^ISITA`\MRQWB IR
\QjhI^gREP[rEeR IHTpr_L_cL_c`L_cL_cL_cL_Bc
Ij`\ IPlSGUPBV[B[CQffiiGe
IH_V\eQWL` \MrlQDiVB[]pYSGLagpUgp
\_VA\YZ CZ
IjUAGrA CgSMfEQ\
C INiYCMhIM
I CgKe
\QWZWRAQQGG B
\S`\ CGUC`
IHMrlpY \Qme
\TTRVB[f Ih
qCGSLXRSM CEPq
CGfLfE_E ILSBbQ
IjUAim \QjQ`\_A\afQWeTp
IHaUZWQiWSrllOTZfL`NW \MGeQWeS
INX_UlA CGQ
Iji \WS
\M \S
C OC
SWVOBB CEY_UX
IeRV[\U \\
\QP I
EIHa IHMG
IRjhqIEEkE \aEWeaCARjhqA
CBGf IHQjG^_Ef
IRWlhlh ^oCf
C_EU SaP
I IA
CgKeSloSl`CllpS Q
\_DqB`IRWF IeH
\WlOhTA\cp IjGrOTP[
CGDYV cHTTGBRV
I H]\ShIl
$ kj
\MQ R
G \TOTA
\S`CX dX`
Ij` INGL^GVW\eTQDiRVBFnF
INX_UlA CGQ
\TpSCXipROZT IHS`CEAHGpkqZBrpp
mC C_WY
IN`INGhUPc ZR
\_`CMRi \TlpY_`IHQP
\amQkijOrpYalHTQQG \aEApYM
CXmGWVi CZ
C_L_WcL_cL_WcL_WcL \_fgWL_L_cL_cL
\_fgWL_L_cL_cL_WWcL_W IHTQQUAGGoL_cL_WcL_WWWWWWcL_W
ISGZiQ \QApM
\SGBbQP_C`I \_U`UgpUgp
\aDgpUgpUg HaagpUgpUg
\EQRVBFC CGV[\FCE
ImWhTQ`I I
\Sir O
CZR VJ
\SiWRP` \_RVRiVIi`
IeRVBB`IR IRjrlX
C_WU`C Cn
IjGQUE \Y
IU $
CgKe I
\QWY \_`CMRiAC
C_L^__qcL_ CgS_L_WcL_cL_
C_EACZR ITSQPFYZ
C_L_WWcL_c C_WoL
\afMLCiCOTfY p
CZ \QAIlprXiRR
\QKLTA \alN
CG`OZMiOTV CGPBDYVRqFlN`IeRV
CgKe I
CXLRpnT CXLRp
\_Uf $
YE C_WER
n CEO[BHA
\Mh l
U $
$ ImWhTQ`
ISrallllQFM C_L_cL_Wc
CgRERV\^gS_W G
IHM U
\aDgpUgpUgp HaagpUgpUgp
C_We \U
C \_VA\Y
UCZ CZ
INGL^GVW\eTQDiRVBFnF $
IeQi IhlH_VRqFBMWU
nNlR \_RVBFoE
\QEeFK]S_E IRjQ
\TpJQcZH \QAlOT
\QAOT ]baEjGQ
UNV \SiM_UXQ
INGrll IN
CGPHX CSQiWW
CXLRp \MGXLRl
OCX CX
\SUA\ IeVIBU_faUZXQ\A
\S \cPn`\Q_C
\_`CMRiA \TlpY_`IHQPA
\TiOTU C_
$ \_Uf
C_L_WWcL_c_ C_WoL_
\_fgWL_L_cL_ \S`C_L_WWWcL_cL_
IhXA\_AC_WUCAb\S`jip^ \TllQQGrlQRV
$ IeQiA
\DQ IH_UfMhU\V
Ie`C R
Ij`CgK]S IBMRQABpVDifrgS
MRNjLfZ IhU
$ C
\cPn`\Q_ \aC`IN`\a
ICD CZRRR
INGL^GVW\eTQDiRVBFnFCZ CZRR
D\M`CES CgREDiP[p
CXLRpnTTT CXLRpTT
\TQ^cV IRAQ`\_RV
MRNjLf CGUU
\QPAINUA`CE E
I P
IjU \S
\Qh`TQDqBDYcBHXY IjiYamTQ
\pr[ C
\TpJQcZH \QAlOT
U $
C OC
IShqIkkkEEkkEkEkEkkEEkEkEEk \apfMhqIkkIkp
\amamQWe_`\_ \_e
CGDY cHTTGBR
CGmM IN`\SG
CGR CEiAOR
CZpRp CXp
I CgRWV
\TOTDiUEj \_U`UgpUgp
\QjGF\TQA\S V\S
VJ CZR
$ \MrOTP
INGL^GVW\eTQDiRVBFnF $
CXRWha \a
ISQDiP[rGUCi] IdIZ`IT
\ama^EWM \_P[Lf
QAlp]G]pYQ C_SS\MRQjRQ
CXLRp CXLRpnT
\TlQUmSiMQiL ISprfXLf
nNlR` \_RVBFoE`
ISrlQRVRi_C _lTA
INGL`UgA^R \__agpUgpUgpUgpUgpU
\TTRVB[fD CGRVB[fagpUgpUgpU
BSC C
IRjhqIEEkEE \aEWeaCARjhqAE
\__C \a
\S CEeSMfSYS\AA
IRAllO CX
CZ \_VA\YZ
ISGZiQ \QApM
Ij`\ n
QN CEAHGqZBoHGHGHGjngqZB
$ G
IQ CgKdRWoW
\TQfW aCegI
CGP[M_ IH_V\eQWL
CEAHGqZBoHGHGHGjngqZB QN
C_We_`IhU NiQApp
Ie IN`IRPRV[BBDi`MGEQ
XNkW CEAjJpLn
\amMG^ fC_S]QPF]RfC
C_WY mC
\a CXRWha
\cPn`\Q_ \aC`IN`\a
\TpagpOpUg \TpfUXPFEL
CEAHGqZBoHGHGHGjngqZBo IY
_lTA ISrlQRVRi_C
CXbR CZRpR
\_fgWL_L_cL_cL_WW C_L_WWWcL_WWW
\QjhI^gREP[rEeRL_c IHTpr_L_cL_c`L_cL_cL_cL_BcL_c
a \_Ufa
CZRRR C\GR
YqGAI I
C_WMS \Tq
VCgKd Cg
Ih \TTRVB[f
IHTlpCOTVB jaV
IjGrOTP[ \WlOhTA\cp
\QjGF\TQA V
\Qr ING
$ \MrOTP
\S KCXmGW
IeRV[\U \\
a \MQPB_
IN \TpMA\QAl
ISQDiP[rGUCi] IdIZ`IT
CEAHGjKGp^jJppLKGpkjZGqbiWB ]glp]pr
\MQfWji Icf
IN`\aU CGDHFlcjiMU
IPFMLXfWcL C_L_cL_WcL_WWWcL
IR C_WBUP[COTf]ll
CG`\TQDqB IG
\Qr \TQQG
CXLRpnTT CDpTTT
Ik I
$ CE
IEjfZgpSeG_SGGSD CEPiV[R
\_ \SCGQ
CgSloK CKo
IHT m\[_U
CEiP`\SiYa \SiCpfDg
Hg CEe
C_ IHaE^lpfgQfQ
CXL Cp
CXR CXmkW
C_WBUP[COTf] T
IRWlhl I\
\YI]aACEY`OC IhlRjrOT`C
C_SMV IRjQDiRV[RHPqBP[YGPRV
k C_SSC_WErQ
\S IjU
\fMG^ CgSM`r
\aEWha`UgpUgpUg IH_V\eQWL`Ug
$ \_VB
CgKTeREUfQPRV\eS`CX UCX^
I CGPB
C BSC
\TQ YqG
CZp Cp
CXRWh \
\amamQWe_`\_ \_e
\ama^EWM \_P[Lf
\_fgWL_L_cL_cL_W \S`C_L_WWWcL_cL_cL_W
IeQiA $
IH_`CXiRl OCXLR
\QWZpXiU UBCb
CGmM \_AIRAp]OTQG
CZM CXLRpTTTTTTTTTT
Cg CGVBHeK
Co \afMh
IN`\aU CGDHFlcjiMU
CGDHFlcjiM IN`\a
\TOTDqFoWU G
CGUEPfL ISprfXLf
C_DE CgRE
\S \MQ_TA\AAA
\amQkijOrpYalHTQQGB IRjB
\cPn`\Q_C\AA CgRWMWU`\S\
IefYaDgpUgpUgpUgpUgpUgpUgpUg HaagpUg
kj $
CGUm_QHIRPI IRjQ`\MQff
\_DqB`IRWFC IeHC
IHTpr_L_cL_c`L_cL_cL_cL_BcL \QjhI^gREP[rEeRL
CG_DY CD
N`IjUA\G \S\AAAAA
CgK]SMoRSCQ I
CZpRpTTTT CXLRpITTT
\TppeSil`]lQQ`\_T IeRVBB`IR
\Sir_SSIRPP CGOPBV[BUE
IjiCpffQWEGFFGA\_RV[RioQirgRL_cL_cL_cL_cL_CL_WWWWWWcL_WWcL`_cLF_ C_L_cL_WWWWcL_cL_WWcL_WW
]baEjGQ \QAOT
\MQ \G_
Hg CgKd
\aTAM CG_mMrOTQ\AAAAA
\S`CRZ CZ
IeQ`IjF Ij
IhC IjU
VJ C_SL`rXi
IN\AAAA \SUA\AAfA
C R
Ie YqG
\MQ \G_
\aEWeaCARjhqAE \SGhqI
IHQWY_L_cL_ IHTpr_L_cL_c`L_cL_cL_cL_B
C_WMSr IBMRQABpVDifrgS
IRPACG`C mC
\cPn`\Q_C\ Ij\AAA
INiflhf QAlp]G]pY
\aE K\Q
CBG IHQjG^_E
CG_ I
C_EU \TpagpOpUg
m CGPBA
IePB CBG
IAlHQPfY CgS_Wh
\_ \_ABP
IHTpr_L_cL_c`L_cL_cL_cL_B C_L_cL_cL_
CG CEiAO
\TOTDiUEj \_U`UgpUgp
CEYf] U\T
\aE K\Q
\alSGFCEPqBAIN\AAA IeVIBU_faUZXQ\A
IHQPAIj]ipPYVBHXYVBBQ \SUA
CX IePF^ZpR
IjGGeZ \QPA\
IjGQUE \Y
$ \_VB
CgR C_D
IRj \Q
IjU \S
CLR CgRWVXi`CD
\QApMV[ ISGZiQV[
CGmMB \SGB
IePFSP SWVOB
ISB IhfM]
CEifWUA\`BbQWAErpS IhlRjrOT`
\ALQ \alSGFCEPqBAIN\AAAAAA
CG \Q
\_RVRiVIi C_E
I IShIY
\lQPhEQqG IhmSG
\aCU \GUP
\_fgWL_L_cL_c C_L_WcL_cL_WcL_Wc
C_EVRYV IEjfZgpSeG_SGGSDYV
\YI]aACEY`O IhlRjrOT`
IHQAQ IAlHQP
C_L_WWcL_c_ C_L_cL_cL_WWcL_cL_cL_WWWWcL_WcL_W
INUAGLlh \TTRVB[f
C_L_WWcL_c_W C_L_cL_cL_WWcL_cL_cL_WWWWcL_WcL_WW
Ij`\ BIZ^nLPA\
C_L_WWW \_fgWL_L_cL_cL_W
\aEj K\Qj
CGfrXmkW R\QW_mXM
\amMBZ I
\MLlN` CEifWUA\`BbQWAErpS
INiflhfQ QAlp]G]pYQ
c \QWVAp
CXLRpnTTTT CXLRp
IT IRPQ
CgdKTK]REAI IHQWl
\afTlpCOTVRqFVeSMo $
Iji \WS
IhmQP`C CEY_XmQADkpr
I_d CEXqBA\S`
C_SrgKTTeKT] ke
\q IRAOTffEAO
\QEeFK]S_Ef \TpMA\QAlp
IN IRWUPBA\QAlpr_WlRAp
IeQ \TOTDqYhMrllpS\lafg
\QAlOT \TpJQcZH
CGfrX oXmLW
Ij`CgK] IBMRQABpVDifrg
Ij` BIZ^nLPA
\a IH_V\eQWL
C_EACZR ITSQPFYZ
n CGPBA
E IHQWSVRqH
\SUA KCXmGW
\__ \TpJQcZHU
\_fgWL_L \S`C_L_WWWcL
\QAj \aUZX_Ci
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\g \QjLDg
C BSC
UNV CG_falHaUZXQ
BSCg C_WeaC`Cg
$ C_SWR
IG IjGGeQPDi
CZR IHMQfrAZ
IHTlpCOTVB IErL
ISBbQjG^GRV\BBZYQApfE \VQ
\TOTA G
\T IN
IePF^ZpR CX
\OrlQiUHm \afQWSA\
INi \MLYlRAllp
CZpR CG_DY
IeSFeMrllpfEAQQ IjUA
IHTlpCOTVB \bWP_B
CXLRpITT \TOTACDp
CG \
\SGQUfQ ISBZMPUmQ
\MOreL C_L_cL_WcL_WWWc
HB \_
$ U
E IHQWSVRqH
_]Xm CXmGWm
HB \_
\TQQG \Qr
CoinoGjffEE \M
\S`C_L_WWWcL_cL \_fgWL_L_cL
\QWZWHhTll`QffDQgpUg \MrlQDiVB[]pYSGLagpUgpUgpUg
\cPn`\Q_ \aC`IN`\a
\Mb \
IeJ \aUX_EjQPFUP[]OT
\_fgWL_L_cL_ \S`C_L_WWWcL_cL_
C_SpeSM`LfL_Wc \_fgWL_L_cL_cL_WWcL_Wc
C_D CgR
CgS_Wh IAlHQPfY
\QPimS Ij`\TQA\_Q
m\[_U IhfM
IRAOTffEAO \q
\QAprX OX
IHMQfrAZ CZR
CX IRAllO
Ij`\ IPlSGUPBV[B[CQffiiGe
I IShIY
m\[_U IHT
CEYDi`\_UEPDiPB`\S\AAAAAAAAAAA \SAA
ISGZiQV[ \QApMV[
CXL \S`CRZp
_lTA ISrlQRVRi_C
UC C
IHTpr_L_cL_c`L_cL_cL_cL_BcL IHQWY_L_cL_cL
\_VBH CGcVRq
IShIlH IAlHQPfY
I ImWhTQ`I
CGf]lpClp IRAllQfYMLKlji
IeSFeMrllpfEAQQ IjUA
\QjQ`\_A\afQWeTp IjUAim
IeQiA $
IH_P[flNG U
\S`CRZ CZ
CgRWV QnjrlQPBA
\CBSb CG`\
IHTpr_L_cL_c`L_cL_cL_cL_BcL IHQWY_L_cL_cL
C_E`\QW^ ITSQPFY
\MRQ IRlpQj
\Tll T
CKo CgSloK
I UC_EUQ
\QPim IeQGrQA\
KCXmGW IN
CEXYV\SPFUAIeI \SiS\aTAi
QN CEAHGqZBoHGHGHGjngqZB
\_ CGfMQUASUAUAUAUA
IHTlpCOTVB IErL
`TGfS \Mh
CG_CUAUA`\_A\QApYS`IeUlN ]baEjGQQ
GI I
\QjQ`\_A\afQWeTp IjUAim
IaU \TpMVRq[
mCg CGfrgK]KTe
ILSBbQ CGfLfE_E
\S` IpiS
C N`\EQmWoW^
\TQDiQi CgR
CX OCX
Ij`\MO IShBRV\ZpiWeM
\aEWeaCARjhqA IRjhqIEEkE
\S`C_L_WWWcL_cL \_fgWL_L_cL
ISQ Ic
NiQApp IH__UZ
IjUA IeSFeMrllpfEAQQ
K\Q \aE
Haagp \SiClOTVRq[WHaDgpUgpUgpUgp
\_QG IPBVhrglfUWhT
Cn C_WU`C
Z I
\amTpO_DiUTAGrOT`IH_ IhmQP
INirfTAGB \MB
\CBSb \TpWH
\_VB $
CXmGWm _]Xm
\pQR]BFSI \QAQ`IhCifEPUTA
C_WYg mCg
\TlOTQGQ_agpU C_Ef]lOpCQ_DgpgpU
CEY [SGm_P
CEeREP Rj
\TTRVB[fDg IefYaDgpUgpUgpUgpUgpUgpUgpUgpUgpUg
\QKL C_WBVY_
CGOPBV[BUE[ CG_mQAp
\TlOTQGQ_agpUgp \_fYMQ_m_U`UUpUgpUp
$ CgRW
\_fgWL_L_cL_cL_WWc C_L_WWWWc
IjCiB\ CgRSr_EA\MRQ
$ \QPAINUA`C
\SiClOTVRq[WHaDgpUgpUgpUgpU IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpU
I CgKe
CEe Hg
\QKLTA \QPQUA
C_L_cL_WcL_WcL C__cLW\cqL_WcL_WWWWWTcL
\QgA \aEAOT_fMr
IhlRjrOT`C CEifWUA\`BbQWAErpSC
C_L_WWcL_c_W CgS_L_WcL_cL_
G \QAQ
\QWeTlQ YGDYVBNBRV[flo
aCegI \TQfW
IAlHQPf IHQAQf
Ij` \_RVRiVIi`
\_Di_agpU IHHapbDgRpU
aCegI \TQfW
IRjQ \QEeFK]S_E
I\ \TpW
IN \amQkijOrpYalHTQQ
IH_UfMhU\VP H
IHQWSVRqH E
CGA\__l gdi
GI I
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUgpUgpU CEYfMACG_`UgpUgpUgpUgpUgpU
CpRRORa CZ
C CZ
IhmQP` \amTpO_DiUTAGrOT`IH_`
CGRV[\EQAC_L_cL_WcL_cL_cL_WcL IjiCpffQWEGFFGA\_RV[RioQirgRL_cL_cL_cL_cL_CL_WWWWWWcL_WWcL`_cLF
\pr[ C
\_f CBGf
MRNjLfZZ IhU
CEiWU JC_EDiXm`PCZl
aT \SiM_UXQU
SqUAipY \TpWNU
\_P[Lf \ama^EWM
\QjQACXopTTT CJilpT\
I\h \QWoEU
Ij`\_fWG C_SSC_WE
\QAIlprXiRRRR \QWeMrlpWHS`CgREACZR
G $
CgS_L_cL_ C_L^__qcL_
Ih XMQC
$ INGL^GVW\eTQDiRVBFnF
G CgRERV\^gS_W
\_P[S\QAQ Y
\amamQWe_`\_ \_e
\a nR\M`GZ
\_AIeV Ij`G\Xe\o
ISrQ W\QAjG^GQ`\[hcBkgRi
CgSM`r \fMG^
Ik I
IRPPBU`Ugp \aa
QAlp]G]pYQ INiflhfQ
C__cLW\cqL_WcL_WWWWWTcL \MQVBBDqFBML
IN`CGUmQ INGGo]LpfE
\TpLfL_WW ISrallllQFML_
IeSFeMrllpfEAQQ IjUA
_SYSi C_S
OCX CX
Ij\AAAAAAA \SAA
\SGrlQDiUmOTPHiWURVRqBPFM INUAUAi]lQ`Cg
UCX^ CgKTeREUfQPRV\eS`CX
CG_DY ISRQWMS]lOTQiYQjhIYD
CE IjGGBMbQPP[p
IH_` fC_S]QPF]Rf
\GUP \S`\QAlQ`CGQUAU
\TpLfL_WW IPFMLXf
IePBf CBGf
Iq CG_U
ISrlQRVRi_CG IRjj
gdi \S`I
\pr[G Ij`CXL
C_WMS \Tq
\_RVBFoE` nNlR`
\TOTAI GI
Ij`\ BIZ^nLPA\
CLRpT CZpRpTT
\TOTDqYhMrllpS\lafg \QAQUlHafS
IRAllO F__UlVZZZZZXQi]lO
C_WU_l Q
C $
MT[ \amMG^E
CEeRSlQmP[qXqFY CG`C
IRP`\ dMLjf
hX \Tl
\SiS\aTAi CEXYV\SPFUAIeI
CZ^ IhlRjrOT`CZ
\QjhI^gREP[rEeRL_ IHTpr_L_cL_c`L_cL_cL_cL_BcL_
\G_ Ij
\_fgWL_L_ \S`C_L_WWWcL_
U $
\TTRVB[f CGU
\QQ ISLEj
\aEAlpYQP_ CGUm_QHIRPI
CGfLfE_E ILSBbQ
\QPAINUA`CE E
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\g IhagpUgpUgpUg
c]S IHQWl
\_fgWL_L \S`C_L_WWWcL
CEAjJpLn V[
I CgK]SMoRSCQ
IN`\aU CGDHFlcjiMU
IPBVhrglfUWhTQ \_
IhlRjrOT`C \YI]aACEY`OC
IePBf CBGf
f C_We
CXmGW _]X
INiCQU CGUm_QHIRPI
CG \
\cPn`\Q_C\ CEeSMfSYS\
R \MQ
Ij`\afamMGYXi \QAIlprXiRRRR
CDpTTTTT CXLRpnTTTT
IRr CEiP`\SiYaDgpU
fC_S]QPF]RfC \amMG^
\aagpUgpUg IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\g
C_WMS \Tq
C_Le_cL_cL_NW CGRV[\EQAC_L_cL_WcL_cL_cL_WcL_
G CEXYVBF
\amQkijOrpYalHTQQ IN
I CgKe
\Y IjGQUE
C_L_WWcL_c_WW C_L_WWWWcL_
CgRW $
\SGGVijR QAlp]G]pY
CG_E IPiMf]lpff_fYS`ISL
QAlp]G]pYQ C_SS\MRQjRQ
IRAQ`\_R \TR_
Iji $
\MQPB_ a
\Sir_SSIRPP CGOPBV[BUE
CgRflL \_
EO CGV
\TQfW aCegI
\TpW CGQUA`D
$ \MrOTP
CXmGWmG CXkWmk
IjGGBMbQPP[p \SiWNiClppPiPH
YqG CEiP
IH_V\eQWL Ihfa
\Qjh ^
IRWh_UEA CQrpCOTnf]
C OC
\TpW YI
IN`CGUmQ INGGo]LpfE
I CGV[\FC
INGLagpUgpUYgpUgpUMg \_Di_ag
\SiWNiClppPiPHe \XOTVL
\GUP \TpWNU
$ CgRW
\_RVRiVIi IHS`CGQ
IHQjG^_E CBG
U\ \
Haa \aagpUgpU
\M \_U`UgpUgp
N`\EQmWoW^E CE
CGcVRq \TOTDqHO\V
CZRpR \_VA\YZRpR
IRWeSGLf CGm
U $
\TpL`MPFFIRWYZl \_VA\YZRpR
E IHQWSVRqH
\ $
\QAllOT`\a IQ
CpR CXLR
C_WMSr IBMRQABpVDifrgS
\_` \_ABP`
IHQAlpL`p IjGQ
IRAQ`\_R \TQ^c
CXLRpITTT ISGYXLRpTT
CgGDqHen Cg
CGU`fgpU IjGGZrG
\TOTDqHO\V bhIN`C_S`foVWYE
\WlOhTA\cp IjGrOTP[
IRAlpYaE \afMRo
\QAj \aUZX_Ci
qCGSLXRSM CGV\UP
CgE \MGMSCQ
\QWYg N`\EQmWoW^Ee
C_L_WcL_cL_WcL_WcL_W \_fgWL_L_cL_cL_W
\TQfWRC CG_E
CXLRpnTTTT \MhBACDp
IePB_fTQfC afD
IjWfmSGL IHMG
IN \RESSD
CEYP CgSSf_AIHWSH
Ij`C INGL^GVW\eTQDiRVBFnFC
CGRVRiDqHPMFYXmGSWBmkWo CZRl
IRAlpYaE \afMRo
kj $
\MGU \_eR
IHQPAIj]ipPYVBHXYVBBQ \SUA
IH_UfMhU\VP $
IS \lQPhEQqG
\cPn`\Q_C\ IN\
\QWeMrlpWHS`CgREACZ \QAIlprXiRRR
\MG Snh
IeVIBU_faUZXQ IN
IN`CEO C_WYEa[fUZZXV
C_L_WWcL_c_W CGQ`\aTA`\QWoL_cL_WW
\SGGVijR QAlp]G]pY
\QAIlprXiRRRR CZRR
\TT \Tll
\TQ^cV IRAQ`\_RV
CLRpTT \QWYXLRpT
IePFSP SWVOB
IRAllppApA XNkW
jaV IHTlpCOTVB
SaP \TpfUXPFEL
W C_SWRW
CEXYV\SPFUAIeI ISQDif
IN`IRPRV[BBDi`MGE IHTl
ISQ Ic
INiMUagp IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gp
INGrll IN
Q IjGLmSUA`C
\aagp \aDgpUgpUgpUgpgUgpUgpUgYp
\QP \QEeFK]S_E
$ kj
