29255
_jm^i^ _`
O^ _SkT^YKbNfO^
Po _i^T
_Srr^i^P n
nbELXhLOA _i^SIII`ToII`ToIII`Tm^TPJFbPZFL
_S`Tr^SII`To`TmK`Oc n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbhS
pnqi^KJ nJ
UYdAMcAVVOc UYdc
W $
bPbY PZRSSZRYY_ZZ
[F c
[SUEN_SYp [Sp\[N
bP`OYZo`OSULT_ QUbjqOcUSUflTfT\
nkOJT\lfOqEFMH _TPbbjqOllfOG
nqjm^jr^TP[SfOGP ULgYP]FSX
bPqjrKeoP[SfOlTF P[J_lUrfOcfOfOEXB
[Sp[NpFS_ AN[SUW_AE
ISP]Yn nJFqjm^TPbaYLHYE_Ynnn
hUPZFLrh_RYPZRYbh bP[XfOcfOXfOEjO
_^eQ^S _SII`To
$ n[SUGEFHYdHbqOEM
k ne^
dJ_lULlUX _iK[lTFUc
_TPbaYEFHbhLTFUJFfOEjOSUE OUp^_iK`OLSUGbqOEjOXUXfOE
OUpo NhZMXYO
RG bP[GNfO^R
_i^ _ZaDKbq
OoP b`P
nbaY mc
bPqS`ToaTrKbO Oe
mcLgY bPb
_TPbLg UL
n[XfOGOW RiT
bP`OXU ]UbhJ\FU
n`OXUGbjjjqOGbqOcfOSfOSUJTBfOXfOcf UaYbdjhEOcUlTF^
bPJFqSII`TrKJFbP]RYLHYYZZZ___ UEl
_jmK[l bP[EXFUSUUEjOJFUL
RG bP[GNfO^R
OUp^_iK`OLSUGbqOEjOXUXfO _TPbaYEFHbhLTFUJFfOEjOSU
bP` bP`OXfOSfOEM
_i^TPe bbp
n`OYZ p_TPdh`OSUYZ
UbjhcUSUJ_lfOYZ UHTZ
UnE UYdcArh
_ _^eQ^
_^Sb`T bPqj
nJFbbjj VBfYH
RP[ bP`OXfOSfO
O^ g
[ n[SUGEFHYdHbqOEMQO
OUE_C nZZjFb
_ipOG _TP`OcUSUGO
nJF pnqi^K
[S_ [SUE_]U
Ym`[OcUcfOLlU _TP[XU
UPZ fjRYPXS_
nb nLFUFbbh^G
bPbLg FPqSIIa`TmKJFKbjhUqSfOSUGa
nbYZd bPJeFbMZZ`ZZd
[S^__BUNUnN [SpFSUE_]NUE
bPqiMjr^jr^jm^i^T Oo
F]]q [F
nq`S_jr`TmKZO nZOKK[
_i^j bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII`T
bPJFqS`TmKeU Uob
_C O^b
UE_RSSZF_ _TPbJ_J
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY bPb
_SII`T _SqI`Tr^mj
_S`To`Tr^TPqTPqjmK[GbjqOXfOEMQOEjOLlUcUcUJFUGa _BTPa
`OLlf nqjmK[EjOlTTDfOcfOJ_lf
j_ [Fj_
O bPZOKKKfjF`O
_TP $
`bhXUJfWOGL nbaYL
nZZjUF[JTB bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc
_SkT^YKbNf $
_\KbOf $
O^bP _^md
n[EjOEMQOLT_TTDfOlTT\lUGPXYNUfnqiKJFJFbE UHCJPoekJ
_S`Tr o_jm
nqj Z_j
OUE UE
hUPZFLrh_RYPZRYbhJ bP`OXfOcUJT\TT\TFUXfOEX
bPbES UnES
n bPO
UNS] bPZZjF[llUGY__dHNW
joI`T^ _T
FVE RT
n nIF
X $
_jo`T _F
dJ_lULlUX _iK[lTFUc
OoP[LTTDfOLT nXUSUSUEMQNOEOrJ
UaYLgYHZoe F
Vf\f Vf
$ X
nbbqOYOio ZZ\jFbH
_SII`T _
P`bLlfHXYfOJ_P UbqOLlfOlTFUllfOl
[SUEUp_pp[UEUU [S_UEUE
_i _SI`Tm^jYo`Tr^TPqS`Tr
_ldP OoP
_iK[SfOcULT UPZCbhlT_lfOYLT
n`OXU brPgT
KTP _iK
bPqS`ToaTrKb U
j____ [F]]j_______
_jmK _
V]O] RT]]
U OU
bPqS`ToaTrKbO Oe
UYdHYZdHOU [
nbELXhLOA _i^SIII`ToII`ToIII`Tm^TPJFbPZFL
Vj V
[U RT]
ULPYaYaYLPYP]CLHYY_Zd_ bPLOllGfUEL\hF
bPq $
nbaYLg U_E
b _SI`TrK
nZZjUF[JT n[LTT
Q UHZjFe
X $
Ym`[OcUcfOLlUJ _TP[XUJ
_` bPq
_Ji^i^B _
bPe JMSV`
V]f jFNf
ULHYPZCaYPZF_ _TPbJ_J
O $
[hXXXX [hXXXXXXXXXXXXXXXXXXXXXXX
ULHYY_ bPJeFbMZZ`
bPbaY UE_CP
V]O] [F]
ULY _TPbLgY
bP[GbqOYZoZO nJFqSI`Tm^`OcfOSUJTDfOGLHYOfnJF`OSUYO[
KTP _iK
[SNp [pY
_i^ nqjTo`Tm^o
^n nJFb
ULnYbj`qOSfOYL bPZZ
_F _jo`T
H\K[XU _i^TP[SfOXUcfO
[hXXXXXX OefO^[hXXXXXXXXXXX
U bhb
_TPqTPbYZd _jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaYYd
n a
nbHl nJFZ
[FfNfbPqSI`Tm^iKqiK UHCJPoek
nTP[USk nqTPJFJF`OSUll
H\K[XU n`OGbqOJFfOEjOXfOJFfOXUllUcU
_SII` _S`T^SI
O^ _SkT^YKbNfO^
E $
_ _SII`T
n`OGbqOJFfOEjOXfOJFfOXUllUc H\K[X
[S UYNUF
$ nZ
_^eQ^S _SII`To
nqjr^ _Tr^TPq
V]] $
MhM U
SK VfNfUYdH
nJ pnqi^KJ
Vj______ VQj_rr_
^TiM UNfU
n`OXfkllUJT\TTDfOXfOcfOLlUrYZoJFqjmK[ n`OXU
OeUU OoPbEHN
UbhJFfOXUllfOSUEMQOLlfOGH nbrHf
nqi^T nJFqO
n[llfOLlUSfOEMQOSfOY nq`S_jr`TmKZ
I O^
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
nqTP`OEMQOcUEX_lfOllfOSU P[J_lUrfOcfOfOEXBU
bPbE UnE
n[nGE_ bPbES]
UbhlTF nXUSUSUEMQNOEOrJF
_iK bPJFq^P
n[XfOSUSUcfOGb nWb
[SUE_]N_NUoE_pUEN_YUYnih__YiDiDnN_B_hUE [S^__BUNUnNN
nJFqTP`OS nCcoULThUlT_lUSfO]JFUc
pnqi^KJ _TPqSI`TrKJ
_TP`OEMQO dJ_lULlUXfO
_SI`TrK b
bPHOJ_lfOcUlGfOLlfOJT\lfOSa OoPbYZdHaYHOKiQZo[S
nP[S UP]CLnYLgYbqOLTTDUcUJTDUL
jiK[SlGX n[cfOEMQOGa
bPJeFbMZZ`Z ULHYY_Z
[F]fY [F]fnU
rj _S`Tr^jr^SII`Tr^
`OLlf UbqOllf
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
\_T\D[ UN
Ym`[OcUcfOLlUJTBf n`
[hXXXXXXXS OefO^[hXXXXXXXXXX
[hXXXXXXXXXXXXXXXXXXXXXXXXXXXX $
bPba UL
$ _\KbOf
Ubh SbPeqiKeef_jr^TP`OllUcUcUK
Ubh SbPeqiKeef_jr^TP`OllUcUcUK
ULY n[G
UbqOXUcUEM _S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW
O^ T
$ _
$ ZF\[o
bP[EXFUSUUEjOJFULl _TP[cfOXfOlTTD
UaY $
_S`TrK[Llf _j^TP`
_iK[SfOcULT UPZCbhlT_lfOYLT
FVEf [Ff
^K UN
$ _\KbOf
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
_TP[cU idMWo
_jr^jrK $
n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]C nbHY
nqTPGaYLnYOj Ub
n`OERFULTTDfOYZobPZFSZCL UL
nLFUFbbh^G _TPbbjqOllfOG
SKN VfNfUYdHN
bPq $
V R]
Tf U
VfME bPeeWfn
UYdc UYdAMcAVVOc
[S_NU S[Sp
n`O p_TPdh`OSU
IS U
RTfN UN\
_SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j__________ UNWj__H
nWb ULHYbqOYZjFJF[LTFUJFULlUEjOGb
UHCJPoek _TP
[SNUE_]_pp [SNp
E UaYHZoZ
_BTPa bPZOKijFbYdHEFHLH
bP[LlUllfOcfOcf n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUllf
nbY bPJeFbMZZ`Z
pDbP _TP
$ nbLPYE_
U\_Nd O^
bJ UbhJFfOXUllfOSUEMQOLlfOGHZ
OU\bq^` bPZZjF`OllUG
_TPZZQZo`Oc bP[_lfOll
U OPU
FVEf RTf
ISP UP
VQj_rr Vj_____
bbj n`OGaYbjj
_TPeoP`OEjOc _TPJF`OXUSfOQllUJF
_joKTrK[XfOXfOSU n[llUXU
$ RT]f
OefO^[hXXXXX [h
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG UbqOXUGLPY
$ V]]
_S`TrKqjr rji
RT T
V]f VKl
_TP[cU idMWo
jm^Vi^SIH _joII
Ho n`OGN
_iK KTP
g bPbP]RSS
_iK[SfOcU UPZCbhlT_lfOY
OoPZZQOijFJFbLnY OUE_C
UYdHa _BTPa
UaYEF UYdAMcAVVO
_SII`T _
_TP`OJTDULT_lfO bPJH`OSfO
W $
joI`T^PJ _TPJ
c O^
Ym`[OcUcfOLlU _TP[XU
UEOcJAOHEOX n[GPX
KdRVf _S`TmKbESX
OUE_C OoPZZQOijFJFbLnY
UPXSFHPXYbqOGPXYYZ__dHY_d_____HbhEjOXULlUXULlUJTBfOEj r
nIF n
bPqiMjr^jr^jm^i^T Oo
Ubh SbPeqiKeef_jr^TP`OllUcUcUK
U IS
bP[EXFUSUUEjOJFUL _jmK[l
]UbhJ\F bP`OX
V OrS
V R
[h [hXXXXXXXXXXXXXXXXXXX
_BTPa _S`To`Tr^TPqTPqjmK[GbjqOXfOEMQOEjOLlUcUcUJFUGa
$ f
T O^
ULPYELVVO_ bPLOllGfUEL\hF
_omToTmK bPe
_Ji^i^BT _jr^T
Vj______ VQj_rr___
_j^TP` _S`TrK[Llf
g\ bPbY
\U n[GHOfjF`OJFUG
_SI`To`To`Tr _i^SWTr
fjRYPXS ULPYE
SbPeqiKeef_jr^TP`OllUcUcUKcf _TPqi^S`Tr^iK`OllUXf
_SI`Tm^T _Ji^i^BT
[SUE_]U_ [S__YUp_UU
R _\KbOfR
nZO[K[ nq`S_jr`TmKZO
bPbP]DRSfcArhLVrhSXYY ULHYY_Z
HO[K bP[GbqOYZoZO
[SN__BUniAE [S^__BUNUnNN
OUp^_iK`OLSUGbqOEjOXUXfOE _TPbaYEFHbhLTFUJFfOEjOSUE
UE_Ynnn UPXQS_YnnGnnnnOnn
RTj RT__
UbhcUJT\l\OllfgGaYLYO n`OEMQOlTFUJT\lfOSUcUGaYbjqOcULTTDfOlTFfOEjOGOU
FUHOE bP`OYOK
nbELXhLOAr _i^SIII`ToII`ToIII`Tm^TPJFbPZFLr
bPRbn nZO[ijFb
n`OcUJFUcUSUcUJ bP[J_lfOBSfOLlUXfOSfOL
nJF`OLlfOc P`bLlfHXYfOJ_Pl
O _SkT^YKbNfO
UHO FUHOE
OoPJYFqo nqSIIIIIII`Tr^
bPba UL
V d_R
[SNpFSpFhXX [hXXXXX
UN [
bPDOG bPb
nJF`O UbJcaO
VZ\ OoP[GP
n` bPqjr^jmK[UJE[ULT_f
VfNf_iKqTPqi^TPbP P
nJFb $
Vj]j__ [Fj__
$ V]]
_iK[lTFUcfO dJ_lULlUXfO
OoPJYFqo _jm^
_aS`To`T _i^j
_TPqSI`Tr pnqi^
RT_ _SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j___
nqi^j _SIII`TII`Tr^j
bI OU
n`OEMQO n[CT_lU
OUp^_iK`OLSUGbqOEjOXUXfO _TPbaYEFHbhLTFUJFfOEjOSU
bP[_lfOl bP`OJFfOEjOcUEX_
V [SUENN_B_BUY
bPZO bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII`Tm
nJ nJFbHOlj
bPe _jr^iaj
n`OEMQO n[CT_lU
n`OcUJFUcUSUcUJ bP[J_lfOBSfOLlUXfOSfOL
_NID bPqjo`
R kY
RG bP[GNfO^R
_SII`Tr _i^SWTr
UbhGLH U_E
_jmK[l bP[EXFUSUUEjOJFUL
[S__ [SUE_]U_
OoP`OXUYO bPZOiO
_SI _^eQ^S
CP[ bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU
_TP`OJTDULT_lfOL bPJH`OSfOL
[hXXXXXXXSX [Sp[pFhX
PZRSSZRYY_Z UY
$ X
bPbYdHH nZZjUF[JTBUY
[U] RT
bP[GHO[K[KfjF`OSfOcfOY UaLYPRo
nZZIo[ll _i^SI`TmK`OLl
Vd bPqS`Tm^TPZZjF
`bPJMqjoI`Tm^PI`TmK`OLTFfOlT_lUXfOlTiFU ne^_TP[
_jr^jrK $
_SII`To` _po`T
bPqSVTJmjq _jm^
RP[EM bP`OXfOSfOEM
[SNUE_]_pp [S_N_]_NUoE_YEp[p[__]_Upp\
OoP`OXUY bPZOi
[S_NU S[Sp
_joKTrK[XfOXfOSU n[llUXU
nbrHfZ UbhJFfOXUllfOSUEMQOLlfOGHZ
nbrHfZ UbhJFfOXUllfOSUEMQOLlfOGHZ
_i^TPe kTPe
UP]CPXSSXYbhEMQOXfOXfOE Em]D
_TPqSI`TrKJ pnqi^KJ
F_SKeP _SI`Tr^jo`TmKqjr
_T joI`T^
$ _SkT^YKbNf
_TPeoP`OEjOcU ]UbhJ\FU
UbJca nJF`
n[LT nZZjUF[J
bPZOi nk
VfNW] ZT]
bP[ n`OJ_
nJFJFq _ZaDKbq
]UbhJ\FUc n`OSUS
_i^T Po
_i^SIIII`ToIIII jm^Vi^SIH
_jm^SI`Tr^ _S`T^SITr^
UO UqP
STf Vf
bP[ _SII`TmK`OlT_T_TT\
bPJFJZFZZ _SI`Tr^jmK`OYO[f
nqj Z_j
RP U
Ubq UbJcaOXf
EOP U
UN iM
_TP[X Ym`[OcUcfOLl
_SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHY nbN
n`OJ_lUkJTDUS bPqTPJFqjrKJF`OSUS
UP]FFc PZRSSZRYY_ZZdc
[hX OefO^[hXXXXXX
_SkT^YKbNf $
_BTPa bPZOKijFbYdHEFHLH
UbhcUJT\l\OllfgGaYLYO _i^i^jmKbN
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP UbqOXUGLPYP
nP[Slf bP`OLlfOEjOSf
nZ UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQ
nJF[lldRSUSUL UbjhL
dR [FfNUU\]fN
QUbjqOcUSUflTfT\ bP`OYZo`OSULT_
_SIII`TII`Tr nqi
b_PbbqOJ_lfOEjOEXFfOEXF n`OXUX
UbjjNhY _TP[EXFUXUXUY
nqiK`OYO[fQO[f ^UHOT
nec VfNfBnUP]Yn
bPJH`OSf _TP`OJTDULT_lf
OUE_ UE_
_BTPa UYdHa
_jmK[l bP[EXFUSUUEjOJFUL
UE_ OUE_
U EOP
_TP`OJTDULT_lf bPJH`OSf
nJFb bPbY_d__cAOHoQ
nZZjUF[JTBUY _S`TmK`OY
bP[JTBfOEMQOGPXYN\fYH RTafY
[hXXXXXXXSXXXX OefO^[hXXXXXXXXXXXXXX
joI`T^PJF nJF
nLLlUJTDfOc^ bP`Oc
UEOcJAOHEOX n[GPX
O^ `E
_^eQ^S _jo`Tm^SII
o_jm _S`Tr
OoPJF`OlTTBfOLl bP[_lfOll
STf Vf
n`OERFULTTDfOYZobPZFSZCLn ULnYLHYLg
UbqOXUGLPYP n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP
nXUSUSUEMQNOEOrJF bP[cUc
nJFb bPbY_d__cAOHoQ
n[SUGEFHYdHbqOEMQ Q
_NIDT nqS`T
$ nJFZZo
SbPeqiKeef_jr^TP`OllUcUcUKcf _joI`To`TmKqi^TPqi^TP`OcfOXfOSf
pnqi^ _TPqSI`Tr
Po O^_T
bPqK UbqO
nJFb bPbY_d__cAOHoQ
_TPbaYEFHbhLTFUJFfOEjOSU OUp^_iK`OLSUGbqOEjOXUXfO
$ _jm^S`Tr^SI`TmKbaY
RT_ Vj_
UbhJFfOXUllfOSUEMQOLlfOGH nbrHf
H\K[X n`OGbqOJFfOEjOXfOJFfOXUllUc
_SII`To bPUoI
UbqOXUcUEM _S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW
ZK_ OUp
[Sp[ [SUEN_SYp
bP[XfOcfOXfOEjO hUPZFLrh_RYPZRYbh
[hXXXXXXXSXXXX [Sp[pFhXXXX
$ _TP
UNW RTQ
Tf [Ff
o_jm _S`Tr
RH _TP`OcUSUGO\
n[SfO bP[_lfO
nq`S_jr`TmKZO nZOKK[
AN[SUW_AEU [Sp[NpFS_U
U EOP
[hY [hXXXXXXXXXXXXXXXXXXXXXXXXXX
RT OrS
nqi _SIII`TII`Tr
_jm^ _SI`Tm^jYo`Tr^TPqS`Tr^
Vf\ RT]
nZZjUF[JTB bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc
n[SUGEFHYdHbqOEM $
UbqOXUGLPY n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG
$ bP
Ym`[OcUcfOLlU _TP[XU
_TPJF bP^
ISP] UP]
bPqS`Tm^i^joI`To`TmKJGFZOK bPZO
[hXXXXXXXXXXXXXXXXXXXXXXXX [hXXXXXXXS
R $
OoP b`P
nLFUFbbh^ _TPbbjqOllfO
`bhXUJfWOG bP`OLlfOlTTDfOEXFUG
R kY
_jr^S`Tm rji
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII _iKqS`To
X $
_SII`T _
VfNfUYdHN\ SKN\
_iK[SfOcULT UPZCbhlT_lfOYLT
OoPJ bPZOiOfj
UE_CP bPbaY
[FfN\f Vfi
_TP[Ll mO
n[SfOll _j^TP`OX
_i^TP[EMQOXfOLl hUPZFLrh_RYPZRYbhJF
U n`OERFULTTDfOYZobPZFSZC
UaYPZFSX VfH
UYe]RS _i^iKJFJFJF[GaYE
_i^jo`To jm^Vi^SIH
b nJ
b $
UYdH _BTP
FPqSIIa`TmKJFKbjhUqSfOSUGa bPbLg
ZT V
_S _jSa`ToII
UEOcJAOHEOX n[GPX
nJ pnqi^KJ
pnqi^KJ nJ
F_SKePK bPJFJF
OoP T_T
bP[EXFUSUUEjOJFUL _jmK[l
[Y[p [SUENNNUY
VfNfbP kTP
bPqiMjr^jr^jm^i^T Oo
n[SUGEFHYdHbqOEM $
PX UHZo[SUGY
O _SkT^YKbNfO
bP[J_lfOBSfOLlUXfOSfOL bP[SfOcfOEjOJ_TFfOlT
nbY bPbP]DRSfcArhLVrhSXYY
$ nN
Y _jrKqjmK`OXUJFfOSULTFUXfOJFUJ_TFfOSfOXfOGNf
bPqjoII` _po`T
ULPYbjhEjOJTDUGYdcAOc nJ
neoPe EPWb
fV n[SUGEFHYdHbqOEMQ
ZT VfNW
bPbY_d__cAOHoQ nJFb
UOfn $
_joKTrK[XfOXfOSU n[llUXU
o_[i _jm^i^i^T
UbjhcUSUJ_lfO p_TPdh`OSU
nJF`OEjOYOfoqiKJ ULnYcZj
nJFe n`OXfkllUJT\TTDfOXfOcfOLlUrYZoJFqjmK[X
bPe^nJFqi^TPq _S`T^SITr^
UbjjNh _TP[EXFUXUXU
E UP]Yn
$ _S`ToII`Tr^
bPqiMjr^jr^jm^i^T Oo
bPqjo`T nbH
UOWfnHT e
UEOcJAOHEOXS n[GPXS
UN\ bP`OGYZdHO
kT VfNfb
Uob bPJFqS`TmKeU
Lb OoPqjr^T
_j _SIII`TII`T
nbrHf UbhJFfOXUllfOSUEMQOLlfOGH
UE IUY_Zdcerh
_S`ToII`Tr^i `Tm
nWb ULHYbqOYZjFJF[LTFUJFULlUEjOGb
bPbLnYLgYaYE_ _TPbJ_J
[U RT]
_TP[EXFUXUXUYOf ULnYbj`qOSfOYL
_TPJFjS _joI`To`ToII
nbaYLgY `
nJFJF bPqSVTJmj
_S`Tr o_jm
_TP`OllfOSfOllfOXfOS n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbhS
ULHYN\ KdRV
KdRVf _S`TmKbESX
OoPbEHN OeUU
R O^UaYPZRYE_F
_TP[EXFUXUXU UbjjNh
_i^SI`TmK`OLlUS CP[X
OoP b`P
_TP`OSfOXU ha
UE_CELrhSZFJVVOcAOcIVOH[ n[EjOEMQOLT_TTDfOlTT\lUGPXYNUfnqiKJFJFb
g RT]]
_TPbO [
UbjjNh _TP[EXFUXUXU
W OoPJFqS`TmK[GbhSfOEMQOLTFfOYOfjFee
_TP[X Ym`[OcUcfOLl
UHCJPoek _TP
U nqi^[Pcb
RT___ nbNUWj_
Rh O^V
UP]CLnYLgYbqOLTTDUcUJTDUL n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUl
_S`ToII`TmK` bP`OcUDGbq
_TP_mc bPJF
n`OJFULlfOEj _S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMWQ
_joKTrK[XfOXfOS n[llUX
UELVrhS]Y OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn
_SII` _S`T^SI
OUE_C OoPZZQOijFJFbLnY
_TPgOGBX Ua
b` Oo
bPZZjF[llUGY__dHNW ]
V]] oT
nq`S_jr`TmKZO nZZo[YO[
_TPe n`O
bPZOiOf nbbjqOXUJFfOSULlfOYOf
mW n
^UHOT bPZO[Kf
Vj] V]
n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbh _TP`OllfOSfOllfOXfO
O^V Rh
RG bP[GNfO^R
bP[_lf n[Sf
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY U
O _SkT^YKbNfO
UaYbjqOYOijFZZjF`OcfOSfOXUSfO nZZjUF[JTBU
OoPqjr^TP LbP
$ UYpq
_jr^jrK JFF
_NID _jr^SII`
ULHYY_Z bPJeFbMZZ`Z
_j^TP` _S`TrK[Llf
_T pDb
ULnYcZj OoPJ
R RW
bP[GNfO^R RG
[Sp[NpFS_ AN[SUW_AE
nZZjUF[JTB bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc
UbqOLlfOlTFUllfOllU _TPe
o [SpF
bP]W n
MhMa Ua
[FfNfbPqSI`Tm^iKqiK _TPJFl
_^eQ^ _
_\KbOf $
TOg bP`OcfO
UE_Ynn UPXQS_YnnGnnnnOn
[F]j_ VFj_D
_iK`OGbhLT_ P`bLlfHXYfOJ_P
OUp [
bPJH`OSfOLlfO n`OLTFU
$ nqS`
_TPbaYEFHbhLTFUJFfOEjOSU OUp^_iK`OLSUGbqOEjOXUXfO
baPJFqjm^jo`ToIM`TpII`TrKJFbPZ UP]
$ _T
UYdH _BTP
_jr^ _Ji^i^B
UN Vo]fYHc
VKl V]f
PoP _TPqjoII`To`TrK
_TPJFj _jm^
kY R
P`bLlfHXYfOJ_P bP`Ol
_T bPJFq^
H\K[X n`OGbqOJFfOEjOXfOJFfOXUllUc
UnES UYdcArhS
_i^jo`To jm^Vi^SIH
g\ bPbY
bPJH`OSfO _TP`OJTDULT_lfO
nJFb bPbY_d__cAOHoQ
hUPZFLrh_RYPZRYbhJ bP[XfOcfOXfOEjOJ
bPJFqjo`Tm nqiKqjQ`
nZZjUF[JTBU nqTP`OSfO
$ X
ULPYE fjRYPXS
bP`OLlfOlTTDfOEXFUGL `bhXUJfWOGL
_SII`Tm^i^TPbP]FSZ fjRYPXS_
bP`OXfOSfO RP[
_jmK[YOKijFqjm^S` _joD
_SkT^YKbNfO^ O^
_iKqTPqS`Tm^iKZOKiobaYEF__H ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OG
OoPeoP`OSfOcULlfOGNW KdRV
_jm _SI`Tm^jYo`Tr^TPqS`Tr
OUp^_iK`OLSUGbqOEjOXUXfOE _TPbaYEFHbhLTFUJFfOEjOSUE
UNfbPBTPqi^T Oo
KdRV ULHYN\
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnnnnn nqjm^jr^TP[SfOGPZYn
ST V
bPbP]DRSfcArhLVrhSXY nb
_SII`ToI`Tm F_SKeP
$ E
F nJFb
[F]fn VKlY
_S`T^SI _SI`To`To`
OefO^[hXXXXXXXXXXXXXXX [ZXXX
UELVrhS]Y OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn
`OL nqTPJFJF`OSUl
UaYEFcA UHf
hUPZFLrh_RYPZRYbhJF bP[cULlfOS
_iKqTPqS`Tm^iKZOKiobaYEF__H ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OG
G_^mjmfK` UbhcfO
bPJH`OSfO _TP`OJTDULT_lfO
U OUE_CaY
[S^__BUNUnN [SpFSUE_]NUE
nbY bPbP]DRSfcArhLVrhSXYY
UYZ_Zd_ PZRSSZRYY_ZZd
nZZjUF[JTBU OoP[
ZK_ ne
bP[EXFUSUUEjOJFULl _TP[cfOXfOlTTD
jm^SN`TD _S`To`To`T
[S_UEUE _[Ti
UE IUY_Zdcerh
_joII jm^Vi^SIH
M bPbYdc
bP`OXfOSfOE RP[E
bP[_lfO n[SfO
_SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHY nqiKbN
U dUaYbEO
RGT]]] _TP`OcUXULT_lUEXFfOcUGNW
OoPbEHN OeUU
$ nbLPYE_
UYdc UYdAMcAVVOc
_TP[cfOXfOlTTD m_i[LlULlfOSfOSUcUSUEX_lfOllfOEMQOXfOEX_QFfOGbqOcULTTB
_iK[SfOlT_lfOLlUSUlT_lf UbJcaOXf
_TPbbjqOllfOG nkOJT\lfOqEFMH
[hXXXXXXXXXXXXXXXXXXXXXXX [hXXXX
\_FJN bPqi^TPJ
ULgYP]FSX nqjm^jr^TP[SfOGP
bPqK bP`OlTFUllfOGLnYNfn[
nZOKKiQO[[KijFqTPZ qn`XO
joI`T^P n
n`OERFULTTDfOYZobPZFSZCLn Ua
RpAaf Vf
_SqI`Tr^mjo`To _SII
[hXXXXXXXXXXXXXXXXXXXX [hX
$ _SkT^YKbNf
_TPba FPqSIIa`TmKJFKbjhUqSfOSUGa
UbqOXUXfOEj bPqjr^jmK[UJE[ULT_f
[Sp[pFhXXXX [Hg
_aS`To`Tm _jm^jm
bI OU
nq`S_jr`TmKZO nZZQO
RTfN\ q
Bj_Y bP`OYZo`OSULT_T
bP[GbqOYZoZO HO[K
_S`Tr^ OoPJYFqo
nqjmK[EjOlTTDfOcfOJ_ `OL
$ nbLPYE_
ULPL UP]FLrh_CaYaY
RP[E bP`OXfOSfOE
[ UN
O^ `E
Vj___ RT___
_jm^ _SI`Tm^jYo`Tr^TPqS`Tr^
[hXXXXXXXXXXXXXXXXXXXX [hX
UPZYn OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnnnn
[FfN\fnH VfMEH
_ld Oo
n`O H\K[XU
nJFbbjj VBfYH
_NID O^_S`To`
V]] _ipOG\
nJFeef_TP XnR
Uob bPJFqS`TmKeU
nqjr _r
n[GPXSL k
Ug _S`TmKbESX
bP[_l n[S
OU bI
ULPYE fjRYPXS
RT _SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j__
VfNfUYdH SK
_TP`OJTDULT_lf bPJH`OSf
Ubjh nJF[lldRSUSU
n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUll UP]CLnYLgYbqOLTTDUcUJTDULl
n`OGaYbjj bbj
aI nZ
nq `E_
_jm^j jbmSD`T
bPbLHYHO FUHOE
