21398
BBABAABAAABAAA BBBABBAAABAA
BAB BABBBAABAABAAAABABBBBAB
BBBABAABA BABABBBBBBAABBABBABAA
BBABBAAAABAABA AAABAABBABAAAAAAAAABBABAB
BABABBBAABAA ABBA
$ BBABA
BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABBA AA
A BABABAAA
BBABBAABAAAAABAABAABAABAAAAB ABABB
BB BBABABAABAAABAABAAABAAABAAABAAAAAABAAABAA
ABBBBABAAABBBB BAAABBABABABBAAAAAABBABBBBAABAB
BAABBABABABBAABA BBABBBAABAAABBABAAA
BBABABAA BABAABBAAB
AB BABABAABAABBB
BAABAABABBAABBBBAABAABBBAABABB BAAABBA
BABABBAABBABABBB BA
BBABBAABAAAABAAABAABAABA BBABABAAABBA
BABBBBBAB AB
BBABAAA BAAABABAABABABBAAB
BBABBAAABAABAABA BBABABBBBBABBBBABAABBBABABABABAAAAAAB
BBABBA BBABBABAAB
BAB BBAABA
BBBAA A
BAABBABA ABBA
BB B
BAABABABABAABAABAAABAAABAABAAABAA BBABABAAABBAAA
ABBB AA
$ ABAABBBB
ABAAABBABBBAABAABAAABBAA BAABAAABAAA
BAAABBABAABBABBAABBABBAABBBBBAABABAAAAAAAABABAABABBAABBBABABBABBBABBAABBABABBBBBBABABAABBBABBAAABAB AAABBBAABABAB
ABBAABAABABB A
BABBBBABBAB BBBBBA
BBABAABAABAABAAA BB
BBBABBAAAAB BAABABABAABAABAA
AB BBAAABAB
BABBBBAABABBAABBBAABBB BAABB
AB BBB
BB B
BB B
BABBABBAABBBBBABABABAAB BBBBBBABBBA
BAABABABAB BBABABAABAABAAAAAABAA
BBABABAABAABAAAABAAAABAAABAABAAA BABABBABBABABABBAAABAAABAABA
AB BABBBBBAB
AB BBABAA
BAAABAAABBBBABAABABAABABAAABAAABBABBBABBB BABABAABBBAABBBABAABBBAAABA
BABBABABBBABBABBB BB
BBABBAABAABAAABAABAAAAABAAAABAAAABA BBBABAA
BAAABBABBA BABA
BAABBABAABBBBAB BAABAABBBBBBB
BBAABA BAABAAABABABB
BBABBBAB BABABABAAAABABBA
AAB BAABAAAAAABBBAAA
$ BABBBABBABABAAB
BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAABB BABABBABBABBBB
BABA BBBBBB
BBBABBBBBBA BA
A BAABABBABAABAAAAB
BABABABBA ABBBBBA
BAABABABAAABA BABABAB
BBAA BB
AABABAABA BBABBAABAAABAAABAAB
AABBAAAA ABBBBAA
B $
BAABBBBABABABAAAABAAB BBBABAAAAB
ABBABA BBBBBABAAB
AB AA
BABABBBBBBAABBABBAB BABBAAB
B BB
BABABABBABAABBABA BAA
ABBBBBBAAAABA A
ABBABBABBBBAABBABBB A
A BAAABBABABABBAAAAAABBABBBBAA
BABBA BABABBBBBBAABBABB
BAAB AAAAAB
BAAABBABAABABBAB AABBAAAB
BABBAAAAAABBAB BABABAABBBAABBBABAABBBAAABAAA
AA BABBAA
ABBBBBAA BAABBABABAABAB
$ ABBBB
BBBB BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABBAAAABB
ABBBBABBA BAAB
BABBAB BBBBAAAAAB
BAABA BBABBA
BAABABABAAABAA BABABABA
AABBAB BBABAAAABAAAABAA
AABBBBBAABABAAAABBAB AA
BBBB AABBBAABBABA
BB BBAA
BABBAABABB BABBBBABAA
BABABBBAABAA BAABBABAABBAABA
ABBBBABBBAABBA B
BBAABBAAABAA BBABAB
A BAB
BBBABABAAA B
AABBBA BAA
BAAAAABABBAABBA BAAAAAAABBBB
BBBA BBABB
BBBBABBBABBBBBABBABA A
BABBABBAABBBBBABABABAABABBB $
BBAABBAA $
ABBBA BAABBAAAAAABAAB
BB BAABBBAAABABAAAABBA
BAABBBBBABBBABAAB BABABA
BBAAABAB AB
BABABBABBABABBABAAB BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBAAA
BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAA BABABBABBABB
AABA BAAB
AAAAB BAAABBBBBBBBBABAA
BABAB BABBBAABAABAAAABABBBBABAB
ABBBBBABAABAABBA BABBBABBAABAAAABBBABAAAA
BAABBABAABBAAB BABABBBAABA
ABBABBBBAAABAA BBBAAABBABAAABA
BBABABAAAAA BABAABBAABAAA
BB BAABB
BB ABBBBABBBAABBAB
AABBBABAAB A
BAAAABABBBABABBB BBBABABAAAB
BAB BBA
BAAAABABBB BAABAAAABBBB
BBAB BAA
BABB BAAABBABAABABBABA
BABBBB A
AABBBA B
BABBABABBBABBABBBBAB BAABAABABBAABBBBABAABAAAB
BBABBAAAAABAAAABAABAABAABAAABAABAABAAAAAABAAAA BABABBABBABABABBAAABAAABAABA
BBABABAABAABAAABAAB BAABAAA
ABB BAABAB
AAAAABBBBBBAB AABABABBAA
BBBABBBA ABBBABBBABABA
BABAABBAABAAAAAAA BBABABAAAAAAAAA
AB BBABAA
$ BBAB
BBABABAABAAABAABAA BABBABAAABAAABAABAAAAAAAAAABAABAAB
BBABAAABAABAAAA A
BBABABAAAAAAA BAAABABAABABABBAABAABAA
A BABBBB
BAABBABAABBAAAB BAA
B BBBABAABB
ABBBBABBBAABBAB BB
BBAB BAA
BABBBAAAAAAA BABBBAAB
BBBBAABBAABA BABBBABBAABAAAABBBABAAAA
ABB ABBBBBBAAAABA
$ AABBABAABBBBABB
BBAABA BBA
BABBAAAAA BBABABAAABAAA
BBABAABAABAABAAB BBABBAAABAAABAAAAABAABB
BBABAABAAABAABAABAABAAABAABAAB BBBBBAAB
AAAAA B
ABB BBAABBAAABAAA
BAAABABAABABABBAABA BBAB
BBBABA AAAAABB
ABA BAB
ABBBA BAAABBAB
BABBABABBBABBABBBBABAB BBBAA
ABBB AA
BAABABAB BBABBABAB
BBBAABBAAABBA BAABAB
BAB ABBAAABBBBBA
B BB
BABABBABAABABBA BABABABBAAAABBBBBBABABB
BBAAABABAA BBABABAABAAABAABAAABAAABAAABAAAAAABAAABAAAABAAAA
AABBBABA ABAABBBBAAA
BBABABAABAABAAAAAA B
BBA BABBBABAAAABABAABABABABAAAB
BABBAABABBBABBAABBAAA BB
BAABBAB ABB
AABBB BA
ABBBBABAAA BABBA
BAABAAAAAABBBAAA AAB
BBABABBBBBABBBBABAABBBABABABABAAAAAA BBABBAAAABAA
BABBBBABBABB BBBBBAB
AABBABABAABA BBABABAABAABAAAAAABAAB
BABABBBABA BAAABBABAABABBABAA
AB ABBAABAABABBB
AAA BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABBAA
BABABABAAAAABBAAB AA
BABABBABBBB B
BBABABAABAAABAABA BABAABBAABAAAAAAAB
BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAAB A
BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABAA BBAABAAA
AB BBAAABAB
$ BBA
B AAABBABAABBAAAAA
BAABBABAABBA ABBAABBABAAA
BABABABA BAABABABAAABAA
BBAABAB BABBABAABBABAA
A BABBBBBA
AABB ABBA
BBABAAAAAAAAABAAABAAABAA BAABBAAAABAABAAAABBAABAAAAABAB
BABAB BABBBBAA
BABBBBAABB BABBABAABA
BABBAAABAABBABABB BAAA
BABABABAAAAABAB AAAAB
ABBABAA A
AABA BAAB
BBAA BABBBABAAAABABAABABABABAAABA
BABBB ABB
BBABABBBBBABBBBABAABBBABABABABAAAAAAB BBABBAAABAABAABA
BBABABAABAABAA BBAABBAAAAAABAAABAAAAAAB
ABAAABBABBBAABAABAAABB BAAAAA
ABBBBABAAAB BAAA
BABABBBBBAABAABABAABBBBAAAAABBABBABAAB BABBAAAAAABBBABBAABAAAABBBBAAABBAAAAAAABBBBABAAA
ABBAAAABAA B
ABBAA AABBA
BABABABAAB BABBAABBBABBBAABAABBBBBB
BABBAABAABB BBABABAAAAAAAAABAAAA
BBAABBAAABAAA BBABABA
BBABAAAABAABAAA BAABBA
BBBABAAAA BAABBBBABABABAAAABAA
$ BAAAABBBBBBABABAABAAABAABBBBAABBBBAABAABBABBABBAAAABAABBBBBBBA
BABBABBBABBB BABABBBBBBAABBAB
BAABBABA BAABBABBAA
BAABABBBABBBBBAABBBBBBBBBAAB AAABA
BABABBABBBBBB BBBA
BBABBBAABAAABBABAA BAABBABABABBAAB
BABABAABBBAB $
BABBBAABAABAAAABABBBBA BA
AABABBAAABAA ABBBBBBABB
AABBBBBAABABAAAABBAB AA
BABABB B
BABBBAAAABBABBABBAABBB ABB
BAABBA AB
BAABAAABABABB BBAABA
BBABAB B
BABBAABA BABABBBBBBAABBABBABA
BAAABBA BAABAABABBAABBBBAABAABBBAABABB
BBAA AAAB
BABBAAAA BBABAAB
BBABABAABAA BABBAAAAAABA
B ABBAAA
ABBBBBABAABAABB BAB
ABAA BABABBB
$ BAAABBABAABBABBAABBABBAABBBBBAABABAAAAAAAABABAABABBAABBBABABBABBBABBAABBABABBBBBBABABAABBBABBAAABABA
BBA AABA
BBABABAABAABAAAABAAAABAAABAABA AABBABAB
ABAABBBB $
BABABABAAAABA BB
ABBABBBAABA $
BAAAABBBBB ABBABA
BAABABBAABB BAAAABAABABBBABBA
BB BABBBBBBAAAAAAB
BABA BAB
BAABBABAABB ABBAABBABAA
BBABB BBABABAABAAAAAABAAAABAABAABBAAABAAABAAAAAAAAABAABAAAAAAABAAABAABAABAAAABAAAA
BBBABABBBAA BABAAB
BABBBABAAAABABAABABABABAAABA BBAA
BABABB B
BBABAAAABAABA BABABBBABBAAABBBBBBBBBBAAAAAAABAAA
AAABBAABBBABB BABABBABBBBBB
AAAABAA $
ABBAAABB BBB
AABAAAB BAAA
BA BB
BBAB BBAABBAAABAAAA
ABBAA BBAABA
$ BABAB
B ABBAABBABAA
B BBABBAAABAABAAAAAABAAAA
BABBBAABAABAAAABABBB $
BABABAA BBABABAAAAAAAAAB
BAB A
$ BABBABABBBABBAB
BABBBBBAABBBBBABBBBABBBAABABBBBBBABAABAABAABABBBBBABABBBABABBBABAABABABAAAABBBB BAA
BAABAAAAAABBBABBBBBAAABBBABBAABBBABBBABABBBABAABAABAABBBAABBBAABBBBBBBABAA BAAABBABBB
BABBBB ABBB
AABBAB BBABAAAABAAAABAA
BBABA BAAABBABAABBABBAABBABBAABBBBBAABABAAAAAAAABABAABABBAABBBABABBABBBABBAABBABABBBBBBABABAABBBABBAAAB
BAAAABAABABBBABBA BAABBBBAABBBBAABAABBBBBA
AB ABBAABAABABBB
BABBB BAABA
BAAAAAAABAAABBABAABABABAABBABBB BBBBBBABBBAA
BABB ABBBBABAA
AABBBA BBABBAAAAAABA
BABABBAABB BAABAAABBBBA
BBBABAA BAABBBAAABABAAAABB
BBBBAAABAA BAAABABA
BAABAABABBAABBBBAABAABBBAABABBB BAAABBAB
BAA AAAAA
BBBABAAB $
BBABAAABAAAA BBABBAAABAAABAAAAABAAB
BABABBBABBAAABBBBBBBBBBAAAAAAABAAA BBABAAAABAABA
BABABAABAABBB AAAA
BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAABBB BABABBABBABBBBB
BBBABB ABBBABBBABA
AAAA BBABAA
AABBB ABAAABBABBBAABAABAAABB
BBAABBAAAAAABAAABAAAAAABAAAA BBABABAABAABAAAAAA
A BAABAABA
BBAAABAA BBABBAABA
B BABBABABBBABBABB
AA BABBAABABBBABBAABBAAABA
ABBBBAB BABBBBABBBBABBBBAAAA
BBABAABAA ABA
BABBBBAAB BABABB
B AA
AAA A
BBBBAAAAA BBABAABAAAAAABA
BBAABAAA BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABAA
B BAAAABAAABBABBBBAABABBBBABAAABBBBBABBBBBBAABAABAB
BAABBAA BAAABB
BABAABBAABAAAAA BBABABAAAAAAA
BBAABAA BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABA
BBBAABAAAB ABABBBBB
AABB BBABBAAAAAA
ABBAABBABAAA BAABBABAABBA
$ BA
BAABA AABAA
BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABA BBAABAA
BABBBBABBBABABBBB BABBBABBAB
AABBBA BBABBAAAAAABA
BBABAABAABAABAABAA BBABBAABABA
A ABBBBBBAAAABA
BAABAAAABBB BAAAABABB
A BABBA
BBABAAAAAAAAABAAABAAAB BBABBBAABAAABBABAAAABA
A ABBABAABAA
BABABBBBBAABBBBAB BBBBBA
BABABA BBABABAABAAABAAB
BBAAB BBABABAAAAAAAAABAAAA
AB BAB
BBBB BBB
BBABB BBAABAAAA
BABBABAABAB BAB
AABBBBBAABABAAAABBABAB AABAAAA
BAAABABBBABAABBAABA B
B BBBB
AAB BBBBBA
BAAABAABBBAAB BBBB
BAAABABAABABAB BBABBAA
$ B
BAABABABABAABAAAAABAAAAAABAABAAAAABAAB ABABBA
AAAAB BABABABAAAAABAB
ABABAAAA BBBAABBAAABB
BBB ABBAABBBABABA
BABBBBAABABBAABBBAABB BAAB
BABBBAAABAAABAAB BABBBBABBAABAB
BABBBAABAABAAAABABBBBABABBA BABABBA
BABBBBABBBBABBBBAAAA ABBBBAB
AABBB BBABBAAAAAAB
BBAAAABAAABAAABA B
AABB $
BBABBAAAABAABAA AAABAABBABAAAAAAAAABBABABA
ABBABAAABA BAABAABBBABB
ABA BB
BBABBBBABABBABBAAABBAAABBBABA BAAABAAAABABBBABAABBBBBAABBBBBABBBABB
AABAA BABBAB
BABABBB ABAA
BAB A
BABBABA BAAAABABBAAB
AAAB ABBBABA
ABBABAA BAABABABBAA
BABAB BABBBAABAABAAAABABBBBABAB
BAAB BABBBABBABA
BB ABBBBABBBAABBAB
BABBBAAAABBABBABBAABBBBAAA ABBBBABAAABBBB
AAA BAABABBABAABAAAABAA
BBA $
BAAAABB BABBAABBABBAABA
BBAB AAA
ABBAAAABAA B
BAAAABABBBA BAABAAAABBBBA
BB ABBBBABBBAABBAB
B BABBBAABAABAAAABABBBB
ABA BBBBAABB
BBB ABBBBBABAABAA
BAABAAABBB AA
BBABBAAAAAAB AABBB
BABAABB BBABABAABAABAAAAAABAAB
ABABBBABBB BABA
BBAABBAAABAA BBABAB
BAAABBABB BAABAABABBAABBBBAABAABBBAABABBBB
BABA AAAAABB
BAAABBBABABBA BABBBBBBBBBAB
BBBBAAABAAB BAAABABAB
BB BAAABBABAABBABBAABBABBAABBBBBAABABAAAAAAAABABAABABBAABBBABABBABBBABBAABBABABBBBBBABABAABBBABBAAABA
BAAAABAABBAABBABBABBAABBBBBBBABAABBABBBABB BB
BAAABBAB A
BBBABA BA
BBAAABA BBABBAAAAABAAAABAABAABAABAAABAABAABAAAAAAB
BBBBAABBAAAAAAAA A
BAAB B
ABBBBABBABA BAABBA
BABAB $
$ BAAABBBAAAAA
BABABAABBBAB $
BAAA BAAAABAAABBABBBBAABABBBBABAAABBBBBABBBBBBAABAABABAAA
BBABAAABAABAAAAA AA
BAAABBABABABBAAAAAABBABBBBAA A
AAB BABBBAABAAB
BBBAAAAAB A
BABBBAAAABBBAABABAABBABBAB BB
BB BABABABAAAABA
BABBAAA BBABBAAAAAABAABAABAAAB
BAABBAA BABBABBB
B BABBBBBBA
AAAAABBAAABBAAAABB AAAAA
BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBAA ABAA
AA BAAAABBBABBBBBABAABA
AA AB
BBAAABAB AB
BBAABB AABAAA
BBAABBAAABAAAA BAABBBBBAAAABBBBABAABBABAABABBBBBAABBBABBABBBABBBBBBAABABBBABABAAA
BBABAABAAABAAA BBBABBAAABAA
BBBBAABB ABA
AAAAABAABABAABBBA AAABB
BAABBBBAABBBBAABAABBBBBABAAAA BABBBBBBABBABBABBAB
BBAAAB $
BB ABB
AABBABABAAB BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABAAAAABA
AABAAB $
BABABABAAAAB BABABBBABBBA
BABABABAAAAABBA BB
AABBBABBBBBB BAAAABAABABBBABBABAAAA
BABABBA BABBBABAAAABABAABABABABAAABAB
BA $
ABAA BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBAA
BBBABAA BAAABABBAAABAAAAAABB
BBABBAAAABAABAABAAA AAABAABBABAAAAAAAAABBABABABAAA
BAABABABB BBAABBAAAAAABAAABAAAAAABAAAAB
BABBAAABBBA BAABAAA
BABABBBA ABAAA
BBABBAAAABAABAAB BAABABABBAABAA
BAABABABAAAB BBABABAABAAAAAABAAAABAABAABBAAABAAABAAAAAAAAABAABAAAAAAABAAABAABAABAAAABAAAA
AABAA B
BBBABAAABBAA BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBAAAAA
BBABAABAAAAAABA BBABBAAB
$ BBBBAABBAAAAAAA
AA ABBBBBAAAABB
BBABBAA BBABBABAABA
ABBA ABA
B BBAB
BABBABBAABABBAAAAABAAABAAABBABAABBBAAAAABAAABABABAA BAAABABAABABABBA
BBABBAAAAAABA AABBBA
BBBBBBABBBAAB AABBA
ABBBBABBAB BAABB
BAABBBBAABBBBAABAABBB BAAAABAABABBBA
AA BABAB
BABABBABBB $
BBABAABAAAAAB BAABAAA
BAABBBBBAAAABBBBABAABBABAABABBBBBAABBBABBABBBABBBBBBAABABBB BBBBAABBAAB
BAAAABAABABBBABBAB BAABABBAABBB
BBAB AAABAABBABAAAAAAAAABBABABABAAA
BBBAAABB BAABABABBA
BABABBBBBBAABBABBABA BABBABBBABBBBABA
BAABBBBBABBBABAABAB BBABB
BABABAB ABBBB
A BBABAAABAABAAAA
AAA BABBAAABBBABBBB
BABBBAABAABAAAABABBB $
BABABAABBBAABBBABAABBBAAABA BAAABAAABBBBABAABABAABABAAABAAABBABBBABBB
BABBB BABBAABAABABBABBABBBBABAABABBBBABAABAABA
BBABABAABAABAAAAAA ABBA
AAABABBA AAABBBAABA
AABAAABB BAAABABAABABBABAABBABBAB
BBABAABAAABAAAB BBBABBAAABAAABAA
BB BABBA
B BBBB
BBABAABAAAAABAABAA BBABAABAABAABAAABABAAB
BABABBABBB $
B $
BABBBAABA A
ABBBB BABBAABAABABBABBABBBBABAABABBBBABAABAABAA
AABBABAABBBBABB $
AABBBA BBABBAAAAAABA
BAABBBBAABBBBAABAABBBBB BAAAABAABABBBABB
BABABBBBBBAABBA BABBABBBABB
ABBAAABBBBBA BAB
B BAB
BBABB BAABBBBBB
BABBAAAA BBABBAAAAAABAABAABAAABA
BAAABBABABABBAAAAAABBABBBBAA A
BAAB BAAAA
B AAABBABAABBAAAAAB
BABABABBAABBBBBBABBBBBBAABBBABAABABA B
BABABBBBBBAABBABBA BABBAA
BB BBAAAABAAABAAABAB
BAABBABAABB BBA
BAABABABABAABAABAAABAAABAABAAABAA BBABABAAABBAAA
BABABABBABABABAABAABAAABAAAABAAAAAABAAA BBAA
BABBABBBBBBBABAAABABBABAABABBB $
BAAABABABABBAABAAABAAAB BABBA
BAABA BBABBA
AAA BABABABAAAAAB
BBAAAB BBBABABAA
BBABABAABAAAAABAABAABAAABAAAABAABA BABABABBAAAAAABAAAAABAABAAAABAAB
A BABBBBBA
BBABAAAAAAABAAABAABAA BAA
BBABAABAAABAAAB BBBABBAAABAAB
BABBBBABAA BABBAABABB
AAABBBABABAA BAB
BABABABAAAAABA AAAA
$ AAAAAB
BBAAAABAAABAAABA B
BABBBAB BAABAAB
BABBABABBBABBABB B
AABABAA AABAABBBB
BABA BABABABAAAAABABBBA
BBABA $
A $
AABBAAAAAB $
BABBBAABAABAAAABABBB $
BBAABAAAA BBABAAAAABAAB
BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABBAA AAA
BAAABBABAABBABBAABBABBAABBBBBAABABAAAAAAAABABAABABBAABBBABABBABBBABBAABBABABBBBBBABABAABBBABBAAA AAABBBAABA
BAABBAAAABAABAAAABBAABAAAAABA AABBBAAB
BBAA AAAB
BAABAAAAA BABAAABABBBBABBABA
BBAABAB BBABBAABAABA
BABBAAABBBABBBB BABBAAB
AA BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABBA
BBABABAAABBA BBABBAABAAAABAAABAABAABA
BBABBAABAABAAAA BBBA
BAAAAABABBBABAABBBB $
ABBB BABBBB
AAAABAAAB BAB
ABB AAAB
BAABBA ABAAABBABBBAABAABAAAB
B BABBBAABAABAAAABABBBB
BBABAA AB
BAABABB BABABBBAB
BAB B
BABBAABAB BAAAA
BBABBAABAAABAABAA BBABBBAABAAABBABAAAA
$ BABBABBBBBBBABAAABABBABAABABBB
BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAAB A
BAA BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABAAAAA
AAB BABBBBBAABABABBA
$ BBA
BABABABAABB BAABBBA
BBAABAAAAAAB BBABABAABAAABAABAAA
BBABBAAAAAAB AABBB
BABAAAB ABAAAB
BBBABBBBB BA
BBABBA BAABA
BBABAABAAABAAABA BAABBAABABBBABBBBBBABAAAAABAABABABBAAAAB
BAABABABABAABAABAAABAAABAABAAABA BBABABAAABBAA
BABBBAABAABAAAABABBBB B
BBBABAA BAABBBAAABABAAAABB
AABB BAAAABBAB
BABBAA ABAABB
BAAB BBABB
BABBABABBBABBABB B
BAAAAABBBBABAAABBABABBAABAAABB BBBABBBBBBA
B BAABBABAABBBBAB
ABAAABBABBBAABAABAAAB BAABBA
BAABAABABBAABBBBABAABAAABA BABBABABBBABBABBBBABA
AAABB BBAAB
BBBABBAAABAAABAAA BBABAABAAABAAABA
$ BBBABBBBB
BAB BABBBAABAABAAAABABBBBAB
BBB BBBBA
BAABA AABAA
BBABBAAABAABAABAA BAABBAABABBBABBBBBBABAAAAABAABABABBAAA
AAAAABAA BAAA
BBAA BABABABBABABABAABAABAAABAAAABAAAAAABAAA
ABBAAA BAAABAABB
BABABAB BBABBAABAAABAAABA
BBBABAABABBAB BAAAAABABBAAB
BABB BABAB
BBBBB BABA
BBABABAAABBAAA BBABAABAAAAA
ABAABBBBAA AABBBAB
A BBB
BAABABABAABAABA ABBAABABBBAABABAAAB
ABBAABBABAAAA AAAAABAABABAABBBAAB
AAAABB ABBAAAABAAA
BA $
BBBABBBBB $
ABAA BABAA
BBABAABAAABAAAB BBBABBAAABAAABAA
$ BABABBABBB
BABBAAA BAAB
BBAABAB BABB
BABABAA A
BAABAAAB BABBAAABBBAB
$ BAAABAAAABABBBABAABBBBBAABBBBBABBBAB
$ BABBBB
AAAB BBABB
AAA BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABBAA
BABBAAABBBABBB BABBAA
ABA BB
BBBAAA BABABAABABBAA
BBA BA
BBABABAABAAABAABAAABAAABAAABAAAAAABAAABAAAABAA BBAAABAB
BABABAABABBAA BBBAAA
BBAAAABAAABAAABA B
BBABBAABAAAABAAABAABAABAAA BBABABAAABBAAA
BBBBBABA BABBBBABBABBA
BBBAAAA AAA
ABAAABBABBBAABAABAAA AAB
AABBAA ABBBB
$ ABBABAABA
BAAAABBABAB BABBA
AAAABAAA BA
$ BBABAAABAABAAA
BABBBBABBABB BABBAAAAAABBBABBAABAAAABBBBAAABBAAAAAAABBBBABA
AABA BAAABBBABABBAA
BB A
BA $
BAABBABABAABABB BAABBBBABABABAAAABAABAAAAAAA
BABABBBBBBAABBA BABBABBBABB
BABBB BABABB
BABABBABBABABBABAABAA BABBABABBBABBABBBBABABB
AABBBBBAABABAAAABBAB AA
ABBBBABBABA AB
BBABBAABAAABA BBBBAAAAA
BAABAABBBA AABAABAAB
BBABABAABAAAAAABAAAABAABAABBAAABAAABAAAAAAAAABAABAAAAAAABAAABAABAABAAAABAAAA BBABB
BBBBAAAAA BABBA
BABBAAAAAABBA BAABBBABABAAABBBABBAAABBBB
AABAA B
BBABAAAABAAAABAAA BB
BABABAABABB BBBA
BBBABBAAABA BBABAABAAABAA
BABBABAABA BABBBB
BABBBAAB BABBBAAAAAAA
BAAAAABABBBABAABBB ABABBBA
BAAABABAABABBABAABBAB BBAA
AABAB BABABBBBA
BBABBAAABAAABAAAAABAAB BBABAAABAAAA
BABA BABBBAABAABAAAABABBBBABA
$ BBABAAABAABAAA
BBA BAABABABBA
BABBAABBBABBBAABAABBBBB BABABABAA
BABB $
BBBBBAB BBBABAAABBAAAA
BBBABAA BAABBBAAABABAAAABB
ABBBBBABAABAA BBB
BABBABBABBBBBA BAABBBBAABBBBAABAABBBBBAB
ABAA B
BAAAAAAAAA BBBABAAB
BBB ABBAAABB
BAAABABAABABAB BBABBAA
BABBBABAAAABABAABABABABAAABA BBAA
BA BBABBAAABAAA
BAABBABABABBAABAA BBABBBAABAAABBABAAAA
$ BABAB
ABBBBABAA BABBBBABBBBABBBBAAAAAA
ABABA BBABAABAAABA
A AB
B BABBBAABAABAAAABABBBB
ABAA BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBAA
A ABBAAAAAA
$ B
BAABBBAB ABABBABBA
BABBAABABBBABBAABBAAAB BBB
BAABAAAABBBB BAAAABABBB
BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABA BBAABAA
BABBAAABBBABBBB AAA
BAABBAAAABAABAAAABBAABAAAAABABA BAABABABAABAABAA
BAAAABABB BAABAAAABBB
AABAAA BBAABB
ABBB BABABABABBBBBBBBBABAA
BAAAABAABABBBABBA BAABABBAABB
BAABA BBABABAABAABAAAB
BABA BABBBAABAABAAAABABBBBABA
B BBBABBBBBB
BABABBBBBBAABBABBABAAB BBBABAABAB
BABABABAAAAABAB AAAAB
ABBB BABBBAAAABBABBABBAABBBB
BBBB BBBBB
BBABABAAAAAA BABAABBAABAAAA
BAAABBAA BAAABAAAABABBBABAABBBBBAABBBBBABBBABBB
BA AABBB
BABAAABABBBBABBA AAB
AAABAAB BBAABBAAAB
BAA ABBAAABBAB
BABABABBABABABAABAABAAABAAAABAAAAAABA BB
AAABBBAABA BAAABBABAABBABBAABBABBAABBBBBAABABAAAAAAAABABAABABBAABBBABABBABBBABBAABBABABBBBBBABABAABBBABBAAA
BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAAB BABABBABBABBB
BAB BBBABBBBBB
BAABBAAAAAABAAB BAAABBABAABABBAB
BABBAAABBBABB BAABAAABB
BAABAABBBA BABBBAABAABBA
BAAAABBBBBABBABBBBBABBABABABA BBAAAB
AA BABBBAABAA
AAABABBA AAABBBAABA
BABBAAAAAABBA BAABBBABABAAABBBABBAAABBBB
A BBB
BBAABAAA BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABAA
AA BAAABABAAAABA
BABAABBBBBBABAABAABBBAB BABBBBBABBAAABBABA
BAABABABABAABAAAAABAAAAAABAABA BABBAA
BABBAAAAAABBA BAABBBABABAAABBBABBAAABBBB
BAABBBAAABABAAAABBA BB
BABBBABBAABAAAABBBABAAAA ABABBBBABBBBAABABAABBABBBABAAB
BABBBAAABBA BAAABBABBBBBBB
BBA BAABBABAABB
BBBBBABAB BAAAAABBBBABAAABBABABBAABAAABBAAA
BABBBBABBABB BABBAAAAAABBBABBAABAAAABBBBAAABBAAAAAAABBBBABA
BABBAABBABBBBBAABABAAAA BAAB
AABBBBBAABABAAAABBAB AA
BBABB BABAB
ABA BB
ABBBAA BABABABB
BABB AB
BAABBAABBBBA BAABAA
AABBBAB AAAA
BAAAABBBBB B
B BAA
BAAB BBAB
BBABABAABAAAAABAABAABAAABAAAABAABAA BBABABAAABBAAAB
BBBB BBAAA
AAAA AA
AABAABAA ABBAABBABBBABABABBABAABB
BBBABA BA
BABBAABAABABBABBABBBBABAABABBBBABAABAABA BABBB
BAB A
BABBBBBAB ABAABBABBB
ABBAABAABABBBB ABB
$ A
BAAABBBABABBAABA AB
BABA BBAB
BBAABBAAABAAAA ABBABBB
BBABAAAAAAABAAABAABA BBAAAB
BAAABABBAAABAAAAAABB BBBABAA
ABAAABBABBBAABAABAAABB AAA
ABABBABBA BABAB
