23703
OGfHUIGK GWkodKgK
GKWHK^^NFh Se
SeBj OP
SbEkaSjZjZ]jj OSnSjKKQj
G Oi`
SVMkn`KD SkV_j^UGpWM`Qh
OFKmGUf OoRqmhPDRJRrRrj[Q^nfjkeeOKUogW
GWfGjKD pS
SV`M OPj^aIVjcFqTSogVKKKKKWWHZeAGGp`Mqb
OrIO Orm
Sk Dk
MOEBBMXBHHHWH SV``Mh`MkFBqMBH
SbqAEGqMqbnkjdFB OZaIWPibeBqMqqRR
GKWHK^^NF SAdheOKnpQaIcKNF^NFN
OE OSp
O`B GWBBqR
SeAnIqAGeKmDj^UPmQWG^npcLpYB GW[Gk`[```MhMfGYWeXmDeO
SV`YCMMf Sbf
SQkc\Wo OFX
GcW^kUjm\ OZnh^CaAT
OFKmeJEQ SjYkIkrm^YjTBW
O^YCaA[`MqjkXRXmEI Sk
OSha $
R SAnREcq
GWfGbVcGYGQGa SOKa
GKKWPNhAiQ^aaPSjQj]Rj]CBjjKQjBj SjCI`QGaS]jjjKQj]RjjZjKZjZ]C
$ a
GS\U\Sk OPcfhMfKaLEckZnhoqmbBJaG
OEgJQEIc^kIYKeBR OGHZOqbkZUBB
OnZWHh SeOY
OnZWHh SeOY
GWWg\SGBhMfnc^j[MKnpcaPSBjjKZjZ OSpcS]RjQjB
GWPmQKChbn`aEL Sjj`a_
GKWfG^aLhUmMjk`akAjBh GWWGUGk
F_FB SVMqVMKnqjcncknRh
SAZUeBMBWHWH MOEBBMXB
Sj SjjW
OPjKhkkeAdDkK GWPkBqmiQ`a
GKKW\SG^UkhcLpYC OSn
SbGGKaaPaPSBj]RjjKKKKZj On`TBfkaSBjjQjjjBjjKCKKZjKKKKfQjj
GWfeJQ^QndKelJadkaYI Sjj^U\SBJaM
On`WPmiih OGPmhJ
GKWGk`co SANZB
OecXd SbKnpQU
SAdHoKmZBRSeBS GLom\g
OZUfkUWHISOkEeBqSBqmbkUeBR OPrch`MnkOYkeOfnWBBM
GWPkBqmiQ`a OPjKhkkeAdDkK
GKWeB Sej
GWeBBHWHWWWWWWHHWH SdgfeBHBHWHaWHHWW
GKKWeIOZaLL OGBJa_L
OnRpc j`aZqmihQTg\BWElIVViRn
SjkIY[MGkFqmihPDRrRrjPDjA GmeBRYD\SeXIOFqmhAiiahEi
OZUGdGfW_ OZnEiecKa
SbKnpQUknLA Sk`QjdVeKmgknEd
kSOYcW OnX
GKKWBKIO pO
SAEH DW\SoYW\`WdH
OSEiX^c SOOnn
OEPmh[Q`QdWeKmMkV ZA
SebYKGn SVMXrHSASf
SVMGYWGj`a^caA^n OPieNHoJaDAdhYjKRJWeqmQV_BnEkAPqiXRJQd\BWHn_WBXmdBJa_
Orm [WWRBBWHHHHWHHHHW[
SebnTgf\BW_dKWeBqBH OPpj^UeBMMBH
SAn``aRXIOrm^cLE_qMnVNZB P
OZUXG^aS]CjQjjZ]CjKKTj SbqkVNESjKKQj
Skekr SV`MG
OrmDkKGUWjdGomfkTemhAFqomb GKW
OEeqmbHaWWdGq``MqO OFeZqmEQ[
GWPmhPUrjPDjPDj BOhSnqTBBqmhEh
SAPcKUHISVMKa qAZa
OZaaPIT GKKWkndKKKKKf\
Sj^UfGdZUWgGj^UeJaH^^aL GWBKIOPiI
SeAGWHWGKWogKKKKKKCm GKKKWf
GW OVH^k`K
OEPmbBBq GKWHUIOFJaeKIOGWeEBq
SejqK\UHZbqkkjCLrpYp``IMqbfY^UW OZUGdd
EGW\OS`KU Sk`aDVMYW
OP^YBYWWeqm OGomG^UHISk`QdPmii
Sejp`MhMhMKU_Ja SkKRKIGKWBJQ
pKWGYYCaATeLmQWPmhA OFKmZXmRqmiii
OG\q OnecknXHFqVcY`QeKmgkaI^Uf
SAnecfGYkj^nnIVj SV`
O^YCaA[`MqjkXRXmEIV SkV
OdOHoBqMBHWWHH GWH\FBqBHHWHWHHHHWWW
kSOYcW OnX
GWkaaPa OE_mkaa
OEfeJagBBqSeqmhPDjPUrRrRrj[QWeqmbPmh N
SbY`aEaA`QDAFBSGdE\gknpYY SOkSpcaAkOY`agBBqMMSW_dKKWWDbknOMbGnKhVMKUG
GKKKqWfWEa SOKnnaPa
OhEYcqOhUMkFB SkKZJQZKm_n
On`WPmiih[ GWHZk`aeJQRqmmi
SAdgkUBXISOY`Q_h^ke OZUB
OrmdG GKKW\SG^UkhcLpY
GWPmhPUrjPDjPDj BOhSnqTBBqmhEh
OGWhVMY[`MfGYTBGCI`QGaIKeJQEaA Sj
OGMeqLhEbG Od^Y
SAnX^caPLnLhK^^NF^b Onej^aI[`MYVjVj^aaPIcK^
Sj^aaPSjK OComPSQ^aS]RjjSK
GWB\aDk`agnG^UoI GWWdkUWHWI
pOUX S
OPNGUomPmh[ dPm
GcW^kUjm\ OZnh^CaAT
Sjj^U\SBJaM GWfeJQ^QndKelJadkaYI
GZIc GWPmQWeqmQTBeJQ^caAkbkGPmiQWo
SOn`QhAn`c SZVMYc
GKWHUIOFJaeKIOGWeEBq SjjK_EiXGaIKg\gPmibBBM
OnIUkUkaSB GKW\gBqmibHIS
OPNZXIOFqmQ OrJISbKnh\PjTgPmhAQ
OZUGp`` SZjdZUWgfp
Sk`QjdVeKmg OEeKIOE\BkU
GWB\aDk`agnG^ OrIOFBMSeJQGaLpQ
GWPmhPUrjPDjPDj BOhSnqTBBqmhEh
OGBJa OGeKmDkkeVMYaK
OPNMO VqqrMZ
GWeJagPmbeJQMV```MkE\BGddEf GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWka
SVf`MqbfqejBYWPmobQBBSeqpih SbqbKUHgqTSPmhPDRrj
SOK SjCIcoKIKWbk
OFXm OZaaaaAK_dWBJQ
Vnm SOGYViX^Yjc^dS
dGWSBX\AHqmbGCS GWW_dWknpcS
OerSbU\ GWH
$ SjBqee
$ GWkaaAkkk
OFXIGWGYV_CIcUmZBqFq SV``MnWfPmQcUmgknENeJQeB
SbY^UW^Qn \ncOUcOR
GKWHUIOFJaeKIOGWeE OEPmbB
OdGnEiRn Orm`HHeaWkaaA`QMjkYj`ao^Qra
Sk SAdRUKr\IS_k
GWMaaHA[`W`MnK_pcaNI SjYBGfnVj
\ OdZqmbHUmZKm_qp`MqbG
SVMKnE OnIfqV`MgKnnIkekV
Sjm^aaPQLqhjT OPiInK^QUBJ
Sk[``Mfn`a_dKKKK GoV
GKKWHZAFJQHoJaeKmRBMRBHHWHH rGKW\geBBHW
GKW\geXI V
p $
fOS GWHZ
OEPmh[QVNeKmhbfY`Q^Yj`a_naPS]jj]RjjKKKKZjZ SAdLQURHWfncISbKnnSS
GKWkaLh SArmN
OdOHoBqMBHWWHH GWH\FBqBHHWHWHHHHWWW
WVMhH` GWeJQeJQhAFXISOhMhMY[`
OZUXG^aS]CjQjjZ]CjKKT SbqkVNESjKKQ
SjYBGfn Sk^UBXmgPmiibH\Y_p`b``Mh`MYK^YpMGnkjQj
Oj OdDbY^aIV
GWG^ OEGjiOk_cKnEck
Sb SCeVMn[MfGKaaA
SekV GKKW\SG^UkhcLpYCLE
Q OSE_p`
SjmjKhkWBJQELqpMfn SbY
OFXmRqmQKDASqY^aaAkVMh``` WSk[
GWeJagPmbeJQMV```MkE\BGddEfS]CBj GKWWELpcSjKQjjKQj]jjBj
One_knIGk SkkbhMKndWPmiQcn
GWeJagPmbeJQMV```MkE\BGddEf GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWka
bO]SWK^K GKKKKWGY^UeJaHKNF
SkV_j^UGpWM`Qh SVMkn`KD
SVMfff OdZKHDbj
pOUX SeAFKIS
OZUH^YCaAkjYkei`KM R
OG ^G
SVMnKhArI EcWeI
GW OoRqmhPDRJRrRrj[Q^nfjkeeOKUogW
GWHgqKgHZ $
SkkekTBBqmQcgq _G
X GKWo
n On
O^YCaA[`MqjkXRXmEI Sk
OBqqB GKKWHZAFJQHoJaeKmRBMRBHHWH
OdjdZaa `CSOfkZQaLna
GWkaaAkk GKWWWeqmibBXmMV`MY
GWW SkcgIXV`MhMYKZXm
GWkUdSna OPNEa
GKWPmQKZqmiiQ OPN_dKKKWGjTBGYjV
KKKWfBBBHHW GWeBBHWHWWWWWWHHWHWW
Sbn` oSek`
OGBX SANZBX
SNTBomPmQVc OdHnc
GWeBBHWWWWHHWHWHHW [
SAPieiIKUfkaL n`KdOk
SFJaj^aLnLdWWEIKM OdD
SAGBJaELEjk SV`M
gPNd SVMqVMqOGYTg
SV`YCMM Sb
f O
MGWHjKGUP OFq
OGeKmDkkeVMYa GWkaI
OGHZVM \
GKKWkndKKKKKf\ OZaaPIT
GKW\geX SOfh``MqjBkP_kRqCIcZJ^aIkkc
GYPmQq[MdnRcn GWkn
GWn OS
AOP_Yp`Mn^UkUfk OEfeXmG
OPNGaIcKNj [
SV GKWW
OrmdG GKKW\SG^UkhcLpY
GWfGbVcGYGQGa SOKa
SAdZIBMSWR SjYpMkEe
SAP_ OnIqk[``M
SejjkkTSf GKN
SejqK\UHZbqkkjCLrpYp``IMqbfY^UW SOh`Mkd
GWPmih[QTBWHUmeBRBHW SRBqBWWZWWnHH
SjpMYV SVMhMn[MGfnVjKpH\djCgIkKP
OnXGUH\FXmEIVjVchMGn`agGCLpcLq SZjdZUWgf
RG OZnh
OG\BBJQeBSBJQZqmQKZBRMS\gG RFEJQHZjBqkej
OnRnLENdH\SE_dZn SVMXrHSASf
OGGkXREiXGn SkK^
OQUPBiI SAP
SAdDkKZjKmeqmb GWkU
OF IAF
OEfeJagBBqSeqmhPDjPUrRrRrj[QWeqmbPmh N
GKKKWB doW
SkWe Skcoqmbkn
` Se
SkkekTBBqmQcgq _G
SAFBqBWHHHWW SdgfeBHBHWHaWHHWW
OK OZUomWRKIOnej[MqOkP_^
K]nI OFqmQVcnkjj`Q_d
OFJQ` GKWfBJa
OFJaHUmg\BHncnTBBJa_nSjZBjjKZj OPiRnBjMH
GKKW\SG^UkhcLpY OrmdG
OZaaaaAK_dWBJ GWomeJ
SAEfnHZV``Mqbqj^aLd On`KMbGkPiRqBh`Mh``MY
OZaSBj] OrmeJMOn^npcLqYCS]
SVMKnE P
ZUhBLQ SV``MnWfPmQcUmgknENeJQeB
GKKKWeJQZXm O
G\ OdHa
See Sk[MMGqk^aLEjKrWHnjiaIk
O f
GKWGk`co SANZB
GW[Gk`[```MhMfGYWeXmDeO SeAnIqAGeKmDj^UPmQWG^npcLpYB
OE_mkaa GWkaaPa
Sj SjjW
j`aZqmihQTg\BWElIVViRn OnRpc
OP^YBYWWeqm GKWkUPmi
SVMfn`a^YYdHSqjKRqCQkjkRqk`T OZaaPLqjKRqmihEQT
Odhjkei` OShaWWDAd
OSEiX^c SOOnn
SA[BRS\SfBBRM GWeBq
SAZaS]jjjQjjQj] GKKWPNhAiQ^aaPSjQj]Rj]CBjjKQjBj]
OGWhVMY[`MfGYTBGCI`QGaIKeJQEaA Sj
Sjq WSk[``
GWeJagPmbeJQMV```MkE\BGddEf GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWka
OdOHoBqMBHWWHHH GWH\FBqBHHWHWHHHHWWWH
OrIOG OrmG
Sk O^YCaA[`MqjkXRXmEI
GWknp Sj^UfGdZUWgGj^UeJaH^^aL
Sk` SAdRUKr\IS_k`
SbYV GKKOKWkHWgKWomJeJIE
SkkjCSBjBj OZaaP
SeOh`MhMkFXmRqmQ^UeXm^cLpcSjKZ]jjBj]jjjVQjC OZaSjQjBjj
rGKW\geBBHW GKKWHZAFJQHoJaeKmRBMRBHHWHH
d GWf
GWka OrmeJMOn^npcLqYC
OnX^caATB\ EhWW
OnX^caATB\ EhWW
pKWGYYCaATeLmQWPmhA GWPm
OnIKnp RFEJQHZjBqkej
Sjm^aaPQLqhjT OPiInK^QUBJ
OEGjWeB DnRhQgqTr
GKKWeIO OdjYBk
GKKW GKWeJQRqmhQK^QaaATSW
KKKjKW OSdWfWeq
GmeBRYD\SeXIOFqmhAiiahEi SjkIY[MGkFqmihPDRrRrjPDjA
OEBBSG^MaAW GW\S
OE OcPjkk`QdBBqMS
Sbk a
OPclKR SOqk`aDkTBPm
SkWknqq bh
SV`MYKdGdSnIWkaLpQaaAkOkSd G\
GWBqmh[QkA Sjj`aK\BMS\Zbkne_dZaS]RjjKK
SjpM OPjKMbl
OComPSQ^aS]RjjS Sj^aaPSj
MOEBBMXB SAZUeBMBWHWH
GW\OgBqm OFqm
DW\SoYW\`WdHK GWfWHKNF
OFJQDjdEomkaaATSGCaATBHUI GKWBqm[hEb\gWeX
OPNZXIOFqm OrJISbKnh\PjTgPmhA
Sk`QH_qe SkTgGjKjk`Vcfn
Sjd SbG
OrmeJMOn^npcLqYCS SAZaS
SAPi` H
SV````MqOqbGhMn`QgkUf\SPmbPmiQW\ XSOqbGkPdiX
OrISArIGWeKISkkjq`B``MhMfY[`MK Sjq``MkrISeAFqmibkaLEj^
RGWfW^g GKKWknhoXIGKKW
GW\SBWMAFqmihAbWH^d SbYcaWBBRqS\g\SeJQ
GWkaaAkk GKWWWeqmibBXmMV`MY
OSnXLQn OZnEjkekKjkR
GNeqmbHN GWHFq`agogKWPmh[QcK^^^^^N
Sk[ZMfQfGh`Mk Sej^nnI[MKn
SO Od
OZU OGBqmbfkaKaAW\g
SjjcK^^^^^^^^^^NF^Nh SVVnfhMq
OEPmQ`QH GWHFqV_^nqkiRnQH
GWogWWRJQdf\geKISAdeX LA
SkSpYp Sebh
E[ba OSENMO
GKW\gPmiihEhPDj[ibeqmbomkUeKIOS SOOnnL
SV`MYKdGdSnIWkaLpQaaAkOkSdK G\K
OZUXG^aS]CjQjjZ]CjKKTj] OSnS]
dGWSBX\AHqmbGC GWW_dWknpc
OrmeJMOn^npcLqYC Od^c
SAnREcq R
YP $
GW\BBXmRJaHI J
SVMfn`a^YYdHSqjKRqCQkjkRqk`T OZaaPLqjKRqmihEQT
GKWWeBRMSkaa ljaaUa
OEWESB XKW\SPmh[h[TQTBkaSBjjKZBjB
SejqK\UHZbqkkjCLrpYp``IMqbfY^UW SOh`Mkd
$ YP
OP_jkejq``MkdZJQD fOS
SkVcffkd SaVN
GKqKWGdEPmQ SeVMfh`MhMGknXH^pMfh`
GPmh[bBa[XTI OFKI
SAEeqmhPDRrRrRrRrRrRrRrjAQ pjK
fOS S
OFJQELpYCSj On`TBfkaSBjjQjjjBjjKCKKZjKKKKfQjj
SjdP_^aLp SjpMnc
GfG^nEcqjdgZ OZnEcK
SjCSjKQj]CjBjjBZBjBj] SAZaS]
JVhMN OdD
OnRhUmHIGWeBqRBWHH KKKWfBBBHHW
O^YCaA[`MqjkXRXmEI Sk
Sj G
Ui GW\So
GKKW\gPmbf OEBqmhbUmhPUrj[QKeXm_nnIW
OFJQ` GKKKWBJQZXIOGHIOEBJa
Sejp`MhMhMKU_Ja SkKRKIGKWBJQ
GWfGbVcGYGQGa SOKa
OSnSjKKQj SbEkaSjZjZ]jj
OGfHUIGK GWkodKgK
OnXgeXmELEiecnW\SkUBKmRKmH GcW^kUjm\BH
OGfWZXmRJ OrISjke_^UeqmiiihPUrRrjPDRrRrRrjPDjAi
OZUPmib\a GW\
mrmOGhaI SbGnKELEiIqkVjTBGj`QjdrISjj
YP $
OqmQ SjYj
GWkodKgKK OGfHUIGKK
SkTSHommJiQWk GWWG
OSn SVoMnT
Sek[MhMn GZI
Sjd SbG
OEknhgqTgkaSjQjj GW\BHIGWGCIcZjCSjZBjBjZj\KKQjjK
GKKbWBXI SAdeKI
GKWWgBqmihAQWHaWeBMBW rGKW\geBB
SANZ OG
O^YCaA[`MqjkXRXmEI Sk
SebnhM GWHgqkkkj
GWogWG SOj
GfG^nEcqjdgZ OZnEcK
GWPmQWBBSHgqcISVMn`Q OEHncKUPme[Mn^UBa
SjCaP [OndHRn
BBW SAdjYq`MYkVMKUeJQe
OZUXG^aS]CjQjjZ]CjKKTj OSnS
OZUB SVMkSE
p $
GKKWXeLmQOkE GKKWkUf
GKW GWkm
GWBXIOrmeKIGWW^ GKdKWBmH\P_kXNph
SAZUeBMBWHWHHHH MOEBBMXBHHH
IA O
One M
OPj^aIVjcFqTSogVKKKKKWWHZeAGGp`Mqb SV`M
pS OnInke
GWHgqKgHZ $
OdgBBBHH SdgfeBHBHWHaWHHWW
GoVWG OZnEj`QDV`MKnq^npY
OE\BBqmibBqmbfGp`````MfkG\S`qmQTgknpQ OdjdZ
OSdKKWGqMKnpYC OSqdrISeebkZfn
OZUfkUWHISOkEeBqSBqmbkUeBRBW OPrch`MnkOYkeOfnWBBMBW
OVH^k`K GW
OnIUkUka OdGnEiRn
GWGjWPmbGYdPjKdeJ WPmh[irQ
GKKW SejUJ
WpY On``QDbn[
XKW\SPmh[h[TQTBkaSBjjKZBjBj GWkaaPaPS
OrmdG GKKW\SG^UkhcLpY
OFqmi GW\OgBqmi
OE\BBqmibBqmbfGp`````MfkG\S`qmQTgknpQa OdjdZa
SeMY OZnEcKnp
OFJ K
SOYkVMGfknXM GWf
GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWkaS GWeJagPmbeJQMV```MkE\BGddEfS
SAE DW\SoYW\`Wd
OIaI OFqmQ
SkKhV`MGkPcYkbh``MGYkeAShFqTB GWkodKgKKW
OnecknXHFqVcY`QeKmgkaI^U SbKCff
SkVj^UPmhEbPm pKWGYYCaATeLmQWPmhA
OZn\ GWH^Ca
SkcaW\BWMOkZUHK^NF^^^NFNFN TKKKKgKWPmimcKN
SjYq ObZdKWeqdibWhJek[P
S AGMEBqqAP_Bq
OnecknXHFqVcY`QeKmgkaI^U SbKCff
OPjcK^N bO]SWK^KN
GKKW\SG^UkhcLpY OrmdG
OEHUmRKIGWH e
OrISjke_^UeqmiiihPUrRrjPDRrRrRrjPDjAi OGfWZXmRJ
SAdRUKr\IS_k Sk
$ OP_CaATSfeKmZqmih
Odh OdeqmhAQWkU\gf\BH^dGogWG
SASpQnhZOhMhMncZbKPmKRJQjp``MG^Ufeqmb GKW\gf
SAG bGWe
Sjj`aK\BMS\Zbkne_dZaS]RjjK SVMfYKESBjj
SY GWknqq````Mq
GWPmhEb GWkodKgKKW
GW\SBWMAFqmihAbWH^d O
OdEacFq[ SjjWWH
WB OrIGWGjKdPmQkA
Odj^UBBRS\geXmGaaAWomWMA $
Odd\g gPNdf
OdeKm SO
OEPmQ` GWHFqV_^nqkiRn
OEPmQ` GWHFqV_^nqkiRn
GWpBJdM OPN^
OSnIK^Q GS\U\Sk
SkKZJadffkUH\ rOj
SbKaIcIOFX QOdgeXm^QUPmhAh\KRK
GKWkaLh SArmN
OZaaP] SkkjCSBjBj]
GWeBSPmQVi Ok_When
OZUBBSHncnWeBq IAFB
Sk`aZBS\g\ O_
SOfh``MqjBkP_kRqCIcZJ^aIkkc Or
_c OSE
OEPmbBB GKWHUIOFJaeKIOGWeEB
GKKWHI DGQWWZKI
Sk[``Mfn`a_dKKKKW GoVW
OEPmib GWDUkaNIcaK
SV``Mh`` WSk[`
SAdRUKr\IS_ S
X GKWo
dMA Sbn[Mk
OnIhMkSPNRqmQkkc OGH
OGfHUIGKK GWkodKgKK
GW\geKIOSdWW^QaSBjB OZSjKKZjQ
W\hgeJQhJc\FXm^QnKqkX OdDbnke
bGWe SAG
GWome OZaaaaAK_dWB
OGPmhPUrRrjEQ[MYKGa OPcRGhMfkdE
OGPmhPUrRrjEQ[MYKGaa OPcRGhMfkdEa
OPpj^UeBMMBH SebnTgf\BW_dKWeBqBH
S oSe
Od_qBkEGYY OdhdHW
SV[MqjCLdWPmbPmn OdHISkKZqm
X OPie
GrWG^npQU OFBS
ROPiR OSnL
XSOqbGkPdiX Odd\
Onech`Mknej Odl
OSh OPiRncIVcf`QHIGXH
GPmh[bBa[XT OFK
GKWH\necVnTUISW SOnTBfBJaD
OIaI OFqmQ
GbKq GKWkU
GWkodKg OGfHUIG
O OhEYcqOhUMk
OEPmQ^UogKKKKWeB GKWBCKIGKBB
SOfh``MqjBkP_kRqCIcZJ^aIkkc Or
GgKKKKW\BHg Sbn^aIWeBBW
SZjdZUWgfp OnXGUH\FXmEIVjVchMGn`agGCLpcLqp
SNTBomPmQV OdHn
GK $
SelhMGh````MKaIVjTSkaaA`a Orm
OGPmhJ On`WPmiih
SV SVV`j
GKKWogWZfeJQhe OPNZXIS
SejUJ GKKW
OP LOSE
SOf SV\MYNi`[```M
OPcY GZI
SAd^Yd f
GWf\SomBqmiiQ`aHgZ Sbn
O GKKKWeJQZXm
OZnEcK GfG^nEcqjdgZ
OnIfqV`MgKnnIkekV SVMKnE
OPN OneIc
GWPmhPUrjPDjPDj BOhSnqTBBqmhEh
SV````MqOqbGhMn`QgkUf\SPmbPmiQW\ XSOqbGkPdiX
Sk[``Mfn`a_dKKKK GoV
SkVcffkd OrmiMArm
OSE_p` Q
ieAdRpHY GKWG
SOkSpcaAkOY`agBBqMMSW_dKKWWDbknOMbGnKhVMKUG SbY`aEaA`QDAFBSGdE\gknpYY
OEgJQEIc^kIYKeBR OGHZOqbkZUBB
SVf`MqbfqejBYWPmobQBBSeqpihA SOqk`aDkTBPm
rSeOqVMY^Udj OnRh
OSEjWPmXQK OZUeqmQKj^UHFq`Q
BOhSnqTBBqmhEh GWPmhPUrjPDjPDj
Onech`Mknej Odl
GhWgg GWkU
MOEBBMXB SAZUeBMBWHWH
OEPmQ` GWHFqV_^nqkiRn
SebnTgf\BW_dKWeBqBH KWeBNMMMBlHCWWH
G\KWFPmih[Ai Od
SjmjKhkWBJQELqpMfnc OSh
SbY^UW hV`T
OrIOSnSBjB GWeJagPmbeJQMV```MkE\BGddEfS]CBjB
Ln`caKKKKKWG^ah\k[`` Sk[
Sk SOhMkPNgWhkTBfG^ndWWdPmb\BffPmi
OdeKmDAP mnV
rOj SkKZJadffkUH\
OEHZeOYTB GKWPmA
GWoD OSqdZUoV
SkTSHommJiQWka Sejp``MKa
OEW RGWfW^g
IAF OF
Sk`QjdVeKmgk GWkUW^Q
SjjcaKg^fomBSeqmhEni GKWBqm
SOkEBqm SjjcaKg^fomBSeqmhEni
SAEfeBMR_ GWBKmjkeiXRBRRM
SeOff^[MKnEdEYj[MknIkFqbem GKKKKKWfBqm
OShgq^a SVMXrHSASfn
Z SAPNEaA
OdeKm SO
SAEH DW\SoYW\`WdH
OPiRncIVcf`QHIGXH OSh
SOj GWogWG
OSdKWPmib SbKCff
OShaWWDAd Odhjkei`
$ a
OnXGUH\FXmEIVjVchMGn`agGCLpcLq SZjdZUWgf
OGPhAQ^U\Bo OGeBMRMSo
GNeqmbH SbfKnhK^^
X GKWknnL
SQkc\Wo On``QeJa^Yq``MqeeAdhAr
OPjcK^ bO]SWK^K
OEknpQUknna _bKaO
OGfeJaH\Ek gOdG
SbfKnhK^^ GNeqmbH
OPpj^UeBMM SebnTgf\BW_dKWeBq
Odd OdZqmhPDWkRrhjAbBBRqRRSr
SbGGKaaPaPSBj]RjjKKKKZjKZ SjYInnSBjBjBjBj
OFKISkkbGknXeJaheAddPmih[QcFq[MnkbkFBSWdWEaA`QMA WB
OdSnLd[IKKKW GWBqmbfWZJQ
OPieNHoJaDAdhYjKRJWeqmQV_BnEkAPqiXRJQd\BWHn_WBXmdBJa_ OnIkZn
OFK dMAr
GLWf\XGB OZnhZjjcFqVNZXIOdMbnVc
SASnI SK
SVMGGhMGqArm_dKWGYCSjKKKKKK GW\BHIGWGCIcZjCSjZBjBjZj\KKQjjKZj
Sk Sk^UBXmgPmiibH\Y_p`b``Mh`MYK^YpMGnkjQj
Sjj[`]Mqjq SbqV
SVdnd GKKW
GWWGUGk GKWfG^aLhUmMjk`akAjBh
KWeBNMMMBlHCWW SebnTgf\BW_dKWeBqB
OnIfYkejjK_hUm^YkRhqBIUffffHZ Od
SOhMkPNgWhkTBfG^ndWWdPmb\BffPmi Sk
OGBqmbfkaKaAW\gf GKKKWom
OPN_dKKKWGjTBGYjV GKWPmQKZqmiiQ
XKW\SPmh[h[TQTBkaSBjjKZBj SAGWdW^QnnLpcSBjBjjKQjBj]CBj]C
GW\SkUPmbogWfW VSeeAPN
GKX OdDAP
NSVM OEGCLhFqTBkUHFq`QjBKUGqMKUknp
GWgdWBXISeOqkYK OrIOrm
OrmdGCL YGKKWGBKn
SOh`MnVjkeebhMKUogKKKW GpPmChoAbA
SOqArmgBqmQVNEaAkV`MKaaPa GWkUdSna
OZnnS]C]Rjj GW\BHIGWGCIcZjCSjZBjBjZj\KKQjjKZj
OPjcK^ bO]SWK^K
SOqbGgnWHB GWBKmMOKnh
GKKKKKWfBq GWBXISkTgGYjkAZUBBS\S\gYP
SA[BRS\SfBBRM GWeBq
SOKUGjWWdHUIGWf GWHQZAGWhjYYBfqAneckGWhekWogKWffkndKWeqmbPmbBJQg
OGPmihAbe GKKKKKMkUWoR
SkkjCSBjBj OZaaP
SVMYcFqkA $
OFBSWe GbKqB
OdGnEiRn Orm`HHeaWkaaA`QMjkYj`ao^Qra
WrS SkKeBRqMMRS\SWeBSHFqVi`ke
OZndKWPmhPUrjPUrRrjEhAQ^npYYYq Q
GWAiAgqpd GW
e OEHUmRKIGWH
OSnLEckn GRBd_
SbqkVNESjKKQ OZUXG^aS]CjQjjZ]CjKKT
SE OdDbY^aI
SOY[ ObZdKWeqdibWhJek[P
qAZ OdDbY^
OrIOSpYke_^neP_jLjdEknnAV SAne
SjCIcoKIKWbk SOK
S Onei`KDkTgWgW^QUBJKQh
OGBB SkFXIOEWgpM^kjYqMKnENRB
GKKWPNhAiQ^aaPSjQj]Rj]CBjjKQjBj SAZaS]jjjQjjQj
d GWf
GrWG^npQU GKKW
OFqmQVcnkjj`Q OPieNHoJaDAdhYjKRJWeqmQV_BnEkAPqiXRJQd\BWHn_WBXmdBJa
GKWBKmH^BKn ^OS
SV`YCMM Sb
GbKq GKWkU
GoW OdDOqAGWeBS
Sjq``MkrISeAFqmibkaLEj^aS XKW\SPmh[h[TQTBkaSBjjKZBjBj
SOKaIKG GKKWeIOZ
OrmdG GKKW\SG^UkhcLpY
GjrK GWPmibGBkrIG
GWkaI OGeKmDkkeVMYa
OnREcGqOK gOdG
GWBKIOPiI Sj^UfGdZUWgGj^UeJaH^^aL
KhSKW SAdheAFKmdfWZ
SkT DkT
SVMqVMqOGYTg gPNd
GKKWBJaHncGYV_q``M GWBZkaI[UM
Ge GWPmQWBBSHgqcISVMn`Qe
SjCI`QGaS]jjjKQj]RjjZjKZjZ]C GKKWPNhAiQ^aaPSjQj]Rj]CBjjKQjBj
OE\jqmGiZQ`aj^Ek OGWMkTgeXmMbfhMkZ
OP_kXhOKUWd\g S_kTB
Sk`QMbnkbKaI GAfGp`\n
OFqmQK OIaIK
GWH\FBqBHHWHWHHHHWWWHH OPrch`MnkOYkeOfnWBBMBW
SejqK\UHZbqkkjCLrpYp``IMqbfY^UW SOh`Mkd
Ge GWPmQWBBSHgqcISVMn`Qe
GOPmbUogKKWXISAN OnIGGKUGYd
GWogWWRJQdf\geKISAdeX LA
SebkrjCIhOfYTgkGdng_hoJQGnpcL OnIkZn
OPN SbfY`agGldd
GcW^kUjm\ OZnh^CaAT
GWomeJQ OZaaaaAK_dWBJQ
SbqbKUHgqTSPmhPDRrjA OPclKR
m OnXH\dGndKKWo
Sjj[`]Mqjq` Sk`QMbnkbKaI[
OGW^ GKdKWBmH\P_kXNph
SkjZ Orm_dWWMAnRq
Vnm Sej^nnI[MKn
Sk SOhMkPNgWhkTBfG^ndWWdPmb\BffPmi
S OEGjca
GW\BGkXhOk^aS Od_nSjKKKQjBjjKQj
OnIfYkejjK_hUm^YkRhqBIUffffHZjY Sj
OrmMkKdWDeOnWPmQTB GKKcW
OG\geB GKWeXmjj
nDjp GKKWWDV````
O GKKKWeJQZXm
GKWHUIOFJaeKIOGWeEBq OEPmbBBq
GKKKKKMkUWoRJ On``
