33108
ABAABABA AAAAABBB
ABAABBAAAABBABBAABBBBAAABA BAAAABAA
BABABBABBBAABBAABBBBAABABBBABAAAAB AABABBBAABBABAABAABBBBBBA
BBA ABBAAAB
ABBABBBAB BBB
B ABABBABABAAB
BBBBBBAAB BA
AABAAB ABBABBA
BABABBABAAAAABBBAAABBBAABB AAA
ABBABAB ABAAAAAAAA
$ BBAABABBAA
ABA $
AAAABBAAAA BAA
AAAAABAB A
$ BBABABBBBBBBBBBBB
BAA BABBBBBBB
BABAAAAA BAABBBBBAABABBBBBAAAABBAABBBAAAABABABAABA
BB AAABAA
ABABABABBAABBABBABBAAAABBBAA ABBBBBB
ABBAABABBB BABBAAAABBBBAABABBBAAAABB
$ AA
$ BBA
BABABABAABBBBBABBBABBABBAAABAABBBBBBBBB A
$ A
AAA AAB
ABBA AAA
BABA ABAB
ABBAAAB ABAABAA
AAABBAAB BAAAAABBBBBB
BBBBAAABBABAABAABAAAAAAAABBBBAABBB A
AB $
ABBBBBB AABAB
ABBAABAA ABA
A ABBABBA
BBAABBBB AAAABA
AAA BAB
ABA BBAAA
A ABABABA
AB BAAA
ABB $
AA BAABAAAAABBABBBBABBABBBBAB
AAABBA ABAAABBBBBBBBBBBBAABABBBA
BA ABBBAA
BAA BA
BABAB BBBBBABBBBAAABBAB
B ABBABAABBAA
AAAAAB BBAABBBBB
AAABBABBB AABABAAAA
AAB ABAABBA
BAABA BABAAAB
AAB ABB
ABBBBB AB
AB A
A BBB
AA AAABAAABBAA
ABB BBAA
BABBBA AAAAABBBAAAA
$ ABAA
BA ABB
ABAABBAAAABBABBAABBBBAAABAAAABB BAAAABAAAAABB
ABBAAABAAAB ABBAABBABBBBBB
ABBBAABBABAB ABBBABBBB
ABABA ABABAB
ABBAAAB ABBBBBAABBBABAA
$ AAAABBAABAAAAAAABB
AA AABAABB
ABB BAABABABBBBA
BB ABBAABBBAAA
ABBAABAB ABBBAABBBAABBBABBB
BAABA BAABB
$ BABABBBAA
BBBABB BABABAABBA
AAABBAA BAAAAABBBBB
ABBBAABAAAAB BABABAABB
AAB BAABAABBB
ABAAAABA BABAABAAAABAAAA
BBAABABBBABAABBABBABAA ABA
BABAA BBABBBBB
A AAAB
BBBAAAABAABB BA
$ A
BBABBBABBBABB BBBBBBBBABBAABBBBBBBBAABABBB
BABA B
B BAABBBAAAAABA
BABBABABBBBBAAB B
AAAAAAAA BABAA
BAABABBBABB ABBBAAABBB
ABBBB ABBABAAAABAA
BBB ABAAAB
BBABBB ABBBBBABAAABBAABA
AB BABB
BABBBA AAAAABBBAAAA
BAAAABAAB BAB
AABB AAABABAB
ABBAA AAAA
B BAAAAABAABA
AAAAABA AABAAAABBAAABAAAA
ABBA ABAABBA
AAAABAABAAAABAA BAB
ABABAB $
AABAABABAAAAA BABBBBBABBBBBBAABBA
BBAA ABAAABBAABBBBBBBBB
BABBAAABB $
AAABAABAAA ABABBBABAABABAABBAABBBBBAABBBABABBBBBAABBB
ABAABAABBBBABB BBA
BAABAAAAA $
AAABAABBAB ABAAAABBAA
BBBBBBAAB B
BAAAAA BA
BAAB ABAAAAAAAAB
$ AAAAAAAB
AAABBA ABAAABBBBABAABBAA
ABBAB BAAABBAABAABBBABBBAAA
AB A
BAAAAAAABAAA AABBAA
AA ABBBB
BABABABAABBA BBAA
AABBB $
AAA AAABBAA
A AAAAAAABA
BBAAABBAA BAAAAABBAA
ABBAAAAA BABABAABABAAABBBBAABABABBBA
ABABABBBABABABBBA AABABBBBBAABBAAABBAAABBBBABBBAB
AB A
BBABB AAABA
BABABAABBABAABBAA BBAAAB
ABA AAAABBBAAABB
$ AABA
AAAA AAABA
BABAABABBAAABBB BABABAABBBAAABAAAABAAABAAAAAA
ABAABA BABAABAAA
BABAABABAAAAB BABA
ABBBABBABBA B
A ABBBBBBBBAAAABAAABAAA
BAABAABAA BBAABBBAABAABAA
AAABAAABAB ABBB
ABBABABBBAAAAA ABABABB
AAAB A
ABBA AAAABABBAB
B BABAABA
BBAA ABBBAAA
BAABAAAABAABAB AB
$ BBAABBBBAABA
A BABABABB
ABAABAABBAAB AAAABAABBA
BAAAABAABBABAAABBAABAB BAAAAABAA
AB BABBBAAABBBBABBBAA
BB ABAAAAAAAABBBABBBA
ABAAAABAAABBBBBB BAAAAAABBBBAABAB
AAABAABBBAAABBB BABAAB
BA B
ABAABABABA ABBABAB
ABAABBB AAAAABBBBABBA
BBAAAABBAAA $
ABBAABBBAB BBAAABBAAABBAABBBABABABABABABAB
ABBABABB BBBAA
BBB ABBA
ABAABABAABBAABA $
AA BBABBB
AABAAAAAABAAAAABBBBBBB ABABABBAABBABA
BABBBAAABBBABBAB ABAA
AAAABBBAB BAABB
$ BAABBBABB
BAB ABBABAABBAAAB
BAABAA ABAB
ABBAAABBBABB BABBBB
ABBBBBBAA ABBBBBBABB
BABABBBAABA ABAABBABBBBBBBABABBAABBBBBAAB
A AAABB
AAA BAAAAABBAABAA
$ B
ABAAABB B
AAABAAAABABBABAABA AAABBABABABA
ABBBAABBABABB ABBBABBBBB
ABABAABABA ABAABABABBABBBABABBABABBAA
A BABBB
ABAAA AA
BAABBBAAABBBBBBB AAAA
BAA AAAB
BAABB AABABAA
BAABBAAAAAAABBBBAAAABBB BAAABAAABAAAAABB
AAAABBB BABAA
AAAAAABAABABAB AABBBABABB
AAABBABBBBBABBBA BA
$ ABAABAABBBBBBAABBBAABBAB
BAAAABABAAAAA $
BBBAAAABBABBBB $
AA A
ABBABABBBAAABBBAAABBBBBABABAAABBB ABBAAAABABABBB
BABAABBAAABAAABAAAABB BABBBBA
AA $
BA A
BAAB AAABBAABBBBAAABAAABAAABBBBAA
ABB ABAA
ABABBABBABABBABAAAABBBABB AAB
BAB $
BABABAAAAABBBB B
A ABBAA
A BBB
AAAABABBABBA ABABBABBABABBABAAAABBBABBBA
BBABBBBAAA BAABBBBBAABABBBBBAAAABBAABBBAAAABABABAABAAABB
ABBBBBAB B
BABBB AAAAABBBAAA
$ AAAAAABBABABBABAAABABAABAAABAAB
ABBA AABAB
B BABABAAAAABBBB
AABAB $
A AB
AAAAAAABBBAAAAABBBABBBA A
ABBABBB BBAAABAAB
BBBABAAA BBBAABBBABBBBABABBAABBAABBABBAAAAAAABABBABBBABBAABA
BBB AAB
ABBA BAABBBAA
AAABBAABABBA BAABABABABB
A BABABAAAAABBBB
ABAABAAAAABABBBABAABBBBBABBBBB BBAB
A ABBAA
BBAAABBAABBAA BAAABABABABBABBBBAABABBBABBAABBABBBBBABBAAAAAAAABAABAB
BBAB BA
BAAA BAABABBA
ABBA BBBAA
AAA A
ABBABAABBAAAB BAB
AAAABAAB AAAA
$ ABAABABA
ABBBBBBB AABABB
ABAA ABBAABAAA
BAAB ABAAAAAAAAB
B AAAAAABAAB
AAAABABBBAAABBBA BAABAAAAABBABABAAAABB
BABBAAAABBBBAABABBBAAAABB B
AAAABAAAA AAAAABBBB
BA AABABBBAAABAABBBA
BABAAB BAABA
B ABAB
BAA $
ABABBBABABAABBA BB
BBABBBAA ABAABBBA
BBABBBAAA BAA
B AAA
$ ABA
AAB BBBBAB
A AAABBA
BBAABABBBBAAAB A
ABAAAAAAAAB ABBABBA
ABBBAAABBAA AAAB
A ABAAAABBBBA
BAA $
ABBBAABBABBB $
BAAAABAAAAABBA ABAABBAAAABBABBAABBBBAAABAAAABBA
$ BBAA
ABAAA ABBA
BABAABAAAA BABABABBAABB
AAABABBBBBBBBAABAAAAAAABBB BA
AABB BAABA
BABBBBBABBBBBBAABBAB AABAABABAAAAAB
ABABBABB BABAAAABBBBBABBB
BAAAAABBAABA ABAABBA
AA $
ABBAA BAABBAAAABBBBA
BB ABA
$ AAABAABBABBB
AB BBAAB
BBABBABBABABBB ABBBAABBAABBBABABBAAAABABAABABABBAAA
AAAAAABAABBBBBBABBABAAABABBAA AAABAB
AAAAABAABBBBBAAAAB $
BBABAA BAABBAAAAB
ABBBBBAB BABABBBBBBAAABAAA
BBA BAA
BABABAB AB
ABBBAA AAABAAABABAA
$ AABAAAABBAAABAAA
BAABAABAABBBAABBAA BABABAAA
BABABABAA ABAB
BABABABA BABAABB
BBBAABA ABBBBBAAABBBBABBBBBBBBBBBBAAABBABBBB
ABBBABAAAB BA
BAABABBB BBBA
ABBA BAA
A AB
ABAB BABABABAB
B AABABABBBABAAAA
ABAB $
AAABBA AAABBAABAA
AAA BABAB
BB ABBBA
BBB BAA
BAABAAAAABBABBBBABBABBB AA
ABBAAAB ABBBBBAABBBABAA
ABAABAAAAABABBBABAABBBBBAB B
AAAABBA BBABABABAABBAABABA
BBBAAAABBABBBB BABAAABBBBBABABBBBBA
ABABBBAABBBAABBABBBB ABABAB
A BABABABABAABAAABABBBBAAABBBBABB
BBAAAA ABAB
ABBABAA BBABABA
BAABBBAABBBA AB
AB ABABABAB
$ BBABBBBB
ABBBB AABBAABAAAABBBAAB
BA ABB
ABABAABBBB BA
$ BAAAAB
ABB AAABAB
AB A
BABAABBABABAABBAABBBBBAAABBAAB $
BAAABBAABAABBBABBBAAAAA AAABAB
BBBABAA BBBAABBBABBBBABABBAABBAABBABBAAAAAAABABBABBBABBAAB
AAAB BAABAAAAABBABBBBABBABBBBAB
BB ABAAAAAAB
ABBAB BAAABABBBB
BABA AABB
$ BABAA
B AAABBAB
BABABAAAABAABA $
$ BAAB
B ABBA
ABB A
BAABAABAAAABAA AB
ABABBABBABAB AAAABBABBAA
B ABBAA
ABAAAAAABBBB BBAABBABAAABA
AA $
AAB AAABABAB
ABBABBBABBBAABABB AAAAAA
BAAAA AAAB
AABBBBAB ABAABABAAABAAABABAAAAB
BBBAABBAABB AA
ABBA AAA
A ABBAB
$ AABB
BBB BBABABBAAB
ABBBAABBABB $
AAABAABAABABBBABBAAAABAB AAABAAABABAABB
AA AABBBAB
BAAABABABABBABBBBAABABBBABBAABBABBBBBABBAAAAAAAABAABAB BBAAABBAABBAA
BABBBBB ABBAAABAB
BAABAAAAAABBBABAA ABAABBBBBBBABBABBBABBA
$ ABAAAAABBBAABA
AABABAAABBBAABBA BAB
AAAABAA BBB
AAAABB AB
BAABAABBBBA BA
BAABBBBBAABABBBBBAAAABBAABBBAAAABABABAABAAA BABAAAAAAA
ABAB BABA
BBBA ABAABBBB
BBBABABBBBBA BABABAAABBBBBB
BABABABAAABB BBABABBAABAAAB
BA AA
BAABBABBBBAABBAABBBBBBBBBAA $
AB BB
ABAABAAABBBBABBABABBBABBBBB $
BBBBABBAAABBBBA BABA
ABBBBABAA BA
ABAAABBABBBABBB AAAABAAB
BB BAAB
AAAA BAAB
$ B
AAAB ABBBABBA
ABABAABB $
BBBAABBAABBBA BAABBAABA
AAAA BBABB
BB AB
A BBB
BAABAAAABAAAA AB
BAA ABBBABBBBABB
$ BBAAAAA
ABAABAAAB BAABABABAAB
AAAABBA AAAAAABBB
BAAAAAAAABBAAABAABBBAAAABBBA AA
BBAABBABAAABA BAAB
BAABBAAB BAB
BABAAAB AAAAAABBBA
ABAABABABBBA BABAABABBAA
$ BABAABBAAAABA
ABBB BAAAABAA
AABABAAB BBAAAABB
BAAAABABBBBABBBBABB AAAAAB
ABAAABAAA AAAABAAAABBBAABABBAAAABAB
BABAAABBB AAAAABBBBBBAAAAABBABBABB
ABBBBB AABBAA
ABBABB BBAAABAA
$ AAAA
BA ABB
$ AABABBBAAABAAABBBBBBABAAABBBBABAABABAAAAAAAAAAAB
B ABABAA
BAAA BAA
AAABAAABBBAABBBBBAAAAAB $
AB AAAB
BAAAAAABBBBAABAB BAAAABBA
BA BBBB
BAABBBBBABAB AAABABBBAAAB
B BAABBAAA
$ AB
ABAAABAABBBB BABBAB
AAABAABA $
ABA $
AABBBAABBB ABBAAAABABBBAAAAAAABBAB
AABBB BABAB
BBAABBB BAABBAABAB
ABAAAAAABAAAAAAABAB AABBBBBAB
BBAAA ABA
ABAABAAA BABABBABBBAABBAABBBBAABABBBABAAAABB
BABA ABBBB
BBAAABAABABAABBAAABB $
AAABAABAA A
AAAA BA
BAB AABAABBBAAB
AAAABAABABBAA BB
BAABBAAAABABBABBBBBAA BB
A ABBB
BBAAABBAAABBAABBBABABABABABABA ABBAABBBA
BA AAAABAABBBBAA
BABBBBBB BAABB
$ BBBAAAABAA
ABBA B
ABB BBBBAB
A BAAABAA
B AABBAAAABAABABBA
ABBBBA ABA
BA BAA
AABBBA BABABABBAAB
$ BAAAAABA
BAABABABBBBABAABAB AAABBA
$ BAAAABAABBA
BABAABAB AABBAABAAA
AAAAAABB AAAABAABBA
ABABABAA BAAAABABBAA
BABAAAABBAAAAAAA ABBAAABAA
BB ABBBBBA
AA BA
AAB AABAA
ABBBAAAAAAAAABBABABBAAA AABBAABB
AAABABA ABBBBBABAA
ABBAAABAABBAABBB AAABBAABAA
AAA B
$ BAA
AA BA
ABBBABBABBA B
BB BAAABAABAAAAAABA
ABAAAAAAAABA BAABA
BAABBB ABBAABAABBAAABBBABBAA
AAAB ABAABBBBBBBBAB
AABBABAABBABBAABBBBBBA BAAB
BABABAAABBBBBBBB BBBABABBBBBABB
ABA $
BAAAAABAABBAB ABA
BAABBAABAABBABAAABBAAABB BBABABABAABBAABAB
ABBBABBABBAB BB
BBAABBAA BBBBAAABBABAABAABAAAAAAAABBBBAABB
BAABABBBAABBAABBBBBA BABA
BAABA BABB
BAABAABABAAABABBB BAABBAAAAAAABAAB
BAA AAAAAB
A $
$ BBB
BA ABABABABBAABBABBABBAAAABBBAAAABBB
BBABBBBAAAAAA BBAABBAABA
ABAAAAAB BA
BB AAAABAABABBAA
AAAAB AA
BAABBAABAABBABAAABBAAAB BBABABABAABBAABA
ABBBBBBB A
BAAABABB AAA
AB BA
AAAB BBAAA
BAABA BAAB
AABAAABBAAA AB
ABAA BAAAAAA
BBABA BAA
ABABAAB AAABA
ABBABBBA BB
ABAAB $
BABBBB BAABBABABBBAAAAABBBABBBA
BBABAABBABBB BBAB
ABA $
ABBAAB ABAAAABBAAA
$ BABAAA
BBAB ABB
BAB ABABAABABAB
BBBAAB ABA
ABB AB
BBBBBBABB BBAABA
BBBBBA AA
AA AB
AA ABABBBABAAAAABBAAAB
BBBBA AB
ABAABA B
AABAABBBAA BA
AA $
ABABB ABBB
AA A
ABAA A
$ BAABBA
BBBAABAABB A
B A
BABBBB BAABBAABB
AABBAAABA BA
ABABBBBABBA AAA
$ AB
AABBABAA BABBAAABB
ABAAAAAA $
BBBABBAB ABAA
AA AAB
A AABBBB
BBAAABAB AABBAABA
AABAAA $
AAAAABA BB
BBBBBBA B
$ A
BBAA $
BAABBBBAABBA BAABBAB
$ ABB
BA BBBABAA
AAAAAAABBBAAAAABBBABBBA BAABBAABBB
ABABABBBABABABBBA AABABBBBBAABBAAABBAAABBBBABBBAB
$ ABBABAAAA
BAABAAAAAAABB AAAAAB
ABBAA ABAAABBABBBAB
ABBA ABABAA
AAAAABB BAABAAAAAAABBB
ABBAB BABB
$ AABAB
$ AABABAAABBBAABBAA
BAAAAAAAAAABABBAAABBABA BABAAAA
AAABAAABABAAB AAABAABAABABBBABBAAAABA
A BBAAA
ABA AB
$ ABB
BAABB $
BAABBAABAB $
ABAA BBAABABBBABAABBABBABAAABA
BAABAABAAA AB
A AAABAB
AAABBAABAB ABA
BAABBBABBB B
AAAAABABBB BBAA
BB B
BBB BABBBBAAABBABBBABAABB
AABBAAAABAABABBAAB ABBBAABBB
BBAAA $
AA ABBABA
BAABBA $
A BBBAABAABBAA
B BAA
ABBAAABBBB ABAB
AB $
BBBBB ABBBAABBABA
BAABBBAB BAAAAB
AAAAABBBB AAABAAABB
$ AAABBAABBBA
BAB $
ABB $
ABBB BAAAABAA
A ABBAB
ABBABA ABA
ABAB AB
BABBAABBBAA ABBA
AAAABB B
$ ABB
A AABBB
AAABAAAA A
BB BAAB
A $
BABABABAAAABAAA BBBBB
$ AAABBBB
BAAB BAABAABBBBAAB
ABABAABAB ABAABABABBABBBABABBABABBA
A $
BABBBBAAB AAAABBAABBBBA
ABBBBABA BAABBABBB
BABABAAB ABBBAABAAAA
A B
BA ABBABAABBAAA
ABABAAB AAAABA
ABA ABAABBABAAABBB
ABBAA BAAB
BABAABBBAAAAAAB AAAA
AABBA $
ABAABBA ABBABBBBA
ABAABAA ABBABBBBA
$ AAB
BAAA ABAAAABAABBBAAA
BBBAAB ABBAABAABA
ABABBBBA BABBBBAAAABABAB
AAB A
BBABB ABABB
BB ABBABABBBAAAAAAAAAB
AAA AAAABBAAB
AA AAAAB
AA A
AAA ABABAABABBBB
AAB BBBABBBABBAAAAAAABAABBABAABA
ABAABA AAB
AAAB BBBA
BBBBBAB BBAAABBAAA
ABBA BAABBBABAA
ABBA AAABBAA
BBABBB A
ABAABBABBAB $
BAABAAB BB
BAABAA ABBBBBBBBAAABABAAB
AAAABBAABBBBBBAABBBABAABBBBBB BB
$ ABBB
BB A
BBAABBAA BAAAAAAA
ABBBAABBBAABBBABB AAAB
BB ABBAABBBAAA
ABAAABB ABAA
ABA AA
AAABABBBAABBBA ABAAB
ABAB BBB
AAAABAABBBBABBABBBAA AAAABBBBAAABBBABB
AAAABBAA ABAABBABAABA
BAABA ABAAABBABAA
B BAAAA
AABBBB AAAA
BB $
BAA ABBBBABB
ABAABABABABABAA AAA
AA $
ABBAAABAABBAABBBBBBA AAAB
B BAABAABBBB
AAA B
$ ABBAB
ABAABAAABB BBBBABBAAA
ABBABBBBAABBABBAAAB AAAAABBBBBA
ABBBAAAABABAAB BABA
BABABABBB A
AAAABBAAAA BABAAABBBAAB
AABA ABBAA
BBABBBBAABB ABBABBBAB
AABBAB AABABBB
$ BBAABBBBAAAAABABBABBABBAAAABAABA
AABBBAABAABBAAAAAAABAABAAABBBABBAAAAAABBAB BBB
ABB AABBBBAAAA
ABAA BABAA
BABAB BAABABBBAABBAABBBBBAB
AAA ABBBA
BAAA BBA
A BBBAABBB
ABABBBABAABABAABBAABBBBBAABBBABABBBBBA ABA
ABBBB AAAAAA
AA ABA
BA BBABAB
AABAABABBABABB ABBBBBABAA
BAAABABBBB BABBAB
ABBABB A
AAA B
BAABBBBBAABABBBBBAAAABBAABBBAAAABABABAABAAAB BABBA
BAAA BAAAAABBBBBABBAAAAABABAABA
ABAABABAB AAAAABBBB
BBAAABBAAABBAABBBABABABABABABAB A
ABBBB AA
BA ABABAABBBB
ABBB ABBAAA
AAAAAA BAB
A BAAAABABABBB
ABABB BB
B BAAAABA
ABBABBBA ABBB
AABBAAAB ABABB
B BA
AAAB BAAABABBB
ABAA $
$ ABBABB
BAA ABAABABABAABAAABAAABBBBBBA
ABA ABB
A AAAABAAAB
AAAAAABBA $
AAABABAB AABAA
BAABBBBBB AAAA
ABAABBBBBBBABB $
BBBABBBAABB BBBBBAAABBAAAABAA
BAAA ABBAABBBB
BA ABAABABABAABAAABAAABBBBBB
BAABA BAAB
A ABBBBBBBBAAAABAAABAAA
A ABBABABA
ABBABBBABBBAAB ABBBAAA
BABAABBAAABA BAA
AAABBA AAAABBAAB
B BAABA
$ ABAABBABBAB
$ AAB
ABBBBBBBB BAAABBAABAABBBABBBAAAAAA
ABAABABABA AAABBAA
ABBBAAABBAAB ABBB
B A
ABAABABAAABAAABAB ABBA
AAAA BABAABBABAAAABBAAAAA
ABBAAABABB AAAB
BABABABA ABA
A $
BAABAABBBBAAB BAAB
BBABABBBBAAAABAAABBBBBAABABBA AA
BBA ABBBAA
ABBBBABBAA B
BAABA ABBAAA
ABBA AAA
ABBAABAABBB BAAABBAABAABBBABBBAAAAAAA
ABBBABB B
B AAABAAABAB
ABBAABBBABBA ABAAAABA
AABBBBBBA AABABAAAA
AAAAAABBABABBABAAABABAABAAABAABBB ABBABAABBAA
AAABABB BAAAAAA
ABB BB
ABAAA AB
BBAABB $
ABAAAA BABBAB
AAABAA BBBB
ABABBBAAABB AB
ABBBABAAA ABBBA
BAABBBABB AAABA
ABBABAABBAAABABAB AAABB
BB $
ABB B
BB BAABBAAAAABABBA
AAA AA
ABAABAAA BABABBABBBAABBAABBBBAABABBBABAAAABB
BA BAA
A BBBAAABBBB
ABBAA AB
A AB
AAAB BAAABABBB
AABABAAAAAAA AABBABBABBBAA
BAB BAAB
A BA
BAABBBABBBB BB
AABAAAABBAAABAAAA ABBB
BBABAABBBAABBAAAAAAAA $
BBABA ABABBBAB
BAAAB BAAA
BAB ABAABABAABBAA
$ AB
B BBA
ABA BBABABAA
B $
BA AAAAABBBB
ABBABABABABB BABBBAABBBB
BBAAAAABA $
BBAAAABB AABABAAB
BAAAB A
ABBAB BBBA
BAAB BBAABBBAAB
ABBAAAB BABAAAABBAAAAA
BAB ABAABABAABBAA
$ BAABAAAA
ABAA ABAAAAABABAB
B AAABBAA
BAABBABABBBAAAAABBBABBBA BABBBB
BAAB BABBBBBBBB
ABBA BAABBAAAABBBB
ABA ABBBBBBABB
AB ABAABBBABBBAABBBAAABBBABBAABBBA
BA BAAAAA
AABA AAABABA
AAA AAABBAB
BBABBA ABBBBBAB
BABABABBABABBAA AAA
ABBAAA A
AABA BABA
ABBABBBBB BAABA
AABB ABAAAA
AA ABABAABABBBBB
BAABABBBBBABABAABBBB BAABA
AB BABAABAAAABAA
BAABBBBBBBB BA
BBABBAABABB BBBABAAAAA
AA ABBBBABBABBABBAB
BBA ABAABABA
AAAA BBAAABAABBA
BAAAABBABBBABBBBAABBBBBAAABA A
BBABB AAAABBAABABBABA
A BBB
ABABBAB ABAAAAAAAAA
ABAABABB ABBB
BABABAAAABAABA $
AAABBA A
AA ABBABBBAAAABABBBBB
BBABAABBABBBBAA AB
ABABAABBBBAAAAB AA
ABBBAA AAABAAABABAA
AABAAAAAABAAAAABBBBBBBBBA ABABABBAABBABABBA
AABA BABA
BABAAAAAAAAAAAABAAAAABA AAAABAABBBBAA
BBAA ABAAA
ABAAAABABAB AAAB
B AABBBAA
$ A
BABABBABBBAABBAABBBBAABABBBABAAAAB A
BAAAAAB BAA
$ BB
AABBABAABABBBAABB AA
BAABABBBAABBAABBBBB BAB
AA BBBBBABBAABA
BB $
AAABAAAAB BBBABBBAAB
ABAABBBAAABAAABBAAABBAAAAAAA ABBBAAAAABB
BAA $
AAAA AA
$ BBAA
A B
ABB ABBBAAAAB
BAAAABAABBAAB BBA
B $
BBAABBBAABAA BAABAA
AABBAA AABA
BBBBA A
ABBAA $
BBBBBBBBABBAABBBBBBBBAABABBBA ABB
BAAAAAAAABBAAABAABBBAAAABBBAA AAA
B BAAAAABAABA
ABBBA AABBAABB
AAAABBAABAAAAAAAB ABA
ABB BBAABBBBBABBBAABAA
AAA ABABBABAB
BABAABBAABBBAABBAB AAAABAA
ABBBAABAAAABAA AAAABB
AABABBAAAABBAAAA BB
A AABBAAAABBAA
AA AB
BAAAAABAAB $
BAB BAAAAAB
ABBABABBBAAABBBAAABBBBBABABAA ABBAAAABAB
BAAAA AB
ABBAABAA ABAA
BBAABB ABAAABABA
BAABAABBBBAABB BAABBAAAAABAA
AB BAA
BAABABBBBB AAA
AB BABAAAA
A $
$ BAA
AAABABAAAAAABB BA
ABBAAAABABBBAAAAAAAB BA
AB BBAA
ABAA ABBBBABBA
ABBAAA ABBBAAAABAAA
$ ABBABBBAB
ABBBA AAABAAABABA
AABABBBAAABAAABBBBBBABAAABBBBABAABABAAAAAAAAAAABB BBBA
BBAAAABA ABBB
BBBB $
BAABAAAAAAABABBBBBABABABBA BABAA
BBAAB ABAABBABBA
AABBB $
$ BAABAABBB
$ ABAABABA
$ AAAABBAABBBBBBAABBBABAABBBB
BBBABAABAAABABBB $
ABBABBBB ABAABBABBBB
BAABABBAABA BBAABBBB
BBBAABBABBAAA BBBABBA
AABBB AB
BABBABABBA ABAABAAAB
$ BBB
BAABB BBBBB
AAA B
BABBAAAAA B
BA BAABB
$ ABBBAB
BBBB BBAAAA
A BB
BAABBAAABBBABAAAABBBBBBBBAAAABBABBABABABBBA ABAAA
BBBAAAA AABAAB
BBAABBAABBAB BAABABAAB
BA AAAAA
AAABABABB BABBAAB
BB B
BAABAABBBBBAABBAAAB AABABAAAAB
ABAAAA ABBAABBBAB
B BAABBB
BABABAA AB
B ABAA
ABBAABA BABABAABBBAAABAAAABAAABAA
BABAABAB AA
A BAB
AABAABABAABB ABBBAAAAAABBABABAAA
AAA A
BAAB AABA
BAAAABA B
BABABAAB ABBBAABAAAA
AAABAABAA $
AA $
AB A
BAABABABABA BABBAB
ABB AABAABB
BA A
A BA
BABBABB BAABABABABAB
BAAAAAAAABBAAABAABBBAAAABBB A
BAB AAAAAAABBA
BBBBAAABBABAABAABAAAAAAAABBBBAABB BBAABBAA
BABABAA ABABABABB
BABAAABA BAAA
A BBABAABBBAABBAAAAA
ABBAABA BABABAABBBAAABAAAABAAABAA
BAABBBA ABB
ABBBAA $
AAABAAA ABBBBAA
BAABBAAAAAAABB BABBABABABAB
B BAAB
AABBBBB ABBBBBBAABBB
BABB ABAABABABBABBBABABBABABBA
BB AABAAB
BBAAABB ABBBBBB
AABBBBAB BBBAB
AAAAAA BABAAABABAAA
BAABBAAABAAAABBBBBBAABBBBBBAAAAAA AB
ABAABBABAABABAB AAABAAAAABA
BAA BAAAAAAA
A ABBBBBBBBABA
BBBBBBAA ABAABAAABBBB
AAB ABBAB
ABAAAAAAABAAA BABAABAAAA
AAAAAA AB
BAAB BAABBBAB
ABBAABBBB BAAA
AA BA
AABBB AABB
B BAABBAAAAABAA
BBBABB ABAABBABBBBBBA
BABBBA AAAAABBBAAAA
BBBBBBBBABBAABBBBBBBBAABABBBAB BBABBBABBBABBAB
BAAAAAAABAAAABA BABAAABAABBBBBAABBAABBBBBBABBBBAAABAABABBAAAA
AA ABBBB
BABBBBAAB $
ABAAABAAA A
BABBABBBBA BAABABABABABBBA
B AABBABB
BABAA BABAAAABAAB
BABABABAB ABAB
BAABABB AB
BAAAAAABBBBAABA ABAABAAABAABBBBB
$ AAAAAABAA
AA AB
BAB AABAABBBAAB
ABAAA AA
B A
BAAAABAAAABAB ABBBBBBABBAAA
B ABABB
ABB ABABABBABBBAAABB
ABB ABABABABB
BAAABABAB BABAABBAABA
ABBB B
$ AB
A BBBBBB
AA BAABAABBBBAABBABABA
BA ABAAABBBB
ABAA AABA
AAABABBBAA BAABBBBBAB
BBABBBABA BBBBBB
BAABBABABBAAABBA AB
ABB BAAABBAAAA
$ ABBAAABABBBA
AABABB BBBABB
ABBABBB ABAAB
AABBABBABABB B
B BAAAB
AAAAAAB AAAAAAAAAABB
BBBBBAAABBAAAABAA $
ABBA ABAABBA
AABBAB ABBAAABBBBBABBABABB
AAAAAABAABBBBBBABBA $
AA BB
BBABABAA ABA
BBA AB
BAB $
ABAABAABBB AABA
AAABB ABBAABA
AAAAAB BBB
BAABBBABABBBAAABBAB BBABABBAABBAA
BA ABAABAB
BAABBBAAABBBBBBBBBBA BBA
ABAABAAABBB BBBBABBAAAB
AA BAABAAAABABBBB
ABAAABBBBABAABBAAB AAABBAB
AB BABBABABBBBBAA
AAB BBB
B BABBAABBBA
BBA AABABABAB
ABAAAAAAABAA BABAABAAA
ABBAAAAA BAABBBABABBBAAABBA
BABABBBAAABBBBAAAAB AABAAB
ABAAAA BABAAAAAAAA
BABBBBBAA $
AAABBAB BABAAB
AAABBBBB AABAABBBBAAABBBB
BAAAABAA BBBAABAABBAAA
BAAAA BAAA
BAABBBBAABBABBB ABBAB
$ ABB
AABAABA $
BBA $
BAAB AAAAA
ABABABBBAAA AAB
AABABBABAA BBB
BAABBBABB $
AABAABBBBBB BB
$ BAA
ABAABBABBABA BBAABBA
BBBA ABABBBBA
$ ABB
ABBA BABAABBABABAABBAABBBBBAAABBAA
BAABBA BAA
ABBBAAAABBBABABBAB AAA
ABAAABBBBBBAABBBA BBAAABAABB
AABAABBAABAAABA $
