27737
lcElh ^P^Kb
dlLB\ [X
dlR^W dqnSBBdSYXMZLgqBYFgJFB`\RmBXS
lmbkrIXSQbiJF dq
^Sl lXTcEdlL
gNrkJ ^T\
lRX WXYhGreJ
^WNQngdBN ^WdXkGPN
^Wdq^ojRHClTkJ ^MpF[mCWMHEZXQg
dXNrFjN dXNYN
lXSgcEXeZB[PJBJN`VXrPfZLfVZLCN dXN
lY ^Wl
dXSgXSfZMCkmXSleG^r^gmF dhLmB
^CWMHWFImCWVJElKb^JnkJLfZI lcEdXSfVZLfZ
QgF ndq^Kq^YB\R
^JFm[` ^J
RdNdlOmDWpdjh ^WdhLBderNhUp
^JaVd^CEGkGMHEPe`M ^Mh^M
l QbkJmcE^Y
^WdXkGPNr l`KDE
lF\Rne lcEdgmFX
dg lY
dhGkJng`FLCNWUUUUp ^SXNNA
l`DkGcEQdqmB l`PhF
^WldOcEldDVSYBdS^rBXS $
dgmplOmPQOmNrjNNphJ l\gBZIMCNWUUUphJ
QllLnSo Sdlf[ojf`jaYn
$ ^V
l\gQ ^WQ^ZJQ
lkPkdQb^ QgN
QKgnlGkCIBZcLJkd^ThGNhphJmJnJO lRdGk
l`bSfZLghac]] lh]oqncc
^ePCWNNSJNS_NSq lKRlSGSg^k`^JFBF
QEgdInGh Qbk
^ekYlbkJFmjaYB ^VdQbkJmXeP_FjTR
l Fmll
^ThqmjelkJB l\lqBYbkdlcBdglcE^YXSfVZqMfZILfZLfV
^qXeclKa dlL^gKS
l`bkd^Sg qMih\l
lcb\lU ^JNeNeNNS
^LG ^MpF^`
^JNNSmeNJB ^JMHFBJCVMHWF[JJ[`NJ[cJNS
Qb^rB C^VXR
QlgNpljhBANhU Qgl^LekJdBNh
ngr Qg\EfVVZLC
d lRXFmjSRd
Qlhb^JbkJLCN lcELSgXSCN
^Ylao lRgJdNLRmjernf[o
dq lmbkrIXSQbiJF
Q lMh\
^TXWdGS dqmBYDh
Qcg dGSfZLCSghG^rneSQg
lQ lhg
Qg\ECSgl rdSj
QbkJLg`FgJFmjcm ^WdlUgnlcm
lmpljOcEUqmBTpff` dqmjSm
^CWNeV[JEl ^Yg
^rQlhG^rB\RBdaBjfJj dqmj
QgFmjamBXBZIL L^YgP
lcE^Mn V^q
^W^ lE^
lKR^djVJElKRl`POmInG ddaRojbi
l`DNh lW`Bkdlhlamje\EfVVZLCNhU
^qTqGKqEnQk lKSBBXrkdlh
^T dle\Eg[
^ePUe ^ePeMHW
dhaBjaBBgJrk le\ECkl
l Ql
QRiILR lmPQjhIBXQB\FLR
lKR^djVJElKRl`POmInG ddaRojbi
QgrSfZ lmBSVVVVZLfVVVZ
QbkJS^T $
Ql_q^GkG\gMV dleB
dnR Q
lcEQmhg QgSl
dX ^W^SqmB
lPNYU ^ePeaYhLnbkJMZILfVZIM`NNUUNjU
^qB[qGG ^CPJB_NSJJ^JJ[`jNCE\MHWJijQe_Qe
dgRYF dXSfVVAVZILglHYjeFB
QRdeVZILCkdlFXEVgqn\k lPSglLBYFg
lcElcEdGSCNNhUUUUUpdjNp cKPONhUp
Qg paE
dlc dqB]\R
dlSBB\ekJ Rdq^hfbJ
^eP oPYdE^
Ia lXMhUnEadKVdlc
QgrSeCSfbMTgXSglb Qg
Qllcj lmInSoBd
QgQmqjGMJdDDLg Ql
lcEdhGkJBVZMfVVVVVZ Qb^rmjSmB\`HVZIMafVZ
$ O
^JaqB[JCEGVX`Dkddg\ XI^WQ
[f QlGSfVVVVVZMgXkdlmbSglRQ
^eGF^_ $
lXSgcEXeZB[PJBJN`VXrPfZLfVZLC dX
dgKL lcEdgOR\FLE
lRdfl lKf
l ^VX\lkG
Qb^LFJ ddaRojbi^J
dqmBYF\` lXSfVVZIMfVVZI
dXNWpdjjUUUN GdhqbkJPNindj
^daKJVddqnf ^WdlSojf
lXTmInS Qllcja
QlXSfVVVVVZMgg`IBYFgJMZMgXkG\b UlQb
CFj lXJNeFB`a
d]dKEpNL[a ^Vd^
dgRYF dXSfVVAVZILglHYjeFB
^YhaYBBSC^ dG
dlf`B\Rm dhepVZMZMfVVZMghSm
lPkGcN lhXNNAdj
dq lmbkrIXSQbiJF
dgh dgcE^d
mgLfZMUVVZLCNYUNNpdjN dgKf`BXrNYUNndjNUU
^ePJBmeF^qkVX`PhPjjhFX g
dZmGgU ^Vdl\llemPNYUNN
lc fXVXc
Q dGkdlXdjeGadjKJHWaTnKSYjU
eG ^qqKqE
lXMhUhUpMH lPkdg\cXkd^eGNJ[mNSqZEMH
Y dGSCkG`bSg
^TKRl dlaBjGkJBVVVfZIIMgg
QlGkd l
dRg dgXV
lRgJmmBNW cKPONh
QgF^XkddqBXngKLnLBY l\grkG
^eGadKMpG_QRieQRiLXRQ lXGiQ
mgLfZMUVVZLCNYUNNpd ^SGNNEjUNhd
^JVXcETl l
d_h[jGbrmB lPSfZLgqB
Qb^ ^VRXLfZLCSglLB\i
CqJM ^JMH
AlKGk dqmjRlRgJlk
dXN d^qnYBjL^qOnaBBdUg\ECN
QRgL\fZ dle
dL lXThqnL^q
dleMVZHMMfVZLCdad l\l
lcEdCEZ^TPhplO l
^P^Kb lcElh
^dVnXa ^TcElm
dgr lPSCkGRdLmBXLfVVZIMCN
`bkd_GNJEU ^ekqB[_eMHFKCVNeVJEdGNh
^J^J ^eGF^_
QbkJm`IB\`MVVZIILf[VVVVZMfV\ZMCS ^YGS
\lghJF[HJC lXW^JMHVaC
^MhUpWV ^JV
dlcm ^VJE^eghq^q^qmjaY
^Mni`V\ l`BkGc
`bkd_GNJEU QlXkGPkGKenq^GkGPNNW
^oMnE_QXR^ERQRir ^eGNCWG_
QgBVVVV dkco
dq^gR rR
QgCCHCCC Qlg\`C
lmF dGSgqBlRmjamMBYF
lPNqaEnHhJ\ dXkGPNEnh
dXkGmplO ^qBBJHNSmJ^PJ^_CE]kWl
QgnGkddlUlgmp QgmB`plhplhp
lXqiJNSJNS`G_ lXGi
dXNEjUUUUNhhJ nkgWBVZMgXNrCJ
^Vd^CVNeNCFj D^X
e l
ClKc QgBZIMfZLglc
^Vdl \
dhaB dhCLmB\FLRnBLm
dD dX
lKG l`Fg
AlKGk dqmjRlRgJlk
Q_kJF^gP QgrN
^ekT`InaoB\` ^hcEd
\lghJF[HJ lXW^JMHVa
^iqGM ^qEM
^WldOcEldDVSYBdS^rBXSlhXNh lXVdQgmXVXhGNWU
gdngdh ^S
^ekCEkYhcc] Qllcjac]
lcE^TmBkddgcEqne ^T`bSCkGXSgXVJE^Wl\g
l`DSCkGRXSdhco QK[QY
^VFaB_J[qGaMhUnX^CFKVX dlaBBdem
dhCLmB\FLRnBLm l`DkGKcB
dgPSfVVVZILCN dMLRlRgJrXgXkGYlGN
Qg ^dKeYlaoBXO
Q dhCRIQ
dXSgg` dXSgXSfZMCkmXSleG^r^gm
^qqj ^MaCVa]
dqB]\R lXMnEVXXSXSgq
lK ^VX\lkGK
GG dg\b^JlX
ndXd lmplQQ
l lMh
lgRdUblgKbkJLfVVZcI QgMVZMCSfVVVZI
dq^gRYFgJFJe ^Wlh
^YgcE^qB^`NeF[q ke
[PSCNbrU dgmbNhUUUUUU
^SqneBVVZMfZLfZMCkGcEdXkGcElXJNCEZEMHVaeGaVXmInS ^YlcB
^MnX^YXSCkddg`ImBJ\EghamB\`LfVVZIGCSCN ^Thq^GkddGN
^eLiJeVJ ^VJ
^JNNS ^W^eGNJ^]qaYW^eZB^
lcEl` l`h
lXGS QgMZIIL
dq lmbkrIXSQbiJF
dgmplOmPQOmNrjNNphJ l\gBZIMCNWUUUphJ
QlRXNjcUSNjNn ^YqmB\
QgB QbkJrr
l`[POPkd^SXNhUp QlXNWp
^CPJB_NSJJ^JJ[`jNCE\MHWJijQe_QeoQ dqmjLmBXSlRdbkJmRYDkGhgXqBBmeGi\QRoQ
dhLnLBYDNfrnd ^YXNEjNhd
lKSYBdeN QlhGe
dg\lHGSC]fZ dleBZ
^qBBJHNSmJ^PJ^_CE]kWlR lhheQB
^MnX^YXSCkddg`ImBJ\EghamB\`LfVVZIGCSC ^Thq^GkddG
dhRdg\lqmjaB dGSfVZMfVZLLpq
lXTXYgPNNAdj lhVYUUfl
Q Q`C
lY ^Wl
dXNNNNYNndjhdjnd lRXdbSCqkdlcEQlGNNhpd
^JVdd^Nhpak QlGkGRYbNhUpd
l\bkJMVVVVZLgqmjbkJSQgl^ N
QZ Q
^C ^dSeGMH
$ QlGkdlKfR^W^MjpVJE
^JF[_NS_NSJCFKdjSq^GNA VlXkddXkG\PNYUNjIrlRNNp
dKrdjqqjjnXQgQn ^W^Vd^TmI
^JVdQbkJUSQihaY dqm
plPN lmBNN
PSZLCSCScV ^YqB\ekJMZLCSf
kg\b^b lmPhplQjQhF\
ClPNYUUN dgXSgXSgPNYN
QgrSf lmBSVVVVZLfVVV
^MhUpWVXc lc
QglkJNLRn lmDSgl\GkJk
qiqkTmDQRmImjf`j lK
^SX ^VXdGFSglLB\gG
RXCEPNk` QgnXkd^MnEaekSXSggcE^J
lKR^CWNeaMpGoQe RXCEPNk`G
l`DN QEgdInGhJrN
^qEFB`Vd^Mn $
^YlbkJ ddaRojbi^Jg
lmplOhg lM
^SOqBgS^JVJE QgFBgJS
dXNEYjN Qgd
QlXN ^dKMUpddX
lhh mgmjH
dg ]HVX
lhXkddqmBXNJl lXMpNhWF[JNS_NS_CFKVJd
^qXlmbkGcE^qBB_C lcE^qi`F^mCVGFBJCWF[JN`MH
VdX dhcYjSYB\`NL`NLekJnqnUgMZM
dgPkdlmFgJNL c\nL
dXSfZLfVZLCNAdjjUNjUNNUUUphJ cPSCNWUpAdjnh\J
l`[DNjhNU dqnSmBgJ\ECNYUU
^gXlL QgQ
^BMh^YVX\MdN l`DSCNN
NlPSghU Q
fXVXcE lcE
UlQb dgKaojG
lMpoQeieOR ^JG
dqmBYDhg d
dhCRIQ Q
Qgm`BSghLnf[o ndlcY
lRgJBVVZIM lmbSfVVVMfVVZL
lm lKb^L`mRYPm
lcELSgXS ^TRYBS
lc fXVXc
^ekeGG lgS^MpG
dhUNO`rNAEdUUUUNjN ^WdGNEjUUN
lXW^JMHVa \lghJF[HJ
dgP d^N
dmB`QmB\ekJkR ^ekYlbkJFmjaYB
^qEMH ^iqGMH
dgKf`BXrNYUNndjNUU l`[POPkd^SXNhU
lhjhcmjc QgnhcmjaYjLnS
dlf`jLnb^r^qnUbkJBZMghcBB\FrBXQnRQl ^XloIL
n^Jh dqBgJBZMCkddhf[oBXdPhplQOXM
plP lmBN
dMLRlRgJrXgXkGYlG dgPSfVVVZILC
dXUf[ZMfVVVVV]_IM lPSf
lX d^gm
^qXQb^mI l\lGkGcE^TKcY
dqmBYFX klhGSglf[YBX
lPSCkd^MhUh^VJEl`PQOKf`B dhcB
^n ^
lKLBXMVVVZIMgXNhpdjj PNUUPjNjUPN\UU
^Mh ^MhX
D ^eGVJE
lXJNeFB`aeP ^MpMHVFB`MQHVbim
fXVXcEl lcEl
Qg ^CEPJ^JCFKJMHVgNeNeMHV
V^DTmFdkL^ QlgcElmBSCSgh
lKao gmImjfPmQjSYf`
Qgnlb^ i`h
$ Qg
QgmR\RnRdG dqlaBgJBVZMCN
^WQgLCNrhdjndjCNUpdjjUUNhdjjNNUpd ^qBBmNSqPJBqGMHWVddXNAd
$ YZcE
lXSlcoBg dhgbk
l`pljhImB QlhaDB
QK[QYB\ l`DSCkGRXSdhcoB\
GJlcEl\lhfBd ^WlhqBXMVVVZILfZILfVZIMfVVZIMglaBBgJS^T\gLgqn
lc ^SOqBgS^JVJ
cVRdrl`phkBkd ^YGSggXYlRdhf`B
QllLmjRdGDSf dheB
q lRXMVZMfZMglf[mjGkJmcEQ
^VGX QgQ^g
^Vd^CVNeNCFj D^X
dgPkdl g
lcEQ dAcjE
l`DSCkGRXSdhcoB QK[QYB
lR\FL`BVZMCNrnd RdNdlOmDWpd
dlVkJdbSgq ^TcE^Shao
QgNrnRdlRdGkdl ^JdHFKT
lPSCNWph lPNqaEnHhJ\
lXCFj QgnGkddlUl
hqneMVVZQg ^dKT\gLfZMg
^W^eGNJ^]qaYW^eZB^ ^JNNS
dXSfVVAVZILglHYjeFB dgRYF
^TKRlc dlaBjGkJBVVVfZIIMggc
adhGiJrSg Q
^TKRl dlaBjGkJBVVVfZIIMgg
lmInSoBd Qllcj
^MhX ^Mh
dq^lSBjG^J QI
^CcVVdQYb^r^T d
^CEZSi_e ^qB[qPCF
dqnbrr^I dqm
^qB^JJ[JeVJEQlqnb^LR^lS QgQ^]ha
l`FYbSfVVVVZILCSgGkd lclDmIYX
QgrSeCSfbMTgXSglb lR\`
l`BSCSfV Q\EfZMfVV
Qb ^W^Yg\
lmpljOcEUqmBTpff QlhcBjcmjf
oPYdE^CWG_ ^qEGij
lRX WXYhGreJ
dGSfSVZIIILCCkGPSCNhUUUUUUk lhXNhUUUUUU
$ QJqBgJS
^djeGG_Q ^GWiceQieieQ
^ShRQlGkGmFYPhPhFdSYBdGkJF^ lRgJdI^Dc
dXN QgSlP\N
QgSl \
lcHdGSCkGKXoMnBB_NSqkVJE $
fXVX l
lK lhgcE^ePCVNeVJ
dHG dq^lSBjG
l\bkJF^ G
Q QSlRdU
^h^GS ^CWG
Qgo\EfZILfVVICgghG lP
dGkddhcmBYIB dX
lF\Rne lcEdgmFX
lXSXNq ^JVXKUgdDNNEj
\ dXkd^TmPQO
dIqNnG^r^ lP
dlf`B\R^XSfVVZIMigGSfZIIMCSfZMfVZMglL dqBYI
lXCFK]^SG Qg\EgXN
PNUUPjNjUPN\U dqBYbNYU
^MhXU ^MhU
^SXSfZMf QbkJBVV_ZMk
lcEdCEZ^TPhplO l
QbkJ Q
^VXaYBp dXN
dgmbNhUUUU dhGkJng`FLCNWU
QgF^XSggRdao lmeYIncm
lXVJEdXN B^\YhG^
lcElcE^Y XWjh
l dgcElR
G l\bkJF^
^TRomKRXl`FgJ dXSfZ
gPSCS]XSfhg dlf[oBXMZLCkG
dGNrnhJm l`bNR_UUphpJ\
dlLmjeLf dgKf`BdeLOVZfVZMVVV
QgZMC lXVdQgQmjG^J
dlREBG_ dhLBYp
QgBVVZLggXT ^CVV
^q]XXFM ^YgXM
$ Q^llR
lPSfVZIMfVLZILfZMgg lcE^ShUlg
drglLmj dqmjRlK
lKeLfVVVVZ`CkGmBkdlhX QlhUgMVVVVVVZLC
lK a
N l\bkJMVVVVZLgqmjbkJSQgl^
QlXNNhUU QgdBNAjNhU
ngrN Qg\EfVVZLCN
lmInRdqmjf[YBYplhPQOmFgJNJ`CC K
lamIB dlaoB
dgU lcE^VJElcEl
j $
^CEZiJJ^JCWNJ[_C ^eMH
lc dgc_lc
Q`C ^Yg`DkdQgBVZLCN
lXeNS`FB`aT dXSgGSCSCkGXCEPCFjVX
lXJaMnEVXRYFdR dUb
dhRWQ Q
lR dlSBBd
qdgSfZIILdSg l
dlcc l`I
Qllcj dh
dq damBgr
dfS ^SqmB\FJbkJL
^WdXNNYUUNn lRrLMCkd^VXPNdNYNn
dheLfZILfRVZILgla ^Yq
QRiI lmPQjhIBXQB\F
lRrLMCkd^VXPNdNYNnh lcElR\`Q^XSgqBXFB\`NJgBZMfVZILfVVVVVVZILCNhUph
lhlLmjaB edqnSm
Q $
YmInf`B\R dlL
QgrSfZ lmBSVVVVZLfVVVZ
lcEdhb lXXJH
dhUNO`rNAEdUUUUNj ^WdGNEjUU
dXMGco`E l\lGkd
^TKSmjLnL^GSfVZLggc dGc
^fh^q ^dKqimJ[`aMpM
dhLnf`jaBBYbSgqBY lXJVXPkGA
^WdGkGRBX]XeZB[c lXdjqB^
QlhaD ^TKf`jLm
dXNrNphD[JOJJ l`DNWpdjjNnhJ
^TmBSRgApljOcE $
^JMHE ^Wl`POXEnYXkG_E
lhmjLmBdG^rAfNjLmBYBk dGk
dG dGqSfqILVZfbILC
dhaBjaBBgJrk le\ECkl
Qlqnf`BXS^ThXkdlXSGNr QlGZN]Khpd
Qgr lKL^lLnSoBX
rJ ^djJaCFKek
^KnX\cb l
dqmBYDhg d
QgLgGNNYUUNNUpdjNpd rW^qi_JBqkSXSggmDNrnP^
lRgJLCSCNrNph QKgnlGkCIBZcLJkd^ThGNhphJmJn
dGkddhf`BYDSfZMCSfVVVVVV ^JMHW]F^mCWMHDWVdQgrSfVZLTVZMfVVZLfAVV
^eZXl lo
QRiIL lKeNrB\
lcE^MnB[ lcb\lU
^VFaB_J[qGaMhUnX^CFKVX dlaBBdem
dGkGKGkJLgXNWpd ^JVdd^Nhpak
kd\Vd^Y lh
dgP d^N
[PSCNbr lcEQgmPNh
$ lcHdGSCkGKXoMnBB_NSqkVJE
Ql lKeLfVVVVZ`CkGmBkdlh
lRXm`DSgGN QlXN]
mg\lk QgMZMCkGPk
QEl^f[Q ^CF
^Sg ^VGX
^JaMpVdd dGSfVZMfVZLLp
l`q ^T`
JG_QeieQ ^qEGi
JeJ^`aMnX ^qX
`bkd_GNJEUp QlXkGPkGKenq^GkGPNNWp
dXNYUUUUUNhdj lXXNEjUUNjUNjUUUN
lRXdbSCqkdlcEQlGNNhp dXNNNNYNndjhdjn
^W^JGirQR_ ^CVdQlgKUgmXePS`FB`VKElXJGiC\
$ QgdPj
^JN lRXSr
nhqnamCBgJMVVZLfVZIMfZL QgBZMfVZIL
YZcE $
^WldOcEldDVSYBdS^rBXSlh lh
lmbNNNNYN dGNddj
cKPONhUp lRgJmmBNWUp
DdhR^CWF_ ^VJE^MpF
d [
YUoBgi QlGkGR\ek
dghXN QT^`N
dlamjf[YBdUgN YqncmBZ\gJllSmjU^
KQbkJMVVV QgMVVVVV
dqmB\`dIn lA
UE^g d
QKgnlGkCIBZcLJkd^ThGNhphJmJnJ lRgJLCSCNrNphJ
h^WdqnRlYPhBkdQg lPSglLBYFgJ
^SqBd dqBdR^JGopR_QX
$ ^T`POlcE
lF\Rnem ^CFjCWNeVJE^VX
dehf[oBX lKaBB\`
lX ^Tlqi
\Qg Qg
QlXkGmDSghLmje ^lBaYBXok
l`X dq^gKf`jeBVVZMCkGcE^
^CWMHWFImCWVJElKb^JnkJLfZI lcEdXSfVZLfZ
^She\ECSfVVLkG\lg`b dX
dqnLmBgJrSjXghS`IB Qlq
^VbcE^ePJ[JCVHaJ ^eGGi
Pl ^TmpljQQQj
D^X ^Vd^CVNeNCFj
j ^
lRXm`DSgGN QlXN]
^VJElXV dFqmB
^JVd^ dqBd^cmjb^Jl
QlGSfZMfVZQfZ lcEQgMZMfVVZIIILfVVVVVVZ
Jqna lKa
dghq^hf`BdRQgQmBdSmBX QJkL
lPW lRdGkJMVZLCNh
lcEdhGkJBVZMfVVVVV Qb^rmjSmB\`HVZIMafV
lKU lr
lRgJmmBNW cKPONh
V`PkGKf`B\e^ Qb^
dqmBYDh ^TXWdGS
^Vdl\glkJrSfZLgq^g $
^ePeMHWNJ[_J^qZqKTcElm NPkG`
l`Imj lA
RXCEPNk` lXJ
^V ^TcEGk
^eZqKdjCEPeF[BjJBJNSFCEPJ ^JNeFB`F
VXN dGN
lXSlcoBg dhgbk
dGNqU l`DNhU
lcHdGSCkGKXoMnBB_NSqkVJE $
QgLfZL lnhqBMYbS
dlSYB dX
lKLBXMVVVZIMgXNhpdj lhVYUUfljN
lKeM PSZLCSCScV
dXSfVVAVZILglHYjeFB dXkGPSgqB
l`FgJ lKGJ
dqmjU ^VJqE
Jqna QgSlKS
dlb^LF L^
dlf`B\R dhepVZMZMfVVZMghS
dXSf lRdGkJFmBgJMVVlV
dqB]\Rm dhSm
K $
Qb^r^GSfZMglaYBYBSCkGhG g^YgP
^YgXM ^q]XXFM
dq^lSBj dH
QllLmjRdG Qgd
QgMVZMgq^gK ^hl
^J ^MhUpW
l[alUgMZIIMghbbk QgnhRdXkGRXlk
lPN dgRYGN
dlLmB\`mmbSfZIMfZLfZMfVZ ^CEkShcmoBX
Q h^WdqnRlYPhBkdQ
d dqmBYDhg
SG QlX
QgFm ^dl
dgU l
Qb^L`FmjS GkGf`cBjcmjcBjS
^KnX\cb dg
dXN l\g\EfVVVZIMgXNWUUUpdjndjhdjjNNUUph
$ ^JFJJ[r`MHVNCVriLe_
Q l`
^e^Z ^JVXcE^Mn
UlQb dgKaojG
Ql dhRWQl
VglPNhUU ^qEGijQX
QlGSgXk lmIBZk
lmbSggPSfVVVVZLgPlLBcE $
JeJ^`aMnX ^qX
dGNrjUUNNUphJ QFmBXQ
Q ^W^Yg`
plP lmBN
Ql_q^GkG\gMV dleB
QPl ^Y
lhlLdf`jR lhlf[ojG^rne
^ePeaYhLnbkJMZILfVZIM`NNUUNjU ^Mh^F^JNSmNSJCEZi_eaJaSGNrj
lbNhUUpFjjUUN QlGNYNNUpdj
^ ^d^
Qlqn ^T\lqmjmBXmK
l e
^W^eGNJ^]qaYW^eZB^ ^JNNS
^TRomKRXl`FgJL lPS
lcEdgXTKf`j lPSfVVZLfMglleLfEZMCSfZMfVZghSYj
dqnS ^qXeclKa
^Ylf[c]] ^qXeclKac]]]]
^Yla lRgJdNLRmjernf[
^MhXU ^MhU
kd\Vd^Y lh
l`pljhImB cd
dgcEdgcE X
^ePCEPJ[qkV $
^V ddSCk
lXSgcEXeZB[PJBJN`VXrPfZLfVZLC dX
`ENWUp dXNEn
^CEPJ^JCFKJMHVgNeNeMH dgXqi`NCWMH
lhmjLmBdG^rAfNjLmBYBk dGk
Q^lb lKG
dGNWUphJOJ\ lXXNEjUUNjUNjUUUNnh
gN Qgnlb^
^TRgJBZ dg\lHGSC]fZI
lKaBB\`r q`dGO
lX l`FTgJ\ECkGX
dXSf lRdGkJFmBgJMVVlV
lKLBXMVVVZIMgXNh Q`gMVZILlCN
Q ^Tm
QgQB\ekJBVZMfVZLfZLCNYUNj ^ePeaYhLnbkJMZILfVZIM`NNUU
l\gBZIMCNWUUUphJ dlQaojjGF
lhXNNAdjhdj R^VJEDcEQlG\Nr
TJTF lX
ecJTf_J[ ^CWaeZiJJB_CWF[JNSmeNNS
l\lqBYbkdlcBdglcE^YXSfVZqMfZILfZLfVV lKaYjf[oBXl^L`rSfVZMgXSfZILfZIMfV
dqB]\R lKS
QgM lhGSCS
^ekMhUh^NJ^ ^eZqKdjCEPeF[BjJBJNSFCEPJB
$ ^TcEGkd
^JaVd^CEGkGMHEPe dlSYjeQnR^CFjeZEFB
l`boNb l`bN
dgXYlS ^WQ[lhTLmBdaYjUlgcEdla
GdhqbkJPNi QlherNE
^W^T dle\Eg[
eG ^J
keGN ^JNNSJJ[m
lcb\lU ^MnqjePCEZB^
dlfoBgJnNSf QgMV
QlgKLmjf`BXNL ndq^Kq^YB\
^VJKElcimjfM`BQXRgJ ^Yg`DkdQgBVZ
rW^qi_JBqkSXSggmDNrnP^ dleF^heFmBgJMVVZLCNrNpd
QbkJnGNENUUUUUpdjjNnhJ\J dGNWpSJ\J
^dHKdje dqBdR^e
_`E lcElcEQb
l ^SlL^XNYU
lcE^ShUl lPSfVZIMfVLZILfZMg
lcEQbkJBZLCSfZMfVZ PlW`DJCSZ
$ dhRW
GdhqbkJPNin dGNhUUUUUUp
QbJDBZLCkR ^dKV
MWY ^TcEl
lR\FL`BVZMCNrndjhhJ dGSfSVZIIILCCkGPSCNhUUUUUUkphJnJ
^TO l
^qBBJHNSmJ^PJ^_CE]kWl dXkGmplO
^Ja UkXG
QgmkR\e^JgLfVVZIIIL ^ekT`InaoB\`L
lcEdlG ^VJEl`F\MRnPG
dGNhpd dXNqhd
lnhqBMYbS QgLfZL
QgmB`plhpl ^ePeMHWNJ[_J^qZqKTcElmP
dlSBBd lA
lKG^rBYDSgGkGXT`DNNWph l`bNR_UUphpJ\
QgLglRl\bkJNLekJF^gXJGieQXRQ dqBdR^JGopR_Q
lPSfZLfVVVV PlW`DJCS
^MnB[`VX\gLCkddqn VJEdHqSYj
dgRNq lK
QlgK OSU
l`DSCkGRXSdhcoB QK[QYB
rdS dhf`
lKcBBf\R lmI
d^NNE dgPNE
dgmIBdaojcmjRlKGkJBVZ lcEQQVZILfVZMfVZI
^JaSqnf`Bd mgmjH
DdXRgleNrm QllLnSo
l`Imj lA
$ Qlmgoc_E
QbkJF^qBdc lq
QO $
^dKeYlaoBXO Qg
^dKT\gLfZM QgQmqjGMJdDDL
$ ^WQlGSf
QgSlRdaB lmpljOcEUqmBTpff`
dhUNO`rNAEdUUUUNjNN QlqnSBBXFnSmjUlXNYNNUU
lXJaV ^[qGFBM_J^qGF^_CVV
a d
l`BSCSf Q\EfZMfV
dGk] Qlg
^eP oPYdE^
dgc_lc ^Mh^VJ
lhqmjeL lSc
dXkddhL ^WlUQlFK
$ lhmjLmBdG^rAfNjLmBYBkd
dXNYN dXNrFjN
^q ^qq
^W^JGirQR_Q lXGiQ
dlVkJdbSgq dgKf`
Qlhb^JbkJL lcELSgXS
RdNdlOmDWpdj ^MpVdlhhLmBX\ECNYN
l`FTgJ\ECkG l
lhlf[ojG^rne lhlLdf`jR
^e cE^dK_eC
lmPjQjQ $
lPSCkd^MhUh^VJEl`PQOKf`B dhcB
lKf`jcBB\ek dXN
QlgR ^JVdQbkJUSQihaYB
dhCRIQb^ ^dKTR\F
Qgm`ImjeBVlSVVZI ^YqB\ekJMZLCSfZ
lKc dqnLmBgJrSjXghS`I
lR\FL`BVZMCNrnd RdNdlOmDWpd
QEgdInGhJ QbkJ
dhaofI^ Qb
klhGSglf[YB dqmBYF
d^NNE dgPNE
lcE^ShUl lPSfVZIMfVLZILfZMg
dXUf[ZMfVVVVV]_I lKe
^CEZXlRdedPOPkG`bSfVZMCS lcEQQVZILfVZMfVZIM
VJEdHqSYj ^MnB[`VX\gLCkddqn
dIqNnG^r^N lhqBgJFmjcYB\`QBXdDN
lXSfVVZIMfVVZILf ^SqmB\FJbkJLfV
QlN lPNN
^S gdngdh
lKR^CVMHWa HF
lcE^ShUl lPSfVZIMfVLZILfZMg
lcEdha ClKc
^eZXl lo
dq^gR ^CEkShcmoB
dqDjbkJSoBZ lRXmhGSfZ
$ Fml
^SGNNNEjN dg`BSgXkGPkGhGNN
dgPN d^NN
dqB\ UlQb^L
QgI^GNhUUUr ^CWVdlmPhDNWUU
dXN ^VXaYBp
QlGNYUNn dhLnLBYDNfrn
^WlR fXVXcElR
^TRomKRXl`FgJLf QgBVV
NPkG`P ^ePeMHWNJ[_J^qZqKTcElmP
lcE^VJElc QlGkdlKfR^W^MjpVJ
^YlSYjL^ a
Xl dlRdg
dgR\`BVZIIIMCSgha lh]oqnc
dqmj ^rQlhG^rB\RBdaBjfJj
dlSYj dqBdR^JGopR_QX
dUb lXJaMnEVXRYFdR
Qb^r^qnUbkJ ^TbKcBjf[BOje
dlcc lPSghLmja
lRgJlkGmMl ^YlSYjL^
^CVaWl`I^lcmB ^glLmDB\RmjSYmcoBX
dq^ ^
^djSg lcHdGSCkGKXoMnBB_NSqkVJEl
QO $
lcEdX g`DknGG
^JVdd^Nhpakj ^WlR\FrnerSCSCNWpdj
QlGkdlKfR^W^MjpVJ lcE^VJElc
^ShcY dhaoJBXm\bkJFm
dh rdSj
mlc lXSqmjcBjf[mBYI
Ycbd dqB\e^
hd Qllf[
lmpljOcEUqmBTpff` dlco
QbkJMZMfVVVVVVV QlheLSISf
lXeNNS`F[_qB]oNS_NS_NS QlXSCkGXMnqjCWVJE^MpFB
QbkS l
QlheFmjRlP ^^WmU
lKG^rmB\Rnf`jSmBgJ\EfZIIIMg R
^M cqSM
d ^WlKRdXSfVVVVZLfZIIMgl
dgKf`BXrNYUNndjNU l`[POPkd^SXNh
^VJElXV dFqmB
lRgJdNLRmjernf[ QgF^XSggRda
dGk]R QlgR
lXMhUhUp lPkdg\cXkd^eGNJ[mNSqZE
^TKRlc dlaBjGkJBVVVfZIIMggc
lh kd\Vd^Y
