25628
FJJ[S\E \]`KW`^L]`SJLUWYedVDeS\EjLejeE
[PbV_SSnSS [WG]or_
FNJfKhFkRKFkn[SW`^P` AP`
SO]`^KdT^KKS \[KTJkRWYDkRWKLb]eWeMTP
fYOUpT\hPlMYEjrm SDeSYEj_gm
[h_DDDDkl [hR]Tb_DkTS`DTrDTSDEl
\UNNKTf Jkchh]eRk
\HHJS \[KTJkRWYDkRWKLb]eWeMTP
\ FJ\L
UpTJUWGP[Xkq[Xkike[Xkq[i UNTk\dPimPE
fpL paVQWc
fKRkGae[Xkq JkpLhSrhfZ\eaOHTaUPaq
UpTJ\QRGZ JJRIN
F JkKTF
Aa`SW`SW`SW`SJa \D
UPp[ic[aq[Xkq^[XkqZ UN
FN\H $
TLUNlXk \hRkRXRWKdPa
Jkc]` AL[KTUpHJSJ\[a`
SeS\EjeEjTojgPT[i Seh
AP`^a`SJP^KT FJJFJJSO
Jkpa`^LHTLJ JkcHHJ
\]idc[Tk\Rak [SQ]o
SkXXXp UpaHTJAL[a`^P`SW`^J[SJKTSOHa[KTFJ
SD FJJSX
[WG]or_ [Wr_]
\hRkYeS]ToFkYDk\dXRP AKTFNJSk\dWGic[P[ae[ic[P[
U \PFkk\EojrhH\_UX
fKf JkKWGobo_kRXRVe
[LPYE SWWiP\E
AKDSDDO]`^KTAKTUVDeWMgmjq [Lhjq
JkcQ\dVO[J[SJP`SJJ[^KTSDDe [dKeRkK
FJ\Uj SkRVkR
[dVeF_k ffnSJLQ
[PiRg SOQ\SQTg
UPnXke[P[Xkik AKTUPZlXk
FNJSeejQY \HahhR
[SgPHO\jIOTehPT[i] fcQRPZTkXVDD
fG UGP[Xke[iPEP
SkTrDTrDT \[LQTrDTa
\QRXU [h]k
[RkYOHa \oNlZTkXVO
SedVkRN ALGiQ_h_D[L^GZ
fYDOHaUpT\[KT[ Sk
UVkXVDehR`ibFkpP`^ fc[a`SW`SW`SJJ[^
JkKFjg APSW`^KT[LHg[\gPTPTPT
[F_kP`q[ \]`^a`SW`SJP`^J[SJKTfYOQ\dXXN
SO[J[SW`SJa`SW`SW`^KTFJJJkTRNO \Ha]`^KTFN\]`SW`^P`^KTU
\QRP fRGic[Xkq[aq
[Fjg[\Z\_OUNTOQXVeLojId[ikLHIdPTPTPTPT[i \L]`^Lh
\UGic[ [Ge
U SedVkXr
Aa`^P`^P [SrhPrho_O]`SJLL]
JkRGaikikike[ UNNl
Aa`^KT\] \^
AKTJkpKT I
Aa`^a`^P`^ \HT\`^
o\UGXPMe JkGP[Xkq[P[ZlXke
\UU]e FJJfYDOh
\]`SW`SW`^a`^L OpT\[VTD\H
AL]`^a` AL[KTUpHJSJ\[a`
UWVqDC [RkKF]D
$ fKh
\Ua fc
Aa`^a`^P UNlaike[Xke[ZOpTHa[P
FJ\d]`^J[SJP`^ FJ\[L]`SW`^
JkcHaHahRkYkT fRXTSDkgrDg
FJ\[KTAP`S JkS
\HaHaQ\Lb eSDehjIOT[\g[\g[ijg[i
APSW`^KT[LHg[\gPT SDkXpHJ[hRTHgPTPT
fKWojgPTPTPTPT[\IdPTP APSW`^KT[LHg[\gPTP
\Hf\QGkE[ fGXkq[aq[
FN\UNTeb UPP[ZXRPaq[ZOWRVeLPeEjQol
Aa` AnHJfnS]`
\]` SDk[\RkRNTO]`
APB`Ja`^a Upa[J[
fKdPP[ZTOHa Q\
fGXkq[ai gX
FNe\hhRT]] [FRobG
FNJSDD \oNlZTkXV
FJJAa`SW`SJKTfYedX\Pl\ JJAKTAVEhS\
[F]e m\hi
UNNpKTSkXGXke[ZNn^a`SJ Yn^
fpa`^a`SW`SJLH kGZOWnSJKTAP`^P``^P`^K
fKSYEjYE W\
FJJUW \U
fRVkTrDgr SYDkTrDOgr
ic[iPE fGP[ZlP[P[iPEPEc[ae[ic[Xkq[i
UXRNTOhF LHJkUKh
Jk fcRUNlXkeNKdX\F_DX[KTFJJSkRpahdNlZOWn
SDOQ\RkYOhMF_k fcQ
AP`^LhF PloE\kF
FJJSk [Pb
OFW\Y]n^KTS S
UPic[ae[ZlZTDeLbR`` JkGaq[P[oTeLP\EjYEjQ
fg_n^ fYO[P`^
APSW`^KT[LHg[\gPTPT [SeEjQ]THIDTPT[iRTHId
\HaHaHH\]`SLHH\[J[^KO F
[Pl ePb
FJJAKZETFN\QRVO[KTUGP[ZNGiEPEc[Xkike[i[P[ZTe Se
fm UV
JkpdThDOQXG fGZX\FFkcUP
Skd fYDOHaUpT\[KT[d
UNOPP[X YGJR
AaA^YV FN\UWRWGic[iPEc[iPEPEc[ZNKhF
JkGP[Xkq[P[ZlXk o\UGXPM
[kWT FN\hWGTPQ``ol\jQ`obG`]`
]qP Upa]
AKTfYeSQ`]ToRTbjIOTPT[ij oFJ^K\hHgi[ij
SOHTJS [F]Q
G[ AKTUPZTDOh
f S
\XGEI UGP[ZOGXk
FJ\EUBTnJ[k JkKLokhkhjIDT[\gPT[i_e
UPZXRXlmm Skl[GWWW
\hh ScDePlV_F_S]FeM]olib
\[P`K^ UNTO[KTUNOWn^a`^
FNJUVehT]O Sk\hkFk
AP`SW`SW`^KTSDkl fYk\dlmWmm
\hRkGai U`GXke[iPEc[X
[PbeM]`To SOhP
AG fKdPP[ZTOHa]`^L[J
UXR\H\HH\UV [Plo_
Ua Jkn^KTAa`SJa`SJJ[^P`^KTU
gDDk\S\EjcA [SQ]]]``]T
fN fRNNR
ALhdX\dNC UNl
FNmJJkpKTFSDDDePlM\ejQB`]]TPQol [hR`obM\EjQob
[Rkn^Ph fpP`
a`XP`^KTEUj [dVDedNT
fn^K [AFkn]K
S[LbQkRNN]kG [RkcUpH\UP
FNJ\QXTrDEXm UVkRXTS
fRVkXX IUPZNSW`^HKT\UpTJSk
A LAL[
[dPfZlNXkikq[aik_ke[ZN \hdNN
JkGXkikikq[Xkikikikik AKTfYQkRGXk]
[SeEj [SQolG]
[hFkGi fGEPE
Aa`^KTfGZ JkKpdN
[dVeFkSYEj fKJS\Ej
UPe[e[ic[Xk UWGXk
DDIFkhk Jk
[RkKF]D UWVqDC
\[Le[J AJ[^J
JkYeS\Ejr \XhMr
UX \maQ
\[ XkpP`SWMSiJJ[^P`^_
U^TehjIT JkKFjg
UNNGic[ZTDOU fV
FN\UPaikq[Xkigke[ FJ\UP
[dPpl FJJAKTFNJJkRGP[P[P[
fKP U[pH\hWMehEjYEjQ`]]o
fY AKTSDeZFB
JkGZTeRkR UWcUXlW
UVO[ UpT\
AKTJ KPligijId[ipF
\hPl $
[Sgm Jkc[KTAKT[hFkGZTkTrDTSDTr
fG jUGA
fKRkGae[Xkq JkpLhSrhfZ\eaOHTaUPaq
\]idc[Tk\Rak fYeP
Aa`^KTJkGZONOGiP fYeRkGic[Xkq[i
AK FJRHT\[L[K
UNl SkdG
[h_k\hRTP\E SDeSghP\S
UGP UGZlic[iPEc[iPEc[ZO
UPnX UWpLHTJfGXke[P[ZOGX
\[J[S AKTJkpLQ\PbcToFkRO]`So
SR Aa`^LQTckDg
U`GXke[iPE \UVOUGi
JkKhWF AL[KTFJJUVk\R
fc[a`SW`SW`SJJ[^ UVkXVDehR`ibFkpP`^
SO] ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di`^P
\UWYDOF] SDOhRkn^a
SeS JVQkKhkdXaS\E^j
]H fpL[L[KT\Q\
\HHg AP`SW`SJKTFJ
U UXR\H\HH\U
fpLUWpK eJkpaLB
fcUNXUpakhhRobV_SY]n SePbr_]]
FJ\HaPcK JkpK
SDklmWmmmmWmWm FN\LHaQlW
fpKT UVOQ\Rkn^KTAKTC
JkLKS SehkSeEjr
UNNGP[ai QLUVDDkGZlP[Xq
\ [
ArXqa`SSJ [dpa]`^a`^a`SJKT\
G fRNNRV
SO U
JkRGaikq[P o\UGXPMe[ic
FJ\[ fg_n^
\[LhF] GpDlO[KTJkY
FN\UWYkR AKgTU
AP`SW`SW`^KTSDklW fGXleWammWmWmW
FN\h f
FNJFN\[ FJ\d]`^J[SJ
\QTVkDgSDET PkT
U SDOQXUQ
\]`SJP`SW`SJP`SW`^ JZhk_p
FJ\Ne \
\TJFNJAL[K \[K
SOUNN AL]SW`^PKTJk
ic[iPEPE \[P`^KTFJ\UGP[Xkq[i
fKWGolioR``TP lSBEj
a[ [
[RQ`P`S fnS
fGXleWam \QlmmmWmWW
P`^KTFN [FFkRpHJFN
AL[KTUpHJSJ\[ AL]`^
UN ]d
FJ\]` AJW^MP
VOh AKT[
g[K JkYe
SOUbWRWRPP \UPic
UVkXVDehR`ibFkpP`^ fc[a`SW`SW`SJJ[^
UNNpKTSkXGXke[ZNn^a`SJ Yn^
SO]`SW MVO]`SJFBP
g SkRP
fRPic[P[a FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[a
AP [SrhPrho_O]`SJLL]
UWnSW`^Q Sk
\TJ $
Yn^L UNNpKTSkXGXke[ZNn^a`SJL
Aa`^KT JkpL[La
AKgT FJ\]`^P`^L]`^KT
FN\[CT` AJ[
[dpa[a Jkn^L]`SWSW
fpa`^KeSFjj\gP Aa`^LHahhjIDT[\IOTPT[\gPTPTPTPTP
FJJUpahhkWiHg[\g[Vk UWRPae[ZOPP[aq[ZNK
OFW\Y]n^KTS S
]fYeLf]TP\EQ]Tg\IdL\Id[ UXRpT\hdGXke[ZTeSQTg
S ScDePlV_F_S]FeM]olib_
fYeF_eRYeSYEjYEjg [Lg\gPT[i]eLPghHg[\IOT[\IOTPT[ikWM\EjQ`TPYEj
IJ J
U \^UWqP`SJLHHJfnP`JP`^KTfGZQTed
\]^KT[dpT\UNTh_DeSYEjQ``]obGolM\Ej SePl\j
^cjg[iR`obG```]K``]T AJ[^KTUpHJAKTfYeL
SDDk\Plg_]G_FeQ]TPghg fpa`^KeSFjj
PloE\k Aa`^Lh
SOQlm fYk\dlmWmm
JkGZOXP JkGaq[Xke[P[
\R SDe
g[ f
\UNNGaikq[ZlXke[Xkq kRPZTkXPZOXhYkdGQeP
SDDeSQ [Fm
\HHg \HT\HH
SDOh J]eb
fYDDOLQlmmWW FNJSOhh_Dklmm
[W\Qolg_SnSK FJJSeLg\gPTPTPTPT[iRolK
FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR``THgP FNJSehjgPTPTP
[RkcUpH\UP S[LbQkRNN]kG
SDk[\RkRNTO] JkRNNc]
AAKUGae[aq[Z SOUN
[lb_D S
IFJ\ \HTJf
iN\HHJSOHH\HT\hS FJJSeS
FJJALRUpHJSOYKT[FkRV SO[KTS
UGXk[P[ JkG
UWpLHTJfGXke[P[ZOGX UPnX
SDkRNO fN
FN fYOWT
fpa`^KeSFjj\ SDDk\Plg_]G_FeQ]TPghg\
ATfKZX fRWKPliP\EjghokLbjW\jIDTPTPTPTPT[\W\_k
\hRkRXRWKdP fDkRGXkq[Xke[ae[ic[
JkYO[XL \hPlibFknSW`SW`SJP`^KT
Aa`^L JkYkXXTVlEDERpaHT\
\HaHH\hS\EjghPe UWYfeS\
KhSQ [Lg\W\R
AL]`SW`SJKTUN bJkZ
\]`SJP`SW`SJP`SW bkYOHTg\]`SW
SOUbH AP`SW`SJKTF
\]`^P` ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di`^P`
U SO[J[SW`SJa`SW`SW`^KTFJJJkTRNO
FNJ\UWKL Seh_k\hkU\EjghgiR`T
FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR``THgPT JkKSrhbjId
UWVqDCk [RkKF]Dk
\HaHT\UpT\HTJfcHa hFJ\
AKT[SeEjeE JkKhHkRVk\P\b\g\Ee
JkRPP UGZOPaq[kP
U^aqikeq fGXkq[Xkikq[ae[P[ae
SDeLg\W\_DePlMmjq SeRkKWg_SnSFG]Thjqq
A FJ\]^a`^
[Pd \[LhP
fKS UKGaq[P[ZOXRXXVeh]eS
fn^KT\UPaike[P[ JkG`iPEc[
fn^ [AFkn]
S[Rkc[KTJkKdVe SDO[a`^KTfYe
\[P`JKfUWok \[KT[
FNJSDDkKC UPic[Zlae[
fRXTSDkgrDg Sk\h]eRkRpaQTclDT
JkGaq[P[oTeLP\EjYEjQ UPic[ae[ZlZTDeLbR``
S cS
ic[iPEPE SkRGP[Xkq[P[i
UPnXk UWpLHTJfGXke[P[ZOGXk
\HT\ XAAM[SSX`SJKT
UNOPZl UPe[e[ic[
[LbFkKS \[a`S
SkXXXp FJ\]`^P`^L]`^KTUpH
\H SOd_pK
JkKSrhgiFknSW Q\]
[WV_]nn]S fcUNXUpakhhRobV_SY]
AKT fch
ep`aSQTrDgVkDgV \UVDO[LHTJfRXTSDTVkDTc
\[KTFNJFW F
UGP JkGZOXPP[P
fpKT[ UVYkRHYS
Fk fK
FN\]`SW`SJJ[^Lh jUVDAAh
JkYOUWKL fYk\SghoDkdVeL
Jk g[
fc[P`SW AC`SW
Sk FJ\[nTJkiOUVeF]k
[RkcQRPP[imc[P UXXPiPEc
fN SDkRNO
_J\] Jkpa
FNJG UGXke[ZNG
AKTJkpLQ\PbcToFkRO]`SoW`^ FNJ\]`SJ
RparUGjP \HTJ
fYOUVOGPPbMghbR` FJJFN\UPP[aq[P[ae[ZTDO[a`SW`^LQRGP[Xkike[P[ZTOUNNYDeRkKF]DeWeQ
\VP`^WKTA` FN\]`^J
JkpLhSrhfZ\eaOHTaUPaq[P fRPic
UPn UWpLHTJfGXke[P[ZOG
[dKeRkKhk fcQ\
Aaq`SW`SJKT\UpaUNNRVOhFqkSeEjghPYEjeEjro_ SDeh]
S[Rkc[KTJkKdVehkSY Upa[KTSDeRkchh_eF]k\W\je
$ [e
FNJJkcQX S^kVR
\[KTSQD [dpT\Q\F]D
FNJFNJ[PloFkc \hdNIO
Sk\R AL]SW`^PKTJ
[jPlp`]o SDOhLg\Z\kWGo
FNJUGP[iPEc FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[aike
JZhk_p [F]OUNOpH\[KTJkYeRkp
ACP`^KIAa`^a`^ \[
fY[KTFON\RPbokP UGaq[Xkq[P[ZOVeP
JkcQXVOK]`SJJ[SJ fnSW`^P`SJ
\hhR]obQMeEnjYEGYEj\EjT fKh_DkXpHJFJJUX\Se
f J^k
\HH\]`SW`SW`SW`^ TAa`SJP`SW`SJ
okn^a`^P`SJLhhR``] UNX\WMQ
Jkp GKTUPXkq[Xka[ZlP[aike[Np
SDeF_eWeM FNJSeejQY
SeEjQTH[\IOT[ijZ\FknSJKT\g`SJ SOHT\[a`^
^UeX SDDed
UGaq[Xkq[P[ZOVe fY[KTFON\RPbok
UX\Lgi]NhLglg[iR`` JkRXRNNcUVeFRTbR]]
JknSW`SJLH fRWRPXkikike[P[ZTO]`^KTS^OHaH
RUGae[i UGP[Xke[iPEPE
$ V
fRXRPXkq[ZXXXR $
JkYePlo]klmmWmWmmW \QlS
JkYDO[P`^KTfchRkKS\Ejr I[dLP\Ejr
UPaeIic JkGZTO]`^KTfG
UX U
Uh SOh
qSkRGiPEPEP UGae[iP
fc]` Fn
[S\ UGZNchdVOh
JkGikikikq[Xkq[ FJJJkG
fYOHJ]`jSW Aa
JkKWeQ] SOhSeEeEjMR]`
\UGHke[keZNK [
UNNSQTPQpljr SOUVeS
\HrH`JTOVE SkXXXXRVDk
fcHT J
SDUIRL UW
FFkRpa] Aa
[SYEj\Ej JJAKTAVEhS\j
FJJ\[KT[ UNWK
JkGP[ZXTTS fc[KTSO]`^P`SW`^KTAa`^a`^a`^LQTVk
fKSYEj\Ejrhh SQ`oljUm
JkKTVDDokTSDg FNJJkpa`SW`^P`SJJ[^LUpHJUXRVOQT
AP`^PO`SW`SW Aa
KkRV Se
q $
[W FJ\EUBTnJ[kW
ALhF]DedPP[Xke[ZTk SO[Lh
SkTrDgS JkGP[ZXTTS
AKgT FJ\]`^P`^L]`^KT
\]`SJ fYOQRWYkT
JkcQXVOK]`SJJ[ Jkc[a`SJL]`SW`
[LbkLPeEjeEjYEj\EjeEjQ``olihjqqqq SDeLg\W\_DePlMmjqq
kW [Plr
UNTk\dPimP UPP[aike[aq[iP
\]f`SJP`^a`^LHUJU UpaHT\hd
UaG JkGZlP[
fKdNNpKT\HTJFNYJU FJJSed
\hdNIO]` FNJfn
RYK [WKVV
AiKDO[P`SW`SJ SDO]`SJ
SDeF_eWeM FNJSeejQY
$ SGOhdpHJ
\Q\h]e\RkKdXXVO [dpa
SO[P`SJP`SW`SW`^a` \[IKTUVDeh_O]`
SO[P`SW` UPNnCW`
\kYklWW JkcUGXkikq[P[Zlic[P[ZOVOQ\FjW\_klWmmWmmW
AUTFJJA Aa`SW`SJP`^
^UXT \QTr
SkRWRXRVDDO]`^a`S UX\SrQTgQikdNTOHa[P`SJP`S
UNTe [FjLiFkK
SOhhR]`TPghoR]` \hRFkRpHGJ[PbeQ``]
$ [Rk
BO[J[ fRWn
AnP`SJKTU FJ\]`SJP`SW`^KTF
UPXkike[Pae[ic[^ fYO[KTUGaikikik
SO]`^KdT^KKSg [hkSYEjr
\Ha[J[^a`^P`SW`SJ fn
UPnXke[P fRGXke[aq[P[aq[P[aq[ZNGP
UWKb [Pb
UXRWQSJJ[^a`^KT[dNXRpTJSDOQ\Wbk_DeFkL FNJ\UWKL
FNJ\] FFkRpa]
[FjLiFkKh [dpHJ\QRV
J fYO
J[SJP`SJa`SW`^a`SJa`^KT $
FNJ\UWK UXRWQSJJ[^a`^KT[dNXRpTJSDOQ\Wbk_DeFk
frKPb FJ\[LhPb
SedNR UGXke[Z
\]`^KTfGiPEc[P FN\UPaikq[Xkigke
JkcQXVOK]`SJJ[ fnSW`^P`
FJSklWqmWWWWmmWWW SDklmWmmm
SOR[KT\]`^ReKTfKWeQ [SeEjQ
FJJ L
JkGXki \QXGi[Xkq[DP[ai
UP UPP[Xke[ZX
\hSQ]TgiF \[KT\h_
fn FD\[`^aT
\[a`^a`^LUnSJLUpaHaHTJJ JkRpTJJ
GXk fRGXke[Xk
[SrhPrho_O]`SJLL] AP
FJ\]`^P`^L]`^KTU AKgTU
F_Rb UpaQ\Rk
[Rk fBk
iN\HHJSOHH\HT\hS FJJSeS
UXRNN SDkRGOW
AJ[ FJ\]
\hdNIO FNJFNJ[PloFkc
fYk\SghoDkdVeL SOQ\SQT
AL]`SB`J A
Aaa`SW`^KTJkchdXRGZONNnKTUNNBScY [LokSY
JkpLhSrhfZ\eaOHTaUPaq fKRkGae[Xkq
UNNnS LAL[J[S
\]`SC`SJPM AKTFJ\]`SW`SW`
fnGSJP`SJKT\]`^J[ FJ\[KTAP`
]h]]Ya \[KT[hkW
ALQ FJ\NQTSD
LAL[ A
fRWY UXR\H\HH\UV
f [FjICYT[VFk
Aa` FFkRpa]`
f IJk
SDeFFOk AL[KTfRXRpHJ[h]OUX
SePl SYEj
rY fY
fYDDOLQlmmWWW UPZXRXlmmm
AP`SW`S ]LcaS
Pk \QTVkDgSDE
JkGP[Xkq[P[ZlXk o\UGXPM
\QRVDOUGic[P UGXk[P
gX fGXkq[ai
fcHH\ bFJJSDO
eAJ[^Lh fRVkXVe
FNJa`^LUpTJSO fpP
JkcHHJFN\QAGP[a ALUGa
RUGae[iPEP UGiP
bJkZO ALHHJU
ALUiPP[ae[P[ZNKh]ehR] SeWG``
i UpT\]`S
\hhR]obQMeEnjYEGYEj\EjTE [PbGob\
FJ\NQTSDT FJ\[P`SJa`SJKTUXT
\UNl fGZGaq[
[ MPZTe
fcUNXUpakhhRobV_SY] [WV_]nn]S
UN lWRX\jW\_D
UWkcHTCJ AKT[h_OHHJ
qD Seh]DDDD
Aa AnHJfnS]
JkoVeL \hPl\jrh
AP`JBSW` fc]`SW`
U`VDDDkXGPEP[c[ZTe] UX\P
$ JkpP`SW`^P`^a`^LQ\dNTkX
AP`^KT \]f`SJP`^a`^LHUJ
[hjIPTPT[IOT[\IDT[\IDT[iRj]]`olg_S]Kokh_kXiNNKFR]`` fKSQ
[dpah ma][G
UGZOPaq[kP[P JkRPP[P
UWpJ[SmW`^K^FNJOUWeRPXkikq[n FN\hRkYedVedWG
[dNNGP[iPEc[aq[ic[Xkq[aq[Xkikq[P[Zlaq[aq[P[iPE RUGae[iPEPE
LAL[ A
[dPfZlNXkikq[aik_ke[Z \hdN
[hl_ $
UPic[ae[ZlZTDeLbR`` JkGaq[P[oTeLP\EjYEjQ
X\P \UVeFFkKdXRVeP
oXXNNRGa fpKTFNJFN\UNlXkq[Xkq[P[aq[ae[aq[P[ZXXNlP[Xkik
A f
[FR [LP`
KkRV fKFk
\hhR]obQMeEnjYEGYEj\EjTE fKh_DkXpHJFJJUX\SeE
AIP`SW`a Aa`SW
W $
Aa`S FFkRpa]`S
FJJ\QX mrS^DOU
UP ARa\WdP
SDeF_eWeM FNJSeejQY
fcQ\Pl N[W
UGXke[ZN FNJ
\UU]ePl FJJfYDOhPl
$ Upa[KTSDeRkchh_eF]k\
fYOWTJ $
[S UVDDeLHWUEkSeEj
\UiP[P[ZNc[KT[Pli UXRpT\hdGXke[ZTeSQT
\Hf\QGkE[ SDedWGP[P[
Aa`SW`^KT a
[hRTb_DOHTJALUpTJAa`SW`^KTfGXke[i fYkXWYQNUGaq[i
SD FJJSX
[hjIPTPT[IOT[\IDT[\IDT[iRj]]`olg_S]Kokh_kXiNNKFR]` [hR
fnSW`^KAaM`SU A
\hdNIO]`SW fRVO]`SJa
\DH[ UVDDO]`SJ
FNJiPlfRo UX\P
AKgTUp \H
Sk fcHaQRGZTB
I $
S] [dpT\Q\F]DD
Upa]`^P` Jkn^L]`SW
\ma AL
Se`dWRVOCQ\Wo_ [PbV_SSnS
\D`^ FJJ[dVO[
FVJFN\]` SO]`^P`
FJJKT\g`SJLHHHJfK JkYDDe
ZeJ fcUVDehkR
[Se Aaa`SW`^KTJkchdXRGZONNnKTUNNBScY
\QTVkDqg SkT
S UWGXke[ZX\F
UN lWRX\jW\_D
FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[aike[ FN\hh_edXXGaikikq[ic[
\hSQ]TPQob UPTehDehRd`olNSI
Aa` fpP`SW
[ MPZTe
FJ\UVDO[a`SJL]`^P`SW`^KTAP`^KTJkGZNRWY D
SkRPZONTehjgPT[ SJ
[ JkpP`^a`^fTUWKPbibjgPTPTPT[ik
QL [Rkc
\hhR]obQMeEnjYEGYEj\EjTE [PbGob\
f `UpHJfRX
[dVeFkSYEj\ fKJS\Ej\
FNJ\] FFkRpa]
UNX\SYEjQTokP fKF_eg
JkRVD fchdITmehjgPTPTPT[i_
UNX\SYEjQTokP fKF_eg
[SrhPrho_O]`SJLL]` Aa`^P`^P`
[RkcQRPP[imc[P [dPXke[ic[P
JkcQXpT\[a`^KTSDeLgikdNX\Sg ALhS
fcj JkKdpH\]`^L
\]`SJP`SW`SJP` bkYOHTg\]`
fRVDDeh mnRkRX\h
\HhPloR`obGol [W
\VP`^WKTA` FN\]`^J
\QlmmmWmWWm fGXleWamm
S \QXWGiPEc[Xkq[ik[Xke[Xke[ae[ZNYD
UPZTe JkGZOpaQ
SD jfrpY
ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di` AP`
Sk f
JkoVeL \hPl\jrh
fYe SkRVeWGobV__S]SnSFo]Be
fYOUVOGPPbMghbR`T SO[a`SJLQ\L
AL[KTUpHJSJ\[a \]`^P
fGe] fcHHJUP
[SeEj SOR[KT\]`^ReKTfKWe
\QXGi[Xkq[DP[ UPic[P[
JkKhR [SeEQ]
AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDDeLh UPXkq[Xke[ZTDeLh
JkRkVeFRTNRT SePlGT
FNJS UNOGZTeRkGP[c[P[Xke[XZTD
[FjIDTPTPT[\g[i_DDeFF $
UVDDDDkRWnSW`SW`^LU \WGYDDOQnXXR
\UNTDDO[P`SW UkNa
ALUGZTO o
\hhR]obQMeEnjYEGYEj\EjTEj fKh_DkXpHJFJJUX\SeEj
fpLHahhjg[ijW\kF_eFj ALhF]DedPP[Xke[ZTkLg\
fYD SedpT\HHJSDDkTW
\UXRpaQ\L ASOHaHHJ[LHIDTPT[iRT
FNJ[ \UGHke[keZNK
fcHT \HaZTJFJJ
UVOhWo_ SO`^a`SLRGYP[ic[Xke[ZTOhRkY
SkTrDTrD UWnSW`^Q
UNlaq[P[ AUTFJJAL]`^P`
FJJALRUpHJSOYKT[FkRV SO[KTS
AP`SW`SVJP`^K AK
UPZNcHahh]Ohdpahh_e JkcGh
APSW`^KT[LHg[\gPTPTPT UWYeF]eLHg[\IOTPT
fKFk $
JkKh [jIDTPT[\hW
fRXTSDkgrDg Sk\h]eRkRpaQTclDT
fN SDkRNO
Aa JkpPd^
JkRPP[ UGZOPaq[kP[
AL[KTUpHJSJ\[a Jkc]
JKrkHe [dNOpHJUWK
JJAKTAVEhS\jr [LPYEjg
[dVedpT\hhjIdPTPTPTPT[ijIdPTPT[i] \[KTSQD
Seh_k\hkU\EjghgiR`T FJ\HaUVehkh]eLg\W\]ehR`]]T
J ep
Jkn^P`^KTFJ [
Aa`^a`^P`^a` \]X^a`SE`SJa`
fcUXT F\QT
fGiPES[P[ic[ap[P[iP[Z fGP[ae[Z
ALh n\[OVTf
[h]k FNJ\QXTrDEXmD
UNNKFR]`Tb_ePbG`] UGZNchWG`````oloR]Tod_eFR
\QXGi[Xkq[DP[ai SDOHa]`SJLHaHH\Q\dXXPX
UBWmcQ\S\EjY fn^a`^P`^KT[PbM\Ej
Jkp `
fYOHJ]`j Jkn
JkGP[Xkq[P[ZlXke o\UGXPMe
UWpLHTJfGXke[P[ZOGXke UPnXke
ALUiPP[ae[P[ZNKh]ehR]] SeSQ
fKJS\Ej\ [dVeFkSYEj\
SDkXNTgohT SOUVe
\[LKUNTeF]k \UX
S[Rkc[KTJkKdVeh SDO[a`^KTfYeh
\HHJSg JkYDO[P`^KTfchRkKS\Ejr
\UXRWcHHJUPZlZTk\h]Dk\LbkF]k\FR``]T SeRkdS\Ej`\Ej\EjXQT
UNTedGa JkGaq[P[Xkhq[Xke[c[aikq[a
UXRpHJnf fYOQRW
\[KTFNJFW F
JFNl[a`^J[^P`^KTSO SO
KPligijId[ipF AKTJ
[P UWK
o\UGXPMe[ic[ FNJAP`SW`^KTUP
q[ [
kpP^KqfYO[LHHJUpT $
UGXke[ZXRPZOWn UPNnCW`
JLbR``Tg\IDT[i] S
AKTJ \QRYVkER
UNTe FNJfRpHFfIQYe
FJJUWpP`SW`^LUWSJJ[SJJ fn^K
FJJAL[KTFN `pT
AK JkYedNlXke[MZOp
paVQW f
$ JkKT
Sq ALUPXkq[ZTk\FRTPYEjQobib]edVDk\dVe
fKRB UX\S\EjeEjQTo
U FNJAKTAKTqJkVOHH\QTrDEXpT\U
UGqZjl [h_OUPP[
UVeFFknSJa`SW` fRkXV]`
\QlmmmWmWWmW ALQ\LIDPT[i_O[KT\hF_klmmW
Skl[GW [RkYDOQlWm
FJJAa` UWpGhhR`]]`obq
fRX\R FJ\hRkeKh]OhR
fpKTSedpa[a` UXRWYDO[L[J[^a`^
SO U
JkYeRkYOUNOXVhkSe [dVeFkSYEj\
\UVD Aaq`SW`SJKT\UpaUNNRVOhFqkSeEjghPYEjeEjro_
$ paE^KT
\HT\ XAAM[SSX`SJKT
FN\h f
fGm[i SedGXke[i
UX_ATOUUXkq[P[ZO ALU
[gFRTHD\]OQG JkGP[ic[
[W\jeEjQ`]]` UWpGhhR`]
F \QX
UVkXVDehR`ibFkpP`^ fc[a`SW`SW`SJJ[^
\`TrD UNXXWcQTVkD
fKJS\ [dVeFkSY
fpa`^P`^P` FJ\[KTfGXkik[ZlP[icc[ZNn
UWpLHTJfGXke[P[ZOGX UPnX
SOQ JkGP[ZXT
fGP[Xkq[aq SOUbWRWRPP
