24676
BBBAABABB BBABABBBABBAABBBBABBAABBBABAABBAB
BBBABBAABB B
BB ABAAABAABAAABBAABBBBBBAABA
ABBABABA AAAABBABBA
ABBBBBBBAABAAABAAAABB ABBAAABB
AABBAB AB
$ BAAAABBBBAAB
BAABABBBBAAABBBABABAABAB ABABBBBABBBBAABBBAABABABABA
ABB A
AAABBBA ABBABBAAABBA
A ABA
B A
BBBABBAABBBB A
ABBBBAAA A
ABBB AABAAAA
B ABBABBABAABB
ABABAAA BAAABAABBBA
A AAAAAABA
AABBA AAAA
ABBAABBABBABBA AAAABBBA
BBAABBBAA BB
ABAABBBABBB AABBAAABBABBBBABABAAABBBABBBBBA
AAABAA BBAAABBAAABBB
AAABAA AAAAAAAABAAAABAABAAAAAABBBABABABAABABA
AAABBABBAAAABBABB ABABAABB
BABAAABBAABBBABAAABBBBAAAAAABABBAABABBBBAAB BBBAB
BBABA ABBA
AABAAAAABBAABA BABBAABAABABA
BA AA
AAA ABBABABABABBABBAAAAABA
AAABAAAAAABBABBABAABBBBBBABBB $
AAAAABAAABA AAAAABABBBBBAB
B ABBBAAAAAABB
BABAAAABABBBAAAAAAAB ABBA
AAA ABBAABABA
ABBAABA AAAAAAABBAAAAA
BB BBABAAAAAABBBAB
$ AABABBAA
$ ABBBBAAAAB
ABAABBBBAABAAAABBABABBA AAAAABABABBBBBBABB
AAABBBBBAAABBBB ABBAAA
AAABBBABAAB ABBBBAAAABBAAABBABABBBA
A BAAABBBABBABBAA
ABBBBBBABABBBAAAABBBA AAAAAAABBABABABBBBBAAAAABAABBBB
AABBBAABBBABABAABB AABABAAAA
ABBAABBAABABABBABBBBBBB AABAAABABAAAAAABAB
ABAABBABBABAAAAB AABABAAAA
B AAAAA
ABAABABAAAAABABABAABBBBBAAB AA
AAAA ABBB
BAABBBBBBAB ABBA
BBBABBAB BBBABBBAAAABB
BBAB AABAB
ABABABBABBABAAB AAAABAAAABAABA
BAAB A
BABAABBBBABAAABBAAAAABB ABABBBABBAA
$ AAABAA
ABBBABAAABBBBABBABB ABAABBA
BABABAABBBAAB BABBAB
BBAABAABBBABABBAAAB BABAABAAABAAABBB
ABABAABABBBAB BA
AAAABBBBBBBBABBAABABABBB A
B ABBAABBBABBB
AAAAABAAAABBBBBAA AAAB
AAABBAABABBAB ABBBAABAABAAAB
ABABBBAABABA BBAAABABBAABABAAB
A BBABAAAABBBABB
BAA ABBBAAAABAA
BABA BBAAAAAAAA
ABBBBBBBABA ABBBBA
ABAABBABBABAAAABBA B
ABBABAAABAAAAAB BABBBBBAB
AABABABAA $
AB BABBABABABA
ABBB BAABABBBB
BBABBBABAABA BAAAABABBBAA
ABABBAB ABAAABABAAABABABBBAABABBAAAAAABB
AAAAAABAABAAB ABBABB
ABBBABABAA BBABB
BB BBBABBABBA
ABBAAB ABABBBA
BAAAABBAAAAABABAABABBBB A
ABBAAB ABBAABABA
ABBBAB ABABAABBAABBAAABABB
ABABB ABBAABABABBABBAAAAABA
ABBAABBBABBB B
BBBABBAABAABAAAB ABAABAABAAA
ABBBAABABABB $
BAB ABBAABABBB
$ AAAAAAA
BABAAABAABBAABBAAA AAABBBBBBA
ABAABBABBABAAAABBA AABABAAAABA
AAABAABABBB BBAAABAABBBBBAA
AAAAAAAAAABBA ABAABB
AAABAABAAAABBAA BBAAB
B AAAA
ABBAABAABBBBBBBAAAABBAA AABAABA
BBAABBABABBABAABBA BAAABAABBBAA
$ B
$ BAABA
ABABA ABBAAABBABAA
BABAAA $
BBABABBBBABABBBABBB AA
BBAAAAAB $
AB $
ABBBAABAABAAAAAABBAABABAAABABAA ABAAAAABAABABABABA
ABAABBBBBAB ABAABAAAAB
$ BBBAABBBABAABBBB
AAAABBBAABA AAAB
B BAABA
ABBABBBABABAAAABBAABAAAAABAAABABBAABAAAA A
AAAB AABAABB
ABABBBAABA A
AABAABBBABAABA ABBBBAABAB
B BAAB
BAAABBBBABBAABBBBB AABB
BABB ABBA
AABAAABBAAABAAABBBAABBBAABBBBBABAABABBA BBBBBAABAAAABAB
AAAABAABAAABABAAAAAABAB B
BAABBBABBAABAAAABAA ABB
AB B
ABABBAAABA AA
ABAABABBBAABBAABAAABBAA BABBAABBAABAA
BABAABAAABAAABB BBAABAABBBABABBAAA
ABBABABBAB AAABABBBAABABB
BBA ABBB
ABBB BABBABABA
ABB BAABABAAAAABBBBBABAABABBBAA
AAABBAABAAAABAABABBBAABAAAA AABAAAAABBBB
BBAAAAB ABAAABAAABBABAABAABBB
BABABBABABAAAABABABBAABA ABBABABBBABAB
$ AAAABAABAAABABAAAAAABA
ABBBAAAABAA AAB
BAABAA AB
AABABBABABAABBABABAAABBAAABBBA B
BBBABAB BB
BBBABBAABA B
ABAABBAABABABAAAABA ABAABBABABAB
ABABABBBBAABABABAAABBBAA AAABBBBBB
ABBBABBBBBB AABABBBBBB
ABABABAAABBBBABBAB AAAAABAAAABABBBABBBBABBBBAAAAB
ABAABBAB BABBBBA
AA B
AABABBBAAAABAA AAABAAB
AABBBABBBBAABBBABBAAABBAAAABAABBABAAB ABBABBBAB
ABBBABABA $
ABBAA ABABAAABAABBAABBABBABBBBAABA
AABB ABABAABBA
AABBBAABBBABABAABB ABBAABAAABAABAA
BABAABABABBBABBABBBBB AAABBABAAA
BBABABBB ABBB
BBBB BABBAB
BAAA ABB
ABAAB BAAB
ABAAAAAABBBBAAAAABAAAB ABBAAAA
$ B
AAB BBBAABAB
BABABBBABAAABAAAAAAB BBAABAAABAB
A AAB
BBA ABB
AAAAAABBAA B
ABABBBABBABABAAABBBBAAABBBAA $
BABAAAABABABAAAABABABAABABBBAB A
BAABABABBABABABABA AAAABAAA
ABB ABAAAAABAABABB
B BBBABBBBABBBAAAAAAABB
ABBBB $
ABABAABABBBABBA BABA
BBBABABBA BBBA
ABABBBABAAB $
AAABBAABAABBAABAABBAAAA BABABBAABAABBBB
ABABBBBABBBBAABBBAABABABABA ABBABBAABAAA
BA AAABABABBBAAAABBAAAAAB
BAABAABBBBAABAABBAAAAAABAABBBBAAAAABAB BAAAABBBBA
BAABABAABAAAAB BBAAABBA
AAAA AABBA
BBBABABBA BA
ABBBBABBBAABABAB AAA
AAABABA ABABABABBBBBABABBBAAAB
BABAABAABABABBAAAAAAABBBBBBBBAAAABBBBB BAAAABB
AAAAABB AAAAABABBB
BABABAA BBAAAABABABB
BAAAAAAABABAB ABBA
AA ABBBAB
AA BABAAAABABBBAAAAAAABBAB
AAABBBBABBBBABAAAAA BA
AAABABABABABBBBBBBA B
$ BAABAABABBAAABBBB
BBBAABBAABBABBB BAAABBBA
BBAAB ABBAB
A AAAAAA
ABBBAAABBBAAABBBBBABBBB BBABAAAAAABBBABB
AB BABAABAA
AAAAAAAAAB BBB
ABAABABBBAABBAABAAABBAAAAAB BABAAAAAABABABBABABAABABABBBBAABBAAABB
ABAAB AA
ABBABABB B
BA AAABBABAABBABA
BAABBAABABBAAAABB ABBAABABB
AABBABAAAAAA AAAAABBAAAAABAAAAABABBAAAB
BBA BABAAAABBBAB
$ B
AABAAAAABAA ABAAAB
BABBBAAA BAABABBAABAAAAAAAAB
BBAA AABAA
BABBBB BAABAABABBBAAABBAB
AABBABBBAA AABBBAABBBBBAA
BABBBAAA BAABABBAABAAAAAAAAB
$ AAABAABAAAAABBBAABABBA
AB AAABAABA
ABAAAB BBA
ABBAAABB ABAABABBBBAAAAAAAABBBBBAB
ABA BBABBABBBABAA
AAABBABAABBAB B
ABBBBBBABAAAB AAABAABBAAABBB
ABBABBBAA BAAABAAABBABAAAAAB
B $
AAAAABAAAAABB ABBBBBBAAAAABABAAA
AA A
BBBABABAAABBAAABAAAAABABBBABA BABBBBBBBB
$ ABBBBBABABAAABAAAABAAABAAB
ABBBBBABABAAABAAAABAAABAAB $
AABB BA
BABAABABBBBABBAABBABB ABABA
BAAA ABBAABBAAAA
BBBABA B
AABBABBAB BAAABB
BA A
AAAABABAAABBAA $
AA AAAAABBB
AAABA ABBBABBB
AAA AAAAABBAAAAABAAAAABABBAAABBB
AABBAA BAAABAAAA
AAABBBBBAAABB ABBBA
AAAB $
AAAABBABAAAABABBAAAAAAA BAB
AAAABAAAABABABABBBBBAABBAAAABBBAAAB ABAAABBBABBBBAAABBAA
BBABAAAABBBABBABBAB ABBBBAABABABB
ABABAABBA BAABBB
$ AABAABBB
BBABA A
A ABAAAAABAABA
AA B
ABABAAABAAB BA
A BAAB
B $
BABAAAAAABABBBAAABBBA BBBABAABAABBAABBABB
BBBBBBBAAABAAAAAABAA ABBAB
BBABBBABBB AA
AB BBB
BA ABBBAAAABA
AAAAAAAAB $
AABB AAA
AAABBAABBB BBAABBBABAB
BBBAA BBAAAA
AB AA
BBBABA B
ABBAB $
ABAAB ABBBBABABBAABB
BABBABBB AAABAA
AAB BBBABAAA
ABBAABABB AAABABBABABAAA
AAAAABBBB A
AABBBBAAB AA
AABABAAAAAABBAAAA ABA
BAAABBABBAAABABBBBBAAAABBABBA BABBABBABABBB
AAABBAABBBAABABAABABAAAAAAAA AB
BBAA AAAB
ABABBAAAB A
$ BBB
AABBABBA AAABA
AAABBA B
BAABAABBAAB BABBBBAABB
BB ABBAABBBABBBB
ABBBABBBBAA BAAAA
AABABBBBABAAABBABBBAABBABAA ABBAABAAA
BAA ABBBABBAABABAAB
BAA AABBA
B BBBABABA
BABAABAAABAAABB BBAABAABBBABABBAAA
BBBABAABAABB BBAAABBBB
AABABAABAAABABAAABABAAAAAAAABBAAA BAABBAAB
BBAABAABBBBBAABBBBBBBBBBBBBBBAABBBBBBBBAAAAB ABAABABBBBB
ABAAA AAAAAB
BABABBB BAABA
AB ABAAAABAABBAABAAAAABBABBA
A BBBABBAABBBB
ABBABBAAAB ABBBAA
ABAABBB BA
ABA AAAAABBABBBABBBAB
B ABAAAAAABA
BBABABBABAABBABBABBAAABBBABABBB ABAAAAABAAAABABAAAB
ABBBBBBBA ABAABBBABBBAAAABBBBBBAA
BBAABBABAABBBAB BBAAAAAABAAAABBABB
ABBABABAABBAAAAB BBAAAA
AAB AA
ABBAABBBAABA ABBBABBAA
BAAAABABBBAA BBABBBABAABA
ABBB AABBBBA
$ ABAABBABA
AAABBABBAABABAABBBBBBBBBABAA BA
ABABABAAAABBBAABBBAAABABA AB
BAAAAAAAABBBBAAABBBBABBABBBBBBBBBAABBBAABAA BABBABBBABABABBBAA
AABAABABABBABB AABAAABABBBAABA
AABBB A
AABBAABAABAAAAABBAABABABBABAAB $
ABAABBAAA BAB
$ BBAABABBBBAAAABAABBA
ABBBAABAABAAABABB AAABABAAA
AABAABB ABBA
AAAABBBABB $
AABAABBBABAA ABABBB
$ BABBB
AAAAABAAAABBBBBAAB AAAA
AAB BAAABBBBABBAABBBB
BBBABAAAA AAABBBBAAAABBABAAABBBAAABBBBBBABAB
BABBB ABAB
BA ABBBBB
AABBAA AAABABA
BBAA BAABBA
ABAAABA ABB
ABBAABABB ABA
AABBBA ABAAABAABAAABBAABBBBBBAABAAAB
BAB AAABBABAABBABAB
$ BBABA
BAAABAABBA ABBAABABABBABBAAAAABA
AABABA BBBBBBBAAABAAAAAABAABBB
BA BAABA
BBABBBBBAABBBABABABBBBAAABBBABAAAAA AA
ABBBA BB
$ AAABB
BAABABAAB BABBAABBBABABABBAAAB
B BBABBABBBA
AAABABA BAAAAABABAABBA
BAAB A
AB BBABAB
B AAABBAABA
BBBBABABBB AABBBAA
AABAB ABAABBAAAAABABBBABABBBBBAABAB
ABBBAABAAABABAA ABBA
BAABABBBBBAABAAB AA
AABA A
AAA BAABABABAA
AAABAA BABBBBBABAABBBABBBABBBABB
AAAAABABAABBAAB BBBAA
ABAAABAABAAABBAABBBBBBAABAAABBABAB ABABABAA
AAABBABBAABAAAAAAB AABABBBAAAABAAAABBB
BA AABAA
AABBA AAAAAAAABBB
AABABABBBBAA BABBABB
BAABABB AB
AAAABAABAABAAAABBAAAAAAAA AAB
ABB BBAAB
AAAAAABAB AAAA
BABB ABB
BA BAABBBBAABA
AABBBA BABBA
BB B
ABBABAABA AAAAAABABBAB
BABAAAABAAB AAAABABBB
ABB ABBABBB
AABBA BABAB
AAABBABABABBBB BABAA
ABBBAAABBA ABBBABAAAABB
BAAABAABBB AB
BABABAA AAAABA
ABBBBBAAAA AAAAAABAB
AABABABBBBAAAA BABBB
BABBABBA BABABAABBBAABBA
AAABABABABABBBBBBB ABBAAABBBAA
B BAAB
ABAAAABBA BAABAABBA
BAABBA BABABBBAA
BAAABABBABB B
ABBABBABBBBBAAB ABBABAAABAAAAA
AABAAAAB AB
ABBAA AAABABABABBAABABABAABBBBBAAAAAABBA
BABBAABBAABAAAAA ABABAA
A AABBBAABBBBBAA
ABABAB BBBBBABBAB
BBBABBABBB BAABBBAABBBAABABBABBABABBABBAA
AAAABABABBABBB $
AAAABABABAAAA BBBABAABAABB
BABBABABAAAAAABBBAB BBABABABBABBBABABBBABAAAABAA
B BABBA
BABABBAAABABB B
AAAA BA
AABA $
ABBAABA AAAAAAABBAAAAA
BBAABAABBBBBAABBBBBBBBBBBBBBBAABBBBBBBBAAAAB ABAABABBBBB
AAABBBABABAAAABBAAAABAABABBB BAAAAAAAAAAAABB
ABBBBBBAAABBAB BAABABABBBAAABAAAABABBABAABBABBA
$ AAA
ABBBBAAAABBABAAABBBBABABBBBABAAB BBAAB
BBBAABAAABABAABBAB $
AAB ABAABBABBBBAAABBBBBABAAAAABBAAAABAAABBAAABBBABBBABAABBAAA
ABB $
BABBABAAB A
BBA BAABABBBBAAABBBABABAABABBABA
$ A
BB ABAABBBABAABAAA
AB BAAAAA
AAA BAABABBBBBAABAABA
ABAA ABABAABBBBBBABBAABABBB
AB B
BBB AB
BAAAAB AAABAABABABBB
ABAAABA AABAAAAABAAA
ABABAAAAAAAABAAABBABBBABABBBBAAAAAAB BAAABBAAABAAAABBB
ABAAABA BAA
AABAAAAAAAABABAAAABBBAABABA ABABBABAAAA
ABBABBABABAB $
BBA $
ABBAAABBABA ABAB
AAABBBABBBA ABAABBBB
BAB AABAABABAB
B BABBBBBBAABB
ABA ABABBBAAABBABBB
AAA AAAABABBBAAABAABA
ABBABAAABAAAAAB $
BBBBBBBBBABBBBAABB AAABBBAA
B BAAABBAAA
BBABBBBBAAAABABBAAAAABAABAAABAAABA AA
AAAAABBABBBABBBAB ABBAB
AABBAABAABAAAAABBAABABABBA ABBBBBABAAABAAAA
BBAAA BBBABBAABBAAAA
AB $
ABABBBAA AABAABAABABAABABABBB
$ AAB
ABAAB $
BABABB BA
AAAAAAABBABAABBABABAAAABBB ABBAAAB
ABBAAABBABAA ABABA
ABAAAABBAB AAAB
AAAAAB A
$ BAABAAABAAAABABABBBAAAABBBAAAABABABBBAABBAABABBBBBBBAAAB
ABABA AAABBABBAAAABB
AB ABBABAAABABAABBBAABABBAA
AAABBABBAABABAABBBBBBBBBAB BABABBAAAB
BABB BAABAA
B BAAB
ABABBBAABBBABB BBAABBABABABABBBBA
$ B
BABABAAAAA AAAAAAABABABBBBBBAABABABBABABA
ABBBA AAABABA
AABAAAABBABAAAAABAB BBAA
ABB ABABAB
ABBAAAB ABBBBBBBAABAAABAAAAB
AABBBA ABAABBABABB
AAABAB BABBAA
AB BAABABB
ABBBBBBBAABAAABAA ABBA
AAB BABBAABBBABABABBAAAB
$ AB
BABBAB AABABBBABBABBBABBAB
ABAAABAABAAABBAABBBBBBAABA $
BAAABBAB AAABABBBABBABBAAA
BBBBAABAABBAABBBABA BBBABBBA
AAAA AABBA
BAAABAAAAB AABBAAB
AAA AAB
AABABBBBABAAABBABBBAABBABAA ABBAABAAA
$ BABBABAABB
ABB AA
AAAABAA BAABABABBABABABAB
AABBABBABAAB BAAABBAAB
ABBBB AAA
ABBABABBBBAAA ABBABABBABBBBBABABBA
AAAABAABBBABAABABAABABBBBBAB BB
$ AB
AABAABBBA AAABBA
ABAABBABBABAAAABB AABABAAAAB
AA ABB
BAAABBAABABA BABBBBBABAABBBABBBABBBABBB
BABBBB AA
BABAAB BBABA
BBBBBAAABABABBAABBBBBAABBBAAAA ABBBBAB
BABAAAA A
AAABBBAA BBBBBBBBBABBBBAABB
AABABBBA ABAAABBBABBAABABAAABBAA
BBABAAAABBBABBAB ABBBBBAAAA
BBBBBBAAAB BBB
AAAAABBAABAAB AABABBAABBBAABBABBAABABBA
BABAAABABBABBABABBBAB AAABAABABABBABBBBBB
AAABBBAAAB BAAB
ABABBBAABBBABB BBAABBABABABABBBBA
AAAAA AAABBAABAABABAABABAABBBBAAA
BAABA $
B BB
AABAABB AAAB
BAB ABBBBBBBAABAABBB
ABBAB BA
ABAAABA AABAAAAABAAA
BBABBBABAABA BAAAABABBBAA
BA AAABAA
AABBAAB BBABABB
BABAABBBBBBBBAAABBB BBAABAB
ABB AAAAABAAAABABBBABBBBABBBBAAAABAAAA
BABABB ABBAA
AAAABA B
ABAABAABABA AABBA
BBAAA AAB
AAABABAAA AB
AABBBAABBB AABBAB
$ AAA
BABBABBBBAAAAA AABBABABAAABA
AABA AAAAABBBBA
AAABBABBAABABAABBBBBBBBBAB BABABBAAAB
BA A
BA ABABBBABBABABAAABBBBAAABBB
BB BBABBBAB
BAAAABBBBAAB BAABAABBBBAABAABBAAAAAABAABBBBAAAAABABAB
BAABAB A
BBBA BBA
AAAAAAAA AABA
ABBBABABBBBAABA A
BBAAAAAA BBBAAABABAABB
AB BAB
BAABB AAAABAABBBBAABAA
AAABBAAABAABBB BAAAAAABBAA
ABAAAABBBAABBBAAAA AABAA
$ A
ABAAAA ABABABAAAABBBAABBBAAABABAAAAA
AAAAABABBABABA BABB
ABBBAABAABAAABAB AAABBAABABBABAB
AAAABBBBA BBBABBBAABAA
ABBAABA ABAAAAABBAAAABBBBBAABBBBA
AAABAAABBBAAABAABAABBAA BAAABBBB
B ABBABBAAB
BABAAAABABBBAAAAAAABBABAAABAA AABBABBBAAAAAB
BBBABABAABBBBA ABBABABBBBAAABBBB
AAABBBBAA AAABA
AAAAABABBABABA BABB
BAAAAAABBAA AAABBAAABAABBB
ABABB BABBBBB
BBBABBAB BAAABABB
ABBAABABABBBBAA AABABBBAAAABA
AAAA B
BBAAAAAAB BABAA
ABBBBBBBABAA ABBBBAA
ABBBAAA ABBAAAABAABABBAABBB
ABBBBBBBBAAABAABBAABAABBBA AAAAAA
BABABABABBAABABA BBAAAAAAB
ABA AAA
AAABAAB A
BABBAABAABAB AABAAAAABBAAB
ABBBAB BABBABABAAAAAABBBA
ABAABBAAABAA AABBAABAABBBB
BAABBBABBAABAAAABAA ABB
ABAABAABAABABAAABABAABAAAABBABBAAAAABABBAB AABBBA
BABABBBAAABAABBBBBABBABAAAAABABAABABBBAB AA
BABBA BBB
BA AAABABBBAABABBA
ABBBBBBAABBBAAABBBAAAABAAABBBAABA A
A ABAAAB
ABABBBABBAABA BABBABBBBAAAAABAA
BAAAAAAAAAABAABBBAABABA ABBBAABBAA
AA ABAAAAB
ABAAABBBAAAAAABBB AA
BABAABAAABAAABBBBB $
BAAAABAA $
A $
BAAAA AB
BAAAABABBBAAB BABA
ABAABBBBABBBBAABAAA ABBBB
$ AAABAAAAAAAABBBBAABBABABAAABAA
ABA BAAAAAABBAAA
A BBABBBBBAABBBABABABBBBAAABBBABAAAA
BAAAAAA BBA
ABABAABB AAABBABBAAAABBABB
BBAAB A
ABAABBAAA BAB
AA AAAB
ABAABBBABAABAAABA ABB
ABBA BBAAA
BABAAB AAABBAAA
AAAAAAABAAABBA ABAAABABABABABBBABAAAAA
BABBBBAA AABBBAAABBABA
BAABBBABBABABABBBBB BBABBAABA
BABABABBABBAABAB $
BABBAABBBABABABBAAA $
AAB AABBBBBB
$ ABBAABAB
AABBBABABBBBAABBBBBAABBB ABBAAAAAABBABAAAAAAA
BABB BBBB
AAAAABBAAAAABAA AAAABBAABAABAAABAAAAABAABB
BBBB BAB
BBBBB BBABAABBABB
ABAAABBBABBAABABAAAB BABAA
BBBAAB ABA
AAABBABAABBABAB AAAABAAAABBABBABABA
ABBABABA BBABABAB
AAABBBBABBBBABAAAA B
ABBBAAAAAABAB BBBABAA
ABBAAB ABAAAAABBAAAABBBBBAABBBB
BAAABAAAABAA ABB
AAB ABABABAAAABBBAABBBAAABABAAAAABAB
ABB AB
B AAABABBBAABABB
$ BAAAABBABAAAABABBABABBBBAABABA
BABBBBAAB BAABAABBAA
BAABBBAABB B
BAABBBABBABABABBBBBB BBABBAABAB
ABBBBBABAAAAB AA
ABABAABABBAABBAAAAAAA AAABAABAABBBABBAB
BABBAA ABBBBBBAAAAABBABBABB
BABAAAABB BAABAAAA
ABBBBABABB ABAAAAABAAABBBABAA
AB AAABBBBBAABA
AAAABAAAABBABBABABAA AAABBABAABBABABA
AAABBAAA BABAAB
ABAA AABAAABBBBBAABBABAAABA
$ BBBBABABAABAB
BABA AA
AAABB BAAABABBAABABBAABBBBAABBBBAAAAABB
ABBBBBBAAAAABABAAAAAA BBBBAAA
AABBBAA BBBBABABBB
BABABABA AABBBABBBBAABBBABBAAABBAAAABAA
AAABBABAABBABABA AAAABAAAABBABBABABAA
AA ABB
BBAABAAAB BABABBBABAAABAAAAA
AAABBAABAABABAABABAABBBBAAABABA ABBAAABAB
AABAAA AAA
AAAAAB BBBAABABABABBBAABABAABBBB
ABBB BBAA
ABBB AABABBABABAABBABABAAABBAAAB
ABBBAABABAAAAAAAAB A
BBB BABA
AAAAAABAAB AABAABBAABABBABABAABBBBAAABAAB
BBBAB AAAAAABAAAAABAAB
AABBAABAABBBBABAAAB AAAB
BAABABA BBAAABABBAABAB
ABBABB BBBBBBBAAABAAAAAABAAB
BA $
AABAABB AB
ABAAABABABABABBBABAAAA AAAAAAABAAABB
BA ABBBAAAABA
BAA AAB
AAABBABAAAA BAAA
BAAAA A
ABAAAA ABABABAAAABBBAABBBAAABABAAAAA
$ ABBBBAA
AABBAABA ABB
A BBABBBBBAAAABABBAAAAABAABAAABAAAB
ABAAAB ABBABAA
ABBAAABBBAAAA AAABABABABABBBBBBBAA
AAAAABBABAAAAAABBABBABBABABAABBAAAAABBABBABB AABBAABAAABAAAABABBBAAAAABABAAAAB
BBABABB AABBAAB
AABAB AAAABBBBB
BA ABA
ABABBBABAABAB AABAAB
ABBBAAAAAAB AAAAABABBB
AA ABBBBAA
BB ABBABBABAABBB
AB ABBAB
AAAAABABABBBBBBABBB ABAABBBBAABAAAABBABABBAB
BAAB ABBBA
ABBAAB ABBAABABA
A BA
B BAABBA
AAAABAABAAABABAAAAAABAB B
BAA AAABBBBBAB
ABBABAAABAAAAB AAABA
AAABBABBABBABAB ABBBBAA
AABA B
AABBABABBA BBBA
AABAA AB
BBABBBABB ABBBBBAAABA
BBA BBBABABAAABBAAABAAAAABABBBAB
ABBBBAB BA
ABAA BBBAAABBA
AABAABAABAABBAABABBAAAABA A
ABABBBAB ABBBBAABAA
AAABAABABA AB
BAABA BA
A BBB
BABA BAABAAA
AAAABBB ABABABAAAAABABBBAAABBABABAABBBBAAAAABABBBBBABA
AABAABBBBAAAABBAABAAABAAB AABBBBBABBABBA
BBB AAAAAABAAAAABA
BB ABAABBBABAABAAA
ABAABAA ABAABAABBAAAAAAABBABAAABAABBABABBBABAABBBBAABBAAABBBABAB
BBBBAABBBABAABBBBAAAABBBB AABABBAABBBAABA
ABBA BAABBBABBAABAAAABAAA
ABAB BBBAAAAABBAAAABAAAA
AAAB BAABB
ABBAABBAAABAB BABBBAAB
AABAABABBBB BAABAA
ABABAABABBBABA AAAAAAABBAAB
BBBAABAAB AA
BABABABAAAABBABABBBBAAAAAAAAABABAAABAAAAABAAABAABBA BABBAABAABABAAAABB
AAB BAAABBBBABBAABBBB
ABBAAABBAABABABBBABBBAABAA ABBAABABBA
BBBABAAABBB AAB
ABABBBAABBAAABAABA ABBAB
ABABAABABBAABBAAAA BAA
AAABABABABBAABABABAABBBBBAAAAAABBAA AAB
BAAABAABB A
ABAAABAAABBAAA ABABBA
AABBA BAAABBBBABBAABBBBBA
BBAABBBAB BBBBBABB
BBBBBAAABABABBAABBBBBAABBBAAAA ABBBBAB
ABAAAA AABBBAABBBABABAAB
ABBAABBA B
ABAAAAAABAAABBAA AABBB
ABBBBBABAAABAABBBA BABAAB
ABBBAABABAABA AABAABBAABBABBBB
BABBABBBBABBB AAABBBABAAAAABBBAB
A ABAABBAAAAABABBBABABBBBBA
ABABBBABBAA AABAAABABBBA
AAA BAABABBB
BAB BABAAAABBBABBBB
ABABBBAABBAAABAABABB ABBABBB
A $
AAAAAAB AB
AB AAABBBBBAAABBB
BABABABBAABAABBBBBB AABBABBABAABAA
ABAABBABBABAAAAB AABABAAAA
BAAABBA ABBB
BBABBBABBBBBAA AAAAABBABAAAABBBBBA
AAAAA BBBAABABABABBBAABABAABBB
AAAAABAABBABA BBBABBBABBABBABAA
B AAABBBA
A ABAAAAABAABA
ABAAAABABAAAB AA
BBAAAAAAA BAB
AAAABABBBAAAAA BBABAAAAABABA
ABAAABAAAAABBAA AABABBA
ABAAAAAB $
B ABBAAABAABAAAAAABBBAABABAABBBABAABBAAAB
AAAAAABAB ABBBBBAAAA
BAA ABAABAABBBBBABBABABBBA
BBBABBAA AA
BBBABBBBBBBBBBBAABAABABBABBABAAABBBBBAAABABAA ABAABBAB
ABBBBBBA BABBABAB
AAAAAAABABABBBBBBAABABABBABAB BABABAAAA
BABBAAB AABBA
BAA AABBABBABBAAB
BAB BBBBAABABBABBBABBAAABBABAA
BAABABABAABBA BBB
AAABA ABBBABAABABBA
AAABBABBAABABAABBBBBBBBBAB BABABBAAAB
ABBBAABABAB ABB
AAAAAB BBBAABABABABBBAABABAABBBB
BAAAABAA $
AA ABBBAAAABABABBABABABBBBABBBBBBBABBA
BABABABBBAAAAAAAABABABBBABAB ABAABB
AAABAAAABBAABBBAABAA BBBBAABBAAABB
AAB ABAAABBBAABAABAABABAABBBBAABAB
ABBABAAA AABBBBBAAAABBABB
ABBABABBBBB ABBABABABBA
ABBA BAAAAAB
AAAAA BBABAABAAA
BAABB ABAAAAAAAABBABAAAAABBABABABA
BBBABBAABA B
A BBBABBAABBBB
AAAAABA ABBBAABAAB
ABBBBBBAAAAABABAAAAA AAAAABAAAAABBAA
A $
BBABAA ABB
AAABAABAAAAABBBAABABBABBB ABBBBBAAAB
AABAAAABBBBA AABABA
AAABBAB AABAABBBAB
BAABAB BAA
BABB AAABAABBAAAAA
AAB AB
ABAAB AAABAAAABAAAB
A BAABBA
BAABBB $
AABAAABABAAAAAA AAAABABBABABA
$ AAAAABBAABAABB
BBBBA AABAAAAABAA
ABABAAAA BBABABBBABBAABBBBABBAABBBABAABBABBBAB
$ B
AAABBABBBABAB $
A BA
BABAAA ABABBBBABB
ABAAAAAAAAAABBBBA BBBABBAABAABA
AAA ABABBAAABAA
ABB BABABBAAABAB
BAA $
AABBBA BABBA
BB AAB
BABBABAB ABBBBBBA
$ BAABABAA
BBAB A
$ ABAABBBABBBABABAAAA
AAAABA BBBBABA
BAAAAABAB AAAAAAAA
AB A
AAAABAAAAAAABBBBAAAABAABBBAB BBABBBBBAABABAA
BABABABABBA AAABABAAB
A BBBBBAABAAAABAB
AAAAAB ABAABBAABABBBBBB
A BBAAAAABABBBA
BBAABA ABBAABABBB
BAAABBBBABBAABBB AA
$ ABBAAAAA
A AAABA
AAA AABB
AAA BABBABBBBAAAA
B $
$ AABA
BBABBABAABABABBBBBAAABBBAAAAB BBABA
BABBBBBBABABB BBBABBBAABA
BAAABABBAAABABAAAAAAABB AAABABABBBBB
A AABABAB
BAABBAAAABABAB ABABAAAA
ABBBBA BAAB
A AABAAAABBABBABABA
AAAAB ABBAABBABBA
AA ABAAAABABAAAB
BABABABAAABB AAAAABBABAAAABBB
BB ABB
ABBBABAABABBA AAABA
