38134
W[PZ ak[SZifiCBpHdgP
F cVG
fiBaC W[PFD[dR`
cdhV cVGGGG
WdAV eSWEp
AVW e
TFD[dfi [dgfiE
W[]ifiBeVWpW AVWoW
WdRX fiBaG]
Ro R`DbMSp
g]hiXDFD]fjKcWkkWW g[DKc
Od^jRPfSSrfSC HPPRPC
piBaGSVoOgdgFGBgDRP Od^jRPfSSrf
fiBcV cmiBpiBTdg
$ m
bg[d`g[HP T[P
XDP D
R`V[]OifiBfigBWFDdf p
WdRXO aG]O
f[jfr XGfr
aKTlFID Fi`fb
cSSSVGGP TPFq\FGBcVP`
TFDFD]d^j FJ]^Gd^Qj
HdgP D
T]hK mn
WPG^gFDFBHPUhhLL` TPUhLLL
g[] fiB\O
pB gd
RRDS XGBGS
TdW[[dTFD XDO[
fiBg[[]hgP T[G^P
R[]O fiR`fiR`IlKEV
XDdH[PFqFD KI
eVWpWp WFGBc]iBUeV
cmiBd^d^d^h TFDdH[PG^[]h
gdfifrprbH XGfr_prbnWerprpHrbH
X[[ H
edmp eVW\V
RoO H
fifrprbHY HFD[FDFGfI
TPFq\FGBc cS
piBpiBXD]j SDDD
XDMDKckW HDKHKckkkkkk
R`ZDOKqicSmiBpi XGBfi
OI g]
piBak`TOCDSV CDdR
T dW
fiBAGCf pif
cX cSmiBc
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR XDFDPUhLLWhLLWhWhLWhLLLLLLWhLWhL
agdfifbnWebHYbner_ XD[DGfKbnReg
AVW\VW IeVWpW
gDg H[DKH
f[ifbnebHYr_prr_prrp XGfr_p
cMmifrp pifbHYr____p
W[PZ_Q bg[d`g[HPZI
fiBA pfiBA
fiBT OR[ZOn
W\ a
pifbn fiQbnWbWWnW
gPPK TFDDKH
pifr_prr WFGfWr
cmiBAVkoW piBAVW
T]j XDMD
cmiBgFD Z[PGM^
Tdg]h GoOg]h
gHPUhLLWLLLmhWh^LWhWhWhLL gPUhL
fif fiBAGCf
ffrp XGfrp
XDPG^PPK g
HPZ_Q T
pifbHYr piBTdfifrprrprprrprr
AVWp eWoWIo
YdW[q TPFqF
gHPUhLLWLLLmhWh^LWhWhWhLL T]d^hiXGBHPUhLLL
$ piBH[
aCYO n
ADpc cVG
piBfiBT $
Ro a
gPZIAIA TZIf
AVW AVOWS
RoVQk fiB
g[GBUPhRPSC OjRPSSfSC
g[dHFGBAVWpWpWoWo eb
JcSO WdgPG^FGBcS
TFDDKH gPPK
Od^jRPfSSrf T]jRPffS
RGFDdWFDdaClk cSSmiBak
k OhKEVk
H HPFq[]h
a W
cMm Hdf
cmUKHYbnWerprr\prl piBTFGf
heVWpWpW\V XDFD[dXGBT[dAVWoW\VWo
fiB]pBHFGf] HFGfr_
gFSDPP T]d^j
eVWboWo_\V eVWoWp
XG XGq
XDdH[PFqFD[ HBeqRa
XGfr_prbnWerprpHr piBfiBfif
gHPUhLLWLLLmhWh^LWhWhWh T]d^hiXGBHPUhL
$ H[D
fiBg[[]hgP T[G^P
T]d^hiXGBHPUhL gHPUhLLWLLLmhWh^LWhWhWh
HdR RGFDdWFDdaClk
gDK XDKlg
fiB M
XGBOhGSDSCYOXEFGfbY XGfr___pr
R ]
pfi fi
edmpWoW\ RkBeVW\VWpW\VW\
HGfbBYi TFGBfiBpifb
\NgT T
HDKcWWWW g]hiXDFD]fjKcWkk
cSSSmieVWpWpW\VIWp AVWoWpWoWoWpW\V
gFGBT[FT[[ T
fifr_prr_ pif
Oh_C RkBXD]hk`
a XGBRkfrpr
OhKEV $
eii pi
T[[FGBfif XfP
TFGBH $
cmifrQ pifbnWer___
K`C piBcVG
QD]K $
Xa agF
XDDFGJBgPP XDPG^PP
D TdgPG
$ M
gd R`V[]OifiBfigBWFDd
eVWBVWoQWo eVWoW\V
VfbiBP fiBHFD[[]hG]
pifbHYr____ WFUGfrQh_
gXG fi
cmifr_prrprrpr fifc
eVWpW\V cSSSmieVWpWpW\VI
WdiBpijXGBlH[FD[F HFDF
Rkfr_ RoOgdfifrm
gd RkP
pfi fi
cDSpm p
$ bWSG^d
MVp AVWoW
gFGBT[FT[[ T
pifbnerrr fifr__prbHYr
T [dH
cmDfbneb pifrprb
g[FGBpiBgPo fiBOj
piBa Ro
p $
cS TPFq\FGBc
$ O
piBaGSVoOgdgFGBgDRPS Od^jRPfSSrfS
Oh_C R`
fifrIKpS RRVRVoOkkfrp
gdfifrp XGfr_prbnWerprpH
g[FDFGfrp pifbner
FJ]^Gd^Qj g]j
eVWboWo_\VWoW gFGBAVW
RkBeVW\VWpW\VW\VW ebWE
bTOdY cSmiBRkBOd
pifrprir_ fifbner
piBWFD[[PPK SPfK
piBH[P R_kCBXDFGDBa`
fiB RoVQk
MgFDpGISB gFGB
GBRkBcmifr fifr
g[]d fiB\Od
WPG aL]d
IPeZJIAlSf gPZIAIA_Q
H RoO
HdHD [dHD
cSV mdcVb
XGf qpnQif
piBH[F F
AVWpW\ m
$ l
AVWpWpW eVWboWo_
cmifrprr R`VkfZ
g]hKE ZY
RRlCYOK $
HFDP P
XGBoR` RR
fiBg[[]hgPZ_Q TPGBEZ_Qn
GoO Td
pi fiBAGC
H[[FG R`ZDOKqicSmiBpi
XDc RkBXGBHFGBc
$ g]hKE
cmifr__prbnWWerprbner__prbnWer eVRM
\Ng $
TFGBH[d OR[ZOnd
OR[ZOn TFGBH[
HFLDr $
fiBAVWoWo cmiBAVkoWp
T[G^P HP
ZO cmiBaiW]
WDK H]jdo`H\
GoO Td
cmiBpiBTd ZT_
OP HPPRPCp
XDP HPq[[[o
mn T]hK
cVG TccSV
cmifrprr_prrprr_p cSSmiBifr_p
XDL R`pOiXD
cSmifbHY ficl
eVWoWoWpWpWpWpW eVW\VQWpW
OhG] Ofhk`
$ XD[FD
$ g]hKE
XfP fifrpr
aGSpOKE l
gDg H[DKH
TT g
AVW\VWoW IeVWpWoW
RRlCTOkkfr_prr_p HFLGfrprbYner__p
XGfrp WFGfWr_p
fifr piBTdfifrprrprprrprr
W[dcmiBdWFGBW[Ff fif
^ pifr
F XDPGBEFq[]h
g]hiXDFD]fjKcWk gDKck
AVW\VWpWo eWp`W\Vh
TD pBTFGBAVW\VW\VW\VWoWpW
fofr_U_p fifr___prbnerp
TDXf XGf
p WD
G fi
fUBg[d g[dfiBWdTd
R[]Ok[SYOCVkBcS c\
WFUGfrQh gFDFGfbHYbHYbner
XG TDX
AVW\V eWoWffoW\Vrp
c\SS R[]Ok[SYOCVkBcSSS
pifbnerprb chAmLfb
cmiBpiBHdYWF HdXDdX
H[dp RoO
aH aG]O
HdTDKbKc qDec
gP XDGKBE
H gFGBT[FT[[
TPPXa WPVHX
eVWoWoW\VW\VW\VWoW neVWW
XoOkJ g
lcmiBR`YO TFGBa
TPFq\FGBcVP cSVP`
fi W[dcmiBdWFGBW[F
fiBOjKbRPSC g[GBUPhRPSC
fiB RoVQk
cSmiBT] piB]G
a gdX
cSSEifr_prbHYr_Vprrp gdfifrp
RRDS C
W[dcmiBdWFGBW[F fi
fiBiOTa TDXaaa
AV eVWboWo_\VWo
fiBHiBTHLdgQB WFDFGB
$ P
kBT] g]
c\SS R[]Ok[SYOCVkBcSSS
g $
aGSZOkRl iBpiBpiBXD[[P
mVWWoq\V AV
eVW\V A
XDGK HPG
g[PG^ SDD
g]d^jK g[FGBpiBgPoK
fiBHiBTHLdgQ piBpi
phBXGfM cSmif
XDFGBIgD TFDFDD
gdH[[PFqFGfrprbHY cXmif
Tdg GoOg
cmDfbneb XGfb
piB]Gj HD
hT fiBTdW
gB]jKcWkkkkWkX gPG^DKckkkWWWW
W[a Wd
fiBiBR[ R[
fiBiOTa TDXaaa
aig[dc c\SSS
Odd gd
[d Hd
ii_Dd $
g[[dT XWDB[
XGBWFG XGXG
XGBpiBHFD] $
TDo heVWpWpW\VW\VWoWpW
piBak`TOCDSV iBKR
gHPUhLLWLLLmhWh^LWhWhWhLLW gPUhLW
cSSVG VGGGG
f[ifbnebHYr_prr_p pifr__p
TFGBHPU PUhWhLLLLLWhWhLLFWhLW
HFLGfrprbYner__p fifrprrp
$ M
gd Odd
a aKM
PUG TPG
A cm_AK
fiBiOTa TdW[dfiBOd^jKHXa
piBIl[R cVGG
Xpfrp HFDFGf
piBpiB fUBg[d
XZDbb XDd
XDIFV g[]
MO XGBOd^d^
H]hkkfr_pr R`ZDOKqicSmiBpif
$ r
$ iZB
agF aiYX
fifrprbnebnebncWWWe T[FGf
bWSG^d $
XGB R`V[]OifiBfigBWFDd
bTOdY W]d
c`miBXDD XD[PP
H[[FG R`ZDOKqicSmiBpi
T[DXa RDXaacaa
XGBTD ]p\jG
miBgFGBj W[dRkBOd^hi
TPPQKbK Od^jK
H`GBfifr__pr fiBXGf
fiB\O OhiOd^
focB $
XD gLS
gXG fi
o g[dcS
HPZ_ T[G^PZ_
`B XGB
XGfr_prbnWerprpHr gdfifrpr
piBTFGf XfP
$ piBT
gdTd GBTd
iBGcc gFGBf
fiBRoO H
W[FD \NgT
g[FGfr_ [ii
a RLYO
g] OI
WPUhLL WPG^gFDFBHPUhhLL`
lFDo g[[dTP
XDPG^P XDDFGJBgP
AVW aiAVWoWi
XD] piBR[ISZOi[]
[km pi
XD RkBXGBHFGB
cmiBAVkoWpW AVW
XGBXGBW[DKcWeg OjKckW
Oh_C RkBXD]hk`
TYac cSSS
TdXDFGBg]h BIXf
Hd SZ
WFR HDKHR
TP gie[BP
g[FGBpiBgPoK g]d^jK
eVWoWoW\VW\VW\ pfiBA
XDdR`lg]d^jK fiWBT_T
cSSSVGU WdcV
WFG R`ZGSlgdWfi
ZY g]hKE
XDPG^P XDDFGJBgP
Q`g]K fiBXD[FGB
XGfr_prbnWerprpHrb XGfrprb
aicSSSmiB d
Hg[VPUhLW`LLLWhLLLWhLWhhLhW TPUhLW
cVG VGGGG
g[dHFGBAVWpWpWoW pBTFGBAVW\VW\VW\VW
fi RkBf
TdXmifbne gdH[[PFqFGf
T[G^PZ fiBg[[]hgPZ
eWp`W\Vh AVW\VWpWo
fiBXGBWPG^dRRp W[FGBMVRT
XGBak[ lSSH
fiBg[[]hgPZ_ T[G^PZ_
TdWdAVWf\J AVWoWpWoWoWpW\
cSV cSSmiBocSSVG
[d fiB
$ HdT]
gFDPGBE gFSDP
X[Yr pifbHYrprr__pr
lcmiBR`YO TFGBa
]R TFDdH[PG^[]hC
HFDPU Hg[VPUhLW`LLLWhLLLWhLWhhL
fiBg[[]hgPZ T[G^PZ
TFGBH $
Wd m
piBWFD[[PP SPf
HF\V HPFq
R`ZGSlgdWfif fiBXGfbHYrpr
MO OhiOd^d^
aig]d^hKN fCTdd
RRoBODkeOk[] Od^hk`Y
a pifbne
YdW[q TF
aC aKTl
cS $
W]d^jKHK TFDDKH
RkBXGBHFGBc XDc
eVW\V eSWEp
fiB pfiB
eWoWffoW\Vr eVWpW
ngP T[P
XGfr_prp XGfb
TFDFGfbHY fifrprbnebnebncWWWerpr
Y $
pifbHY piBTdfifrprrprprrpr
XGBgDKc g]hiXDFD]fjKcWkkWW
T[dT bWSG^
RDRIOKN RR
eVW\VWH gdXDFGBfiBXDDK
cSSmiBocSSVG cSV
cSS cDSp
gDKckk g]hiXDFD]fjKcWkk
W]d^ pBO
HPPRP Od^jRPfSSrfS
cS $
WFGfb R`ZGSlgdWfifb
R ]
XD RkBXGBHFGB
AVWoW AVZW
XGfrprrprrprrp f[jfr_p
PUhWhLLLLLWhWhLLFWhL TFDdTdXGBXGBHPG^PUhWh
pifr TNFGfbnebNYr
T HFLDrT
G fi
pifbnWer___p cmifrQp
R`pOipi R`ZGSlgdWfi
p Od^hKNlk
eVW\VWipW AVW
XDP ngP
W[FD \NgT
P $
TdW]hG]Og[ gpr
WdXDFGf XGfr_prbnWerprpHr
pifbnerprr fifr^
cSLVaG cV
RoO gVOh
G] fiBRRY
fiBH]j HFBpiBRlBH
HPPRPC Od^jRPfSSrfSC
XD[P PU
HPGBEUh eVOg
HPPK eVW\VWH
qpnQi XG
HFBpiBRlB gDK
fifbH W[dcmiBdWFGBW[FfbH
AVWpW UIV
$ l
cmnABfiRBXDDKbX gFD]d^jXa
T HcmB
PUhWhLLLLLWhWhLLFWh fiBgPUhLLWhWhLLLLWhWhWhLLLLLLLWh
WP doOd
pifbnWer___p cmifrQp
XDO piBg
T[] XGBW[[]d^d
WF HDKH
RCRN Oh
XDFGBcSV BVGG
OKql W[]hK
XDDFGJBg XDPG^
$ p
pif XGfbnerprr_
GoOg] W]
fiR`fiR`IlKEV H[]d^hk`l
AVWp mV
TPGj R_kCBXDFGDBa`Gj
RkBXGBHFGB XD
TD O[j
SDD gPFq
R[]O fiR`fiR`IlKEV
TFGBTd H[[]d^hKNTn
XGfr_ fifr^
$ HFLDr
g[dfiBWdTd fUBg[d
$ fiBiB
cmiBpiBHdYW H[dfiBg
eVWpW\V rn`
pfiBA eVWoWoW\VW\VW\
chAmL cmi
mA Wde
T_jDpH RkBf
RRpO h
pifrprr Mpif[
pifr__pr cMmif
gPG^DKckkkWW WDKkWkO[
m $
fiBXGfb H`GBfifr__prb
H [
XGfr_prr_prrrbHYr_prbnerr cSmif
XD[DGfKbnReg agdfifbnWebHYbner_
$ HFGBf
RRp WdRX
fiBpiBcVP` cSSmiBocSSVGP`
fiBOjK g[FGBpiBgPoK
AVW\VWoWn eVWoWpWoW
[ H
qpnQ cSm
gPG^DKckkkWW WDKkWkO[
fifrprr HFLGfrprbYner__
piBg XDO
HFDPFq[[dT[PGjc YOhCag]jKH
TDXfbn XGfbn
fi pfi
TPG R_kCBXDFGDBa`G
cmiBcSSmi aG
XgdTgFGBfLFM]j XDdHD
eSWE eVW
gFGBT[FT[[ T
TF YdW[q
fifr___prbnerp cSSEifr_prbHYr_Vprrp
R[]Ok[SYOCVkBcSS c\S
XGfbne cSSmiBif
SDDD fiBOjKb
fiBHFD[FDCD g
fi G
cm_AK A
RoO H
RkBcSmiBT aWX
cmiBe R[SpOC
FJ]^Gd^Q HPFq]
kU cmiB
Hg[VPUhLW`LLLWhLLLWhLWhhLhW WPUhLLLLLWhW
fABXcGBffU cm
oeX A
gFSD W
$ T
pifb XGfbHYbGHcYoHYK
gF jXD
R_kCBXDFGDBa`Gj HFDPFq[[dT[PGj
T_jDpH p
eVlWQVWoW AVWoW
a gdX
D TD
MVWj\eVW eVWoWpWpW
XGBf R`ZDOKqicSmiBp
G]Ok fiBRRYOk
ei p
XGfb cmDfbneb
W]d bTOdY
HPZ TZIf
PUhWhLLLLLWhWhLLFW TPUhLWhLWhW
XG_^BfiBA eVWpWo
pifrpr TFGBOhkfbne
fifr_p WFUGfrQh_p
] R
WFGBc]iBUeVW eVWpW\VWpW
$ HdT]
gFD] fiTH]d^
mQrMrrQ__prrpCr fifrprrprr
XGBRkfr f[ifbnebHYr_prr_prr
fiTH H
cSSSmieVWpWpW\VI eVWp
eV heVWpWpW\VW\V
eSWEp eVW\V
RlfVkU piBWFGf
pif pifr
TPUhLW Hg[VPUhLW`LLLWhLLLWhLWhhLhW
T]jRPffSSC Od^jRPfSSrfSC
BiBfiBcVo cVGGG
MgFDpGIS gFG
pifrp TNFGfbnebNYrp
pfiBAVWo XDdHdAV
fiB]pBHFGf]p HdXGfrp
O[jKc TdAVW\V
XDdgPZ NWP
T cmiB
aClOhpOg TFDdg
g[GBUPhRP OjRPSSf
pfiBAV fiBAV
Wd W[a
aDGSYOkR aiOhGS
aKESo f
pifbnW fiQbnWbWWnWW
AVWoWpWoWoWpW\VW TdWdAVWf\JVW
g[GBUPhRP OjRPSSf
HFLGfrprbYner_ RRlCTOkkfr_prr
k` TD
fiBcVG cdhV
aGSD OR`D
ak[SDSDS rM
O gLS]
Pr TPF
H]hKqicSmi gGq
TBrif pif
fif piBTdfifrprrprprrpr
HFGfr_ fiB]pBHFGf]
HdTDKb c`miBXDD
fiBWdR[S fiR`fiR`IlKEVC
piBpiBH aL
AVWpWpWoW eVlWQVW
RRlCYOK $
cSS cf
R[SpOC R
fiBcmiBRR RTaO
$ TPGjc
gprP XD[FD[FDdcSmiBWP
TdWPFqdgP H]h
OFGBdK^^d^d H]d
fiBOj TDK
piBfi pW
HFGBfifr ifr
cmif aEg[IGfrpL
AVWpW\VW eWoWIoW
Od O
fiBOjH XD]j
[FDKHC XGBaiXDFD]hg[D
eVWoW heVWpWpW\VW\VW
RRV[] `Y
RRlCTOkkfr_prr_pr HFLGfrprbYner__pr
cV cSLVaG
cSSSmifr___p f[jfr_p
fifrIKpSrr_pr Rkf
Ofhk`OG T[[
OjX oPFqdT[PPXaaH
W[DK cmnABfiRBXDDK
cck` T]hg[]h
W[PZ_ piOBnPZ_[]
R[[ aiaK
fiB [d
cVP``````` cSSmiBocSSVGP``
piBfi lGZM
RoOgdfifrm_ fifbnerprr
W]hG] RDRIOKNp
`Y R[]
XDd XZDbb
pifbnerprr fifr^
ngP T[P
IeVWpWoW AVW\VWoW
fiBOjKbR g[GBUPhR
agF Xa
RLYOk aKEVk
] agdHPGBEG
XGBRkfr cMmifr
OjRPSCpP g[GBUPhRPS
TNFGfbnebNY fifbHYbHY
XGfbHYbGHcYoHYKH pifbH
TDXf XGf
cmifr RoOgdfifrm
cmi cDSpmi
pi fiBAGC
W[dW[[ mXD
piBaiXR piBak`TOCDSV
piBH[FG gFddiBbpfi
WdH[FD]jXa WfX
TF GX
bpi RR
T $
Oh_C R`
XG f[j
eVWpWpW\VWpWoWpW\VWoWpWoWoWpWpW\VWoWoW mVWWoq
g[GBUPhRPSC OjRPSSfSC
OFGBdK^^d^ gdO
g[FGBpiBgPo g]d^j
HdcVP` liBcVGG`i
TDXfbn XGfbn
V R[]
doOd TP
IOh piBpiBa
eVWoW IeVWpWoWpW
gFGB MgFDpGISB
AVZ AVW\VWpWoWpWoWoWpWo
cdhVP cVGGP`
RkBpifrp cmSkB
f[ifbnebHYr_prr_pr Hdfif
fifcrp fifr___prrp
eVWo eVW\VWip
cMmi XGBRk
R`ZGSlgdWfif R`pOipif
eV AVKoWpW\gV
fifrprbnebnebncWWWe fifbne
cmiBpiBHdYWF HdXDdX
g[FGfr GBRkBcmifr
l $
MVWj\eV eVWoWpWp
XGBfif ^iqf
R`ZGSlgdWfi R`pOipi
Rk XGq
g[GBUPhR fiBOjKbR
cm cDSpm
gFSD W
VGGGG cVG
DHc p
e heVWpWpW\VW\
fiBOjKbRPS g[GBUPhRPS
HdHDK [dHDK
TFDdH[PG^[] cmiBd^d^d^
HPq[[[o piBTP
RGFDdWFDdaClk WdR
R`ZDOKqicSmiBp XGBf
WFGBO XGBGB]
AVW\VWpWoW\V akkBe
DPhDMOVG aCD
R_kCBXDFGDBa`Gj piBH[PGj
heVWpWpW\VW\V eVWo
AVW\VW IeVWpW
WPVHX WDX
cSSVGGG X
XD[ lg
W gFSD
WdagPG^dR`YOG] R`DbMSp
pifbJ XGfr__prbneb
ffrprr cmifr___
HdH[DXa WPVHX
HFLDrTP TP
W[]ifiBeV AVW\VWo
Ofhk` OhG]
fiBgPUhWhLLWhLWhBWhWhWULW HFDPUhL
A ii_DdA
R`pOipifb R`ZGSlgdWfifb
X cV
IeVWpW AVW\VW
pifrprir_p fifbnerp
aGSDS C
SDD g[PG^
g[P R_kCBXDFGDBa`
WPo WPFq[P
mXD W[dW[[
WdH]higP cSSSSSmiHPT
piBTdfifrprrprprrprrp pifbHYrp
aKEVk HdfiBRM
`Gf RkBpifrprb
RRD XGBG
fiBAGC cmi
cSSV mdcVbGG
fi pifbHY
aGSpOKEi DmUF
Oh aip
RRDS R`aOLq
TFUDIPe TD
AVW\VW IeVWpW
Od^hCD]O aClOhpOgP
W[PZ_ NWP_
lGZM piBfi
TD HPGK[
iBpiBpiBXD[ g
cSVP```` cV`P]`
aG]O n
iZ cmiBfi
] Ohg]
A TdWdAVWf\J
cmifr_prrprrprr HFjfr
cmiBpiBHdYWF HdXDdX
g[[PG W[FD
oE RoOK
fifrprbnebnebncWWW fifbn
piBT]h cW
RoOK T
TDXfbn XGfbn
fi fiBAGC
gnTG^ W[
g[GBUPh fiBOjKb
fiBgPUhWhLLWhLWhBWhWhWULW WPUhLLWhLLLL
mXDPP WD
pfiB fiB
fiBW gie[B
pifr f[ifbnebHYr_prr
RRlCTOkkfr_prr_ HFLGfrprbYner__
fiBTd OR[ZOnd
X[ ag
fiB GB
WFD $
gi H[dfi
IeVWpWoW AVW\VWoW
SZ RkBpifrprb
XD[PP c`miBXDD
lcmiBR`YO TFGBa
XGBRkfrp H[dfmifprrplh
R[]OC fiR`fiR`IlKEVC
mdcVb cSV
piBTdfifrprrprprrpr fif
R[[ aiaK
XDd XZDbb
HFGfr_ fiB]pBHFGf]
XDPG^PFqd iBTiBf
XGfbn W[[FDiFdffr__prLn
ak[SZifiCBpHdgP WFGBfiBXDPZ
HDKHR WFR
XGBeVW AW
eVW\VWoW edmpWoW
XGfr__p fifbHYr
WDKkWkO[ gPG^DKckkkWW
AE]a agPUh
pifrprir_p fifbnerp
fifrprr HFLGfrprbYner__
gLS] O
pBTFGBAVW\VW\VW\V g[dHFGBAVWpWpWo
dfiXr_prrD XGfr
WDKkWkO[WWW gDKc
a R`DbMSpO
HFGfbe pifbH
e Me
eVW\VW\V heVWpWpW\VW\VWo
SPf XD[D
aip Oh
$ f
cSSSV cSSSVGU
T gd
fiBHD [dHD
ak`TOKNpOKEEC ]R
XGfr_prbnWerprpHr gdfifrpr
HFLDrTPG Od
XDMDKc T]jKc
gFSD W
cVGGG BiBfiBcVo
TPUhLWhLWh PUhWhLLLLLWhWhLLF
Rkfr__ XGqfr
cSSVP```````````````` TPFq\FGBcVP``
R`V[]OifiBfigBWFD g
R[ fiBiBR[
R[]O fiR`fiR`IlKEV
cSLVaG cV
HFLDr $
fiBiBR R
HdXGfrp fiB]pBHFGf]p
XGfr_prpn XGfbn
aG]OgP bg[d`g[HP
JfiBpiBaKNTOGp_ piBT]h
pifrprir_p fifbnerp
W[]ifiBeV AVW\VWo
XDPbq[ XD[FDdH
eZV H[FDFDFGB
Hg[VPUhLW`LLLWhLLLWhLWhhLh WPUhLLLLLWh
_VEVW OhK
H]d^ GoOg]
eSWEp eVWpWo
aiH[FDFGB `B
fiBAGCfr cmifr
AVW heVWpWpW\VW\VW
piBaXATifbm pifb
W[PZI IPeZJIAlSf
eVW\VWip AV
gDg gD
IeVWpW AVW\VW
R`V`l aX
agP^PUo gFGBTPUhL
mdcVb cSV
RRp R
fiT $
W[DK cmnABfiRBXDDK
XDd XZDbb
piBAV cmiBAVko
XDDFGJBgP XDPG^P
$ fiBRoOF
aDerIW cmiBfiBR
cSmi gFddiBbpfi
XDd XZDbb
$ g
HFD]hK aH
fiBOjKbRP g[GBUPhRP
o TFG
WDKHKb HPGK[
XGBH[dXGB fhBS]d
aia HPFqe]hG]OG]P
lcmiBR`YO TFGBa
mkm XD]hk
gjD gPP
c\SSS XGBc
aGSV[SZOgFGfrp pif__p
bWPFY gP
BVGGG cSVGG
gYF Oh
pifrprir_pr aipifrpr
eV eWoWffoW\Vrp
HFGBfif fiUf
agdfifbnWebHYbner_ XD[DGfKbnReg
cSVGG XDcVG
g gpr
HPZ TZIf
$ P
aGSV[SZOgFGfrp pifbnerrrp
AVWpWpW eVWboWo_
Od^CKNV`VZOiXBOd^ O
Mpif[_ fifbnerprr__
$ P
fiBRRYOk G]Ok
XaBa WFD]hKTl
$ T
OR`D RRD
fJHY $
TPFq\FGBcVP` cSVP`
XGfr_prr___ pif
DPhDMOV Od^hk`YO
pifrprir_p fifbnerp
XGfrprrp` XGBg]d^hkkfr_p
M $
$ WHZpV
$ RRlCYOK
TFGfrprrprbHYrprbneb W[[FDiFdffr__prL
WFUGfrQh XDFGBpifr__prr
fiBAVWoW pfiBAVW
f[ifbnebHYr_prr pifr_
[D piBaKNVRpOCVRpOk
H]hF aHB
XGq Rk
WPUhLLLLLW Hg[VPUhLW`LLLWhLLLWhLWhhL
g[daG] Rm
Od^hi aiY
` aiH[FDFG
R[] V
W[dW[[P mXDP
f[j XG
XDDFGJBgPPK Od^jK
HFLDrT W
mpYiZBk eVWpWpW\VWpWoWpW\VWoWpWoWoWpWpW\VWoWoW\V
aR H]d^h
H`GBfifr__prbn fiBXGfbn
piBAVWp edmpWoW\V
f[ifbnebHYr_prr_pr XGBRkf
cMmi Hdfi
XGf f[jf
fifbnerprr_ XGqfr_
mVWWoq\ A
pifr_pr WFGfW
ak[SZifiCBpHdgP_ WFGBfiBXDPZ_
Od^j XDDFGJBgPP
KDV RoOCD
RoOgdfifrm_ XGfr
RoVQkTP HFGBWFDP
Ydpi cSmiBOh
piBaG] VfbiBP
eVW\VQWp eVWpWo
` RoOK
fiBg[[]hgP T[G^P
HPGI TPGB
g cSSVG
UH] ai
cmiBAVkoW AVWoWpW
TFDd Ya
XGfb TFGBOhkfbneb
\NgT T
cSSSmifr__ dfiXr_prrD
T jC
HdTDKb c`miBXDD
aGSpOKE l
W kBT
pifbnW fiQbnWbWWnWW
W[dRkBOd^hi miBgFGBj
lcmiBR`YOG TFGBaG
Sci c
bWPFY aClgP
l aGSpOKE
Hd ^r
cSSmiBa RGFDdWFDdaCl
R[]Ok[SYOCVkBcSS c\S
RRVR hC
cSS cqc
TFDd aClOhpO
eVWpWpWpW\VW iBTdfBVLW
TPUhLWhLWhW PUhWhLLLLLWhWhLLFW
TD WdOd^ki
HPG XDGK
nRTOiUiBkS Tdc
WFGfbn R`ZGSlgdWfifbn
XDGK HPG
heVWpWpW\VW\V eVWo
AVW ebW
ng XD
AVW\VWoW YVW
edmpWoW\V AVWp
T[dT bWSG^
HdTDKb c`miBXDD
pi eii
XDDKc WDKkWkO[W
mkm XD]hk
_lX W
piBTPFq $
GBTd piB
gdO OFGBdK^^d^
Od^jX TDPnd
Od g
OR[ZOn gdT
WDKkWkO[W gPG^DKckkkWWW
T $
$ Od
cmifbHYbHYr XGqfr
WFGBfiBXDPZ gnTG^PZ
eWp`W\VhW\V eVWpWo
PUhWhLLLLLWhWhLLFWh TPUh
TPU PUhWhLLLLLWhWhLLFW
W gFSD
eVWp eVWboWo_\VWo
gDKckkW g]hiXDFD]fjKcWkkW
f[ifbnebHYr_prr pifr_
fiB]pBHFGf] HFGfr_
R ]
aH fiBa
G]O fiBRRYO
cmifr_prrprrprrp GBRkBcmifr_p
g]hiXDFD]fjKcWkkW gDKckkW
OjR c
WdRX aG]
eVW\VWi eVWoWpW
WdOhCpOk RGFDdWFDdaClk
agP^PUoL HPUhLL
cSmiBcmi D
fiBiOTaa piBHDXaaaa
HPG XDGK
cSSmiBa RGFDdWFDdaCl
cSmifbnWOb^ piBfiBfifbH
iBg gd
XGBGB] T[FD]
GB gd
pifbHYrp cmifbnaYermp
XDdR`lg]d^jK fiWBT_T
W gFSD
TdXmifbnerp WFGfrprrp
ffD Rkf
Ai] fifr___prrpr
gHPUhLLWLLLmhWh^LWhWhWhLLW TFDdTdXGBXGBHPG^PUhW
PUhWhLLLLLWhWhLLFW TPU
X cmiBcV
OhKEVk k
RkP gd
fB $
g[dXD[FDPFqda ^
mXDPP W[dW[[PP
PGej g]
HFD X[
cmifrQ pifbnWer___
WDKkWkO[W XDDKc
XDdR`lg]d^jK fiWBT_T
$ WFD
W[dW[[ mXD
T[G^P HP
WPUhLLLLLW Hg[VPUhLW`LLLWhLLLWhLWhhL
P W[P
XG_^BfiBAWo AVW\VWoWp
piB cmiBpiBHdY
lg[P HFDP
gd pB
p[Wfb T[dXGfb
R[]OGSTOipi D
Wf g[[D
SDD g[PG^
TDK fiBOj
cSSS TYac
pifr f[ifbnebHYr_prr
eVWpW\VW cSSSmieVWpWpW\VIW
g[dfiBWdTd fiBHiBTHLdgQB
pifr_ XGfr__p
eVW\VQ eVWoWoWpWpWp
