17566
bbaaabbbb baaaaabaab
baaaaba abaabaa
baaa abbba
aba aababb
bbaaaa aabaa
baabbbb bbbbbbb
bbab bbbbb
babb baaa
aaaba abb
abbbb bbbabaa
abbbaab baabbba
aabbaaabb abaaabbab
bab b
babbbba abaaabb
bbbabbbabbba bbabaaaabbab
baaabab aaa
aabbab baabaab
abbba abbaaba
aab b
abaab baaab
bababbb ababaabaab
ababaaaa babaaabb
babb aaaabba
abba b
babbaba bababab
aaab bababb
aab aaa
baabaaa baabab
aabbb babb
baabaaba ababbaa
abb baa
bababbbaba bababbabbb
baabba ababb
aaaaabbbb bbaaabaaa
ababbba babbba
bbaaaaa babaab
aaabab bbaabbbbaa
ba bba
babbb abaa
aaa babb
bbaaabb bababbbb
baaaab bbbaba
aabba b
baababaaab aabbbabba
baaabb babbbb
b a
aaabaaaa baaaaaabaab
bb a
aabaabbba babbbaaaa
ababab aabb
aaabaa bbbbb
bb bbabbb
aa bbbbbaaaab
bbbabb bbbaab
bbba aabaaaa
aabab b
bbab ab
baabb babaa
ba a
bbbaa bbab
baaaaba baabb
abbbab aabbbbbbb
abbba babbba
bbabbabbaaa abaabba
ababbbbbb baba
bbbbbab aaaabbb
aaaaa babaaa
aabbaba bbabaab
b baa
bbabbbbab bbababbbb
aaaaaba abaabab
bbbbb bbaa
bbabb aaaab
bbbba babbaab
aabab babaaa
bb babb
baaba b
baab baaab
aaaabbaabb baaababbab
abbaabaa baaabaaa
abbbab bab
babb baaa
bbaab bbbbbba
baba baaab
ababaa bbaa
baba ba
ba aa
bbababbaabbaa aaaabbbbbbabb
bbaaa baba
aabbab aaabab
aaaaaa aaaabba
aabaabab aaaab
ba ab
abbbaab bbbbbaab
aaaabbab abbbbaa
aabbb baab
aabbaa abaabb
baabbbbbb aabbbbaab
abbab aaaaa
baabaaab bbbbabb
abbbbba baabbaaa
aaabbbb b
baabaab aabbbab
bbbbb bbbba
abab babb
aa aab
abbbaaaa baababb
abbbb abbaaa
aba babaab
bbaabaaa baabbbbbb
aab abbb
aa bbba
baabbbba baaaa
aababba abbbabb
babbba abbaaa
bbabbaaaa bbaabb
aabbaa babbaa
bbaaabbba bbbaabbb
aabbb baab
baab ab
baaabbb bbbbbaa
aabbaba bbbb
abababbba aababab
bbbba abaaa
ababa bb
aba ab
aabbba baabaa
baabab bbb
baaba abab
a baab
abbbb abbb
bbb bab
aaa babb
aaaabab aaabbb
bbab baabbab
abababaab abbbabaaa
bbbbbab aabababa
babba bbb
bababa aaa
abbabbba bbbbbbab
abbbab bbbabb
abbabab aa
bbab abaabaaa
aababaaba baaababa
ababaabab baaaab
aabaaaabb ababaabaa
aaabb bbbbbb
ababbba baabbba
baababa bbaab
bbaab bbbabba
aaa abaabb
babb aaaaba
aaababb abbbab
bbabbaabaaaa aabaabbbbbaa
bbbaababa abbabbbaba
ab aaa
bbaaababba baabbbabab
bbaababb aabbb
bbbabaab baaaaaaa
baa abab
bbaabbaab bbbbabbaaaa
aaab bbb
aaabbbb abaaab
aaaaa aabbb
aaabbbb aaaaaa
aababab bababba
baaab bbaaab
abbb baa
bbaaaba ababab
aaba aaab
abbbb babaab
baaabbbb aabbbbab
aabbaa abaab
aabaaaaa aaababaaa
bbbabbb abbbaab
ab bbb
aabaabaa babbabbb
aba aaa
ab aaabab
aabaa baaab
bbababa baaabb
baabbb baaabb
aababbbbababa bbabbaabbbbab
abbbbba aabbbaba
babbaab babbab
abbbab baaaaa
baa ab
bbbab baaba
abbaab abaaab
babaabbab abbaaabab
bbbaa aaaa
aabbaa aaaaaaa
aaabaaaabb abaaaaaba
bbbabaa baaaaaa
bbaaa bbba
aaaab a
b bab
bbba baaaabba
bbbbaab aabaababb
bbba aaa
ba abb
baabaaaaba bbaaaaaaaba
bbaa bbb
bbaabbba aaabbab
babab aaaab
ababb babba
ababab aaaabab
abaaa baabaab
abb bbab
abbbaabb ababaaab
bbababaa aaabaaba
babaaba babbba
ba bbbb
bbaba bbbbaa
aaaabaa aabab
abb abbaba
abbaba abaaabb
babaab bbabbab
ba bb
abbbab abbaba
aaaab abbb
abb abab
bbaaaab bab
aaaabba ababbb
aaaaabba bbbabaaa
babb abaab
aabbba abaaaa
bab ba
bbbaa baaaab
bbabbaba babaabbb
baab abaa
bbba bbaaa
ababaa bbaab
baab babba
bbbaaabbbabba bbbabbbabaaaa
aabbbba aabb
baabb baaab
aba aaaaba
bbabb aabaa
aabbbb bbbbbaba
baaa bbbaa
b ababbb
bb aabba
bbb a
bababa babbbba
babbbba bbbaaba
aabbb baba
abab bbba
babbab aaaaa
bbbbaaabba bbbabbbabb
bababa ababbb
aaa bbb
bbabbb aaaaaa
aaabbba abaaaaa
babbbaaaaab babaaaaaba
abbbaba aabbaab
abb babaa
aabaaab baaab
abbabab aabbab
bababaaa abaaaaba
abb abbbb
aaba babaab
babbbbbaba abaabbbaab
bbbbbbb babaaab
bbababb baabbbbb
abb a
abba bbbba
baaabbb baaabaa
bbbb baab
abaaaaab bbbaaaba
babbbbab bababbab
ababbba abbaaa
aaabaa aaabbba
aaab aab
ba ab
abb a
aaabb aaaaab
abbbba aaaabbb
aabab abaaa
aba bbbbabbbb
bbabb baa
bababbab bbabbaaa
abbaab aaaaabb
abbbbaab aabbba
aaabb babaa
baa baaa
bba baa
abaabbabababbaa abababbbaaaabba
bababab baab
aabbb abbaa
baaaaab baababb
bb a
babbababaa babbaabaaa
abaaa aba
aaababa aaabb
abbbb abbbbb
aaaba aaabbb
baaba aabaa
bba b
bababbab bbbaabbb
aaaaaab babbbb
aaabbb bababb
abbb babbbb
aabbabab babaabbbb
bbabaaab bbaaaaba
bbab abab
aabbaba bbbbaba
aabbbab bbbbaaaa
baa bbbabb
babaabb aaababaaab
aabbba abaaab
bbaaaa bbababba
bbbaaa bbaaaa
baaaab aabbab
bbbbbaa abba
baabaa ababab
aabba aaaab
babb aaabbaa
ababa aaa
abbbaba aaabaaa
a bbbaa
bbababba bab
babaaa bbbbbaab
aaaaa bbabab
aaabbba aabbaab
bbabbabb aaaaa
bbabaa aaaab
bbbaaa babbbbaa
aabbabb a
baab aa
abbaaaa bbaaaba
babbbaaaa abbbabbaaa
baaaba abbba
bbaaaabaaba abbabaaa
bbbabbbb abbbbbba
bbabba bbaa
aaab aabab
abbbbb baba
bb baba
aabba bbbab
bab aab
abaaaaaaaab baabbaaaaab
baaa aaabb
bbbbb aababaa
aaabbb bba
baaabb babbab
bbbb baaa
abbabb abbaa
aaaababb bbbaab
babbbbaa aaabbaab
baaaba bbabba
aba aabaaaba
bbbabbaba abbaaabaa
abba baabb
abaabb bbabbaa
aabab aaab
bbbbbbb bbaaaba
ababaaa ababaa
bbabaab bbabba
aaa bab
bb b
aaabbbbbaa bbbabbbaaa
abbaaababb babaaabaaa
bbbaaaababa aaababbabb
abbbba baabbb
abaaa aaab
abbaabbb aaaababaaa
aaabb bbbab
aababb baaabba
bababb bbbb
abbab ab
bbbabb ababa
baaaa ab
abaa bbaa
a b
bbaba babb
abaaabbb abbaaab
baaa ab
abaaaba aaaba
bbbaaaab baababab
bbbbaba aaabaaab
aab b
abaa abbb
aaaab aaabb
bbba bbaab
baaaabaa baaaaaab
ab abaaa
aaaaaab bbaa
aaaaabaa bbbaaaabb
bbabab abaaaaa
bbbbb aba
a b
bbb baaabba
baaba aaab
baaba aa
baaaba bba
abb babaa
abbababa bababbbab
aabbaaa bbbba
bbbbb aaabb
abbaab bbbaba
baabaaab abbabbba
ba abaaaaab
bbabaaabb baaabaaa
babbabb abbabbab
abbabbb bbabbb
aaabbbaaa bbabaaaab
b aaaab
b bbb
bbabbbb aabbbaa
aab aaa
ab ba
aaaaba abbba
abbab babaa
aa aabb
abbba aaabbb
aaabaa baaab
a b
bababba bbbaaab
b aaa
abbaaabba babaaabab
bbaaba bbbaaa
baba bbab
baabbb aaabab
abbb aabba
baabbba abbabbba
bbaaba bbbbb
ababaab abbbab
abbbbb abbaabb
bbb abb
baaaaba ababbabab
bbaba abbaa
aaab baaa
aaabab bbbaba
aabab abaaabbbb
babaabba bbaaa
aa a
bbbbaba aaa
babaaaa babbbbbb
aaabbb baba
bbaaaaa baaabba
bbaaaa bbbaab
aaabbb baabbabba
aaabbbbaa aabbabbab
abbabab bababab
aaabba aba
bbaaaabb bababaaa
bab bbbbbb
aabbaa bbbaaa
a abba
babbb bababb
bba aab
baabab abaaab
abaabb bbbabb
aa aba
baaab abbab
abaaba bbbbab
aaaa a
baabb ababbb
aa aaa
ababab baabab
babbaab abaabbb
aabbbaab ababbbb
ababbaa bbbbbba
aaaabbaaaba baaaaabbabbaa
abbabba aabba
aaba ab
aaaa bbba
aaabab aaaabab
aa aaababbab
aaababbabb aabaaabba
aba bba
aabbbab bbabaaa
aba bba
abaaaba baaabb
abaa baabb
abaabaa baabab
b ba
abbbaaabbaab bbaaabbaaab
aaaabab bababbaab
aabbaaabaab baabbabbbabab
bbaab aaabba
ba abaaa
abaab baba
bbaabbbab aaaaabaaba
abbaaa abbab
aaaab bbabb
aaaaabb bbabbbaa
ba a
abaa aabab
bb abbbb
bbaabbaa bbaab
baaaaa abbaaaba
aaabbaaaab baabaaaabb
abaababb baaba
baababaab bbbbbbba
bab bbbb
bba abba
aaa baba
aaaaaaab aaabaaa
aabbbb bab
abbbaba aabaa
abab abb
aaaaaaa aabbbba
bbbbaa baaaab
aabab ababa
abbabb aabbaa
aabbaaab babbaaab
bbba babaabab
bbaba baaabab
bababba aa
baaba bbbab
bb a
aaaba baaaba
abaaabaa babbbb
aaaaa baaaa
baaab bbbbbb
bbabab aaaba
bbbab aaa
aaaababb abbababb
babbbaaa abbabbba
aaaaa abbaba
bbba abaa
bbab aba
bb bab
abbaab bbaababa
bbbbbaa aabab
aaaabbaaa abaa
aabbbab abbbbb
aaa aba
baaabbbabb abbabbaaaab
abbabb bbbaa
baa bbb
babbaa abbbbaa
baaaa abaab
bb abbabb
aaaaaaabb bababaa
babbbaaa bbbbbab
abaa ba
aabaaaab bbaaabab
abaabbb bbab
bbabaaaaa aababbbba
baaaa aaa
babbbba baababa
baaaaab abaaab
aaabb aaaaa
bab babba
abbaab bbabba
aabaababab abbaaababb
aab bbbb
aaabaa baabab
abaabbabb bbbaab
bbbbbbaaaaa babbbbaaab
aabbaabbb abaaaabab
bbabaaa baabbb
baaba abaaa
aaaaa bbaa
abaabba aaaaab
babbab aabaaab
baab abbaa
abbb baba
aabbab baaaa
abaaba aabab
babaaaa babbbaa
aaab bba
abbaa bbaaa
baabbbbbb aaababbb
ababbaababb bbabbabbaa
aababb ababab
bbabb bbaa
babbb bababb
aab bbabaa
abababbab aabbaabba
bababb babbba
baaabbbba aabababbb
aabaaba abaaba
bbab abba
bbbbaa abbbba
aaa bbbbaa
bbabbaab baaabbabb
aababb abab
aa aab
ba baaaab
abbabbba babbbba
abbbabbb babaaabab
babbaaa abaababaab
ababbabb abbab
aabab baabaab
ab bbbbbbb
aab babba
bab bbaa
bbbbbbb bbbab
aa ababa
aaaabb baaba
bababba aaaaaaaaba
abbaabba aaaaaa
bbbb bbab
abbaba aaaba
baabaaaa abbabaaa
bababb babbab
abba aabb
aa ab
b a
bbbaa bbbbab
aabb bbbba
ababaab bbbba
babaa abb
bbbbbab abbabbab
ba bbba
aaabab abaa
a ba
aaaaba aaababbaab
abbb baaa
babaa bbab
bbbb bba
aabaabb abaaab
babba bab
bbbaab baabaa
ababababab bbaaaabab
aaaabbb bbaabba
bbbaaba bbbbbab
babab bbbbbb
abab bbbaab
bbabbba aabaabb
ab abb
bbab baa
aabbb babaabb
bb bba
babb aba
bbbaaabbaaaa baaaaaaaaaaa
abbaaaaabaa aaaabbbbbbb
bbba baaba
bbbb babb
abab bbabab
bbaabbaba abbaaaaaa
abbab bbbbb
bbab abab
aab aabaaa
bababa baabbbaa
baaabbaa aabaaabb
aabaabbaa bbbaa
bbabbaba abbaaab
aabbab abaa
bbab abaaa
a ababb
baaababa abbbabab
abbaaa abbab
aab abaa
babbbba aabbbaa
bbababaa abaaaba
baaaabb abbaabbbb
aba babaa
abbbba abbbaba
bbababa abbbb
babaaaab aabaabaa
abbaaabbb babaabbaa
abbbba bbb
aba babaaaab
abaab bbbba
aabaa b
a ba
bbbbaa bbabbb
aababbbbaa bbaa
aaabbbaab baaabbbab
bbabaaa aaaaaaa
bbaaa baabaa
aaabbb bbbbb
abbb abab
aaaa bbba
bbbaabbb aabbba
abbbaabbbbb baabbababbb
baabaabb ababbab
abb a
bbaaaaaab aabaabaab
aaaa ababab
bbbb ababbb
abba bbbaba
abaaabb baaa
bbab bbbaabba
aababbb bbbabbb
aabbabb aabaaaab
babaaa ba
abaa aaab
babb bbaaba
bb ba
abbb ababaa
baaabaa bb
bbbbbbba bbbbabbab
aaabbaa abbaba
bbabb aaaabb
abbab baaaa
ababba bbaaa
aab aba
b bb
bbbaaaa bbbabbaaaaab
b bba
aaaab babaa
aaba abbbaab
aaabbbbbaa baababaab
babbb abba
abbb baba
aaaaaabaab bbabbaaaba
abbbaaabb abbbabba
aaababba aababa
babaabba bbbbbbab
abaababba aabaa
aaabaaa aaaaabb
bab abaab
aaabbab bbbbbbaaab
bbab bbbbab
babab aabbaab
ab baaab
aba aab
abbaa aaabb
babaabb aaabbaa
babbbbabba abbaaba
bbbbabbabaaa baaabaababb
aba ba
bbbaab baaaab
aaaaaaaab babbaabba
aba aaa
bbaaba baaaab
ababba abbbaaa
baa aaab
a aaab
aa baaab
aabb aaabbbb
abba aabb
bbb abbabab
bbb aaabb
aaaabaa baaabb
a babaab
aaaaaababb aaababbaba
babaabbbbb aabbbbabaaba
abbababaa abbaaaaab
bbbbb bbbab
baaab bbabb
babbbba abbab
abbaba abbabab
bbabb aa
aaa ab
bbbabb aaba
bbaab bba
ababbaaab bbabbbbb
abbbabbab bbbabbbbb
abba baaaab
babababaa aaabbbaba
baaaba aabbab
bbbb babab
babba babaa
abbabba aabbaaa
ababbbbba abaabaaab
aba baaa
baa abbba
aaaa abbab
aababbba ababbbaa
baa baaab
ba bbaa
bbaa baaaaabb
aaab abbbbba
aaba aaab
baabbb bababbb
ababaa aabaab
bbaab ba
ababab abbaab
bbbbaaa aabbabaab
bbbbaaa bbbbaba
aaaababb bbbaaaaa
baaab ababbbb
babbbbaab aaabbbbbb
aab abab
aaaabab babab
aaaa ababbb
abbaaba babaaabab
bbbbbabb aaabbbba
babb bab
ababba abbbbab
aba b
aaaaa aaaab
aaba bbbabba
a aba
babbaabbabbbb aaabababaaaaa
babab babbb
abbaabbb baaabbb
babbba bbaaaab
babbaaa aaabbba
bab abbaa
baabb baaaabba
bbbaaabbaa baaababbab
aabbaab aaabaaba
aba ab
abababab aabaaaaa
bbba ab
a bbab
bababab abbaabb
ba a
aabbb abbbbbb
aababba abaaaba
baaab abaab
aabbaa bababab
abbabaa abaaaba
bbabbaa abaabab
abbbbbaaba bababbabaa
bbbbb aaab
baaaabaaaa abbaaaabab
abbbbba aaaababb
bbaaaa ababaa
abbbabb aaaaaaaab
aaaba aabaabba
aabbb baaba
abab abbaaa
bbbbaab abba
aaabbaaaaba baaaaaaaaab
bbbbbbab babaabba
baaaa abbaa
bbbbb ab
abbaabbbb abbbbbb
aaaa aaba
baab bab
abbbaba baaab
aaaabb aaaaa
bbbaa bba
aa abababa
aaabbbba baaaba
aaabaa baaabaa
ababaa aaaabba
aabaa ba
ab aa
babaaab baaaaaa
abaaabaaa babbaaaa
aabaab aaba
aabaaaa bbaaaa
bbaaaa abbabb
b aabab
aaaabb baaba
bbab aaab
aab aaabaa
aa bbaa
bbbaaabaa baabbabbb
bbaa babab
abbab abaab
baa aabb
babbab abaabaaaa
aaabbb abbaab
aaaba ababb
aaababa babaaa
aaaaa bbab
bbbaab aaa
aaaaaaa babaaa
abbaaabbb abbabbaba
a baba
aaaaabaa bbbbbabb
bbbab abba
babbbaa a
abbaa bbbb
bbaba abaabb
bbaabbba baab
a baaba
aaaaaaab bbbaabba
aba bba
aaa aabbb
abbaba aabaaa
baab aaaa
abbaa baaaa
abba aabbbb
aaaaabb abaaabb
aaaaaaa bbbbbbbab
baaa bbabbaa
bbbabb abbba
abaaaaa baabaaabbb
baaab ababb
abba babbba
bbbbb babaaaa
baaaa bab
aabbbbb abbaaa
bababab baab
baab aaba
bba aaabb
bba bbba
bbbbabba babbbbb
baabbb aab
baaa abaa
bbbbaab babababa
baab baba
bbabababaa baabaaabbb
abbbba bbb
abbabaaba abbbbaabb
ababaa baaabb
bbababa abababa
aaab bbaab
aaaab bbaa
bbaa bbab
aaab abbaa
babaa bab
aabbab babbabb
aab b
aaababbb aaabbaa
abbbbbaabaa abbaaaba
abba abbab
aaaabbb bbbbb
a babaa
bbb bab
bbbbaa abab
bbaba abababbbb
babab bbabb
ababbbb bbb
aaabaabba aaabbaabb
bbababbbbbb babbbaabaaa
aaaaaba a
aaba bbabaaa
abbabbbb baa
aaaa abbabb
bbbaababbbba bbabbaaaabaa
bbaaabba aaaaaab
abba bbbbaab
bbbaabbabb baabaabaabb
babbbaa abaaa
bbbba babab
baaabaab ababbbbb
abaabb bbabbb
abbabb babbbb
baa aabab
abbbb aaba
bbabbba ababb
aba bbb
bbabaaabbabb baaabbabbaaa
bbbaa abbaa
abbaaababba bbaaabaaab
bb b
aabbb aabb
baaaba abbbbaa
bbbb aabba
aabbb abba
ababa bbbba
aabba aababbb
bbbbaaa baaabbb
abaaba aaaaaab
bbbabab bbbbabb
babbbbaa bbbaabab
aaabbab baaabb
aba ba
bbaabaa abbbaab
aab abaaab
abaabab baaaabab
bbabbbab abbbbaa
bbaabbaab babaabaaa
bbba bbbb
ab bbbbabb
abbbbaa baabaa
baabba bbabaa
abbbaaab abaaabbb
bbabb baabbba
aababa bbaaab
babb ab
a ab
ababaaaaaaab baaaaabbabba
aaaab bbabbbb
abbbb babb
baa baaaa
baabbb baaab
baaaaab aaa
abaaaaab aabbbab
abbabaaa bbaabab
abaabba bbababa
aaaab baba
aab aaab
aaab babba
aaab ababbb
bbaaaaab aabbabbbb
aaabaaba abaabba
abbbaabbab abbaaabbbaa
aabbaab abababb
aaa babbb
aaabab baab
bbbba aabaab
aaabb baabb
bbabaabb aabaa
bbb abbaab
bababbba bbbbab
aba bbabbbab
bbab baaaaa
abbba aaaba
abbaaa bbbabb
bbbabbabbaab babbabaaaba
baabbb babbaa
abbaa aaab
aaaabba babbaa
aaabbabbba aaaababbaa
bbbabbaa baabbbaa
abbabbabb abbabaa
aababbab babbbaa
aaa aaaba
ababb bbbbb
bbbabbaaaababa abbbaaaabbabbb
aabab babb
aababbaaa baaaabaab
baabb baaaa
aaabba baaba
ababbb aababbb
bbaaaa aabbbaa
aaaabb abbb
abbbbaaa aaaaaba
aaaabb baaaabba
abababab baababa
baabbba aaaaa
bbab bbaba
aab bbbbb
bbabbba aabbab
abb aaab
abaaababb baaabbbbb
babbba abbbba
bbb aba
baaaa baabaa
bbbbb bbaab
baa aab
aaba abbaa
bbbb baaaa
baba aba
a b
aaaaababaab baaabbaabab
abbabb aabaab
abbbba abaaaa
ba aab
abba bbb
aababb aaab
aba abbaba
abbbbb aaa
babbaaaaaaba babbabbaba
aaaabab abaabb
baaaba bababbbb
aabba abab
abbabbbab baaabbaab
baa bab
baabbb abbbbbab
aababbbb bbab
bbaab aabbb
bbabab abbb
bababbbab baaababaa
abaababb bababbaab
aabba ababa
aaabbb abbbab
babaaaaa bbabbabb
bbbbbaa aabaaaa
bbbaab ababa
aa bab
baaaab bbbbba
aaab ababba
abaa bbabaa
abababa abab
aaabb aabaa
aaabab aaaaaa
bbabba aaabab
abbaab baabba
aabba aabbb
bababba abbaba
aabaaabab bbabaaaa
aaaabba bbbbaabab
abbaaaaabba bbbbabbaba
bbabba abaaab
aabab aaa
babbbbbbababab aabbabbbaabbb
abababa bbaab
aababaabbbaba babbaabbabaa
bbbbabb baaaaaaa
aabbbbbab babbaabab
bbaabbb aabaabb
bbaabaaa aaaaaab
aaaab bbab
baabba aaabbaab
babaa bbaaab
aabba bbab
bbbbaa abaaba
aabaaaab ababaaaa
bbaabbabaa bbaabbabbab
baa bbb
abbab bbabbb
bbbabab babbabab
bbaab bbabaa
bbababa bbbabbb
bbabbaa a
aabb babaaa
abbbba abbbbbb
bbabaa aaaab
abab aaab
baaa bbaaabab
bbb ba
baaa babbb
babaa aabbbbb
ababbaba bbabbbab
bbbbbabbbb bbaaaaaba
aaaa ba
baaa aaab
a b
abba aaab
aaabbba bbbbaba
abbb baab
aabbbababab bbaaaabbbba
baaaa aabbbb
baaabbba ababbbaa
aaaabbb bbaabaa
aaa baab
abb aaabba
aabaa abab
baabb aabbb
aab baba
aaa bbba
baabbab baaaabaaab
aaabbb baab
bbabaabbabb aaababbbabbaa
babbaa bbbb
abaaa baab
bbababa aabbabb
aaabb baaabb
aaabbaaab aababaaaa
babaabaaa bbabaabaaba
aabbab bbbbbb
aabaaa aabbaaaa
baabba abbabb
a abb
abbbb baaba
abaaa aaab
aaaaba abaaaa
ba abaab
aaab ab
baaa baab
abba bbab
bbbbb abbabab
bbb aabba
baabaa ababb
babbb babaaa
abaaaab abbaa
bb aab
baba baab
aaab bbb
ababab bbbb
abbbaaa aabbabb
bbaabaabb baabababa
aaaa bb
baaaa baa
ab baaaaa
babaab abbaab
bbab abbbb
abba abbb
aa aaabba
aaabbaa aaaaaa
abaaaba bbba
abbab aaab
abb aabaa
babaa bbb
aaaaaab bbababaa
ab bb
abbbaaabb abaabab
abaabaaa ababbb
baabb aaabbb
bbbb babab
aba bb
aababa baaaab
aa bb
baaaabb bbbbaba
babbab baaaaa
aaabbb aabaaa
bbabbab aaabbaa
babaab aabaaab
aababa baabbaa
aabaaa aaabbaaa
aabba bbbbb
abbabbbaab baabbbbaaa
aabbbbbaaabbb bbaaabaaaaaba
babbba aaabab
bbaaaaa bbbbabbaab
a aabb
bbbbb abbb
bbababba bbbabbaa
bbab ab
bbbbbb bbbab
babaaba ababaaba
baababa bbab
baa bbaba
aabba bbbb
aabbab bbbaab
baaab bbbb
abaaa aabaab
baab ababaaa
aab aaab
aaba baabba
abaababaaaba baabbabbabba
ababbbabbb babbbaaaab
abbbb ba
baaab bbb
abab abbbba
bbab baaa
baaab babaa
bbbabba aaababb
bb babb
ba aababab
aab b
babbbab babaaba
aaabaabb bab
aabbbaabb aabaaabaa
abaaabab baaaabba
aababa bba
bbaa abaaab
bab baba
bbba ababa
aabbbba aaababa
bbbaa abbab
aaaaaaab abaaaaba
bbbaaab babaaa
bbaaabba a
bbbb aabaaab
bbba aabb
baaa ba
babbaaa ababbbab
bbbba abaa
bbbbabaabba aaabbababbb
aabaaabbabbb babbabbabbaba
baaaab aabbbb
abba baaaa
bbbb abab
a abba
aaba baabaa
babaa baa
abbab baaaba
baaabab aabbba
aaaa aa
aaaba aaabb
babaaa bbaa
abbbbbba aaaaabb
baa aaabb
bbabab bbbbbb
babbb abb
aaaa baabb
abaaaabbb baa
abbabba aaaaa
aaaaa baabab
baaaabbaaba bbaabbababb
baababab bbbaab
babaab abaaab
baabbb bab
ba aabbaa
abbabbaaa bababa
aaabaa bbba
abbab babab
ababababa bbbbbbaa
bbbbbbb abbaab
abbaa abbbabba
abaaaab abababa
bbabba aababb
ababb aababa
bb aaaaa
babaaabb aabba
abb aaa
bbababb aaaaaa
aaaab bbbba
abbbbbb baaaabb
bbaa aaaaa
ababab bbbbaabb
abaa bbba
abbbb bbaab
baaa baa
aaabab bababb
bbaa abaabba
a b
aaaaba aaaa
aaaabbbb baabaaa
aaabb aabbb
baabbb aaab
bab aa
bbbbbbba bbbbbaab
abbb bab
abbbb abbaa
bbabbaaba babbaabb
bab abab
babb ababaa
aaaaa abbaa
bbababab aabbbabb
bbbaaabb baaa
aa bbb
abbabbaa abbbaab
a baab
abaa aaa
bababa baa
baabaab bbabaaa
a baab
bbbabbabab aaabbbbabaaaaab
baabbba bbbbba
aababa bbaba
bababb babbba
bbbbaa bbbbbb
baaabaabb baaaabbbb
abbaaab baaaa
baababa bbbaaab
babbb b
baab bbab
abaaab aaaa
bb aaa
bbaaaa babbab
aaaa aabab
abaa bba
aaaab aba
ba aba
babaab abbbaa
bbaabaa babbabba
abbb baab
aaa aba
bb baa
aaabbba aaabb
abbbaabb bbb
bbbaba babaab
babaaa bbbbbb
ababa baabbb
bb abbb
ba bb
aa bba
bb abbb
aaaabb bbaaaba
baabbab bbbaba
abb baaa
a baa
abbaab baabb
abba baa
aabaa bbaab
abbab aabbb
aaa abba
aaaa bbabaa
baabab aaabb
aabbbab aaabba
babbaabab aabbaba
baaba ababab
baaaa bbbbb
abaaba aaabbb
babbaa babaab
bbba ababb
bbbb baaaa
aabbbb abaaaa
aabaaa ababa
bbbbbbba abababb
aaaaaba aabb
ab aabab
abbbbba bbbbbb
baabb aaa
baababbaba aaaababaab
aaaaab bbaaabb
ab aab
aabbb abbaab
bbbaa aabbab
aaabaaa bbbaab
aaba bb
baaba baa
abbabb abbbaa
aabbab abbaabb
aaabaaaba ababbaaba
abababb aabbbbb
bbb bb
aaab bbaaa
bbbab aabba
babbaba babbbab
abbbb baaabba
abaabba bbbbba
bbbaa ababb
aaa aabbabb
bbaabbb aabbbaaba
aa babbaaa
bbab abbaab
abbba babbbbaba
aaabba abaaab
bbb bbba
bbbbaab ababaa
aaaba aaba
aab a
bbbbb abbbbbb
bbbbbbaabbabbb bbbaabbaaaababb
ab aaabaa
abbaa bbaba
bab aaabbaabaa
bb bbaabba
ababaa aabba
b a
abbb aaaa
bbaab baa
aabbba aabaaba
aaaabb aabbabab
abbab b
babbb aa
aa ababba
babba babbba
abbbaaa aaaaaaa
aaaa b
aababb babbbb
bbba babb
bbabb babab
baaabab abbaaab
bbbabababbb baabbaabbb
a bb
abaabb bbbaaaaa
babaaba babbbbb
ababba ba
baabaaa aabab
babaaabaaa abaabaaab
abaabb abb
aabaab abbaab
aaaaaaa babaaabb
b ba
aabbbab aa
bbbbbb abababab
bbaabbab abbabaa
aabbaabb bbaa
abaaabb aaabbaba
b aabbba
baaaaaa bbbaaba
babbaabaa baabababbbabaaa
abbaba aabbaab
bbaaab aab
aaaabab abbbaabb
bbabaaa abaaaba
baabbb bbabaa
aaaaabb abbbbbb
aababaa babbabab
aa bab
aaa bbb
bbbbbbaab bbbababbb
baa aa
bbbbbba abbbba
bbbbbb aab
aaabbaab babbabab
baaaba aabaa
bbbbbb bbbaaa
bbba aaabaaa
babba bbaaa
bbba baa
baba aaa
bbaab baaaabba
bba ba
bbba aaaaba
ababbabaaabb abbabababaab
baaaa ababaa
bb a
bbab abaa
bbbb baaabb
bbbabab babbab
ababbab bbbaaa
baaaba a
aa b
babab aaaab
bbb abab
aaaba ababbabaa
aaaaab baabab
aababab bba
aaabaabab baabbb
babaaab ababab
baaabb abbabb
abbaaa baaaa
aaabbaab abaaaabab
aabbbaaa aabab
abba babaab
bbbabb bbbaba
aaaaab abbbabbbaaa
aab bab
aababbab abbbbaab
baab aaaaaaa
baba aaabb
abaaba babaaa
bbaa bbba
baabbaba ababbba
abbaa bb
bbbabb aabbbaba
abbbaa aaaba
baabbbb bababab
bbbb aabbaa
aaba aba
abbaaba aaaabab
bba baabbb
aabbbbaba ababaabbab
aaab bbbbaaba
aaaabaab aaaabbaa
baabbabaaa abbaabbaab
babbab abb
abbaab baabb
b aaabb
bab baaaaabaab
bbb bbab
abbaabb abaa
bbbba abbbaa
abba babaab
baaabbbb baababbb
abababba bababbaa
ba b
bbb aba
baababb babbbbb
abaa bbab
aaabb abaa
babaaba babbb
bbabaaa bbabbbba
abab bba
abaabb aababab
bbba bbb
bbbbaabb abbbbaba
aaa a
abbba abbab
abbbbbab aaabb
bbbaa abbbba
abaab abb
baaaabaaa bbbbababa
a aaa
aa bbaa
b bab
