65350
ABABBBB BABBAAB
BA AA
BBBB BAAABA
AAABBA AAB
ABB ABA
AB AA
BABAAB BBAAA
BA A
BAABAA BBBAAAA
BBBBB AB
AAAA ABA
BBABB BABB
B AABBB
BAAAAB BABA
B AA
AAA AA
AA $
BBBB BBAB
ABAA ABAB
BBBBB AAA
BAB BBB
AAABBABABBBA BABBABABAB
AB BBAA
$ AAAB
ABA BAA
$ AB
A BB
BBBBB AABBB
AAABAAAAABB ABAABBBABBBB
AA A
A BBAB
ABBBBABA AAABBAA
BAB AAAA
BBBBBB AABAAB
BBABA AABAA
$ ABA
BAAA AAA
BBBABB BBA
BAA $
BBB ABA
BAAA BBAA
ABBB BBA
ABABB ABBA
ABBBAB BBABA
AAB AABB
A BBBB
ABAB BBB
AAA ABBBABA
BBB BAA
ABABAA BBAA
BBB AAB
AA BAA
AABBBBBAAA AAABAAAABA
BB A
BBAABAA BAA
ABAAA AABAB
BABABB BAABBA
BBABAB AABBBB
BBBBA AB
AABB ABAA
ABBBBA BAA
BBA BB
BBA BAABB
BABB AABB
ABBAABB AAAAAA
AA AAB
BABAB BABBA
ABB B
ABBABAB BBBBABBB
BAAAA BBAB
BABB BBBA
BAA AB
$ BAA
BA ABA
AABAB BBBAB
AB ABA
BBA ABB
BAA AB
BBA AAA
BAB $
BBAAA BBBBAB
AABA AABBB
ABA BB
BAABAB BBAABA
$ B
A $
BAABB AAABB
AAABB BB
B $
AAB ABBB
BBB ABBA
A AB
BBABABB BBBAAB
AAB A
$ A
ABB B
BBAA ABA
AB BBA
A AABB
AAA B
$ BAB
AB ABA
BAABAA ABBBAB
BAA ABA
BBB ABA
BB BA
BA A
AB $
BABBA BBB
ABAAA BBBA
B A
AABBAA BABABB
AA A
ABA AABB
BBBA BAA
AB B
ABBABBAB ABAABAB
BBBAA AABABB
AAAAAA AAABAB
AABBA AAB
BABAAA AAABB
ABAB BAAB
BABA AAAA
BBABABAABABA BABBBBBAABAA
BABABA BABAABBB
BAABB ABAAB
BABA ABBB
ABABA BABAB
AB BBBAA
BABB AAAA
ABAB AABA
AAB AAA
AAABBAA BABABAB
BAABB BBA
B BAB
BBBBB AAA
BA AA
BABBA AABB
BBBA AAAA
AAAA BBAAB
BABB BBAA
BABAA AAABA
AAAAB ABABB
BBA BB
BA A
ABBA BABBB
AABA BAABA
BA BAAB
BABA ABBAB
BBBB BBAA
ABBBAAB ABAABBA
ABB AB
BAAAB ABBAA
AA AAAAB
ABBB BBAA
AABA AAABA
AAB AA
BABB AABAA
AAAA BAAAA
BAAB BBAA
BABAB BAAA
ABB BBBA
AAAB AABAAA
AAABAA AAABA
BBBA BA
ABBBB BAAA
BB AA
B A
A $
$ B
BAA AAAA
BBBBAB AAAB
ABAA BBB
ABAAA BABBB
AAB A
BBABB AAB
AABBB AAABBA
BAA ABAA
AABB ABAAA
A BB
ABBBAB ABABAB
AAA AAB
AA ABA
AAAA BBBBB
ABBABA AAABAA
AAA BAB
AABA $
BBAAB ABBBA
BABAAB ABBAB
AA BB
AB ABB
BABAB ABAA
AAB AB
BB AAB
BAABB ABBAB
BBA $
ABB AABA
BAB AAB
BBA B
AABA ABABA
BBBB BBAA
AABB A
BA BBA
BBAA BBBA
ABBAB BAABBA
AB ABB
$ BAB
AABBA BABBB
$ B
B ABA
ABA AABA
AA A
AAA B
$ AAB
BBA BBAA
AB B
AAAABAA AAAB
$ AAB
BABBABAB AABBBBB
BBABBAB ABBAAB
BAAABABAB BBBBABA
ABBAAAAA BAAAABAB
BBABB BAAABA
AABB ABBAA
BAAA ABAA
BA B
AB AA
AAB BBBBAB
BAAAB AABAAAA
A ABB
BA AAB
A AB
BBBABB BBBA
AABBB AABBAAA
AABA BB
BAABBA AABAAAB
ABBBAA ABABBBAB
ABA $
BBA ABA
B A
BABABB BAABAB
$ B
ABA ABBA
BBA ABA
ABBB BAAA
BABBB AABAB
BBBBB AAAB
AAAAABAB BAAAA
AB A
AAB BAAA
BB BBAA
ABB AAA
BAAB ABBBB
AAAB BBAB
A AAABB
A BB
ABBA BBBBABA
AAAB AA
BA $
ABAABBB AAABAA
$ BBB
ABA BBAA
AABB AAAA
BA $
AAB BA
BABBA ABAAA
BBAABBA BAAABA
AABB ABAA
ABB AB
A AA
AA AB
AAABA AAABB
BABBBAAA ABBBBBBAB
AAAB BABB
$ AABB
ABB B
BAA A
ABA AB
AB AAB
AAB AAA
BAB AABB
AABAB AABBB
AB AABA
ABA BA
B AAB
AB BBA
BBA BABA
BABBBABBBB ABBABAABBB
ABB AAAAA
BBBBA BAA
A AB
AAAABA BAAABB
BAABAB AABBAB
AB BBB
AAB AB
BA BBBB
BBB AAA
AABABBA BBBBA
BAAAA AABAA
BABBB AABBB
BBAABB BABBBB
ABAA BAA
ABBAAA BBAAA
$ BBBBA
BBB AB
ABBA ABAAB
BBBBBB BBBABA
BAAA BBA
B ABA
BA A
BABA BAA
AABBBB BBBAAB
BAB B
BB B
BAAA BA
BAB AAB
BABABA BBBABAB
B BA
AB B
AA BABB
BBABBAB AABBAAB
A AAB
AA BA
AAB AABBBA
BA BBA
AA BBA
BBBAABAABBB ABABABAAAAA
BAAABBB BB
ABA BB
AAB AAA
ABBAAB AABAAA
BBA ABBB
BBB $
AABABBBAA ABBBAA
ABAB ABB
AB BAA
ABAAA ABBAA
AABA BBBB
BAAAAA ABAAAA
B $
AAB AAA
AABA A
BBAA AAAA
AABBBB AB
BBAB AAAB
AAABAA BABAAB
AABAB BAABA
BBBAAA BAAAAA
BAABB ABBA
AAA AB
BAA BAB
ABAA BA
ABABB ABA
A AB
A BAA
$ AAAB
BBBBBA BBB
ABBBA BAAAB
BA AA
AAAABBB ABBBABBB
BAAB AABB
ABABA AABAAA
AAB AB
BAB AB
BABA AA
BABB BAA
ABBAB ABAA
BBA BAAA
$ AB
AAAAABBABA ABABAB
AAABA BBBBB
BAAAB BAAAA
ABBBA ABBBB
ABA BBA
ABBBBB BBA
AABBB ABBA
ABBB ABA
BBA ABA
ABBB AABA
BAA BA
BAABAAABBB AABBABAAAB
ABBAAB ABABB
B ABB
AB A
AA A
AB BBB
ABBBB AABA
ABA $
BBBB BAAB
ABBAAAB BABB
B BBBB
ABA AABAAB
$ BBA
AAA ABB
B AA
AAAABAA ABAAABAA
ABBABAB ABBBBBA
BABBABB BBABAAA
BAAABABBBABBA BBAABBABBBABBA
$ AA
BABBAAAB BABBA
BBAB BBBB
ABBA AAAB
$ AAB
AABB AAB
AAB BBBBA
AAB BB
$ ABA
AAABA BBBBBB
AABBAABB BBAABABB
BAA BAB
BA AB
$ B
AAAB BBBB
BAAA AAAA
BAA BBAB
BABBBAAAAAA BABBABAABB
B A
BBB A
BB AAAAA
AAABA AAA
ABBA AABB
BAABB BABAA
AA BBB
ABABBBB BAAAABA
AAA BBB
$ BA
BBBB ABBA
AABBA ABABA
$ BA
AABB BBAB
ABBBB BAAAABA
BAAA AABA
ABBB ABAA
AB AABABB
$ B
BBAAA BBBAB
ABB BBABB
ABAAB BBBABB
BA A
BB BABB
$ A
BA B
BB AA
BBB AAAB
BBAA BBBBB
BBA AAB
A BAB
ABBAB AABAAB
BBBA AAB
ABABB AAAB
ABBA AABABB
BAAABB ABAABA
$ B
ABAB AABA
ABAA ABA
AAB AAA
ABAAABA BABABAB
BBB ABBAB
ABAB BBAAB
AABA ABAA
ABA ABBA
BBBBAB AAABAA
AABB BAA
ABB AABA
B AAB
ABAB BB
AABBBBBB AAAAAAA
BBAAAABA BBAAAAA
BB AA
AAAAA AABB
BAB BBAABB
AA BB
BABA ABB
$ B
BBABBBA AABBABB
BBBBAB BAB
AB $
BB $
BBAAB ABBB
ABAAB AA
AAAA AAAB
BA BB
AB BA
BABB AABABA
$ AB
ABA AAAA
BBBAB ABAABABA
AABBA ABBAA
B BB
$ BBBB
AAB BBAA
BBBBB BBAB
B ABAB
AB ABB
AABB AAB
BABAABABB ABABBBBA
AA AAB
ABBAA ABBB
ABBB BBAB
AAABAAB ABBABB
BB AA
BBBA BBA
BABAB BBAAA
BBB ABAB
BAB BBAB
BAAAA ABABA
BAAAB BAAAAA
ABBBA ABABA
BABAB AAAABB
ABB BBAB
AB BAAB
BAA BBB
ABA BBA
ABA A
B AAAAAA
BBB A
ABB BAABA
AA BA
BA AB
ABBBBA BBBBAA
BBBBB AB
ABBBA BBBBA
$ BB
BBABB AABBB
BAAB BAABBA
BAAA BBB
AABA AABBB
BAB ABB
AA B
AAA ABA
AAAB ABAB
BAA A
BBBA BBB
ABABBBBAB BAABBBBBBAB
$ B
AAAAB ABBBA
BBBABAA AAAABAAB
$ AA
AABB AAAAAB
AABB BAB
BABB ABA
BBABB ABAAA
A BAAAB
BABB ABAAA
AABABB AAABBB
BBABA BB
AAAA ABAB
B A
$ A
BAB ABA
AB AA
BAAAAB BABBAB
AAB BBBBB
AABBB BABABB
ABAA BABBA
AAAB ABB
ABB $
AABABBABAA ABAAABBABAA
BABAA ABB
AAAAAA AAABBA
ABBA BBAA
BAAA BBB
BABAB BAA
BBA BAAA
AA AB
AAA BBABAAB
AAAAB BABABB
$ BAA
B $
ABBABAB BBBABBB
BA BBBB
BA BBBBA
BAAAAA ABABA
B BB
BBABB ABBAA
AABA AAAB
AAA A
$ AB
BABAA BBA
AABAB ABBBA
ABBB BABA
BABA ABA
BBAA B
AAB BAA
BAAB A
AAB AAA
$ A
BABABBB ABBBAAA
BAAAAA BAAB
BA AABBA
BBABAAB AAABAAB
A B
BBAB BBABA
AA $
AB AAA
BABAB BABA
ABBABA AABABB
AAAB BABB
BB ABB
BBABA AAAAA
BBA ABA
ABABA BABBB
BBBB AAAB
AABBA BAABAAB
AABBB ABA
BABABB BAAAB
B BBBA
B $
AAABBABA BBABAABB
AAABBB ABABAA
BABABAAB BBAABAA
ABAA BAA
BA A
BAB $
AABB BA
$ A
BBAA BABB
ABAA BAAA
BBAA AAB
BAA ABAA
B A
B A
AAA AAAB
AAA $
BBBAAB ABBBA
BABBAA AAA
ABBBAAA AAAAAAA
BA A
BABBBAA AABABAB
B AB
AA A
BAAAA ABBA
BBA A
BBB BBBA
BBBB AAABB
ABBAABA AABAAAA
BBBBB BAAAA
ABBBAB AAAAB
BAB ABA
BAAABB ABABBA
$ BB
BBABBBA BA
AABA AAAB
AABABBB BBAAB
BA AAAA
B AAB
B $
BBBBB BABA
ABBB BBAB
A BAA
BABB AAA
AAAAAAB BBAABA
BBBB BAB
BABBBAB AABBAABBA
BABBBA BBBAA
AAAB $
BAA AAA
AAB A
B AB
BAAAA ABAB
A BB
BBBAAB ABB
BAABAAA BBBBBABB
BAABABBA BBBBABA
BAABBA BBBBAA
AAA BBBB
BABB BBAB
BBBA ABBAA
A B
AA A
BBA ABBB
ABBB BBA
BBBA AAAAB
BA BB
ABAA BABB
BABAAB $
BB BBBAA
BABA ABAB
AABB ABBAA
BAAB BAA
BAA BB
AABAA ABAAAA
BAAB BA
BBABABAA AAAABB
A B
B ABA
BBBAA A
A $
BB $
ABBBAA BBABA
BABAA ABAB
BBAB $
ABBBAAB BABABAA
BBBBB ABA
AAAAAA ABBBBBA
BABA ABBA
BBA ABA
AB BAB
AB BAA
BABB ABAA
BBB AAAB
ABAABB BBBBA
AABAAA AABAAAA
ABAB AAAA
BAB BA
B AAB
$ BB
BB AA
ABAA AABB
AABABAB AAABBB
AABAAAA BBBAB
BABBBBAABAA BBAAABBBBAA
AAB AAAB
ABBAB BB
ABBBB ABABA
BAAB BABB
ABBAABBB ABBBAAA
BBABA ABB
AAABB ABA
BBABAAB BAAABBBB
AAA BBB
$ B
BAABAA ABBBB
BAAABA BBBAABBB
BBAA ABBB
ABA ABAAB
AA AAB
BAABA A
ABBAB BABA
AAAAB BAAAA
BABBAA BABABAA
AAB ABA
BBAAB AAABAB
BBBBAB ABA
BABBA BBBAA
BBABBBABAABA BABBABBBAAAB
BAAB ABAB
$ BA
ABBB AABA
A B
BAAB BBAB
ABAA BBA
BBBBA BBABA
BAAA BBBBBAB
$ A
ABBBBA ABAA
BBB $
B BB
ABAB BB
$ AAA
AABA ABBBB
ABBAAA AA
B A
ABA BBBB
AAA BAB
BABA BBBA
$ BB
ABABB AABABAB
BABAAAB AAABAAA
BABBB ABAAAA
BAB BBAAA
BBBBBAB ABABBBB
ABA BBAA
BAAB AAB
BB $
ABAA BAAABAA
AA BABB
BBAAAB BAABB
BBABBA ABBAB
ABBBB BBAAAAA
ABA $
AAA ABA
ABAABB AABAAB
BBB BA
BBABB BBBABBB
BBAAAA BAA
AAAAAAABAA BAAAAAA
ABB BABAAB
BAAA BBBB
BB AA
BB BABBBA
A AB
AB BBB
BBABB BBBAB
AAA ABA
$ A
AABBAAB AAAAAAAB
AAAA BABB
BAABABBAA ABBBBAA
BBBBAB AABBAA
ABB $
BAB AB
B AA
ABBAB BBBAAA
BBBBA BAAAA
B BBA
BABA BAB
AAAA BBAB
BABAAB AAABAA
B $
BB ABB
AAAAAB AAAAAA
ABBABB BBBBBB
BBBBAA ABAABAA
ABBBBABBBBAB AAABABBBBABB
BBABBA ABAAA
A AA
AAA ABBB
AB A
AB BBBAAA
BBB BA
ABAAAABABBBAAB BABAABBAABABAB
AAAAAA AABBBB
BABB $
BA AAB
AABAB BABA
ABAABA ABAB
ABBAAABB AAABAAA
BAB BAA
AA A
BAAAAABBBAAB BAAABABABBBB
B BB
BAA AAB
AAAABABBB ABAAB
BAAB ABAB
AB A
A $
ABAA B
ABBA ABA
BBA BA
ABBA ABB
$ B
BB AB
ABBAAA ABAAA
B ABBBABBB
BAA $
AA A
BBB AABBAAA
AABBA BAABB
A AB
BBAAAB ABAAABA
BABA BAAA
A $
AA AAA
BAABAB BABAAA
BAAABA BABBA
ABABA BAAA
A AAA
ABABBAAA BABAABBA
ABAA A
BBAA AAAB
ABBA BABA
BBB ABAA
A $
AAA B
BBABAAA BAAAABBB
ABAA AABB
ABBA BAAB
BBAABA BBBAB
$ B
AABBA BAABA
ABA ABAA
B BA
AA BA
ABA BB
A AA
AAAAA AA
BBA AAB
ABBB AABA
BAABB BBAABB
$ A
$ A
AAABBA BAAAAA
BBB AAA
BBA AB
BAB BBAAAAAB
AABBB BAAAA
ABBB ABAA
BBBAAA BBBBBB
AB BBB
BBA A
BAAB AABB
BAAAA BBAAA
A B
BA AA
BBA A
AB A
AAA A
AABB AAAA
BB BAA
BABAA BBBABAAB
AB AAAAA
BAAA BAB
$ AB
AABA BB
AABBA AAB
A AA
BABA A
AAABA AAA
ABABA BABAA
BBB AAB
BBABBAB BAAAAAB
AAB AA
BBB $
AAB BBA
AABA AAA
ABABAAA ABBABBBABA
AABA ABBA
B AAAAA
BA BBAB
ABBBBA AB
ABBBABAABAA BABABBBABBB
AA ABBBA
BAABBB BBABAA
AAAABBBAB BBAABABB
AABAB BAABBA
BBBBB BABBB
BBAB BAAAB
AABA AAAAA
AABB BBBAA
AAA AB
BBB $
BABBA BABABB
BAA BAB
AABAB AAABA
B AAAB
AAA ABAA
AAAB BBBA
ABBB ABB
BB AB
AAB B
ABABAA AAAAAB
ABB $
BBBA AAAA
ABAAB AAABAAB
BBABBB BAABABAAA
BBBA BABA
ABBBB AAABBAA
BBBBB BBAA
AB BBB
ABBAA ABBBB
AB $
BBAAAA BABABAB
BAB AAB
AB BB
AB BABA
ABABA AABA
AB A
AA ABB
AAABABA B
BBA BA
BABB B
BB BAA
A BABA
BABAAA BABABA
AAABBB BAB
ABBA BA
BBBBBB BBBBAB
B AB
BAB AABBB
BA B
AABBA BBAAB
BBBABBBA BBAAABBB
AAA BBB
$ A
$ A
BAB ABB
B AA
BABBBB BABABA
AA ABAABB
AAA ABB
BBABBB BBBABBB
BBB BBBA
A BAA
AAB BB
BBAABB BBBBAB
AA BAA
AAA AB
BAB ABB
AABAB ABA
ABA BBA
BAB AABBB
B A
ABB AB
B AB
BBBB AAB
BAB BAA
ABA ABB
BBB B
A B
$ B
ABB BBA
B ABB
AAABAB BBBBAB
ABBABB ABBAB
BA $
B ABAA
BBB BBAB
ABABBB BBAA
BBBB ABBBB
AA AAB
B A
AB $
BAABBBB BAAAABA
BBABB BABABA
ABBABB BBABAB
AABAABB BABABAA
BBA BABB
ABABBA ABAAA
AA BBB
ABABBA ABAABA
BBA ABA
ABAAB AABBA
BBBBABA BBBABB
B AA
BBB AAB
AABA BABA
BAA AB
A B
ABA AAAAB
BBB BBAB
BBA AB
A B
A AB
AA AAA
BAAA ABAA
AA $
BBBA AAAA
ABABBB BBABA
BBAA AAB
AABBB ABA
ABAA AABB
BBBAA BBAAA
BA AAA
ABB B
AABBAB BBBABB
BAAA ABAA
BABBBA ABA
B AB
AB ABB
AABAAB AABBBB
BAB AB
B AAB
A BBA
ABB AAB
ABBAB BBAABA
AABB AAAA
BABAA AAABA
AAABA ABABA
ABA ABAAA
BBA BBB
AAAAAA BABBAB
BBA ABA
BBBABA BABABB
BABAABBB ABBAABBA
AAA $
BBBB AABA
B AABAAA
A AABAB
A B
BABBB ABAAAB
$ A
BBBBBB BAABBB
ABA AA
AA AB
ABBAB BABABA
ABBBBB AAAB
BAAA BBBA
AA AB
AB ABB
$ BBAAB
ABB BAB
ABAA A
A B
ABA BB
BABBAB BB
AABBAAAB ABAABBB
BABAB BB
BABBABB BABBAAA
BB BAA
A B
BAABBA AAABAAA
AAAAA AABBA
BBA BBBA
AABBA AABBAA
AABB AA
BB AA
AAA AA
ABAAB BBAA
ABB AABAABA
B AABBB
AB BBB
A B
A AABB
BBA AABAA
BBA BAA
BABA AAB
BB BA
ABBAAAB BA
ABABB AABAA
AB AA
BB BBA
BBBAAB BABAAA
ABAAA AABB
B $
A $
BAAAABA AAABAB
ABABAB BABBBA
ABAAB ABBBB
B BA
ABBBB ABBAA
ABAA AAA
BB AB
BBA ABB
B $
AABA ABAB
BAB AABB
BA ABB
BB AAA
BAB $
ABBBAAAA BAAABBBAA
AAABAB AAAABB
BBBAAAB BAAA
ABA BBB
BBBAB ABA
AAAABB BAABBB
BBA BABBA
AAA BBA
ABB BBB
BB AB
ABBB BBAA
AA BBA
AAB BBAB
BAAABAB BBBABAAB
BBA BBBA
ABABA AAAAB
BABB BBBB
BABA ABBB
BBA ABA
$ B
AAAAA AAABA
B AA
BABAB BBAAB
ABAA B
BA BBB
BBBA ABAB
AABBA ABA
BBBBB AAAB
BBA A
BBAAAA ABBAABA
ABAAA AABA
BAB BBA
BB BAABB
ABBB AABAB
BA AA
AABA ABBABB
AAABBB BAAABAA
A ABABB
ABBBBB BAAAA
ABBABABAA BAABBBBBB
BAABBBB ABBAABA
BBBAB AAAAA
A BA
BBBB A
AABAAB BBBB
BABBA BABA
ABBBB BABA
BAAA BAA
BBBAB AABAA
BAAA A
ABAAB AAABA
BA AB
BAB ABB
AABAABBA AABBAB
BAA AB
ABA ABAAA
AAABA BBAAA
ABB AA
BBBB BAA
ABABBABA BABAAA
BBB B
BB B
A BA
$ A
BBAAA BBABAA
AAAB BABAB
BBBBABB AABBBAB
A ABAB
ABBBA AABABA
BAAABB ABBABBA
BBBBB AAAABA
BAAA BAB
AAA BAAA
ABB B
ABBAB AABBB
$ A
ABBA AABB
AABA BAA
AAA B
ABA AAB
AA $
BABAAB BB
ABAB BA
BAA ABA
BBBA AAAA
ABBAB AABAAB
ABA ABBA
ABBA BABA
AABBBA ABAABA
AB A
AA BAAA
BAAA BBB
AAA BBBBB
ABBBA ABBA
ABAA BBB
ABAAA BAAAB
A BBA
BA B
BBA A
AABBBBAA AAAB
$ B
BBBA A
AABABBA BBBBAAB
$ B
BB A
ABAB BBBABA
ABAB ABA
BA $
$ BBB
BABA ABBBBB
BBA ABBB
AAAAAAAB AABAABA
ABB ABBB
AB ABB
ABBA ABAB
AAAAAA BBBBB
A $
$ BBBB
BBABA BBAAAB
BABA BBBB
BABB BBA
AB A
BABBB AAA
AABBB ABAAAB
BAAABA AABAA
$ BBB
BBBA BABB
AA BA
B BB
AB BAA
AAB AAA
A AABB
BBAB ABAB
BBBBBABAB AAAABBBAB
BB $
ABBABBBA $
AAB BBAA
BAA BBB
BA AB
A AB
AAB ABAA
ABA AA
ABAAA BAABAA
BBBAA AABABB
AAAA BAAAA
BA AB
BB AA
AABBBBB BBBABBB
AB BB
BAAB BAAA
AA $
BABBAAA ABBAAABB
BAAA BBBB
BBA AABA
BBB BAA
AB BBBBB
BA BAA
A $
AAABA BBBBA
BAAABA BAABABB
B BA
BAB ABB
BAAAB BAAAA
BAB ABABB
BB B
AAA BBAAA
AAB BBBB
B BAB
AA BAABB
BABABBB AAABBBAA
AB BA
A BA
ABBAABAAAAA BBAABAABB
$ BA
AA AAA
$ BB
BAA ABBB
BBA ABAB
BB AAABA
ABABAAA ABBBB
AA A
ABBBA BAAAA
AABBBAB AABABB
AAAA ABAB
A AAA
BBAABAB AAAB
AABAAABA AAAABBAAA
AA ABABA
BABBABBABB BBAABABAAB
ABBAAAA BBAAABBA
BB ABB
AABBABBBA AABAABAAB
AAA AAB
AABA AABBA
AA AAA
ABBBB A
AB BBA
ABA BBA
AAAB BBBA
ABAB BBBB
B A
BAAAA ABAB
AAA $
BB A
AABA BAABB
BABBB AA
ABA AB
B BA
ABAABB ABBAB
AAB BAA
AAA BBA
AABAA ABBAA
AAABAA ABAAA
BBAA AAAA
BAA AAB
$ BAA
AA ABA
AABABAB BABBAABB
BBA AAA
AB AA
B BABB
BAAABBB ABBBBBBA
ABABABBBA BBAAAAAB
AABA BAAAB
BBAAA BAAAA
BAAA AABBA
B AB
BBBAAA BAAAAAB
$ A
A AAB
AB B
ABAAA AAABAA
AAA ABAB
ABAABAB BB
BAA AB
ABAAAAABB BABBBAAB
$ AB
A $
BBBAA A
BBABAB BBABBBB
$ B
BB AABAAB
$ A
ABBAA ABBB
$ AABB
AAABABA ABBAAB
AABBAA BBBAAB
AAAB ABA
BBA AAA
ABBB BAA
B $
BABAA ABAAAAA
AB BBB
BABBA ABBA
BAA $
AB BBA
B BBB
AAAA ABAB
BBB AABB
A B
BABABAA AAAAAABB
ABBB BBAAAB
BBB BAAB
BABBA AAAAB
ABAA BBAB
AAAAB B
BB $
ABB BBAB
$ BAA
ABBBBA BBBBAB
BBBAB BAAA
ABABAB ABBBAAAAB
AAB BBB
ABAAAA AAABBA
BBB BABA
$ AA
A B
AA BAA
ABA A
BBAB ABAB
BBAAB ABBBBBBAB
BBBA BAABA
BAABBBA BAAABAB
AAAABBAB BBABABBB
BBAABB BBAB
BBABAB AABAA
ABA BBAA
$ ABBAB
B A
AB BAA
BAABBBAB BBBABBBB
BBBB AABA
AABA ABA
AB AAAB
AA A
AABAABB AAABAABB
BBBA ABBB
AAB $
B BABB
B BAB
BABA BBA
BBAAABB AAAAABA
BBAABA ABABA
$ AB
AA BA
ABA BA
AABABB ABBBBAA
BAAABAA BABABAB
BAAB BAA
A BA
ABA BAA
AB BABBBA
ABAB BBBB
BBBBAA ABBABA
AAB BAA
AABABBBAB BABBAABB
AABB A
$ BBABAB
BAA BB
BA $
ABA BBA
BAAAB AABAAA
B BA
BBA AAAB
ABBBA BABBB
BBBA BB
ABAA AABAB
$ AA
AB BB
A B
BABB AAAA
ABBA AABA
BAABB AAAAA
BBAB BAB
A ABA
ABBBB AABAA
B $
A BB
BBAB ABB
BBA ABBABB
ABAAA BAAB
BAAAA AAAAB
ABBA AABB
BAABB AB
AAB BAA
BAAA BBA
ABAAAA AABBBA
BA BAA
AAAA BBA
AAB BBB
AAAAA BBBAB
BBAB BBB
A B
BA $
BA AA
BABAABA BBABABB
AAAAAAB AAAAB
BBBBB ABBABA
BBAB BBBBABA
ABBA AAABAA
BBA BAB
A BBA
AAA BAAB
BBBB BABBB
BBB AAB
B AB
AAAAAAAB AAABBA
AAABAABA ABAABB
AAB ABBB
BBA BA
BABA BBABA
BAA ABBB
AAB AAA
AAB BA
A $
A ABAA
BBBAB ABAB
AA AB
BA BB
A $
BBBA ABA
AABABB BABBB
BBBAA BBBBAAB
ABAB BABBB
BBAAA AABAA
AAABA ABBBBAAB
BBBA AB
ABB ABABBA
A AA
ABA ABAB
B $
B AAAA
B AB
BA B
AB BB
ABB BBB
ABB AB
BABAAAABBA ABABABBAAA
$ B
BBA B
B A
B A
ABBB BBAAB
A ABB
BBABABAAAA BAAABBBABB
A AABB
ABBBA B
BBBB ABAA
BAB AAB
ABBABBAB BBBAABB
BBBAB ABBBA
ABB AB
AAAB AAAAB
BBA AABAA
BABBABBA BABBA
BAA AB
BBA BAA
BBBAABA BAAAB
BAB ABBB
ABBB ABAA
ABBA AAAB
BAAA AABBAAB
AAAA ABBB
AB A
AAAB $
BAAABA AABABAA
BAAA AAA
BAA B
ABAAABABA ABAABBBBB
A B
$ AB
BBAB BBA
ABB BAAB
BBAABBA A
BA B
BBAABAAAB BABBBBABAA
BABA ABBA
BBAA AA
BABB AAA
AB BA
BA AAA
AABBA BAA
BBA BBB
AAAA B
BAA BB
AAAAAABBAA BABBAAABB
BBB BAAB
BAB BBBB
$ ABA
AA BA
BA $
BB BBA
BA ABBB
$ A
BB AAAB
AAB BBA
AABAAA ABB
AABA BBAA
BAAB AAAA
BAAAA ABAAA
A AA
BABB AABBA
BABBBBB BBABAB
AABBAA AAABAB
BAB B
AAA BA
BBAABA AABBA
ABBBAAAAA BABBBBBBBA
BBAB BABB
ABB BABA
BBAA AABBA
BBBBABB BBABABA
$ BB
BA BAAB
ABAAAA AAABBA
ABA AAAA
B BBABA
B ABAA
BBA BABBA
BBAA ABBA
AA AABBA
AA BA
ABAA $
ABAAA AA
BAAABA AABA
BAAAAB BABAAA
B AA
AAAB B
AABBB AABAB
$ A
BAA B
AABAA AAA
AAA A
AAA BBBA
BAABBA BABBAA
BBBB ABAABA
$ BAB
ABAB AAB
A BA
BBBBAB AAABAA
ABAA $
ABAA BBAAA
A BAA
BAAA BABAB
ABA BB
BBA BBAB
B A
BABBA ABAAA
BAB BB
AAAAB ABAB
ABA ABBA
BAB AA
AABA AAABA
AAB BBB
BAAAA BAAB
$ BBB
ABAB BBB
AAABA BBBBB
AB AA
ABB BAA
ABA BABA
AAB AA
BBBB ABAB
BA BBBB
BAA BB
BBABA ABABAA
ABB AB
AB B
ABABBB BBAABA
BABA ABB
AAABA ABABA
BBAAB BAAAAA
ABAB AAB
ABB BBB
ABA $
$ A
ABBBAA BBBABB
AB $
BAA BB
BBAAA AAABBAB
BABB AABBA
ABA AAABA
BBAA AAB
BBAA AAAAA
BB AB
BABBBBBA BABBA
BAAB ABAB
AAABAA ABABB
BBAABB BBAAB
BAB ABA
BAAAA ABAAA
BBA BB
AAB ABA
BAAB AABB
BBAB $
AA BA
BA AB
AAB BBB
AAAA ABA
AABB BBA
ABAAB BABA
ABA BB
BA BB
ABBBB ABAAB
BA BBA
BB B
AAA AABBAAAB
AA A
BAB ABBA
BBBBBAAA BABBAABB
AAB BBAA
BAAAAA ABBB
AAA $
ABBA ABAA
ABBB BABB
ABBBB ABAA
$ B
BBBBAA ABBBAB
BBBB ABA
BBBBB ABAAB
AAABABAAB BABAABBABA
ABABAA ABAAA
AA BB
B BB
ABB BAAA
AAA BB
BBA ABA
BB AB
B $
BA ABB
BBBBA AABA
BAA BAAB
BAAAAA BABBBB
ABABB AAB
BA ABA
BBAB A
BAB ABB
BB $
ABA AA
AA A
BAAABAAAA BBABAABBA
AABAA BB
AB ABAB
A $
A AABA
AAB AAAA
AABAAA BABBA
BABB BBBB
BABBB ABBBB
BBBB BABBBBB
AAAAA BAABA
BABB BAA
B BA
BAA BB
AB BA
AAA ABA
AA $
BBB ABBA
BABB BAABA
BBB BBAA
ABBA ABB
$ AA
AABABBBBBAB ABABBBBBBBA
AABB B
AAABA AABBA
AAABBAA ABAABAB
ABBAB AABA
BBBB B
AB BABB
BAAABAA ABBABBB
B A
